"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0297504592004922,0.0223412099439549,-0.593909203575795,-0.353905532968396,1,-0.346888659049972,-1,0.353905532968396,-0.0223412099439549,0.659420868633891
"GRHL2",1,1,-0.0297504592004922,0.0223412099439549,-0.593909203575795,-0.353905532968396,1,-0.346888659049972,-1,0.353905532968396,-0.0223412099439549,0.659420868633891
"Iext",-0.0297504592004922,-0.0297504592004922,1,0.39377007047693,-0.157167339178217,0.00030070206225393,-0.0297504592004922,0.682861171058251,0.0297504592004922,-0.000300702062253941,-0.39377007047693,-0.370329582911812
"KEAP1",0.0223412099439549,0.0223412099439549,0.39377007047693,1,-0.428431346618422,-0.605928515593002,0.0223412099439549,0.282979547824603,-0.0223412099439549,0.605928515593002,-1,-0.174395427720598
"NRF2",-0.593909203575795,-0.593909203575795,-0.157167339178217,-0.428431346618422,1,0.422621104372932,-0.593909203575795,0.083440942334969,0.593909203575795,-0.422621104372932,0.428431346618422,-0.319843310807734
"OCT4",-0.353905532968396,-0.353905532968396,0.00030070206225393,-0.605928515593002,0.422621104372932,1,-0.353905532968396,0.111091216813462,0.353905532968396,-1,0.605928515593002,-0.219675231259356
"OVOL2",1,1,-0.0297504592004922,0.0223412099439549,-0.593909203575795,-0.353905532968396,1,-0.346888659049972,-1,0.353905532968396,-0.0223412099439549,0.659420868633891
"SNAIL",-0.346888659049972,-0.346888659049972,0.682861171058251,0.282979547824603,0.083440942334969,0.111091216813462,-0.346888659049972,1,0.346888659049972,-0.111091216813462,-0.282979547824603,-0.687468510499983
"ZEB",-1,-1,0.0297504592004922,-0.0223412099439549,0.593909203575795,0.353905532968396,-1,0.346888659049972,1,-0.353905532968396,0.0223412099439549,-0.659420868633891
"miR145",0.353905532968396,0.353905532968396,-0.000300702062253941,0.605928515593002,-0.422621104372932,-1,0.353905532968396,-0.111091216813462,-0.353905532968396,1,-0.605928515593002,0.219675231259356
"miR200",-0.0223412099439549,-0.0223412099439549,-0.39377007047693,-1,0.428431346618422,0.605928515593002,-0.0223412099439549,-0.282979547824603,0.0223412099439549,-0.605928515593002,1,0.174395427720598
"miR34",0.659420868633891,0.659420868633891,-0.370329582911812,-0.174395427720598,-0.319843310807734,-0.219675231259356,0.659420868633891,-0.687468510499983,-0.659420868633891,0.219675231259356,0.174395427720598,1
