"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0279316196185683,0.268194276140956,-0.559316978707758,-0.358292053433366,1,0.671840169615493,-1,0.358292053433366,-0.268194276140956,0.80438616261126
"GRHL2",1,1,-0.0279316196185683,0.268194276140956,-0.559316978707758,-0.358292053433366,1,0.671840169615493,-1,0.358292053433366,-0.268194276140956,0.80438616261126
"Iext",-0.0279316196185683,-0.0279316196185683,1,0.222944971663886,-0.187706774705849,0.00210326870550856,-0.0279316196185683,0.300230342504743,0.0279316196185683,-0.00210326870550856,-0.222944971663886,-0.223545879505364
"KEAP1",0.268194276140956,0.268194276140956,0.222944971663886,1,-0.70888038137952,-0.696866652003245,0.268194276140956,0.596356211162612,-0.268194276140956,0.696866652003245,-1,0.149464518454667
"NRF2",-0.559316978707758,-0.559316978707758,-0.187706774705849,-0.70888038137952,1,0.405748057866482,-0.559316978707758,-0.887476289362211,0.559316978707758,-0.405748057866482,0.70888038137952,-0.363700067352105
"OCT4",-0.358292053433366,-0.358292053433366,0.00210326870550856,-0.696866652003245,0.405748057866482,1,-0.358292053433366,-0.293223267122105,0.358292053433366,-1,0.696866652003245,-0.280008707161434
"OVOL2",1,1,-0.0279316196185683,0.268194276140956,-0.559316978707758,-0.358292053433366,1,0.671840169615493,-1,0.358292053433366,-0.268194276140956,0.80438616261126
"SNAIL",0.671840169615493,0.671840169615493,0.300230342504743,0.596356211162612,-0.887476289362211,-0.293223267122105,0.671840169615493,1,-0.671840169615493,0.293223267122105,-0.596356211162612,0.47622384098155
"ZEB",-1,-1,0.0279316196185683,-0.268194276140956,0.559316978707758,0.358292053433366,-1,-0.671840169615493,1,-0.358292053433366,0.268194276140956,-0.80438616261126
"miR145",0.358292053433366,0.358292053433366,-0.00210326870550856,0.696866652003245,-0.405748057866482,-1,0.358292053433366,0.293223267122105,-0.358292053433366,1,-0.696866652003245,0.280008707161434
"miR200",-0.268194276140956,-0.268194276140956,-0.222944971663886,-1,0.70888038137952,0.696866652003245,-0.268194276140956,-0.596356211162612,0.268194276140956,-0.696866652003245,1,-0.149464518454667
"miR34",0.80438616261126,0.80438616261126,-0.223545879505364,0.149464518454667,-0.363700067352105,-0.280008707161434,0.80438616261126,0.47622384098155,-0.80438616261126,0.280008707161434,-0.149464518454667,1
