"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0952990306166332,-0.193589730589409,-0.30370191345259,-0.399798356189039,1,-0.171170716929136,-1,0.399798356189039,0.193589730589409,0.542740587007704
"GRHL2",1,1,-0.0952990306166332,-0.193589730589409,-0.30370191345259,-0.399798356189039,1,-0.171170716929136,-1,0.399798356189039,0.193589730589409,0.542740587007704
"Iext",-0.0952990306166332,-0.0952990306166332,1,0.283487135575828,-0.0524508584324676,0.00400569419237081,-0.0952990306166332,0.585786969085627,0.0952990306166332,-0.00400569419237081,-0.283487135575828,-0.214217659470018
"KEAP1",-0.193589730589409,-0.193589730589409,0.283487135575828,1,-0.502706477610776,-0.406610119608957,-0.193589730589409,0.618018504470066,0.193589730589409,0.406610119608957,-1,-0.43062834858221
"NRF2",-0.30370191345259,-0.30370191345259,-0.0524508584324676,-0.502706477610776,1,0.257256185563849,-0.30370191345259,-0.466667521710012,0.30370191345259,-0.257256185563849,0.502706477610776,0.0950977590863965
"OCT4",-0.399798356189039,-0.399798356189039,0.00400569419237081,-0.406610119608957,0.257256185563849,1,-0.399798356189039,-0.0246251253256313,0.399798356189039,-1,0.406610119608957,-0.162760801551816
"OVOL2",1,1,-0.0952990306166332,-0.193589730589409,-0.30370191345259,-0.399798356189039,1,-0.171170716929136,-1,0.399798356189039,0.193589730589409,0.542740587007704
"SNAIL",-0.171170716929136,-0.171170716929136,0.585786969085627,0.618018504470066,-0.466667521710012,-0.0246251253256313,-0.171170716929136,1,0.171170716929136,0.0246251253256313,-0.618018504470066,-0.628428936577567
"ZEB",-1,-1,0.0952990306166332,0.193589730589409,0.30370191345259,0.399798356189039,-1,0.171170716929136,1,-0.399798356189039,-0.193589730589409,-0.542740587007704
"miR145",0.399798356189039,0.399798356189039,-0.00400569419237081,0.406610119608957,-0.257256185563849,-1,0.399798356189039,0.0246251253256313,-0.399798356189039,1,-0.406610119608957,0.162760801551816
"miR200",0.193589730589409,0.193589730589409,-0.283487135575828,-1,0.502706477610776,0.406610119608957,0.193589730589409,-0.618018504470066,-0.193589730589409,-0.406610119608957,1,0.43062834858221
"miR34",0.542740587007704,0.542740587007704,-0.214217659470018,-0.43062834858221,0.0950977590863965,-0.162760801551816,0.542740587007704,-0.628428936577567,-0.542740587007704,0.162760801551816,0.43062834858221,1
