"Network","JSD0","JSDAll","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","GroupStrength","netStrength","Jmetric","JStrength"
"Ecad-NRF2_2-0",0.15567328757175,0.15567328757175,0.153846153846154,0.269230769230769,0.384615384615385,"0.2925","0.569548611111111","0.749166666666667",0.309399436788991,40.5237971170071,0.148233714733345,35.4352528038272
"Ecad-NRF2_2-1",0.324041877404513,0.324041877404513,0.148148148148148,0.284722222222222,0.407407407407407,"0.225","0.499427083333333","0.756666666666667",0.324538603343423,42.7623720543244,0.164917484837203,36.9637515743819
"Ecad-ZEB_2-0",0.000319121279668353,0.000319121279668353,0.192307692307692,0.296380090497738,0.384615384615385,"0.348333333333333","0.501421568627451","0.709166666666667",0.168977165978373,32.9867005904355,0.115000082762335,32.2920750418567
"Ecad-ZEB_2-1",0.0261017846182094,0.0261017846182094,0.222222222222222,0.306878306878307,0.407407407407407,"0.275","0.496904761904762","0.625833333333333",0.134439001521228,26.0757437413042,0.129788046882286,34.9013926707687
"GRHL2-ZEB_2-0",0.000432380327896878,0.000432380327896878,0.192307692307692,0.296380090497738,0.384615384615385,"0.338333333333333","0.502990196078431","0.7125",0.14488430139044,29.3399887366259,0.114868093035332,32.1599252087758
"GRHL2-ZEB_2-1",0.0231954463018991,0.0231954463018991,0.222222222222222,0.306878306878307,0.407407407407407,"0.2825","0.50235119047619","0.625",0.126989806617441,25.3483701831785,0.129939866963749,34.6171755358536
"Iext-SNAIL_1-2",0.498997127085583,0.498997127085583,0.185185185185185,0.285403050108932,0.37037037037037,"0.316666666666667","0.509607843137255","0.729166666666667",0.198308931671912,37.1338501404161,0.117629879494602,32.5923825783927
"KEAP1-NRF2_2-0",0.172043951672946,0.172043951672946,0.192307692307692,0.294871794871795,0.384615384615385,"0.3075","0.5440625","0.725",0.218521661882372,36.4855650327792,0.176258323759896,35.3749719581441
"KEAP1-NRF2_2-1",0.25327867962382,0.25327867962382,0.185185185185185,0.303240740740741,0.407407407407407,"0.221666666666667","0.476614583333333","0.711666666666667",0.235386986285116,37.8808519587647,0.152390157509684,33.0915812003878
"miR145-OCT4_2-0",0.157776788574852,0.157776788574852,0.192307692307692,0.297720797720798,0.384615384615385,"0.27","0.452777777777778","0.684166666666667",0.293519475268635,33.7048941650163,0.137866606069371,31.7084029541848
