"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0231280295289733,0.0707893801672828,-0.47070923748272,-0.361168297615235,1,0.246018002985158,-1,0.361168297615235,-0.0707893801672828,-0.42224706106421
"GRHL2",1,1,-0.0231280295289733,0.0707893801672828,-0.47070923748272,-0.361168297615235,1,0.246018002985158,-1,0.361168297615235,-0.0707893801672828,-0.42224706106421
"Iext",-0.0231280295289733,-0.0231280295289733,1,0.245621385426999,-0.105240513686672,0.00110022004400879,-0.0231280295289733,0.449286156177397,0.0231280295289733,-0.00110022004400877,-0.245621385426999,-0.27305740756042
"KEAP1",0.0707893801672828,0.0707893801672828,0.245621385426999,1,-0.600078949559084,-0.508960878642976,0.0707893801672828,0.635725744940078,-0.0707893801672828,0.508960878642976,-1,-0.459495973888591
"NRF2",-0.47070923748272,-0.47070923748272,-0.105240513686672,-0.600078949559084,1,0.315308225149099,-0.47070923748272,-0.655952279931194,0.47070923748272,-0.315308225149099,0.600078949559084,0.479721415378621
"OCT4",-0.361168297615235,-0.361168297615235,0.00110022004400879,-0.508960878642976,0.315308225149099,1,-0.361168297615235,-0.144686871140119,0.361168297615235,-1,0.508960878642976,0.173524065037823
"OVOL2",1,1,-0.0231280295289733,0.0707893801672828,-0.47070923748272,-0.361168297615235,1,0.246018002985158,-1,0.361168297615235,-0.0707893801672828,-0.42224706106421
"SNAIL",0.246018002985158,0.246018002985158,0.449286156177397,0.635725744940078,-0.655952279931194,-0.144686871140119,0.246018002985158,1,-0.246018002985158,0.144686871140119,-0.635725744940078,-0.823770577764683
"ZEB",-1,-1,0.0231280295289733,-0.0707893801672828,0.47070923748272,0.361168297615235,-1,-0.246018002985158,1,-0.361168297615235,0.0707893801672828,0.42224706106421
"miR145",0.361168297615235,0.361168297615235,-0.00110022004400877,0.508960878642976,-0.315308225149099,-1,0.361168297615235,0.144686871140119,-0.361168297615235,1,-0.508960878642976,-0.173524065037823
"miR200",-0.0707893801672828,-0.0707893801672828,-0.245621385426999,-1,0.600078949559084,0.508960878642976,-0.0707893801672828,-0.635725744940078,0.0707893801672828,-0.508960878642976,1,0.459495973888591
"miR34",-0.42224706106421,-0.42224706106421,-0.27305740756042,-0.459495973888591,0.479721415378621,0.173524065037823,-0.42224706106421,-0.823770577764683,0.42224706106421,-0.173524065037823,0.459495973888591,1
