"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,0.0285461299909111,-0.0403644220033239,-0.429032969127319,-0.354699983532286,1,-0.0361568871764815,-1,0.354699983532286,0.0403644220033239,0.460482126101352
"GRHL2",1,1,0.0285461299909111,-0.0403644220033239,-0.429032969127319,-0.354699983532286,1,-0.0361568871764815,-1,0.354699983532286,0.0403644220033239,0.460482126101352
"Iext",0.0285461299909111,0.0285461299909111,1,-0.272160629436906,0.0656099551154464,0.000103431779757769,0.0285461299909111,-0.59691387183277,-0.0285461299909111,-0.000103431779757738,0.272160629436906,0.172592451282758
"KEAP1",-0.0403644220033239,-0.0403644220033239,-0.272160629436906,1,-0.530600881358009,-0.437852639991625,-0.0403644220033239,0.598715517058758,0.0403644220033239,0.437852639991625,-1,-0.357506780254851
"NRF2",-0.429032969127319,-0.429032969127319,0.0656099551154464,-0.530600881358009,1,0.277375897618596,-0.429032969127319,-0.468695390520012,0.429032969127319,-0.277375897618596,0.530600881358009,0.0443743199138266
"OCT4",-0.354699983532286,-0.354699983532286,0.000103431779757769,-0.437852639991625,0.277375897618596,1,-0.354699983532286,-0.0365686563021124,0.354699983532286,-1,0.437852639991625,-0.143742616893245
"OVOL2",1,1,0.0285461299909111,-0.0403644220033239,-0.429032969127319,-0.354699983532286,1,-0.0361568871764815,-1,0.354699983532286,0.0403644220033239,0.460482126101352
"SNAIL",-0.0361568871764815,-0.0361568871764815,-0.59691387183277,0.598715517058758,-0.468695390520012,-0.0365686563021124,-0.0361568871764815,1,0.0361568871764815,0.0365686563021123,-0.598715517058758,-0.575678435115729
"ZEB",-1,-1,-0.0285461299909111,0.0403644220033239,0.429032969127319,0.354699983532286,-1,0.0361568871764815,1,-0.354699983532286,-0.0403644220033239,-0.460482126101352
"miR145",0.354699983532286,0.354699983532286,-0.000103431779757738,0.437852639991625,-0.277375897618596,-1,0.354699983532286,0.0365686563021123,-0.354699983532286,1,-0.437852639991625,0.143742616893245
"miR200",0.0403644220033239,0.0403644220033239,0.272160629436906,-1,0.530600881358009,0.437852639991625,0.0403644220033239,-0.598715517058758,-0.0403644220033239,-0.437852639991625,1,0.357506780254851
"miR34",0.460482126101352,0.460482126101352,0.172592451282758,-0.357506780254851,0.0443743199138266,-0.143742616893245,0.460482126101352,-0.575678435115729,-0.460482126101352,0.143742616893245,0.357506780254851,1
