"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0279420146305871,-0.0407610817230067,-0.428142250466912,-0.35323120445856,1,-0.0369557620686399,-1,0.35323120445856,0.0407610817230067,0.462194132643104
"GRHL2",1,1,-0.0279420146305871,-0.0407610817230067,-0.428142250466912,-0.35323120445856,1,-0.0369557620686399,-1,0.35323120445856,0.0407610817230067,0.462194132643104
"Iext",-0.0279420146305871,-0.0279420146305871,1,0.268102959915013,-0.0631942014937597,0.00370331468430946,-0.0279420146305871,0.595593135883658,0.0279420146305871,-0.00370331468430946,-0.268102959915013,-0.170354314802775
"KEAP1",-0.0407610817230067,-0.0407610817230067,0.268102959915013,1,-0.531097397460963,-0.439759370644257,-0.0407610817230067,0.59639793550291,0.0407610817230067,0.439759370644257,-1,-0.355034344213665
"NRF2",-0.428142250466912,-0.428142250466912,-0.0631942014937597,-0.531097397460963,1,0.278119871108739,-0.428142250466912,-0.467601142694165,0.428142250466912,-0.278119871108739,0.531097397460963,0.0423624235477166
"OCT4",-0.35323120445856,-0.35323120445856,0.00370331468430946,-0.439759370644257,0.278119871108739,1,-0.35323120445856,-0.036160207907659,0.35323120445856,-1,0.439759370644257,-0.142309859738291
"OVOL2",1,1,-0.0279420146305871,-0.0407610817230067,-0.428142250466912,-0.35323120445856,1,-0.0369557620686399,-1,0.35323120445856,0.0407610817230067,0.462194132643104
"SNAIL",-0.0369557620686399,-0.0369557620686399,0.595593135883658,0.59639793550291,-0.467601142694165,-0.036160207907659,-0.0369557620686399,1,0.0369557620686399,0.036160207907659,-0.59639793550291,-0.574760579297774
"ZEB",-1,-1,0.0279420146305871,0.0407610817230067,0.428142250466912,0.35323120445856,-1,0.0369557620686399,1,-0.35323120445856,-0.0407610817230067,-0.462194132643104
"miR145",0.35323120445856,0.35323120445856,-0.00370331468430946,0.439759370644257,-0.278119871108739,-1,0.35323120445856,0.036160207907659,-0.35323120445856,1,-0.439759370644257,0.142309859738291
"miR200",0.0407610817230067,0.0407610817230067,-0.268102959915013,-1,0.531097397460963,0.439759370644257,0.0407610817230067,-0.59639793550291,-0.0407610817230067,-0.439759370644257,1,0.355034344213665
"miR34",0.462194132643104,0.462194132643104,-0.170354314802775,-0.355034344213665,0.0423624235477166,-0.142309859738291,0.462194132643104,-0.574760579297774,-0.462194132643104,0.142309859738291,0.355034344213665,1
