"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0176393179774883,-0.0288595840803214,-0.441482380066939,-0.327653373073603,1,-0.0170362768270958,-1,0.327653373073603,0.0288595840803214,0.446294900233819
"GRHL2",1,1,-0.0176393179774883,-0.0288595840803214,-0.441482380066939,-0.327653373073603,1,-0.0170362768270958,-1,0.327653373073603,0.0288595840803214,0.446294900233819
"Iext",-0.0176393179774883,-0.0176393179774883,1,0.267734047035868,-0.0651286726285308,0.00260875423431269,-0.0176393179774883,0.595790810864224,0.0176393179774883,-0.00260875423431269,-0.267734047035868,-0.166531757199151
"KEAP1",-0.0288595840803214,-0.0288595840803214,0.267734047035868,1,-0.529658951490505,-0.444287764740259,-0.0288595840803214,0.592584691380093,0.0288595840803214,0.444287764740259,-1,-0.349698883491522
"NRF2",-0.441482380066939,-0.441482380066939,-0.0651286726285308,-0.529658951490505,1,0.274147451853657,-0.441482380066939,-0.469338203573248,0.441482380066939,-0.274147451853657,0.529658951490505,0.0400795435067609
"OCT4",-0.327653373073603,-0.327653373073603,0.00260875423431269,-0.444287764740259,0.274147451853657,1,-0.327653373073603,-0.0368718938315443,0.327653373073603,-1,0.444287764740259,-0.132666828915333
"OVOL2",1,1,-0.0176393179774883,-0.0288595840803214,-0.441482380066939,-0.327653373073603,1,-0.0170362768270958,-1,0.327653373073603,0.0288595840803214,0.446294900233819
"SNAIL",-0.0170362768270958,-0.0170362768270958,0.595790810864224,0.592584691380093,-0.469338203573248,-0.0368718938315443,-0.0170362768270958,1,0.0170362768270958,0.0368718938315443,-0.592584691380093,-0.570741115066612
"ZEB",-1,-1,0.0176393179774883,0.0288595840803214,0.441482380066939,0.327653373073603,-1,0.0170362768270958,1,-0.327653373073603,-0.0288595840803214,-0.446294900233819
"miR145",0.327653373073603,0.327653373073603,-0.00260875423431269,0.444287764740259,-0.274147451853657,-1,0.327653373073603,0.0368718938315443,-0.327653373073603,1,-0.444287764740259,0.132666828915333
"miR200",0.0288595840803214,0.0288595840803214,-0.267734047035868,-1,0.529658951490505,0.444287764740259,0.0288595840803214,-0.592584691380093,-0.0288595840803214,-0.444287764740259,1,0.349698883491522
"miR34",0.446294900233819,0.446294900233819,-0.166531757199151,-0.349698883491522,0.0400795435067609,-0.132666828915333,0.446294900233819,-0.570741115066612,-0.446294900233819,0.132666828915333,0.349698883491522,1
