"Network","JSD"
"Ecad-NRF2_2-0",0.15567328757175
"Ecad-NRF2_2-1",0.324041877404513
"Ecad-ZEB_2-0",0.000319121279668353
"Ecad-ZEB_2-1",0.0261017846182094
"GRHL2-ZEB_2-0",0.000432380327896878
"GRHL2-ZEB_2-1",0.0231954463018991
"Iext-SNAIL_1-2",0.498997127085583
"KEAP1-NRF2_2-0",0.172043951672946
"KEAP1-NRF2_2-1",0.25327867962382
"miR145-OCT4_2-0",0.157776788574852
"miR145-OCT4_2-1",1
"miR145-ZEB_2-0",0.00338753710047853
"miR145-ZEB_2-1",0.0188792108029448
"miR200-KEAP1_2-0",0.277633343356898
"miR200-KEAP1_2-1",1
"miR200-ZEB_2-0",0.00195568005717499
"miR200-ZEB_2-1",0.00737243025766665
"miR34-SNAIL_2-0",0.245799497967484
"miR34-SNAIL_2-1",0.45414779023402
"NRF2-SNAIL_2-0",0.216663848158791
"NRF2-SNAIL_2-1",0.387778246965067
"OCT4-miR145_2-0",0.186383248336864
"OCT4-miR145_2-1",0.188623828285412
"OCT4-miR200_1-0",0.133943491758644
"OCT4-miR200_1-2",0.301840310338663
"OCT4-miR200_2-0",0.133518859787238
"OCT4-miR200_2-1",3.3561519133865e-05
"OVOL2-miR200_2-0",0.0846132984504115
"OVOL2-miR200_2-1",0.215502140949964
"OVOL2-OVOL2_2-0",4.36824386998413e-05
"OVOL2-OVOL2_2-1",0.254667230940051
"OVOL2-ZEB_2-0",0.000176537758606404
"OVOL2-ZEB_2-1",0.024479128847584
"SNAIL-miR34_2-0",0.155362275421011
"SNAIL-miR34_2-1",0.200742378403066
"SNAIL-SNAIL_2-0",3.12271979135351e-05
"SNAIL-SNAIL_2-1",0.136182622567339
"SNAIL-ZEB_1-0",0.00186790115724331
"SNAIL-ZEB_1-2",0.00443851178614582
"SNAIL_miR200_2-0",0.176585454653617
"SNAIL_miR200_2-1",0.309986260916277
"wild",0
"ZEB-Ecad_2-0",0.240613779207998
"ZEB-Ecad_2-1",1
"ZEB-GRHL2_2-0",0.233575032390858
"ZEB-GRHL2_2-1",1
"ZEB-miR145_2-0",0.0114911837293709
"ZEB-miR145_2-1",0.0367528873183904
"ZEB-miR200_2-0",0.227475457809262
"ZEB-miR200_2-1",0.26707844249411
"ZEB-miR34_2-0",0.143885311606282
"ZEB-miR34_2-1",0.22981336803176
"ZEB-OVOL2_2-0",0.5
"ZEB-OVOL2_2-1",1
"ZEB-ZEB_1-0",3.6217906605669e-05
"ZEB-ZEB_1-2",0.0247268293328128
