"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0140224539037626,-0.0588942733091417,-0.438301282051282,-0.235977583041327,1,-0.0118189104935467,-1,0.235977583041327,0.0588942733091417,0.439302963943572
"GRHL2",1,1,-0.0140224539037626,-0.0588942733091417,-0.438301282051282,-0.235977583041327,1,-0.0118189104935467,-1,0.235977583041327,0.0588942733091417,0.439302963943572
"Iext",-0.0140224539037626,-0.0140224539037626,1,0.260018473504911,-0.0629007217968778,0.00160192423524486,-0.0140224539037626,0.592749491508941,0.0140224539037626,-0.00160192423524486,-0.260018473504911,-0.165265628218208
"KEAP1",-0.0588942733091417,-0.0588942733091417,0.260018473504911,1,-0.502804850360359,-0.461538350413923,-0.0588942733091417,0.579126791722895,0.0588942733091417,0.461538350413923,-1,-0.358372998696704
"NRF2",-0.438301282051282,-0.438301282051282,-0.0629007217968778,-0.502804850360359,1,0.241185916792664,-0.438301282051282,-0.470152253022951,0.438301282051282,-0.241185916792664,0.502804850360359,0.0426682769356958
"OCT4",-0.235977583041327,-0.235977583041327,0.00160192423524486,-0.461538350413923,0.241185916792664,1,-0.235977583041327,-0.0406649879254913,0.235977583041327,-1,0.461538350413923,-0.091947380137466
"OVOL2",1,1,-0.0140224539037626,-0.0588942733091417,-0.438301282051282,-0.235977583041327,1,-0.0118189104935467,-1,0.235977583041327,0.0588942733091417,0.439302963943572
"SNAIL",-0.0118189104935467,-0.0118189104935467,0.592749491508941,0.579126791722895,-0.470152253022951,-0.0406649879254913,-0.0118189104935467,1,0.0118189104935467,0.0406649879254913,-0.579126791722895,-0.572516020126605
"ZEB",-1,-1,0.0140224539037626,0.0588942733091417,0.438301282051282,0.235977583041327,-1,0.0118189104935467,1,-0.235977583041327,-0.0588942733091417,-0.439302963943572
"miR145",0.235977583041327,0.235977583041327,-0.00160192423524486,0.461538350413923,-0.241185916792664,-1,0.235977583041327,0.0406649879254913,-0.235977583041327,1,-0.461538350413923,0.091947380137466
"miR200",0.0588942733091417,0.0588942733091417,-0.260018473504911,-1,0.502804850360359,0.461538350413923,0.0588942733091417,-0.579126791722895,-0.0588942733091417,-0.461538350413923,1,0.358372998696704
"miR34",0.439302963943572,0.439302963943572,-0.165265628218208,-0.358372998696704,0.0426682769356958,-0.091947380137466,0.439302963943572,-0.572516020126605,-0.439302963943572,0.091947380137466,0.358372998696704,1
