"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.119144235149352,-0.163994899158379,-0.302961454706,-0.419495250610006,1,-0.200430530901353,-1,0.419495250610006,0.163994899158379,0.561464466799604
"GRHL2",1,1,-0.119144235149352,-0.163994899158379,-0.302961454706,-0.419495250610006,1,-0.200430530901353,-1,0.419495250610006,0.163994899158379,0.561464466799604
"Iext",-0.119144235149352,-0.119144235149352,1,0.27633168655626,-0.0408490483046269,0.00800965264196768,-0.119144235149352,0.596317921885564,0.119144235149352,-0.00800965264196768,-0.27633168655626,-0.235284834118468
"KEAP1",-0.163994899158379,-0.163994899158379,0.27633168655626,1,-0.533041165580971,-0.416504637152524,-0.163994899158379,0.613536605760306,0.163994899158379,0.416504637152524,-1,-0.415499449325093
"NRF2",-0.302961454706,-0.302961454706,-0.0408490483046269,-0.533041165580971,1,0.283538058911598,-0.302961454706,-0.444538875828673,0.302961454706,-0.283538058911598,0.533041165580971,0.0835066794105133
"OCT4",-0.419495250610006,-0.419495250610006,0.00800965264196768,-0.416504637152524,0.283538058911598,1,-0.419495250610006,-0.0300452970572166,0.419495250610006,-1,0.416504637152524,-0.167989490309384
"OVOL2",1,1,-0.119144235149352,-0.163994899158379,-0.302961454706,-0.419495250610006,1,-0.200430530901353,-1,0.419495250610006,0.163994899158379,0.561464466799604
"SNAIL",-0.200430530901353,-0.200430530901353,0.596317921885564,0.613536605760306,-0.444538875828673,-0.0300452970572166,-0.200430530901353,1,0.200430530901353,0.0300452970572166,-0.613536605760306,-0.638963136400127
"ZEB",-1,-1,0.119144235149352,0.163994899158379,0.302961454706,0.419495250610006,-1,0.200430530901353,1,-0.419495250610006,-0.163994899158379,-0.561464466799604
"miR145",0.419495250610006,0.419495250610006,-0.00800965264196768,0.416504637152524,-0.283538058911598,-1,0.419495250610006,0.0300452970572166,-0.419495250610006,1,-0.416504637152524,0.167989490309384
"miR200",0.163994899158379,0.163994899158379,-0.27633168655626,-1,0.533041165580971,0.416504637152524,0.163994899158379,-0.613536605760306,-0.163994899158379,-0.416504637152524,1,0.415499449325093
"miR34",0.561464466799604,0.561464466799604,-0.235284834118468,-0.415499449325093,0.0835066794105133,-0.167989490309384,0.561464466799604,-0.638963136400127,-0.561464466799604,0.167989490309384,0.415499449325093,1
