"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0158264647458446,-0.0328519431423246,-0.424681452955459,-0.332731520758838,1,-0.0260419981433435,-1,0.332731520758838,0.0328519431423246,0.449118026531804
"GRHL2",1,1,-0.0158264647458446,-0.0328519431423246,-0.424681452955459,-0.332731520758838,1,-0.0260419981433435,-1,0.332731520758838,0.0328519431423246,0.449118026531804
"Iext",-0.0158264647458446,-0.0158264647458446,1,0.264224224596243,-0.0675104130686989,-0.000397552501950773,-0.0158264647458446,0.591546541613591,0.0158264647458446,0.00039755250195077,-0.264224224596243,-0.168472180435748
"KEAP1",-0.0328519431423246,-0.0328519431423246,0.264224224596243,1,-0.542467535344519,-0.444113563344125,-0.0328519431423246,0.59575376522059,0.0328519431423246,0.444113563344125,-1,-0.355367876050364
"NRF2",-0.424681452955459,-0.424681452955459,-0.0675104130686989,-0.542467535344519,1,0.277448471399918,-0.424681452955459,-0.47596282990063,0.424681452955459,-0.277448471399918,0.542467535344519,0.0528821829855538
"OCT4",-0.332731520758838,-0.332731520758838,-0.000397552501950773,-0.444113563344125,0.277448471399918,1,-0.332731520758838,-0.039862999205788,0.332731520758838,-1,0.444113563344125,-0.132008176654703
"OVOL2",1,1,-0.0158264647458446,-0.0328519431423246,-0.424681452955459,-0.332731520758838,1,-0.0260419981433435,-1,0.332731520758838,0.0328519431423246,0.449118026531804
"SNAIL",-0.0260419981433435,-0.0260419981433435,0.591546541613591,0.59575376522059,-0.47596282990063,-0.039862999205788,-0.0260419981433435,1,0.0260419981433435,0.0398629992057881,-0.59575376522059,-0.576924506110563
"ZEB",-1,-1,0.0158264647458446,0.0328519431423246,0.424681452955459,0.332731520758838,-1,0.0260419981433435,1,-0.332731520758838,-0.0328519431423246,-0.449118026531804
"miR145",0.332731520758838,0.332731520758838,0.00039755250195077,0.444113563344125,-0.277448471399918,-1,0.332731520758838,0.0398629992057881,-0.332731520758838,1,-0.444113563344125,0.132008176654703
"miR200",0.0328519431423246,0.0328519431423246,-0.264224224596243,-1,0.542467535344519,0.444113563344125,0.0328519431423246,-0.59575376522059,-0.0328519431423246,-0.444113563344125,1,0.355367876050364
"miR34",0.449118026531804,0.449118026531804,-0.168472180435748,-0.355367876050364,0.0528821829855538,-0.132008176654703,0.449118026531804,-0.576924506110563,-0.449118026531804,0.132008176654703,0.355367876050364,1
