"","SHH","HEY1","NOTCHic","NOTCH","TrCP","SUFU","Csl","Jagged","Csn","MEK","LIV1","DSH","STAT","ZEB2","GLI","SRC","CDC42","TGFR","RAS","PAK1","PI3K","TGF","SNAI2","SOSGRB2","KLF4","Ecadherin","cateninnuc","RAF","DELTA","TCFLEF","CD44","cMet","cateninmemb","Wnt","Frizzled","AXIN2","TWIST1","EGR1","Destcompl","cfos","ERK","AKT","NFB","IKK","FUS","Patched","SMO","ILK","RKIP","SMAD","SNAI1","GSK3","FOXC2","miR200","ZEB1"
"miR200",-0.0135121995964043,-0.00169491525423729,-0.00571428571428572,-0.00627925746569815,0,-0.02,-0.00226600985221675,-0.00911015743626628,-0.02,-0.0054978354978355,-0.1,-0.08,-0.08,-0.0980331541218638,-0.0734926481968736,-0.0756521739130435,-0.0360294117647059,-0.032803605313093,0.0532779990322701,-0.0458333333333333,0.0555223880597015,-0.0333850006619302,0.109841636783579,-0.0116408768536428,-0.100776397515528,-0.00261975633667428,0.072968612551685,-0.0555223880597015,-0.0555223880597015,0.0731201277032002,0.0731201277032002,0.0742437232088181,0.0832404785608695,0.0745915492957746,0.076,0.115527345802801,-0.0742275515895148,-0.0142857142857143,0.143969377983245,0.00571428571428572,0.0102597402597403,0.00805220598666478,0.0147368421052632,0.00616541353383459,0.02,0.0145991561181435,0.0133333333333333,0.00281874795149131,0.0258305768378992,0.00501310531826247,0.030041625041625,0.076882770320014,0.0085898383459359,0.0165251197930447,0.119614695340502
"NOTCHic",-0.0956891937916606,-0.242642140468227,-0.0847004608294931,-0.071542566092651,-0.1,-0.0666666666666667,0.0314285714285714,-0.0799224028363101,-0.0666666666666667,-0.124761904761905,0.1,0.12,0.12,-0.0971175523349436,0.096727573501767,0.0969230769230769,-0.0182222222222222,-0.0311254480286738,-0.058776845343562,-0.0222222222222222,-0.0661660079051383,-0.0241190786019222,-0.254551370931189,-0.0284688995215311,-0.0856625258799172,-0.0730959014638805,-0.098088004325736,0.0661660079051383,0.0661660079051383,-0.0976299890585605,-0.0988544788544788,-0.0999533799533799,-0.123262316706961,-0.0999533799533799,-0.0969230769230769,-0.144743935309973,0.184034537895747,0.1,-0.173608763636801,0.133333333333333,0.104761904761905,0.08656330749354,0.0555555555555556,0.0888888888888889,0.0666666666666667,0.0838612368024133,0.0897435897435898,0.146190476190476,0.173253135079264,0.151226447413498,0.166973951973952,-0.0695370634242108,0.334364713627386,0.253906363386132,0.368969404186796
"Jagged",-0.0897435897435898,-0.25,0.06,0.0314285714285714,0,0,0,-0.0824242424242424,0,-0.133333333333333,0,0,0,-0.0963768115942029,0.0969230769230769,0.1,-0.1,-0.0222222222222222,-0.0618181818181818,0,-0.08,-0.0182222222222222,-0.257541478129713,-0.1,-0.0833333333333333,-0.0706666666666667,-0.0988544788544788,0.08,0.08,-0.0999533799533799,-0.0969230769230769,-0.12,-0.119460398756173,-0.12,-0.1,-0.142857142857143,0.188,0.1,-0.165667953667954,0,0.1,0.0555555555555556,0.1,0.0666666666666667,0.1,0.0666666666666667,0.0666666666666667,0.15,0.158974358974359,0.126190476190476,0.175,-0.0616858237547893,0.342857142857143,0.253939393939394,0.374154589371981
"Csl",-0.0999995386192468,-0.244602924781953,-0.071542566092651,-0.0788152933653783,-0.0666666666666667,-0.0666666666666667,-0.0847004608294931,-0.0825265695029768,-0.0555555555555556,-0.125848861283644,0.12,0.0969230769230769,0.0969230769230769,-0.0926976628321812,0.0959211218888638,0.0999533799533799,-0.0311254480286738,-0.0241190786019222,-0.0551003747553267,-0.0182222222222222,-0.058776845343562,-0.029334498103056,-0.254178514853635,-0.0422900377329132,-0.0928053830227743,-0.0736772968127177,-0.0967729671616423,0.058776845343562,0.058776845343562,-0.098088004325736,-0.0976299890585605,-0.0988544788544788,-0.12188616991797,-0.096727573501767,-0.0999533799533799,-0.143972727083752,0.18606614060455,0.133333333333333,-0.175132224940884,0.104761904761905,0.124761904761905,0.0935400516795866,0.0888888888888889,0.08656330749354,0.0897435897435898,0.0956891937916606,0.0838612368024133,0.151226447413498,0.174635623558527,0.141782002969053,0.166973951973952,-0.0729243977393801,0.334939426271065,0.252381308919901,0.370626862750331
"SMAD",-0.207760848311222,-0.23558029505558,-0.200295566502463,-0.209025725232622,-0.15,-0.166666666666667,-0.215238095238095,-0.179645859516827,-0.138888888888889,-0.116727430483995,0.12,0.0857142857142857,0.105714285714286,-0.0916616470457121,0.087907915425901,0.111269841269841,-0.0531522468142186,-0.0414204032387996,-0.175891852746197,-0.0404761904761905,-0.178852379061986,-0.0473964988563295,-0.259388309539419,-0.0526693286010056,-0.0923428680691149,-0.0731980903646521,-0.109084333330126,0.178852379061986,0.178852379061986,-0.110401455923844,-0.109451659451659,-0.111269841269841,-0.126914722734065,-0.0893467643467643,-0.0912698412698413,-0.154308168473527,0.15719284357656,0.114285714285714,-0.0850643206810962,0.091705069124424,0.11961204586861,0.170418300653595,0.172222222222222,0.162418300653595,0.204166666666667,0.202928134556575,0.189166666666667,0.259185107130313,0.174533246858188,0.149185107130313,0.168540297963685,0.0668551609904993,0.325384362617899,0.270210904512249,0.392871627331075
"cfos",-0.118188541844456,-0.147151424287856,-0.0987179487179487,-0.0848717948717949,-0.1,-0.0666666666666667,-0.0833333333333333,-0.0960416666666667,-0.0666666666666667,-0.130464259395726,0.1,0.1,0.1,-0.0914504784964833,0.0911111111111111,0.08,-0.0428571428571429,-0.0565826330532213,-0.0765702215845688,-0.0285714285714286,-0.0802287581699346,-0.0444614209320092,-0.236865105697222,-0.0375,-0.0760952380952381,-0.0868550767584113,-0.0962853943051963,0.0802287581699346,0.0802287581699346,-0.0948039128237148,-0.0938138138138138,-0.0911111111111111,-0.111558054329011,-0.0911111111111111,-0.08,-0.121543513957307,0.194683982683983,0.2,-0.13049433750351,0.12,0.0982608695652174,0.093640350877193,0.0666666666666667,0.104166666666667,0.080952380952381,0.104608294930876,0.114285714285714,0.152116402116402,0.204219114219114,0.158568015019628,0.207875500027399,0.00701028138528138,0.350458427273348,0.2768525592055,0.396819631807525
"NOTCH",-0.0838612368024133,-0.219565217391304,0.0314285714285714,-0.0847004608294931,0,-0.1,0.06,-0.0713131313131313,-0.1,-0.104761904761905,0,0.1,0.1,-0.0889694041867955,0.0999533799533799,0.12,-0.0222222222222222,-0.0182222222222222,-0.0661660079051383,-0.1,-0.0618181818181818,-0.0311254480286738,-0.255954176542412,-0.0421052631578947,-0.0963768115942029,-0.0763118279569893,-0.0976299890585605,0.0618181818181818,0.0618181818181818,-0.0988544788544788,-0.0999533799533799,-0.0969230769230769,-0.121031079384446,-0.0969230769230769,-0.12,-0.144743935309973,0.189694915254237,0,-0.171275430303468,0.1,0.133333333333333,0.0888888888888889,0.0666666666666667,0.0555555555555556,0.0666666666666667,0.0897435897435898,0.0666666666666667,0.126190476190476,0.183112290008842,0.146190476190476,0.161153846153846,-0.0662312783002438,0.340816326530612,0.256796536796537,0.374154589371981
"LIV1",-0.122188541844456,-0.150092600758444,-0.0848717948717949,-0.0947619047619047,-0.0666666666666667,-0.080952380952381,-0.0987179487179487,-0.0978821574642127,-0.0666666666666667,-0.130464259395726,0.1,0.08,0.08,-0.0872704141878017,0.0925745257452575,0.0911111111111111,-0.0565826330532213,-0.0444614209320092,-0.0761156761300233,-0.0428571428571429,-0.0765702215845688,-0.0499259018063261,-0.238492592134836,-0.0523514851485149,-0.0892099921935987,-0.0884467722601414,-0.0951819460293342,0.0765702215845688,0.0765702215845688,-0.0962853943051963,-0.0948039128237148,-0.0938138138138138,-0.11027600304696,-0.0911111111111111,-0.0911111111111111,-0.123430306410137,0.199575287031809,0.12,-0.132148472841856,0.0982608695652174,0.130464259395726,0.1010477582846,0.104166666666667,0.093640350877193,0.114285714285714,0.118188541844456,0.104608294930876,0.158568015019628,0.210296462285413,0.150180918245434,0.209068817449833,0.00410119047619047,0.354596358307831,0.277360173418698,0.402928956566368
"EGR1",-0.122188541844456,-0.150092600758444,-0.0848717948717949,-0.0947619047619047,-0.0666666666666667,-0.080952380952381,-0.0987179487179487,-0.0978821574642127,-0.0666666666666667,-0.130464259395726,0.1,0.08,0.08,-0.0872704141878017,0.0925745257452575,0.0911111111111111,-0.0565826330532213,-0.0444614209320092,-0.0761156761300233,-0.0428571428571429,-0.0765702215845688,-0.0499259018063261,-0.238492592134836,-0.0523514851485149,-0.0892099921935987,-0.0884467722601414,-0.0951819460293342,0.0765702215845688,0.0765702215845688,-0.0962853943051963,-0.0948039128237148,-0.0938138138138138,-0.11027600304696,-0.0911111111111111,-0.0911111111111111,-0.123430306410137,0.199575287031809,0.12,-0.132148472841856,0.0982608695652174,0.130464259395726,0.1010477582846,0.104166666666667,0.093640350877193,0.114285714285714,0.118188541844456,0.104608294930876,0.158568015019628,0.210296462285413,0.150180918245434,0.209068817449833,0.00410119047619047,0.354596358307831,0.277360173418698,0.402928956566368
"SNAI1",-0.116557473883291,-0.141164029329873,-0.0947619047619047,-0.0947619047619047,-0.0666666666666667,-0.114285714285714,-0.0848717948717949,-0.0938821574642127,-0.104166666666667,-0.128222106929358,0.08,0.0911111111111111,0.0911111111111111,-0.0869014104977648,0.0938542332406871,0.0938138138138138,-0.0444614209320092,-0.0499259018063261,-0.0769366941924207,-0.0565826330532213,-0.0761156761300233,-0.0483129985805197,-0.238526115433528,-0.0398986549598356,-0.0857832009163402,-0.0892792384412028,-0.0948205624464741,0.0761156761300233,0.0761156761300233,-0.0951819460293342,-0.0962853943051963,-0.0948039128237148,-0.110517799247305,-0.0925745257452575,-0.0911111111111111,-0.125062008041839,0.200293235749757,0.0982608695652174,-0.132916016701505,0.130464259395726,0.130464259395726,0.105908869395712,0.093640350877193,0.1010477582846,0.104608294930876,0.122188541844456,0.118188541844456,0.150180918245434,0.215317382787505,0.158422000656258,0.104976290759442,0.00456323668081094,0.357518848777971,0.280914448154529,0.403789965176454
