"","GSK3","miR200","AXIN2","TGFR","ZEB1","SOSGRB2","STAT","ERK","SRC","cfos","MEK","LIV1","Csn","AKT","RKIP","RAS","SNAI1","RAF","PI3K","DELTA","FOXC2","TWIST1","HEY1","cateninmemb","IKK","ILK","SMAD","NFB","FUS","Patched","SHH","SMO","TrCP","SUFU","Ecadherin","GLI","Wnt","Frizzled","cateninnuc","NOTCHic","TCFLEF","DSH","Jagged","CD44","NOTCH","Csl","cMet","TGF","ZEB2","CDC42","EGR1","SNAI2","PAK1","Destcompl","KLF4"
"miR200",-0.0844428602262893,0.253015992003998,-0.165120427476551,0.0232210626185958,0.302423835125448,0.0354738878143133,-0.12,0.00571428571428572,-0.115652173913043,0.00571428571428572,0.0145578231292517,-0.1,0.02,0.0119336076039155,0.0342810023277073,0.0723850629835667,0.0406103156103156,0.0751282051282051,0.0751282051282051,0.0751282051282051,-0.00981235566601421,-0.124615384615385,-2.82485875706215e-05,0.00481771136366575,-0.017593984962406,0.000884955752212389,0.00307931311898355,-0.0147368421052632,0.02,0.0254008438818565,0.0264878004035957,0.0266666666666667,0,0.02,0.00122513238207086,0.116309549605324,0.117408450704225,0.116,0.115691718866341,0.0126108374384236,0.115540203714825,0.12,0.0264641093263006,0.115937029111651,0.0165656396983106,0.0160591133004926,0.117060624617269,-0.0249652486651075,-0.302423835125448,-0.0183823529411765,0.0142857142857143,0.13089179762583,-0.0125,0.15720642617439,-0.30236369910283
"ZEB1",-0.254284906844061,0.337866676623997,-0.293237387697885,-0.11114493514664,0.275404988197563,-0.0612475633528265,-0.256410256410256,-0.100392156862745,-0.253971232020013,-0.113333333333333,-0.0858547119288244,-0.233333333333333,-0.0666666666666667,-0.0596593943876084,0.015686067639646,0.0523833167275421,0.0481429026153142,0.0575801671212429,0.0575801671212429,0.0575801671212429,-0.0018753731560447,-0.113876072219876,0.0571351015133399,-0.0270321641083658,0.0525165372447512,0.0724383757392927,0.077246068046985,0.0508771929824561,0.133333333333333,0.137878787878788,0.140369891081635,0.137878787878788,0.0666666666666667,0.133333333333333,0.104258525964672,0.238102307130469,0.243256946305727,0.245180023228804,0.244043203439495,0.145833333333333,0.245021677020708,0.247619047619048,0.175609583991986,0.247149336595176,0.1491391184573,0.145833333333333,0.252010447706287,0.107995328847427,-0.275404988197563,0.120789605197401,0.133333333333333,0.256555827775165,0.142528735632184,0.280549933540244,-0.283388660805479
"SNAI2",0.30498071906642,-0.114020407534248,0.345286313511872,-0.12579185520362,0.193917348437172,-0.242765382014875,0.287272727272727,-0.00784313725490195,0.287272727272727,0.0254901960784314,-0.0335188129305776,0.26,-0.133333333333333,-0.100429303420579,-0.287589743589744,-0.0736334336172718,-0.292853873814972,-0.0813959906948974,-0.0813959906948974,-0.0813959906948974,0.0938018134060352,0.350833380257897,0.0054249547920434,-0.0193526320588928,0.116091954022989,-0.0174379610999329,-0.0274858079898851,0.133333333333333,-0.26,-0.27968787515006,-0.283913227262736,-0.277647058823529,0.1,-0.2,-0.217852381419867,-0.277165022218875,-0.283047375160051,-0.287272727272727,-0.274781871824494,-0.182894736842105,-0.275402989836916,-0.287272727272727,-0.284709709170883,-0.27767103107403,-0.189388243335612,-0.174122807017544,-0.283047375160051,0.132624153340266,-0.193917348437172,0.107843137254902,-0.0666666666666667,0.109140773467449,0.0745098039215686,-0.306017609209504,-0.155576923076923
"FOXC2",0.255031632204744,-0.0822995522995523,0.27767103107403,-0.132787878787879,0.154004127966976,-0.211678101772441,0.233333333333333,-0.0348663101604278,0.215686274509804,-0.00545454545454545,-0.0565157946965103,0.233333333333333,-0.1,-0.0413756613756614,-0.245980210265924,-0.0170663650075415,-0.242366482548564,-0.022948717948718,-0.022948717948718,-0.022948717948718,0.06042436871233,0.293468409586057,-0.00432391138273491,0.0854428137354967,0.0561904761904762,-0.0226666666666667,-0.0313623188405797,0.08,-0.233333333333333,-0.227083333333333,-0.232459677419355,-0.233333333333333,0.1,-0.2,-0.0127347235919636,-0.201812978599619,-0.208709530323757,-0.215686274509804,-0.202661724645219,-0.134354066985646,-0.202288125641483,-0.233333333333333,-0.217447639816455,-0.202622573802018,-0.139508706160904,-0.129090909090909,-0.208709530323757,0.133275683665928,-0.154004127966976,0.123454545454545,-0.04,-0.201923991131266,0.0954545454545455,-0.252589739359249,-0.122222222222222
"GSK3",0.536701016734795,-0.066918674564823,0.278882433930361,-0.410194414987628,0.145307260933006,-0.445307757094484,0.226315789473684,-0.388101298999132,0.226315789473684,-0.36479302832244,-0.41253311718095,0.2,0.190833333333333,0.261224580017683,-0.408558020926442,0.362600849781196,-0.362637745357664,0.353147068268591,0.353147068268591,0.353147068268591,-0.0971657799564776,0.329912437037364,-0.0789244335048882,0.122580137344425,-0.243275862068966,-0.103437066488249,-0.109583993024981,-0.228333333333333,-0.10021645021645,-0.123093948732183,-0.13122792002405,-0.116345482474515,-0.153333333333333,-0.0954545454545455,0.00124710953269162,-0.239421597834765,-0.236119711042312,-0.226315789473684,-0.246051202754192,-0.260281385281385,-0.243353834333139,-0.226315789473684,-0.149967905638308,-0.240059088117645,-0.27508658008658,-0.251190476190476,-0.236249564308121,0.416348261141474,-0.145307260933006,0.400786749482402,0.312941176470588,-0.0272067867315544,0.388405797101449,-0.536104363179929,-0.134752556621848
"RAS",0.60733850129199,-0.0791384615384615,0.267193675889328,-0.157647058823529,0.141502209131075,-0.333766233766234,0.1,-0.461315789473684,0.2,-0.435,-0.502492260061919,0,0.3,0.381111111111111,-0.380182389937107,0.399871794871795,-0.214346116027532,0.474871794871795,0.474871794871795,0.474871794871795,-0.10031746031746,0.146764866339334,-0.0361660079051383,0.022920816301093,-0.353333333333333,-0.151082251082251,-0.157204700061843,-0.333333333333333,-0.1,-0.161333333333333,-0.176587570621469,-0.133333333333333,-0.2,-0.1,-0.0838607906930888,-0.237745098039216,-0.229411764705882,-0.2,-0.253691378769114,-0.386842105263158,-0.24774237027053,-0.1,-0.211164991129509,-0.240050062578223,-0.415143992055611,-0.35,-0.229411764705882,0.174478741991846,-0.141502209131075,0.14,0.36,0.184165189915811,0.14,-0.490868575170901,-0.134285714285714
"PI3K",0.459944684944685,-0.0739356345913723,0.255333333333333,-0.237647058823529,0.117256438969765,-0.303461538461538,0.2,-0.267226890756303,0.211111111111111,-0.214285714285714,-0.304931808789089,0.1,0.233333333333333,0.285822021116139,-0.317453135100194,0.286435391092925,-0.28774959742351,0.265887445887446,0.265887445887446,0.265887445887446,-0.182459930313589,0.159886411205014,-0.0501933878182491,0.0972172946582782,-0.262745098039216,-0.0653381352541016,-0.0693381352541016,-0.233333333333333,-0.05,-0.091025641025641,-0.0993589743589744,-0.0833333333333333,-0.2,0,-0.0211209502988581,-0.216462281679673,-0.224154589371981,-0.211111111111111,-0.224425471149065,-0.198076923076923,-0.223806914448035,-0.2,-0.117368421052632,-0.216462281679673,-0.2174317617866,-0.175,-0.224154589371981,0.249842180774749,-0.117256438969765,0.217647058823529,0.2,-0.0876114374220542,0.2,-0.463110455691172,-0.0953947368421053
"AKT",0.472041459138233,-0.0664490035753295,0.260748495788207,-0.249842180774749,0.117256438969765,-0.327905982905983,0.211111111111111,-0.304931808789089,0.224154589371981,-0.267226890756303,-0.321387504991621,0.2,0.233333333333333,0.198953334247452,-0.334223321435598,0.291013704345937,-0.291508995919751,0.286435391092925,0.286435391092925,0.286435391092925,-0.188474967907574,0.169366533529173,-0.0524490269159934,0.0932417594900825,-0.285822021116139,-0.0693381352541016,-0.075735441651408,-0.262745098039216,-0.0833333333333333,-0.0993589743589744,-0.0993589743589744,-0.091025641025641,-0.233333333333333,-0.05,-0.0174845866624944,-0.223724851512075,-0.216462281679673,-0.224154589371981,-0.227194701918296,-0.2174317617866,-0.224425471149065,-0.211111111111111,-0.123328685953294,-0.223806914448035,-0.222309810567088,-0.198076923076923,-0.216462281679673,0.257395050865383,-0.117256438969765,0.237647058823529,0.214285714285714,-0.0859028947084863,0.217647058823529,-0.468652225749071,-0.113343454790823
"Patched",0.231501831501832,-0.0714285714285714,0.229437229437229,-0.173333333333333,0.108333333333333,-0.05,0.1,-0.1,0.1,0,-0.138461538461538,0.1,0,-0.0857142857142857,-0.26,0.0634615384615385,-0.263440860215054,0.0384615384615385,0.0384615384615385,0.0384615384615385,-0.1,0.163888888888889,-0.00769230769230769,0.159516129032258,0.1,-0.0166666666666667,-0.0166666666666667,0.1,-0.1,-0.186666666666667,-0.199166666666667,-0.0666666666666667,0,0,0.102953074433657,-0.1625,-0.2,-0.2,-0.0673678532901834,0,-0.0722222222222222,-0.2,-0.0831746031746032,-0.0666666666666667,-0.00909090909090909,0,-0.1,0.19,-0.108333333333333,0.133333333333333,0.1,-0.128521072796935,0.0333333333333333,-0.219420579420579,-0.0666666666666667
"TGFR",-0.309415743388155,-0.0239797867439692,-0.0655882174837826,-0.23734126984127,0.107272090535335,0.084307992202729,-0.0333333333333333,0.0700751879699248,-0.0533333333333333,0.0634085213032581,0.0824039550932125,0,-0.258333333333333,-0.241110042548231,-0.00662337662337663,-0.205221386800334,-0.0904340296335469,-0.197619047619048,-0.197619047619048,-0.197619047619048,0.0402075591960726,0.138550810597074,0.0720921504662375,0.00122217922789962,0.238784461152882,0.0965591397849462,0.100473730532277,0.244047619047619,0.0966666666666667,0.106364942528736,0.111449688291447,0.100114942528736,0.233333333333333,0.113333333333333,0.0389057516294994,0.0443648378401878,0.0437196765498652,0.0342857142857143,0.0625773277638168,0.256781609195402,0.0640830850711685,0.0142857142857143,0.135899980790165,0.0640830850711685,0.261817580418424,0.253333333333333,0.0627672955974843,0.229539851401554,-0.107272090535335,0.14984126984127,-0.0476190476190476,0.0625125570075219,0.168888888888889,0.1520188382872,-0.114441901856089
