"","Csn","SMO","HEY1","IKK","SHH","NOTCHic","Jagged","cfos","Patched","MEK","NOTCH","TWIST1","Csl","NFB","ERK","AXIN2","TGFR","STAT","Destcompl","TCFLEF","cateninnuc","DSH","TGF","Wnt","DELTA","CDC42","GLI","Frizzled","LIV1","SNAI2","GSK3","SOSGRB2","RAS","FOXC2","RAF","PI3K","cateninmemb","SRC","ZEB2","ZEB1","CD44","EGR1","cMet","Ecadherin","PAK1","TrCP","FUS","KLF4","SMAD","miR200","AKT","RKIP","SNAI1","ILK","SUFU"
"Patched",0,-0.0666666666666667,0.00256410256410255,-0.05,-0.216666666666667,0.0666666666666667,0.172698412698413,0,-0.266666666666667,-0.0523076923076923,0.0393939393939394,-0.0185185185185185,0,-0.1,-0.06,-0.388311688311688,-0.353333333333333,-0.1,-0.472207792207792,-0.263333333333333,-0.291488673139159,-0.2,-0.403333333333333,-0.3,0.0538461538461538,-0.333333333333333,-0.3375,-0.3,-0.1,0.351264367816092,-0.410989010989011,0.133333333333333,-0.0538461538461538,0.26,-0.0538461538461538,-0.0538461538461538,-0.211254480286738,0.2,-0.133333333333333,-0.133333333333333,0.246666666666667,0.1,0.2,-0.0878937432578209,0.233333333333333,0,0.1,-0.0666666666666667,0.06,0.104761904761905,0.0928571428571429,0.28,0.303225806451613,1.11022302462516e-17,0
"SMO",-0.1,-0.266666666666667,-0.0593406593406594,-0.0928571428571429,-0.266666666666667,0.0393939393939394,0.161984126984127,-0.06,-0.216666666666667,-0.10988344988345,0.0943939393939394,-0.00969498910675381,0.0666666666666667,-0.05,-0.0523076923076923,-0.41589789520824,-0.403333333333333,-0.2,-0.511742675928722,-0.291488673139159,-0.30276686862788,-0.3,-0.406036036036036,-0.3375,0.0538461538461538,-0.353333333333333,-0.354166666666667,-0.3,-0.1,0.371264367816092,-0.448853088658914,0.128070175438597,-0.0794275491949911,0.253103448275862,-0.0538461538461538,-0.0538461538461538,-0.233584577374117,0.2,-0.101129943502825,-0.101129943502825,0.263333333333333,0,0.246666666666667,-0.087524739567784,0.333333333333333,0,0.0666666666666667,-0.15,-0.00507936507936507,0.0553948161543098,0.0328571428571429,0.274444444444444,0.353225806451613,0.06,0.1
"KLF4",0,-0.0166666666666667,0.0390068754774637,0.00380952380952381,-0.0253360215053763,0.0719617224880383,0.0718122756803416,0.0454545454545455,-0.0479166666666667,0.0188323501846849,0.0688689389828836,-0.0125141612200436,0.0509090909090909,-0.02,0.0219251336898396,-0.165063735295448,-0.114909090909091,-0.0333333333333333,-0.221532478292897,-0.0753484406907353,-0.0831940197691911,-0.0333333333333333,-0.128079822616408,-0.0579571363429093,0.0121794871794872,-0.110909090909091,-0.0700261018601506,-0.0509803921568627,-0.0333333333333333,0.172860000900495,-0.206817973602774,-0.014065180102916,-0.0114441930618401,0.149463937621832,-0.0121794871794872,-0.0121794871794872,-0.0561376247961614,0.0509803921568627,-0.100294117647059,-0.100294117647059,0.0710006146037788,0,0.0579571363429093,-0.034893082767522,0.0909090909090909,0.1,0.0333333333333333,-0.0962962962962963,-0.0143768115942029,0.073052503052503,0.0073015873015873,0.127540713254999,0.134459588702119,-0.0346666666666667,0
"HEY1",0,-0.0166666666666667,0.0390068754774637,0.00380952380952381,-0.0253360215053763,0.0719617224880383,0.0718122756803416,0.0454545454545455,-0.0479166666666667,0.0188323501846849,0.0688689389828836,-0.0125141612200436,0.0509090909090909,-0.02,0.0219251336898396,-0.165063735295448,-0.114909090909091,-0.0333333333333333,-0.221532478292897,-0.0753484406907353,-0.0831940197691911,-0.0333333333333333,-0.128079822616408,-0.0579571363429093,0.0121794871794872,-0.110909090909091,-0.0700261018601506,-0.0509803921568627,-0.0333333333333333,0.172860000900495,-0.206817973602774,-0.014065180102916,-0.0114441930618401,0.149463937621832,-0.0121794871794872,-0.0121794871794872,-0.0561376247961614,0.0509803921568627,-0.100294117647059,-0.100294117647059,0.0710006146037788,0,0.0579571363429093,-0.034893082767522,0.0909090909090909,0.1,0.0333333333333333,-0.0962962962962963,-0.0143768115942029,0.073052503052503,0.0073015873015873,0.127540713254999,0.134459588702119,-0.0346666666666667,0
"FOXC2",0,-0.0166666666666667,0.0390068754774637,0.00380952380952381,-0.0253360215053763,0.0719617224880383,0.0718122756803416,0.0454545454545455,-0.0479166666666667,0.0188323501846849,0.0688689389828836,-0.0125141612200436,0.0509090909090909,-0.02,0.0219251336898396,-0.165063735295448,-0.114909090909091,-0.0333333333333333,-0.221532478292897,-0.0753484406907353,-0.0831940197691911,-0.0333333333333333,-0.128079822616408,-0.0579571363429093,0.0121794871794872,-0.110909090909091,-0.0700261018601506,-0.0509803921568627,-0.0333333333333333,0.172860000900495,-0.206817973602774,-0.014065180102916,-0.0114441930618401,0.149463937621832,-0.0121794871794872,-0.0121794871794872,-0.0561376247961614,0.0509803921568627,-0.100294117647059,-0.100294117647059,0.0710006146037788,0,0.0579571363429093,-0.034893082767522,0.0909090909090909,0.1,0.0333333333333333,-0.0962962962962963,-0.0143768115942029,0.073052503052503,0.0073015873015873,0.127540713254999,0.134459588702119,-0.0346666666666667,0
"NOTCH",0.1,0.075,0.191304347826087,0.0777777777777778,0.0645927601809955,0.197142857142857,0.105223665223665,0.02,0.00576923076923077,-0.0323809523809524,0.0616589861751152,-0.0782542372881356,0.14,0,-0.0466666666666667,-0.0237196765498652,0.0644444444444444,0,-0.0299300689207231,-0.0153712953712954,-0.0272080300651729,0,0.0418637992831541,-0.0123076923076923,0.0315151515151515,0.0444444444444444,-0.0274592074592075,-0.02,0,-0.111293064234241,-0.074503657262278,0.00631578947368421,-0.0184716732542819,-0.0279591836734694,-0.0315151515151515,-0.0315151515151515,0.015785469600085,0.02,-0.0977455716586151,-0.0977455716586151,0.0274592074592075,0,0.0123076923076923,0.0326355404640634,-0.1,0,0,-0.0347826086956522,-0.0304761904761905,0.0866666666666667,-0.0222222222222222,0.121750663129973,0.0843589743589744,-0.0904761904761905,-0.1
"Ecadherin",-0.02,-0.0479166666666667,0.0195437882291416,-0.0073015873015873,-0.0418714545762425,0.0688689389828836,0.0683797814011654,0.0219251336898396,-0.0253360215053763,0.00745980116507709,0.0870845523657833,-0.0100933046092428,0.0719617224880383,0.00380952380952381,0.0188323501846849,-0.172280230140809,-0.128079822616408,-0.0509803921568627,-0.231784109234183,-0.0831940197691911,-0.0862752522621883,-0.0509803921568627,-0.129345645401218,-0.0700261018601506,0.0114441930618401,-0.114909090909091,-0.0746927685268173,-0.0579571363429093,-0.0333333333333333,0.178820265801157,-0.216310247333458,-0.0193283379976528,-0.0178687740674267,0.147862106958217,-0.0114441930618401,-0.0114441930618401,-0.0625478812064178,0.0579571363429093,-0.0912893783105659,-0.0912893783105659,0.0753484406907353,-0.0454545454545455,0.0710006146037788,-0.134503598833734,0.110909090909091,0,0.0166666666666667,-0.120346929207689,-0.0339894023932344,0.0590860226055757,-0.0147763347763348,0.124918990408557,0.149333006423638,-0.0143768115942029,0.0333333333333333
"Csl",0.0777777777777778,0.0645927601809955,0.186859903381643,0.0757105943152455,0.0575757041928605,0.0985010914382731,0.101702004075762,-0.0323809523809524,0.0205067386756191,-0.0353933747412008,0.0730465459837276,-0.0766244120542386,0.0616589861751152,0.0222222222222222,-0.0495238095238095,-0.0254656062842268,0.057787366162135,-0.0123076923076923,-0.0372920433265732,-0.0221698621262416,-0.0290881011199523,-0.0123076923076923,0.0453157108333368,-0.0177817881043687,0.0347278308897499,0.0418637992831541,-0.0282656590721107,-0.0274592074592075,-0.02,-0.107858305081334,-0.0797069825218356,-0.00129692301707706,-0.0255366544191617,-0.033761927462865,-0.0347278308897499,-0.0347278308897499,0.0122621368250263,0.0274592074592075,-0.0897529381411197,-0.0897529381411197,0.0272080300651729,0.0466666666666667,0.0153712953712954,0.0333442551618803,-0.0644444444444444,0,-0.00576923076923077,-0.0512111801242236,-0.0458718739294279,0.0737836714647323,-0.0408268733850129,0.111885017644155,0.0939517969952753,-0.0858718739294279,-0.075
"TrCP",0.1,0.0844086021505376,0.0880082017814622,0.0881578947368421,0.0793221823974512,0.0741025641025641,0.067561775732788,-0.0408695652173913,0.0313221823974512,-0.0470164578727585,0.0389377289377289,-0.0790419725202334,0.0294871794871795,0.025,-0.0696831245394252,0.0807321002571491,0.0742678889737713,0.07,0.0848494507361072,0.0664180021605764,0.0589697262985075,0.07,0.0600602387005473,0.067270955165692,0.0767017376056114,0.0515406162464986,0.0560514429705701,0.0514814814814815,0.05,-0.185004005818937,-0.0321753246753247,0.00908965896589659,-0.0630653739692477,-0.0443107571035142,-0.0767017376056114,-0.0767017376056114,-0.0480331862227276,-0.0514814814814815,-0.0814508418223685,-0.0814508418223685,-0.0575291132716875,0.08,-0.0704004004004004,-0.0417579183351434,-0.080952380952381,0,-0.0166666666666667,-0.0336705698672912,-0.0336542072025943,0.0734215852161508,-0.0418615984405458,0.0909882934744813,0.0620814662614004,-0.0878477555896911,-0.1
"PAK1",0.1,0.0844086021505376,0.0880082017814622,0.0881578947368421,0.0793221823974512,0.0741025641025641,0.067561775732788,-0.0408695652173913,0.0313221823974512,-0.0470164578727585,0.0389377289377289,-0.0790419725202334,0.0294871794871795,0.025,-0.0696831245394252,0.0807321002571491,0.0742678889737713,0.07,0.0848494507361072,0.0664180021605764,0.0589697262985075,0.07,0.0600602387005473,0.067270955165692,0.0767017376056114,0.0515406162464986,0.0560514429705701,0.0514814814814815,0.05,-0.185004005818937,-0.0321753246753247,0.00908965896589659,-0.0630653739692477,-0.0443107571035142,-0.0767017376056114,-0.0767017376056114,-0.0480331862227276,-0.0514814814814815,-0.0814508418223685,-0.0814508418223685,-0.0575291132716875,0.08,-0.0704004004004004,-0.0417579183351434,-0.080952380952381,0,-0.0166666666666667,-0.0336705698672912,-0.0336542072025943,0.0734215852161508,-0.0418615984405458,0.0909882934744813,0.0620814662614004,-0.0878477555896911,-0.1
