"","AXIN2","Wnt","CDC42","TGF","Destcompl","FOXC2","PI3K","ZEB2","NOTCHic","GSK3","RKIP","Csl","SOSGRB2","SNAI1","IKK","FUS","SUFU","KLF4","EGR1","TrCP","MEK","ERK","Csn","cfos","SMAD","HEY1","NFB","ILK","AKT","miR200","ZEB1","Patched","NOTCH","SMO","SHH","Jagged","cateninmemb","TWIST1","RAF","DELTA","RAS","TGFR","PAK1","LIV1","GLI","Frizzled","Ecadherin","CD44","DSH","cMet","TCFLEF","SRC","cateninnuc","STAT","SNAI2"
"PI3K",-0.17952380952381,-0.120289855072464,0.155882352941176,0.156077474892396,-0.0552404484745798,0.168492450638792,0.185246753246753,-0.159091809078663,-0.113461538461538,-0.20988455988456,0.159405300581771,-0.075,-0.242307692307692,0.186300322061192,0.250980392156863,0.05,0,-0.150877192982456,-0.2,0.2,-0.197850943656151,-0.212605042016807,0.233333333333333,-0.171428571428571,-0.0841613445378151,-0.0991221874684694,-0.233333333333333,-0.0833613445378151,-0.24841628959276,0.0195113518884011,-0.092232581917328,-0.0333333333333333,0.0973325062034739,-0.0333333333333333,-0.0277777777777778,-0.00131578947368421,-0.00316575632304312,0.101244498749844,-0.185246753246753,-0.185246753246753,-0.167438534068671,-0.143882352941176,-0.15,0.1,0.134136008918618,0.133333333333333,0.1160859943717,0.134136008918618,0.1,0.120289855072464,0.124531489144606,0.133333333333333,0.130098499453885,0.1,0.0790998287985052
"Wnt",-0.192121212121212,-0.15,0.0333333333333333,0.0269565217391304,-0.0838042310745809,0.0424291497975709,0.145112781954887,-0.156336681013869,-0.0785714285714286,-0.208855799373041,0.131666666666667,-0.15,-0.224242424242424,0.184472049689441,0.153333333333333,0,0,-0.149019607843137,-0.1,0.1,-0.201176470588235,-0.16,0.1,-0.2,-0.0734645199761479,-0.103076923076923,-0.133333333333333,-0.0897435897435898,-0.165833333333333,0.0118181818181818,-0.0818747010999522,-0.0227272727272727,0.128571428571429,-0.05,-0.017965367965368,0.00200980392156863,0.00402542372881356,0.197647058823529,-0.145112781954887,-0.145112781954887,-0.176930963773069,-0.04,-0.1,0,0.144736842105263,0,0.169192799070848,0.144736842105263,0,0.15,0.162593984962406,0.1,0.153984713439227,0.1,0.209568965517241
"AXIN2",0.24996026361599,-0.145872761293772,0.0403086419753086,0.0326594699784629,-0.162290032905005,0.0510825708249596,0.101250818292341,-0.130873593622809,-0.113709273182957,-0.174596070723073,0.114907046358659,-0.092280701754386,-0.10294898494057,0.124498519102069,0.102898550724638,-0.0923076923076923,0.1,-0.126027654801732,-0.126666666666667,0.0666666666666667,-0.109568814863141,-0.120603297621761,0.1,-0.104715447154472,-0.027087646652864,-0.0339961520488904,-0.0956521739130435,-0.0247066942719117,-0.0951207729468599,0.0557050025162799,-0.102292512567877,0.10540293040293,0.104925489399174,0.101831501831502,0.10900948777998,0.130939536374319,-0.0983923097017038,0.140188662162969,-0.101250818292341,-0.101250818292341,-0.0933768025443093,-0.02968917294876,-0.0316666666666667,0.133333333333333,0.154048861922703,0.147596899224806,0.0835945286216818,0.1543901114515,0.126666666666667,0.145872761293772,0.151693745683622,0.147596899224806,0.155455094581158,0.126666666666667,0.221768596251375
"SUFU",-0.296993604539012,-0.0469017094017094,0.0775225225225225,0.0717669305967178,-0.0119487877902587,-0.0233131054297848,-0.00280088234604839,-0.129666190959146,0.00136363636363636,-0.026618517184862,0.044359351988218,-0.00772727272727273,-0.157011409642989,0.0613640835419047,-0.0383736263736264,0.0558333333333333,-0.0933333333333333,-0.122802755145447,-0.121538461538462,-0.05,-0.127518585596355,-0.120284543043164,-0.00714285714285715,-0.130629370629371,-0.0820281819052585,-0.086966883300042,0.0191428571428571,-0.0817972350230415,0.0350179216756398,-0.00205067089390762,-0.0310249211465807,-0.0341161616161616,0.00498556998556998,-0.0391666666666667,-0.034502262002262,0.0822362988128664,-0.0561461908076471,0.101042323204208,0.00280088234604839,0.00280088234604839,-0.000680130312179462,-0.0743310331608204,-0.0883333333333333,0.1,0.0428124900708544,0.0430555555555556,0.119352742872723,0.139231979625439,0.0375,0.143743257820928,0.1443950231037,0.138888888888889,0.144753079369685,0.133333333333333,0.339298933785274
"SMO",-0.288684878340051,-0.0375,0.08,0.0775225225225225,-0.0141055843381425,-0.018448275862069,-0.00817307692307692,-0.128531073446328,0.0272727272727273,-0.0292115651338952,0.04,0,-0.155263157894737,0.0620583717357911,-0.00714285714285715,-0.0666666666666667,0.1,-0.108333333333333,-0.1,0,-0.130629370629371,-0.121538461538462,-0.1,-0.16,-0.0785714285714286,-0.0901098901098901,0.05,-0.0833333333333333,0.0191428571428571,0.001416515973478,-0.031638418079096,-0.0558333333333333,0.00772727272727273,-0.0933333333333333,-0.0391666666666667,0.0814550264550265,-0.0610636113720987,0.102342047930283,0.00817307692307692,0.00817307692307692,-0.00112924865831843,-0.0883333333333333,-0.1,0.1,0.0430555555555556,0,0.114553284610516,0.138888888888889,0,0.133333333333333,0.143743257820928,0.1,0.139231979625439,0.1,0.333471264367816
"SHH",-0.247619047619048,0,0.1,0.08,-0.0184415584415584,-0.025,0,-0.125,0,-0.0102564102564103,0.04,-0.1,-0.15,0.05,-0.1,0,0,-0.15,0,0,-0.16,-0.1,0,-0.1,-0.0833333333333333,-0.133333333333333,0,-0.133333333333333,0.05,-0.0166666666666667,-0.025,0.0666666666666667,0,0.1,-0.0933333333333333,0.0371428571428572,-0.0563440860215054,0.075,0,0,-0.0230769230769231,-0.1,-0.2,0,0,0,0.105833333333333,0.1,0,0.1,0.133333333333333,0.1,0.138888888888889,0.1,0.317471264367816
"ZEB2",-0.278331630303575,-0.218041958041958,-0.163376623376623,-0.161260221260221,-0.133526708241112,-0.130534576534577,-0.124307359307359,-0.120785374745958,-0.0553846153846154,-0.0510107619689245,-0.049243156199678,-0.0487179487179487,-0.0451831501831502,-0.0417768446694717,-0.0375,-0.0321428571428571,-0.025,-0.0195389584300794,-0.0166666666666667,0,0.00282689414330475,0.0040464063384267,0.0111111111111111,0.0201754385964912,0.0212179833220713,0.0252267087750959,0.0263888888888889,0.028535056492803,0.0309579439252336,0.0421358397330784,0.0499994591040845,0.0505400696864112,0.0526523749474569,0.0578571428571429,0.0587218878682293,0.0886095827925437,0.106470514504222,0.119287560329235,0.124307359307359,0.124307359307359,0.131373740463676,0.158614718614719,0.168831168831169,0.2,0.217124526849297,0.220606060606061,0.226154916147792,0.227144249512671,0.227272727272727,0.228070175438596,0.230665376273234,0.233333333333333,0.233652389260247,0.24,0.267742505942077
"Patched",-0.274891774891775,0,0.1,0.0883333333333333,-0.00635364635364635,-0.015,0.0230769230769231,-0.116666666666667,0,-0.0340659340659341,0.04,0,-0.15,0.0596774193548387,-0.05,-0.1,0,-0.116666666666667,-0.1,0,-0.121538461538462,-0.16,0,-0.1,-0.0833333333333333,-0.0948717948717949,0.1,-0.0833333333333333,0.00714285714285715,-0.00238095238095238,-0.0333333333333333,-0.0933333333333333,-0.0272727272727273,0.0666666666666667,-0.0558333333333333,0.0778835978835979,-0.0591218637992832,0.0935185185185185,-0.0230769230769231,-0.0230769230769231,0.00817307692307692,-0.08,-0.1,0.1,0.0375,0,0.106804207119741,0.133333333333333,0,0.1,0.138888888888889,0.1,0.143743257820928,0.1,0.326804597701149
"TrCP",-0.207097004058618,-0.163664717348928,-0.069187675070028,-0.061909980087415,-0.125087649968628,-0.0399208901390666,0.000395876507784684,-0.0984637617649927,-0.00307692307692308,-0.125454545454545,0.0215687259333668,-0.00769230769230769,-0.131160616061606,0.0556595601210568,0.05,0.0119047619047619,-0.0285714285714286,-0.0911163153786105,-0.12,0.1,-0.153960206337509,-0.141960206337509,0.05,-0.150434782608696,-0.027163338453661,-0.037072640150513,-0.05,-0.0368407578084997,-0.0462962962962963,-0.0017825311942959,-0.09687406272117,0.00490129146043125,0.012967032967033,-0.008678955453149,-0.00909870853956876,0.0186219751192911,0.0848658646436764,0.157880293619424,-0.000395876507784684,-0.000395876507784684,0.000513214401306225,0.0646422205245735,0.0476190476190476,0.15,0.168054961251367,0.166296296296296,0.166427874203181,0.166563890623297,0.17,0.163593593593594,0.171749075808482,0.166296296296296,0.172714593049861,0.17,0.292196420721783
"CDC42",-0.204581280788177,-0.166296296296296,-0.0476190476190476,-0.0646422205245735,-0.122230507111485,-0.0426795108287217,0.00893246187363834,-0.0949267842730313,-0.00769230769230769,-0.127272727272727,0.0221212121212121,0,-0.136111111111111,0.0644901090470711,0.05,0.0285714285714286,-0.1,-0.100952380952381,-0.18,0,-0.141960206337509,-0.150434782608696,0.1,-0.12,-0.0368407578084997,-0.0135432283858071,-0.05,-0.0158730158730159,-0.05,-0.0017825311942959,-0.0965525193128099,-0.008678955453149,0.00307692307692308,-0.0119047619047619,0.00490129146043125,0.0247569444444444,0.0852321650099768,0.153532467532468,-0.00893246187363834,-0.00893246187363834,-0.000395876507784684,0.069187675070028,-0.0285714285714286,0.1,0.163664717348928,0.17,0.165112995310447,0.163593593593594,0.15,0.166296296296296,0.166563890623297,0.17,0.171749075808482,0.15,0.288941447846557
"SNAI1",-0.211292808254422,-0.168054961251367,-0.0646422205245735,-0.068159980087415,-0.123936334179155,-0.046655324700693,-0.000513214401306225,-0.0939127162545376,-0.012967032967033,-0.127500750075008,0.0148741652639108,-0.00307692307692308,-0.13078325757104,-0.0432728242205803,0.0462962962962963,0.008678955453149,-0.0119047619047619,-0.0939200536963675,-0.150434782608696,0.05,-0.149475901404774,-0.153960206337509,0.05,-0.141960206337509,-0.0285163519837963,-0.0287393068171796,-0.05,-0.027163338453661,-0.050462962962963,-0.00648954368228822,-0.0923230172107149,-0.00909870853956876,0.00602825745682888,0.00490129146043125,-0.00152589300558817,0.0254455045310558,0.0850385762153517,0.156957216696347,0.000513214401306225,0.000513214401306225,0.00396149026337519,0.061909980087415,0.069187675070028,0.17,0.172259714450636,0.163664717348928,0.166375845066865,0.171749075808482,0.166296296296296,0.166563890623297,0.172714593049861,0.163593593593594,0.174211753607424,0.166296296296296,0.294576574928957
"Csl",-0.234561854102524,-0.181121888863824,-0.0883584229390681,-0.0836730668433389,-0.119109625863235,-0.0584641286993106,-0.0407108134244566,-0.0928429462371331,-0.0272714043172447,-0.117368164822355,0.00923493673027585,-0.0325345622119816,-0.132538608161201,0.040359471446428,0.0421188630490956,0.00192307692307692,-0.025,-0.0839958592132505,-0.113333333333333,0.1,-0.140258799171843,-0.13047619047619,0.0444444444444444,-0.141904761904762,-0.0218642229073884,0.0664415152906201,-0.0444444444444444,-0.0313086673518328,-0.0382428940568475,-0.00388007926940263,-0.0913587957402514,0.0179377706417555,0.0381804952263356,0.00395927601809955,0.00845501202106581,0.060506315719478,0.0688689484727893,0.185381656838194,0.0407108134244566,0.0407108134244566,0.0421814016597507,0.0838998242129535,0.0657777777777778,0.16,0.185960598541244,0.18004662004662,0.193477844797703,0.184818990533276,0.183076923076923,0.181145521145521,0.190773189006559,0.18004662004662,0.191745172997411,0.183076923076923,0.32619517734501
"NOTCHic",-0.230191674153938,-0.18004662004662,-0.0657777777777778,-0.0838998242129535,-0.115879887898579,-0.0590388413429888,-0.0293807641633729,-0.0900805152979066,-0.0325345622119816,-0.120166397517495,0.0115390841957136,0.0771428571428571,-0.13822966507177,0.0478693528693529,0.0444444444444444,0.025,-0.1,-0.0939958592132505,-0.18,0,-0.13047619047619,-0.141904761904762,0.1,-0.113333333333333,-0.0313086673518328,0.0853957636566332,-0.0444444444444444,-0.0147619047619048,-0.0421188630490956,-0.0032264844981608,-0.092463768115942,0.00395927601809955,0.0272714043172447,-0.00192307692307692,0.0179377706417555,0.0641521490528113,0.0694805692678964,0.181544185054898,0.0293807641633729,0.0293807641633729,0.0407108134244566,0.0883584229390681,0.0777777777777778,0.1,0.181121888863824,0.183076923076923,0.191268542472122,0.181145521145521,0.16,0.18004662004662,0.184818990533276,0.183076923076923,0.190773189006559,0.16,0.32164633319885
"DELTA",-0.211428571428571,-0.16,0,-0.0657777777777778,-0.115474903474903,-0.0414285714285714,-0.0333333333333333,-0.0797101449275362,0.12,-0.135249042145594,0.00512820512820514,0.1,-0.16,0.0416666666666667,0.1,0,0,-0.0666666666666667,-0.1,0,-0.113333333333333,-0.18,0,-0.2,-0.0380952380952381,0.0666666666666667,0,-0.0333333333333333,-0.0444444444444444,0.0127272727272727,-0.105797101449275,-0.025,-0.0771428571428571,-0.1,-0.00192307692307692,0.0579220779220779,0.0608487287360527,0.186,0.0333333333333333,0.0333333333333333,0.0424242424242424,0.0777777777777778,0,0,0.183076923076923,0.1,0.179263157894737,0.183076923076923,0,0.16,0.18004662004662,0.1,0.181145521145521,0,0.305781799899447
