"","KLF4","TGFR","TGF","CDC42","HEY1","TrCP","SUFU","TWIST1","Ecadherin","EGR1","cfos","cateninmemb","AXIN2","GLI","STAT","LIV1","CD44","cMet","TCFLEF","cateninnuc","SNAI2","PI3K","RAF","DELTA","RAS","FOXC2","SRC","Wnt","Frizzled","DSH","ERK","MEK","Destcompl","miR200","SOSGRB2","SNAI1","Csl","RKIP","GSK3","NOTCHic","NOTCH","Jagged","Csn","ZEB2","ZEB1","FUS","NFB","SMO","SHH","Patched","AKT","IKK","PAK1","ILK","SMAD"
"SOSGRB2",0.355175438596491,0.383736263736264,0.400048320473852,0.341428571428571,0.326704545454545,0,0.2,0.326289855072464,-0.0145313739596457,0.438095238095238,0.449206349206349,-0.0950592020592021,0.0873556105610561,0.0950310559006211,0,0,0.0921325051759834,0.0732919254658385,0.0973956630707203,0.101028550260013,-0.38005410354857,-0.110922787193974,0.110922787193974,0.110922787193974,0.118615094886281,-0.165250305250305,-0.0428571428571429,-0.0761904761904762,-0.0428571428571429,0,-0.484341484341484,-0.496462696462696,0.285206218092124,-0.220167480259341,0.155555555555556,-0.458641080312722,-0.245454545454545,-0.546198830409357,0.409584636961916,-0.253146853146853,-0.248921501034177,-0.31353140276707,-0.1,-0.372318295739348,-0.372318295739348,-0.3,-0.177777777777778,-0.35,-0.397580138277813,-0.374324324324324,-0.256286549707602,-0.214619883040936,-0.271428571428571,-0.445161290322581,-0.465441010602301
"FUS",0.330418943533698,0.395405405405405,0.398596894767108,0.39,0.120799490364708,-0.1,0.133333333333333,0.123599561988844,0.102133499330737,0.12,0.127692307692308,0.123154907256582,-0.195264056283547,-0.124465811965812,-0.05,-0.1,-0.0312513484358145,-0.0322222222222222,-0.0297475890373182,-0.0292041107764487,0.204286812907131,-0.0993627012522361,0.0993627012522361,0.0993627012522361,0.0989260200295287,-0.188684210526316,0.0433333333333333,0.126388888888889,0.1375,0.15,-0.112540792540793,-0.109092516678724,0.202182959348127,-0.179587190183756,-0.167341430499325,-0.278275802104165,-0.172727272727273,-0.290551464572083,0.227061541244741,-0.167727272727273,-0.167727272727273,-0.122806463951042,0.05,-0.329435721465461,-0.329435721465461,-0.253333333333333,0.00714285714285715,-0.265833333333333,-0.277954545454545,-0.276944444444444,-0.0442417582417582,-0.0288571428571429,-0.373333333333333,-0.137936507936508,-0.142452636968766
"SMO",0.322222222222222,0.39,0.395405405405405,0.373333333333333,0.113553113553114,0,0.1,0.119934640522876,0.101037608919779,0.1,0.12,0.121478929602951,-0.199611882370503,-0.126388888888889,-0.1,-0.1,-0.0322222222222222,-0.0433333333333333,-0.0312513484358145,-0.0297475890373182,0.204107279693487,-0.0947115384615385,0.0947115384615385,0.0947115384615385,0.0993627012522361,-0.19,0.05,0.1375,0.15,0.2,-0.127692307692308,-0.112540792540793,0.203204857158346,-0.177606992163954,-0.159649122807018,-0.28110599078341,-0.2,-0.285396825396825,0.231409367331697,-0.172727272727273,-0.167727272727273,-0.120396825396825,0.1,-0.325141242937853,-0.325141242937853,-0.133333333333333,0.05,-0.253333333333333,-0.276944444444444,-0.265833333333333,-0.0288571428571429,0.00714285714285715,-0.333333333333333,-0.13,-0.137936507936508
"Patched",0.305555555555556,0.373333333333333,0.39,0.333333333333333,0.0897435897435897,0,0,0.111111111111111,0.0962405609492988,0.1,0.1,0.118566308243728,-0.20995670995671,-0.1375,-0.1,-0.1,-0.0433333333333333,-0.05,-0.0322222222222222,-0.0312513484358145,0.204107279693487,-0.0884615384615385,0.0884615384615385,0.0884615384615385,0.0947115384615385,-0.19,0.1,0.15,0.2,0.2,-0.12,-0.127692307692308,0.204755244755245,-0.173809523809524,-0.133333333333333,-0.276344086021505,-0.2,-0.274285714285714,0.236263736263736,-0.2,-0.172727272727273,-0.116825396825397,0,-0.316666666666667,-0.316666666666667,-0.1,0.1,-0.133333333333333,-0.265833333333333,-0.253333333333333,0.00714285714285715,0.05,-0.233333333333333,-0.1,-0.13
"Wnt",0.317647058823529,0.386666666666667,0.38231884057971,0.366666666666667,0.207179487179487,0.1,0,0.322647058823529,0.210168221497883,0,-0.0333333333333333,-0.00911016949152542,0.278787878787879,0.251315789473684,0.1,0,0.251315789473684,0.225,0.251315789473684,0.253302544440572,-0.0657758620689655,-0.358646616541353,0.358646616541353,0.358646616541353,0.363192071086808,-0.065748987854251,-0.2,-0.225,-0.1,0,0.0333333333333333,0.0627450980392157,0.220498451096686,-0.161212121212121,-0.296969696969697,-0.285714285714286,0.1,-0.243333333333333,0.271473354231975,0.142857142857143,0.15952380952381,-0.0137009803921569,-0.1,-0.310329985652798,-0.310329985652798,-0.1,-0.2,-0.1,-0.114718614718615,-0.0909090909090909,-0.285,-0.26,-0.3,-0.198290598290598,-0.200616179685947
"Frizzled",0.30812324929972,0.38231884057971,0.379461697722567,0.386666666666667,0.209307146753955,0.1,0.1,0.325504201680672,0.209935121264783,-0.0333333333333333,-0.0333333333333333,-0.0068879472693032,0.290415785764623,0.251315789473684,0.2,0.1,0.251315789473684,0.251315789473684,0.253302544440572,0.254254925392953,-0.0654604046557163,-0.363192071086808,0.363192071086808,0.363192071086808,0.362404669512005,-0.0634234064589022,-0.225,-0.251315789473684,-0.225,-0.1,0.0627450980392157,0.0886710239651416,0.220233199107296,-0.161212121212121,-0.312121212121212,-0.277777777777778,0.142857142857143,-0.243333333333333,0.267230929989551,0.15952380952381,0.161484593837535,-0.0147110814022579,-0.2,-0.307359688623095,-0.307359688623095,-0.1,-0.26,-0.0909090909090909,-0.108267001815389,-0.114718614718615,-0.31625,-0.285,-0.366666666666667,-0.200616179685947,-0.192204964732676
"DSH",0.303268880367681,0.379461697722567,0.377022673332323,0.38231884057971,0.204043988859218,0.2,0.1,0.32408576196436,0.20826699132624,-0.0333333333333333,-0.0627450980392157,-0.00747687542006881,0.295901017832134,0.254583763329893,0.225,0.2,0.253302544440572,0.251315789473684,0.254254925392953,0.253631595027859,-0.0648783324787664,-0.362404669512005,0.362404669512005,0.362404669512005,0.362124557467187,-0.0577957008311965,-0.251315789473684,-0.251315789473684,-0.251315789473684,-0.225,0.0886710239651416,0.0939341818598785,0.220042359412639,-0.158163340724316,-0.321877309682188,-0.270531400966184,0.15952380952381,-0.232843822843823,0.263750651567277,0.161484593837535,0.162183894536836,-0.0100599186115602,-0.26,-0.303422680749079,-0.303422680749079,-0.0909090909090909,-0.285,-0.114718614718615,-0.102745529422751,-0.108267001815389,-0.319698275862069,-0.31625,-0.386666666666667,-0.192204964732676,-0.188808738317582
"SHH",0.25,0.333333333333333,0.373333333333333,0.233333333333333,0.0666666666666667,0,0,0.1,0.0894444444444444,0,0.1,0.118566308243728,-0.219047619047619,-0.15,-0.1,0,-0.05,-0.1,-0.0433333333333333,-0.0322222222222222,0.20544061302682,-0.05,0.05,0.05,0.0884615384615385,-0.2,0.1,0.2,0.2,0.2,-0.1,-0.12,0.208051948051948,-0.166666666666667,-0.1,-0.266666666666667,-0.1,-0.26,0.241025641025641,-0.2,-0.2,-0.105714285714286,0,-0.3,-0.3,0,0,-0.1,-0.253333333333333,-0.133333333333333,0.05,0.1,-0.2,-0.0666666666666667,-0.1
"GSK3",0.298688727695925,0.377022673332323,0.372663698973349,0.379461697722567,0.20231388505299,0.26,0.0909090909090909,0.321909065421466,0.207773082863942,-0.0627450980392157,-0.0886710239651416,-0.00800737939884865,0.298488536858009,0.255527159556308,0.251315789473684,0.225,0.254254925392953,0.253302544440572,0.253631595027859,0.253105279238385,-0.0639292384321745,-0.362124557467187,0.362124557467187,0.362124557467187,0.361284221332733,-0.0544464185345458,-0.251315789473684,-0.254583763329893,-0.251315789473684,-0.251315789473684,0.0939341818598785,0.100184181859878,0.220148030423559,-0.155232508367927,-0.326993588751955,-0.266655431973935,0.161484593837535,-0.223069386753597,0.162253147407543,0.162183894536836,0.165041037393979,-0.00816210839258209,-0.285,-0.298222086395439,-0.298222086395439,-0.114718614718615,-0.31625,-0.108267001815389,-0.0993962471261002,-0.102745529422751,-0.315424771588565,-0.319698275862069,-0.38231884057971,-0.188808738317582,-0.184161062155663
"cfos",0.274571428571429,0.336134453781513,0.337649605296664,0.338095238095238,0.184232883558221,0.1,0.133333333333333,0.212770562770563,0.206788706156532,0.16,0.04,0.138221348688806,0.138275862068966,0.108888888888889,0.1,0.1,0.106186186186186,0.108888888888889,0.108166384205988,0.107796013835618,0.0976459064050305,-0.0867102396514161,0.0867102396514161,0.0867102396514161,0.0854907274562942,-0.0505062512810002,-0.12,-0.108888888888889,-0.12,-0.1,-0.00956521739130434,-0.0180397936624908,-0.133695372594696,-0.136215092097445,-0.205555555555556,-0.215011233492246,-0.0833333333333333,-0.218111888111888,-0.0631222943722944,-0.091025641025641,-0.101794871794872,-0.123611111111111,-0.133333333333333,-0.276530612244898,-0.276530612244898,-0.119047619047619,-0.158333333333333,-0.152380952380952,-0.1568413267338,-0.155606758832565,-0.18859649122807,-0.183333333333333,-0.342857142857143,-0.193915343915344,-0.192302440689537
"TrCP",0.274571428571429,0.337649605296664,0.336556709121801,0.336134453781513,0.184232883558221,0.133333333333333,0.119047619047619,0.213857519292302,0.206581093699785,0.04,0.00956521739130434,0.137488747956205,0.138904792886576,0.111327913279133,0.12,0.1,0.108166384205988,0.106186186186186,0.107796013835618,0.106830496594238,0.0983692337106363,-0.0854907274562942,0.0854907274562942,0.0854907274562942,0.0854907274562942,-0.0505062512810002,-0.108888888888889,-0.108888888888889,-0.108888888888889,-0.12,-0.0180397936624908,-0.0180397936624908,-0.134296876354094,-0.135707477884247,-0.208525852585259,-0.213340589100838,-0.091025641025641,-0.21313951242128,-0.0653041125541126,-0.101794871794872,-0.103992673992674,-0.121770620313565,-0.158333333333333,-0.275565982019818,-0.275565982019818,-0.152380952380952,-0.183333333333333,-0.155606758832565,-0.1558413267338,-0.1568413267338,-0.183040935672515,-0.18859649122807,-0.338095238095238,-0.192302440689537,-0.19036695681857
"PAK1",0.274571428571429,0.337649605296664,0.336556709121801,0.336134453781513,0.184232883558221,0.133333333333333,0.119047619047619,0.213857519292302,0.206581093699785,0.04,0.00956521739130434,0.137488747956205,0.138904792886576,0.111327913279133,0.12,0.1,0.108166384205988,0.106186186186186,0.107796013835618,0.106830496594238,0.0983692337106363,-0.0854907274562942,0.0854907274562942,0.0854907274562942,0.0854907274562942,-0.0505062512810002,-0.108888888888889,-0.108888888888889,-0.108888888888889,-0.12,-0.0180397936624908,-0.0180397936624908,-0.134296876354094,-0.135707477884247,-0.208525852585259,-0.213340589100838,-0.091025641025641,-0.21313951242128,-0.0653041125541126,-0.101794871794872,-0.103992673992674,-0.121770620313565,-0.158333333333333,-0.275565982019818,-0.275565982019818,-0.152380952380952,-0.183333333333333,-0.155606758832565,-0.1558413267338,-0.1568413267338,-0.183040935672515,-0.18859649122807,-0.338095238095238,-0.192302440689537,-0.19036695681857
"EGR1",0.274571428571429,0.337649605296664,0.336556709121801,0.336134453781513,0.184232883558221,0.133333333333333,0.119047619047619,0.213857519292302,0.206581093699785,0.04,0.00956521739130434,0.137488747956205,0.138904792886576,0.111327913279133,0.12,0.1,0.108166384205988,0.106186186186186,0.107796013835618,0.106830496594238,0.0983692337106363,-0.0854907274562942,0.0854907274562942,0.0854907274562942,0.0854907274562942,-0.0505062512810002,-0.108888888888889,-0.108888888888889,-0.108888888888889,-0.12,-0.0180397936624908,-0.0180397936624908,-0.134296876354094,-0.135707477884247,-0.208525852585259,-0.213340589100838,-0.091025641025641,-0.21313951242128,-0.0653041125541126,-0.101794871794872,-0.103992673992674,-0.121770620313565,-0.158333333333333,-0.275565982019818,-0.275565982019818,-0.152380952380952,-0.183333333333333,-0.155606758832565,-0.1558413267338,-0.1568413267338,-0.183040935672515,-0.18859649122807,-0.338095238095238,-0.192302440689537,-0.19036695681857
"AXIN2",0.267599945401211,0.224964355948869,0.222654124925767,0.223194444444444,0.21864546377731,0.2,-0.1,0.320036982274981,0.100255539716066,-0.0533333333333333,-0.0752845528455285,-0.256927981056396,0.715521591088922,0.361350209055192,0.313333333333333,0.266666666666667,0.361687490566213,0.354431970061481,0.364618322922602,0.365958573679195,-0.299120714375431,-0.372581751301474,0.372581751301474,0.372581751301474,0.375468890409086,-0.045895494045377,-0.338914728682171,-0.354431970061481,-0.338914728682171,-0.313333333333333,0.0911724033128182,0.105655161933508,0.342442624048561,-0.180925530480524,-0.241294005978438,-0.262796537163399,0.272982456140351,-0.254132301390366,0.315331348158579,0.289053884711779,0.298513344171239,0.251770338944252,-0.277777777777778,-0.274009819887278,-0.274009819887278,0.0923076923076923,-0.334299516908213,0.0970695970695971,0.104247583018075,0.100641025641026,-0.372270531400966,-0.358937198067633,-0.212083333333333,-0.203795721187026,-0.201414768806073
