"","GSK3","Csn","ILK","AKT","Destcompl","SHH","CDC42","NFB","Patched","SNAI2","IKK","KLF4","AXIN2","cateninnuc","DELTA","SMO","Jagged","EGR1","Csl","LIV1","NOTCHic","SOSGRB2","ZEB2","ZEB1","NOTCH","cateninmemb","STAT","MEK","miR200","ERK","cMet","CD44","DSH","SRC","Wnt","RAF","PI3K","GLI","RAS","TrCP","Frizzled","cfos","TCFLEF","Ecadherin","RKIP","TWIST1","FUS","TGFR","SMAD","PAK1","TGF","SUFU","SNAI1","HEY1","FOXC2"
"Destcompl",0.854317959636914,0.4,0.383412698412698,0.585768815211477,0.820731413136199,-0.029676155531572,0.392280084447572,0.465217391304348,-0.0391539118178389,0.67546338549363,0.52737955346651,0.408856391121933,0.616865543058769,0.643185001904174,0.671616764795665,-0.0521072796934866,-0.303603961830293,-0.0333333333333333,-0.353772032902468,0.377777777777778,-0.389641598119859,0.0619307079720043,-0.46144053859595,-0.46144053859595,0.417898111145911,0.340019327305845,-0.449206349206349,0.0222578555842718,0.092361774858424,0.0256333830104322,-0.545164912553995,-0.582478345389815,-0.449206349206349,-0.499891280713198,-0.544445736158743,-0.671616764795665,-0.671616764795665,-0.581737016307166,-0.716828695721882,-0.3,-0.499891280713198,0.0272727272727273,-0.615903002924062,-0.177055313036144,-0.647675328553182,-0.627390490910386,0.0521072796934866,-0.434911663394941,-0.418617376775271,-0.34469387755102,-0.472251564872773,0.0555555555555556,-0.755005031461175,-0.345997250612635,-0.693576799849682
"AXIN2",0.82442559995306,0.3,0.357602944559466,0.544589371980676,0.898976303291488,-0.0769076142436798,0.35212962962963,0.4,-0.0857600732600733,0.663080791664047,0.476811594202899,0.402995516203221,0.900116631187752,0.653571120231272,0.637712700342458,-0.0875457875457875,-0.334554153249805,-0.0266666666666667,-0.331228070175439,0.3,-0.381228070175439,0.0485729666935838,-0.457817707980365,-0.457817707980365,0.422444286391655,0.364627199450115,-0.386666666666667,0.0242329872219122,0.120757876350619,0.0263019527391536,-0.523755680299385,-0.574544323832508,-0.386666666666667,-0.463410852713178,-0.523755680299385,-0.637712700342458,-0.637712700342458,-0.57407014570819,-0.696767818452694,-0.2,-0.463410852713178,0.0291056910569106,-0.616865543058769,-0.178205361843328,-0.615787053448344,-0.605942156408688,0.0923076923076923,-0.405226974762373,-0.404428341384863,-0.289166666666667,-0.45176162822772,0.1,-0.723175825682803,-0.327524989492535,-0.652412989040624
"GSK3",0.662696465583631,0.325,0.354382614774818,0.483841732979664,0.739430664066083,0.167853018202993,0.513830227743271,0.375,0.168331487102514,0.483457811529499,0.442816091954023,0.345907650839184,0.445601464497993,0.45130105600124,0.57565668772124,0.156675045384723,0.00131718734571291,0.0709803921568627,-0.189775910364146,0.275,-0.201664022252258,0.169529899104488,-0.382608662958764,-0.382608662958764,0.219066619654855,0.0570302426368145,-0.311842105263158,-0.0767179051312178,0.0276567660456393,-0.0710360869493996,-0.380006722103271,-0.410959103055652,-0.311842105263158,-0.347556390977444,-0.380889724310777,-0.57565668772124,-0.57565668772124,-0.412021799782475,-0.609480217133005,-0.3,-0.347556390977444,-0.067276688453159,-0.432419477053871,-0.278944162436055,-0.533397216818269,-0.539680330246355,-0.117965367965368,-0.549718729485431,-0.384217697233589,-0.474782608695652,-0.576898216664919,-0.122727272727273,-0.647179289646428,-0.330555086769472,-0.708901217101952
"cateninnuc",0.664959840876445,0.375,0.260145743145743,0.53757196969697,0.712532944116495,-0.150374891383654,0.284,0.44469696969697,-0.16192173234226,0.662275397739484,0.49069696969697,0.291220305988989,0.600494893079969,0.395027587373034,0.592115137115137,-0.165027322404372,-0.294912019838948,-0.128985507246377,-0.439610797237916,0.296969696969697,-0.473331727470474,-0.0385106609087133,-0.380350449880802,-0.380350449880802,0.496968091106838,0.256470399618522,-0.335431235431235,0.121417483327174,0.0680039465068624,0.122334914519835,-0.415262153305632,-0.446611359654838,-0.335431235431235,-0.382653457653458,-0.413245410535464,-0.592115137115137,-0.592115137115137,-0.444075450061156,-0.627637022637023,-0.3,-0.38063671488329,0.127398205659075,-0.472078125898303,-0.0865417078117951,-0.512184870547153,-0.510514910487074,0.166666666666667,-0.316758620689655,-0.28975010876648,-0.244,-0.346671284445114,0.166666666666667,-0.58446668251931,-0.193854821639134,-0.614875501547633
"DSH",0.722596631972982,0.3,0.335892048737082,0.442816091954023,0.706003400945266,0.168331487102514,0.474782608695652,0.325,0.156675045384723,0.455157552685668,0.375,0.317663376030024,0.412876959170748,0.432419477053871,0.53784156167082,0.117965367965368,0.0131420048639611,0.0533333333333333,-0.164285714285714,0.2,-0.189775910364146,0.158832224685883,-0.354525453449106,-0.354525453449106,0.201664022252258,0.0490726829551169,-0.275,-0.0710360869493996,0.0294152654594728,-0.067276688453159,-0.347556390977444,-0.380006722103271,-0.275,-0.311842105263158,-0.347556390977444,-0.53784156167082,-0.53784156167082,-0.380889724310777,-0.57565668772124,-0.2,-0.311842105263158,-0.0709803921568627,-0.410959103055652,-0.2714038265783,-0.496555111555112,-0.504981226533167,-0.122727272727273,-0.513830227743271,-0.354382614774818,-0.44,-0.549718729485431,-0.15,-0.613181504485852,-0.317752318603382,-0.666955443577231
"Frizzled",0.678281086729363,0.2,0.299443450606241,0.375,0.664782026899464,0.156675045384723,0.44,0.3,0.117965367965368,0.420815294245622,0.325,0.305042016806723,0.377011980267794,0.410959103055652,0.49295967190704,0.122727272727273,0.0170179738562092,0.0333333333333333,-0.114285714285714,0.1,-0.164285714285714,0.151515151515151,-0.32302939045698,-0.32302939045698,0.189775910364146,0.0392964756524079,-0.2,-0.067276688453159,0.0160006313131313,-0.0709803921568627,-0.311842105263158,-0.347556390977444,-0.1,-0.275,-0.311842105263158,-0.49295967190704,-0.49295967190704,-0.347556390977444,-0.53784156167082,-0.1,-0.275,-0.0533333333333333,-0.380006722103271,-0.266048251512453,-0.446904761904762,-0.463137254901961,-0.15,-0.474782608695652,-0.335892048737082,-0.366666666666667,-0.513830227743271,-0.1,-0.571152518978606,-0.284418985270049,-0.613708690330477
"cateninmemb",0.520169013252198,0.26,0.195536231884058,0.417527657527658,0.554840281818242,-0.204454533909068,0.164787878787879,0.321904761904762,-0.205241935483871,0.510714236477212,0.381164021164021,0.248992030004688,0.450232995558785,0.443470492273547,0.449524886877828,-0.204166666666667,-0.309928241620816,-0.129090909090909,-0.337033492822967,0.266666666666667,-0.362806688699255,-0.0779121904246035,-0.322205919035112,-0.322205919035112,0.386970257472489,0.209574239375809,-0.307843137254902,0.122468713821049,0.0853894129871784,0.125998125585754,-0.374900771228613,-0.401322175910887,-0.307843137254902,-0.342726858185135,-0.373761340943755,-0.449524886877828,-0.449524886877828,-0.399761340943755,-0.481647791905761,-0.2,-0.342726858185135,0.129090909090909,-0.423862649136292,-0.130975716973167,-0.403752035373223,-0.479743357554071,0.216666666666667,-0.19649519586105,-0.228708144716988,-0.131454545454545,-0.221992483383653,0.233333333333333,-0.452478248338525,-0.137945970334443,-0.477953299178871
"Wnt",0.627978056426332,0.1,0.227350427350427,0.325,0.616240912841109,0.117965367965368,0.366666666666667,0.2,0.122727272727273,0.383275862068966,0.3,0.276470588235294,0.335151515151515,0.380006722103271,0.429323308270677,0.15,0.00590686274509804,0,-0.1,0,-0.114285714285714,0.142424242424242,-0.308177905308465,-0.308177905308465,0.164285714285714,0.0351694915254237,-0.1,-0.0709803921568627,0.0113131313131313,-0.0533333333333333,-0.275,-0.311842105263158,0,-0.2,-0.275,-0.429323308270677,-0.429323308270677,-0.311842105263158,-0.49295967190704,-0.1,-0.1,-0.0333333333333333,-0.347556390977444,-0.255092540556742,-0.393333333333333,-0.416470588235294,-0.1,-0.44,-0.299443450606241,-0.3,-0.474782608695652,0,-0.512422360248447,-0.218461538461538,-0.557894736842105
"AKT",0.551787459851976,0.366666666666667,0.268102761104442,0.364034005210476,0.611946806526382,0.137860998650472,0.305941176470588,0.384313725490196,0.126282051282051,0.279968400041088,0.412518853695324,0.259710976158345,0.367877600137528,0.376459493215618,0.437832888572615,0.101282051282051,0.00784652027419542,0.0333333333333333,-0.146153846153846,0.2,-0.171960297766749,0.106752136752137,-0.284165397780945,-0.284165397780945,0.182935907522847,0.0522908967055033,-0.255555555555556,-0.0440494936301975,0.0109279745248887,-0.0427836708453873,-0.312144184318097,-0.335308026126007,-0.255555555555556,-0.285990338164251,-0.312144184318097,-0.437832888572615,-0.437832888572615,-0.336166530686812,-0.466025659656952,-0.3,-0.285990338164251,-0.0509803921568627,-0.359844108600234,-0.199962446992426,-0.41054495376746,-0.301992983269017,-0.116666666666667,-0.331144428503109,-0.279887272888954,-0.277941176470588,-0.356824186811266,-0.15,-0.472155751698086,-0.255102745259881,-0.438877804266764
"ILK",0.518722943722944,0.3,0.236902761104442,0.412518853695324,0.579936880968069,0.126282051282051,0.277941176470588,0.366666666666667,0.101282051282051,0.254139254312445,0.384313725490196,0.253728070175439,0.341523809523809,0.359844108600234,0.40221645021645,0.116666666666667,0.00850877192982456,0.0333333333333333,-0.1,0.1,-0.146153846153846,0.102307692307692,-0.264302384082315,-0.264302384082315,0.171960297766749,0.0450533839634034,-0.2,-0.0427836708453873,-0.00137149071575301,-0.0509803921568627,-0.285990338164251,-0.312144184318097,-0.2,-0.255555555555556,-0.285990338164251,-0.40221645021645,-0.40221645021645,-0.312144184318097,-0.437832888572615,-0.2,-0.255555555555556,-0.0333333333333333,-0.335308026126007,-0.196629113659092,-0.372656755009696,-0.271106133116112,-0.15,-0.305941176470588,-0.268102761104442,-0.225,-0.331144428503109,-0.1,-0.439323671497585,-0.225779436989204,-0.40053193960511
