"","AXIN2","TCFLEF","CD44","cMet","Destcompl","STAT","ZEB2","DSH","TGFR","CDC42","TGF","PAK1","LIV1","FOXC2","TWIST1","DELTA","NOTCH","Jagged","Csl","GSK3","NOTCHic","miR200","KLF4","ZEB1","ILK","AKT","NFB","Csn","SNAI1","cfos","TrCP","SUFU","EGR1","RKIP","MEK","ERK","SMAD","HEY1","FUS","IKK","Patched","SNAI2","SHH","SMO","RAF","PI3K","RAS","SOSGRB2","Ecadherin","Frizzled","Wnt","SRC","GLI","cateninmemb","cateninnuc"
"Destcompl",0.672660805287648,0.689042556298741,0.647261734380933,0.596515465724216,0.697219411037514,0.471428571428571,-0.397346152151888,0.471428571428571,-0.166239119967406,-0.165186488388459,-0.168111041149672,-0.158979591836735,0.4,0.372080759250339,0.0620563740072454,-0.150956234158538,0.161932199691196,0.474662231454186,0.110795142969056,0.741932151531004,0.136882099490795,-0.0941795567266928,-0.357781616648727,0.301464472930708,0.0246825396825397,-0.129076727734446,-0.133333333333333,-0.133333333333333,-0.6050319471823,0.19011655011655,-0.133333333333333,-0.188888888888889,-0.181025641025641,-0.503604049843007,0.20615722245521,0.199406167602889,-0.0255012531328321,-0.0302169625246548,-0.21992337164751,0.132432432432432,-0.27674054411235,-0.598099299756885,-0.298984257845426,-0.251351943076081,0.150956234158538,0.150956234158538,0.144519813436403,0.285972819741451,-0.355658923477158,-0.541291585127202,-0.595747030671756,-0.541291585127202,-0.646025323807192,-0.612427216364288,-0.724840618511898
"GSK3",0.432951858196695,0.436362037733374,0.40813407691414,0.375753124533187,0.643972570047457,0.293421052631579,-0.302229052796435,0.293421052631579,-0.340837246881786,-0.335610766045549,-0.340324426368965,-0.332753623188406,0.225,0.24683151202123,-0.0645690702793772,-0.219250672050458,-0.0156363244598539,0.188766845817456,-0.0514005602240896,0.593148511569324,-0.0325194413429708,-0.0363385348387082,-0.281640734556626,0.198644564924338,0.00480950534827256,-0.141989758325965,-0.144583333333333,-0.138333333333333,-0.460457251994158,0.133202614379085,-0.113333333333333,-0.0409090909090909,-0.110980392156863,-0.361678847468321,0.149961841993576,0.145984569266303,-0.0031603299359787,-0.000628085257401311,-0.0551948051948052,0.141135057471264,-0.0874330794873047,-0.422199072672225,-0.103222553171515,-0.0745496439044826,0.219250672050458,0.219250672050458,0.214838907344575,0.37559806803142,-0.217524494363771,-0.332706766917293,-0.375190427048012,-0.332706766917293,-0.406794200632918,-0.296915766298894,-0.461033090364953
"Frizzled",0.351966173361522,0.375753124533187,0.332706766917293,0.293421052631579,0.594385910407599,0.2,-0.275024503885109,0.1,-0.332753623188406,-0.306666666666667,-0.335610766045549,-0.3,0.1,0.20864513699275,-0.0792156862745098,-0.220984278879016,-0.0514005602240896,0.143477421271539,-0.0857142857142857,0.637366771159875,-0.0690476190476191,-0.0335006313131313,-0.250980392156863,0.167132122107476,0.00536672629695886,-0.144583333333333,-0.113333333333333,-0.133333333333333,-0.414941338854382,0.0933333333333333,-0.1,0,-0.133333333333333,-0.315714285714286,0.133202614379085,0.110980392156863,-0.00443214685770652,0.00110201854882706,-0.05,0.138333333333333,-0.0551948051948052,-0.371054062873926,-0.0745496439044826,-0.0409090909090909,0.220984278879016,0.220984278879016,0.221771680453819,0.324242424242424,-0.18079100286024,-0.225,-0.293421052631579,-0.225,-0.332706766917293,-0.246216707021792,-0.40813407691414
"Wnt",0.305454545454545,0.332706766917293,0.293421052631579,0.225,0.559107395818739,0.1,-0.254232424677188,0,-0.306666666666667,-0.3,-0.332753623188406,-0.3,0,0.190040485829959,-0.0858823529411765,-0.230075187969925,-0.0690476190476191,0.120245098039216,-0.1,0.60282131661442,-0.0857142857142857,-0.0413131313131313,-0.217647058823529,0.156241032998565,0.00769230769230769,-0.138333333333333,-0.133333333333333,-0.1,-0.380020703933747,0.133333333333333,-0.1,0,-0.1,-0.28,0.110980392156863,0.0933333333333333,-0.00536672629695886,-0.00102564102564102,0,0.113333333333333,-0.0409090909090909,-0.337931034482759,-0.0551948051948052,-0.05,0.230075187969925,0.230075187969925,0.220984278879016,0.327272727272727,-0.16097748304672,-0.1,-0.225,-0.2,-0.293421052631579,-0.21478813559322,-0.375753124533187
"PI3K",0.336571428571429,0.346800445930881,0.313467112597547,0.281159420289855,0.531352378860615,0.2,-0.251637453949397,0.2,-0.221882352941176,-0.205882352941176,-0.225947393591583,-0.2,0.1,0.290448315911731,0.0192037470725995,-0.18604329004329,-0.046712158808933,0.123947368421053,-0.075,0.491125541125541,-0.0596153846153846,-0.0334397363085888,-0.232456140350877,0.156769073469984,0.0171748699479792,-0.220211161387632,-0.2,-0.233333333333333,-0.37384460547504,0.104761904761905,-0.2,0,-0.133333333333333,-0.303587588881707,0.13716306194609,0.122408963585434,-0.0163748699479792,-0.0100561665489523,-0.05,0.217647058823529,-0.0653846153846154,-0.23073499304913,-0.0792735042735043,-0.05,0.18604329004329,0.18604329004329,0.184673427029591,0.273076923076923,-0.175088855036398,-0.233333333333333,-0.281159420289855,-0.233333333333333,-0.313467112597547,-0.227053884860237,-0.372573641807169
"SRC",0.350223128904756,0.369670131947221,0.329426229508197,0.295,0.364774645644211,0.1,-0.226504941599281,0.2,-0.282738095238095,-0.254166666666667,-0.279101731601732,-0.266666666666667,0,0.191484593837535,-0.0192913982569155,-0.13340008343763,-0.0366666666666667,0.117062455892731,-0.095,0.466580086580087,-0.0616666666666667,-0.0294158981115503,-0.306201550387597,0.131154537286613,0.00723684210526316,-0.0952991452991453,-0.0666666666666667,-0.1,-0.341091097748862,0.0878787878787879,-0.1,-0.0333333333333333,-0.133333333333333,-0.20257412838058,0.134629311987803,0.11010101010101,-0.0135431484115695,0.0275902019198941,-0.0833333333333333,0.0897435897435898,-0.067037037037037,-0.336362619106896,-0.0846840958605664,-0.0633333333333333,0.13340008343763,0.13340008343763,0.13340008343763,0.285714285714286,-0.326970404323346,-0.225,-0.295,-0.225,-0.329426229508197,-0.361564137105224,-0.396739483177646
"Csl",0.234272833868798,0.21836192887447,0.204163455592027,0.182530802530803,0.216962117867276,0.133846153846154,-0.160562806380726,0.133846153846154,-0.187129466018309,-0.185218637992832,-0.184181620213321,-0.188444444444444,0.08,0.0869946198724206,-0.0404158364380431,0.112113164197122,0.110134500474059,0.123435500144937,0.0789861751152074,0.18090898201828,0.0974072277467863,-0.00959240238396988,-0.148019323671498,0.145403332710563,-0.0316204179513532,0.0250645994832041,0.0111111111111111,0.0222222222222222,-0.202007533529273,-0.0838095238095238,0.0333333333333333,-0.00833333333333333,0.126666666666667,-0.166098126077132,-0.0712939958592132,-0.0723809523809524,0.0377315290624643,-0.0736612236867991,-0.000641025641025639,-0.0227390180878553,-0.0258149661849852,-0.335307234141104,-0.0404701385987783,-0.0182880844645551,-0.112113164197122,-0.112113164197122,-0.119098458314769,0.218270898976932,-0.178955491290813,-0.155058275058275,-0.181939995488383,-0.155058275058275,-0.202907737423866,-0.228394276737898,-0.234199550372469
"NOTCH",0.182587601078167,0.182530802530803,0.155058275058275,0.133846153846154,0.190598924692383,0.1,-0.153945249597424,0.1,-0.188444444444444,-0.144444444444444,-0.185218637992832,-0.2,0,0.0622448979591837,-0.0535254237288136,0.107272727272727,0.0789861751152074,0.0954208754208754,0.12,0.151158133054685,0.162857142857143,-0.0051948051948052,-0.128019323671498,0.118196457326892,-0.0380952380952381,0.0111111111111111,0.0333333333333333,0,-0.181410256410256,-0.06,0,0,0,-0.135190097259063,-0.0838095238095238,-0.126666666666667,0.0380952380952381,-0.0623188405797101,-0.0333333333333333,-0.0222222222222222,-0.000641025641025639,-0.305325720031602,-0.0182880844645551,-0.00833333333333333,-0.107272727272727,-0.107272727272727,-0.111620553359684,0.172631578947368,-0.152138653084324,-0.08,-0.133846153846154,-0.08,-0.155058275058275,-0.199760064432286,-0.204163455592027
"NOTCHic",0.210365378855945,0.204163455592027,0.182530802530803,0.155058275058275,0.205932258025716,0.08,-0.151723027375201,0.08,-0.185218637992832,-0.188444444444444,-0.187129466018309,-0.144444444444444,0.1,0.0783739302172482,-0.047865046370323,0.111620553359684,0.0974072277467863,0.111977166811604,0.162857142857143,0.166034166112536,0.0789861751152074,-0.0115531866976954,-0.149447895100069,0.142640901771337,-0.0380952380952381,0.0227390180878553,0.0222222222222222,0.0333333333333333,-0.192521367521368,-0.126666666666667,0,-0.0333333333333333,0.06,-0.161950660639344,-0.0723809523809524,-0.0838095238095238,0.0316204179513532,-0.0638573021181717,-0.00833333333333333,-0.0111111111111111,-0.0182880844645551,-0.321958986564669,-0.0258149661849852,-0.000641025641025639,-0.111620553359684,-0.111620553359684,-0.112113164197122,0.20444976076555,-0.171281072686161,-0.133846153846154,-0.155058275058275,-0.133846153846154,-0.181939995488383,-0.211727610071231,-0.21836192887447
"SMAD",-0.0618397789970971,-0.0617643384807564,-0.0586435786435786,-0.0568253968253968,0.0121647560532312,-0.0457142857142857,-0.148547435620672,-0.019047619047619,-0.282626859855595,-0.277598926894702,-0.283025266230097,-0.276190476190476,-0.06,0.0389287253344381,-0.156650087684379,-0.0834896689918524,0.0792446633825944,0.0924661360145231,0.0780952380952381,0.127550948077264,0.0792446633825944,-0.00305860388376915,-0.148974553200982,0.140450221333705,-0.139576587795766,-0.144481792717087,-0.147619047619048,-0.133333333333333,-0.184399213241955,0.00691244239631337,-0.1,0.116666666666667,0.0285714285714286,-0.154479493543223,0.00266378407788761,0.00458686100096453,0.0448146830338611,0.123851448506706,0.129166666666667,0.13781512605042,0.132423547400612,-0.124918460923766,0.132051800188716,0.124166666666667,0.0834896689918524,0.0834896689918524,0.0821738795181682,0.215661047027507,0.0561435843945553,0.0301587301587302,0.0301587301587302,0.0568253968253968,0.0323170035400251,0.062242117278139,0.0618656556033501
