"","TGFR","TGF","MEK","cfos","cMet","CD44","AKT","SRC","IKK","NFB","Wnt","Frizzled","FUS","DSH","SHH","SUFU","RKIP","TWIST1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","FOXC2","TrCP","LIV1","AXIN2","Patched","Csn","SMO","SNAI1","STAT","GLI","ILK","SMAD","EGR1","TCFLEF","cateninnuc","ERK","HEY1","Destcompl","SOSGRB2","Csl","NOTCHic","NOTCH","PAK1","Jagged","CDC42","cateninmemb","Ecadherin","miR200","ZEB2","ZEB1","KLF4"
"TGFR",0.31015873015873,0.312286389733198,0.248687929870338,0.23483709273183,0.0256603773584906,0.0243445878848064,0.0278822055137845,0.02,0.0278822055137845,0.0226190476190476,0.0113746630727763,0.00571428571428572,0.17,-0.0142857142857143,0.17239991233197,0.153333333333333,0.128961038961039,0.214869513641756,-0.181811002504091,0.0357052669121148,-0.191102756892231,-0.192857142857143,-0.192857142857143,-0.192857142857143,-0.0107158452900811,-0.0333333333333333,0,-0.0126219618351235,-0.174094827586207,-0.00833333333333333,-0.180344827586207,-0.250118978634666,0,-0.00943917920180854,-0.182424242424242,-0.186338833171573,-0.219047619047619,-0.026736932382414,-0.0271798021786939,-0.245948203842941,-0.18548360710952,-0.0726983244860449,-0.408641975308642,-0.0233333333333333,-0.0336781609195402,-0.0358364343008352,-0.391111111111111,-0.176772907728757,-0.41015873015873,-0.043402237061142,-0.0551631454786096,0.0456133487696335,-0.162491326633635,-0.162491326633635,-0.158242980640006
"TGF",0.41015873015873,0.31015873015873,0.245948203842941,0.219047619047619,0.02,0.0256603773584906,0.0278822055137845,0,0.0226190476190476,0.00833333333333333,0.00571428571428572,-0.0142857142857143,0.153333333333333,0,0.174094827586207,0.133333333333333,0.124675324675325,0.211666666666667,-0.182505446948535,0.0379057559096698,-0.192857142857143,-0.2,-0.2,-0.2,-0.00678571428571428,0,0,-0.0130511463844797,-0.180344827586207,-0.0333333333333333,-0.17,-0.246284170375079,0,-0.0113746630727763,-0.182424242424242,-0.182424242424242,-0.233333333333333,-0.0243445878848064,-0.026736932382414,-0.23483709273183,-0.186976144422953,-0.0726983244860449,-0.4,-0.0133333333333333,-0.0233333333333333,-0.0336781609195402,-0.38,-0.177497545409917,-0.391111111111111,-0.0403999275923198,-0.0544817144734989,0.046493114165528,-0.158340383237408,-0.158340383237408,-0.152885837782863
"LIV1",0.244703335879806,0.24579623205467,0.202793416850897,0.195652173913043,-0.0561861861861862,-0.0522257901465822,0.024537037037037,-0.0588888888888889,0.0208333333333333,0.0208333333333333,-0.0562573099415205,-0.0588888888888889,0.0595238095238095,-0.07,0.0674357967798828,0.0761904761904762,0.111266081984314,0.131532467532468,-0.236005220564031,-0.0786877705627706,-0.125571931655145,-0.129662840746055,-0.129662840746055,-0.129662840746055,-0.0137905591168343,-0.0333333333333333,0.05,0.0550556123555473,-0.0704357967798828,-0.0333333333333333,-0.0692012288786482,-0.163013264793271,0.07,0.052842675795179,-0.0756101723843659,-0.0781908175456562,-0.2,0.0533369012576933,0.0514058667749347,-0.20412675018423,-0.076440456242467,0.0608632230645771,-0.261894939493949,-0.00128205128205128,-0.0058974358974359,-0.00919413919413919,-0.228571428571429,-0.0431367160872529,-0.246218487394958,0.0659887282374456,0.0432273464267729,0.0567739632385795,-0.111339147536138,-0.111339147536138,-0.098991933385376
"NOTCH",0.227555555555556,0.24368458781362,0.17952380952381,0.22,-0.0630769230769231,-0.053986013986014,0.0111111111111111,-0.04,0.0222222222222222,0.0333333333333333,-0.0630769230769231,-0.04,0.0333333333333333,-0.1,0.0720211161387632,0,0.0941644562334217,0.134084745762712,-0.237658311187723,-0.0854406130268199,-0.130540184453228,-0.129090909090909,-0.129090909090909,-0.129090909090909,0.00408163265306122,0,0,0.0478167115902965,-0.0602564102564102,0,-0.0833333333333333,-0.140128205128205,0.1,0.053986013986014,-0.0714285714285714,-0.0814285714285714,-0.2,0.0506893106893107,0.0461995147709433,-0.186666666666667,0.0289855072463768,0.069041388518024,-0.275789473684211,0.12,0.105714285714286,0.0218433179723502,-0.2,-0.0185762385762386,-0.255555555555556,0.0977832152362054,0.0676129032258065,0.0673593073593074,-0.108454106280193,-0.108454106280193,-0.0751207729468599
"Csl",0.243047645138461,0.244181431986533,0.184834368530021,0.17952380952381,-0.0506893106893107,-0.0461995147709433,0.0126614987080103,-0.053986013986014,0.00878552971576227,0.0111111111111111,-0.0507602075344011,-0.053986013986014,0.0602564102564102,-0.0630769230769231,0.0700745087972726,0.0833333333333333,0.101563690347785,0.13197221967557,-0.235630990326762,-0.0782728042657591,-0.124282940176207,-0.129062351940913,-0.129062351940913,-0.129062351940913,0.003284450598927,-0.0333333333333333,0.04,0.0484879483797852,-0.0752469225903761,-0.0222222222222222,-0.0720211161387632,-0.148319852450287,0.0630769230769231,0.0467279494698849,-0.0749537512846865,-0.0771759735069087,-0.186666666666667,0.0478789040839204,0.045877760573343,-0.188095238095238,0.0258683629527619,0.0676794141121739,-0.266218150698253,0.0218433179723502,0.0192117390249818,0.0155753753886182,-0.227555555555556,-0.0250573368102342,-0.24368458781362,0.094681379753515,0.0631406997997585,0.0575188650809188,-0.106158219232925,-0.106158219232925,-0.0936922015182885
"AXIN2",0.100611411559052,0.102261576575553,0.133867775480849,0.137560975609756,0.0904865009355787,0.0926947028283232,0.146231884057971,0.0956589147286822,0.147342995169082,0.148792270531401,0.0904865009355787,0.0956589147286822,-0.0923076923076923,0.0933333333333333,-0.0821535158830241,-0.1,0.109669443459766,0.0188286616346116,0.133241567756738,0.102525729038315,0.134713517118225,0.135238451501427,0.135238451501427,0.135238451501427,-0.106953312105537,-0.133333333333333,-0.1,-0.0975873623596796,0.0857600732600733,-0.144444444444444,0.0875457875457875,-0.125581033449436,-0.0933333333333333,-0.093002224206019,-0.0249827467218772,-0.0249827467218772,-0.14,-0.0930464027110899,-0.0938678467231954,-0.136626396170504,-0.0329771237479148,-0.114516751411991,-0.0332259481207588,-0.126666666666667,-0.126666666666667,-0.123963963963964,-0.102916666666667,-0.103607062737498,-0.104151234567901,-0.0860509748948449,0.0300980842487263,0.0639270538963243,-0.0988183542883359,-0.0988183542883359,-0.091138204472465
"cfos",0.246218487394958,0.244703335879806,0.20412675018423,0.2,-0.0588888888888889,-0.0561861861861862,0.0208333333333333,-0.07,0.0208333333333333,0.0333333333333333,-0.0588888888888889,-0.07,0.0761904761904762,-0.05,0.0704357967798828,0.0333333333333333,0.106293706293706,0.131532467532468,-0.236186052390432,-0.0805059523809524,-0.129662840746055,-0.130882352941176,-0.130882352941176,-0.130882352941176,-0.0103422832547653,0,0.1,0.0594581280788177,-0.0692012288786482,-0.0333333333333333,-0.0595238095238095,-0.160387966463916,0.05,0.0562573099415205,-0.0788359788359788,-0.0756101723843659,-0.32,0.0522257901465822,0.0533369012576933,-0.195652173913043,-0.0779110444777611,0.0607128471247274,-0.256944444444444,-0.0166666666666667,-0.00128205128205128,-0.0058974358974359,-0.242857142857143,-0.0419097222222222,-0.228571428571429,0.0680033802520976,0.0430197339700255,0.0466216789746201,-0.0987989546100926,-0.0987989546100926,-0.113746031746032
"STAT",0.211662679425837,0.210213404063518,0.237128399746996,0.233333333333333,0.0349025974025974,0.0340478965478965,0.0435431799838579,0.0303571428571429,0.0452380952380952,0.05,0.0349025974025974,0.0303571428571429,0.05,0.0428571428571429,0.0385202716608356,0,0.116322393822394,0.0568612879707332,-0.0554809674173592,0.0498909657320872,0.0389936175203388,0.041232423490488,0.041232423490488,0.041232423490488,-0.0428166325835037,0,0.1,-0.037634130575307,-0.0323255813953488,-0.05,-0.03,-0.166642704632202,-0.0428571428571429,-0.0340622612681436,-0.0760064412238325,-0.0737075906491199,-0.233333333333333,-0.0381488429201363,-0.0365993792729373,-0.227450980392157,-0.0786666666666667,-0.0777522610023008,-0.135837438423645,-0.0509803921568627,-0.0428722840487546,-0.0438431578351624,-0.213636363636364,-0.049171064434581,-0.201136363636364,-0.12672027535429,-0.0675543386326485,0.0494400629030893,-0.0983772637618791,-0.0983772637618791,-0.212655971479501
"NOTCHic",0.24368458781362,0.243047645138461,0.188095238095238,0.186666666666667,-0.053986013986014,-0.0506893106893107,0.00878552971576227,-0.0630769230769231,0.0111111111111111,0.0222222222222222,-0.053986013986014,-0.0630769230769231,0.0833333333333333,-0.04,0.0752469225903761,0.0333333333333333,0.0955729069376471,0.132197953309882,-0.235854703973294,-0.0804819353408695,-0.129062351940913,-0.130540184453228,-0.130540184453228,-0.130540184453228,0.00730743910467413,0,0.1,0.053372267145852,-0.0720211161387632,-0.0333333333333333,-0.0602564102564102,-0.145948310948311,0.04,0.0507602075344011,-0.0814285714285714,-0.0749537512846865,-0.22,0.0461995147709433,0.0478789040839204,-0.17952380952381,0.0212931995540691,0.0673747218513574,-0.262153110047847,0.105714285714286,0.0218433179723502,0.0192117390249818,-0.255555555555556,-0.0245365034769008,-0.227555555555556,0.0963633369400594,0.0625593044509213,0.0459720241223131,-0.0928985507246377,-0.0928985507246377,-0.110835058661146
"Patched",0.0866666666666667,0.0866666666666667,0.167692307692308,0.1,0.1,0.106666666666667,0.142857142857143,0.1,0.1,0.1,0.2,0.2,-0.3,0.2,-0.213333333333333,-0.2,0.18,0.0462962962962963,0.218329501915709,0.176923076923077,0.251442307692308,0.257692307692308,0.257692307692308,0.257692307692308,-0.175,0,-0.1,-0.0281385281385281,0.213333333333333,0,0.333333333333333,-0.190322580645161,-0.1,-0.2125,0,-0.01,-0.1,-0.09,-0.0948543689320388,-0.16,-0.00769230769230769,-0.164755244755245,0.0666666666666667,-0.2,-0.2,-0.227272727272727,0.0333333333333333,-0.097989417989418,-0.0666666666666667,-0.0758781362007168,0.0356903991370011,0.0619047619047619,-0.0833333333333333,-0.0833333333333333,-0.0444444444444444
