"","GSK3","SOSGRB2","TGFR","CDC42","ZEB2","TGF","Destcompl","FOXC2","SUFU","cateninnuc","TWIST1","GLI","DSH","Wnt","Frizzled","LIV1","RAS","PI3K","DELTA","SHH","Patched","NOTCHic","KLF4","SNAI1","ERK","MEK","SMO","SMAD","FUS","miR200","Csl","IKK","cfos","ILK","HEY1","EGR1","RKIP","NFB","NOTCH","Jagged","RAF","AKT","SRC","cMet","AXIN2","TCFLEF","Csn","CD44","STAT","cateninmemb","PAK1","Ecadherin","TrCP","ZEB1","SNAI2"
"TCFLEF",-0.0954683907358466,-0.316734530938124,-0.427511299104431,-0.422838401908169,-0.17405249867092,-0.424862292481914,-0.0470058230615205,-0.0110111268800918,-0.1,-0.00430662995825416,-0.249938043551271,-0.110930927554968,-0.105882352941176,-0.108446455505279,-0.105882352941176,-0.1,0.0224277301249815,0.025975693331289,0.025975693331289,-0.0915179101523847,-0.0896774193548387,-0.164976885062968,-0.0792414693149987,-0.217947949307782,-0.030650406504065,-0.0313306786129086,-0.08,-0.0221858261157849,-0.08,-0.0209333437646691,0.161055316435517,-0.0743007959782153,0.031602787456446,-0.0216122123490545,-0.0615849272052526,0.0242857142857143,0.197588740414198,-0.0646233766233766,0.166638014631075,0.0960115115562169,-0.025975693331289,-0.0623442742390849,0.1,0.102564102564103,0.0276815628815629,0.00404889799949127,-0.0766233766233766,0.105079825834543,0.1,0.108681693203068,0.42051282051282,0.133098375797441,-0.0857142857142857,0.17405249867092,0.299440144845021
"SRC",-0.023030303030303,-0.347142857142857,-0.325595238095238,-0.320833333333333,-0.170537586103624,-0.331049783549784,-0.0268350852046504,0.087889822595705,-0.0333333333333333,-0.0263068866413166,-0.188044713906783,-0.0231967213114754,0,-0.015,-0.025,-0.2,-0.0307126332157621,-0.0488944513975803,-0.0488944513975803,-0.0181045751633987,-0.0122222222222222,-0.0866666666666667,-0.0662144702842377,-0.203815713509188,0.135353535353535,0.137240327806366,-0.0233333333333333,0.00915718349928876,-0.0833333333333333,-0.00929585712194407,0.12,-0.0423076923076923,-0.157575757575758,0.00285087719298245,-0.0335484938761999,-0.166666666666667,0.328641251221896,-0.05,0.0866666666666667,0.00964302517054811,0.0488944513975803,-0.0756410256410256,0.025,0.015,0.0359173785541247,0.0256357457017193,-0.05,0.0231967213114754,0.1,0.0620932495135459,0.333333333333333,0.0548017995076819,-0.1,0.170537586103624,0.176389193430354
"PI3K",-0.0686868686868687,-0.0915384615384615,-0.216588235294118,-0.220588235294118,-0.122819838680884,-0.217401243424199,0.00617656594814513,0.0782485481997677,-0.1,0.0910023815316722,-0.0471721594316035,0.0911631363805277,0.1,0.101932367149758,0.0888888888888889,0.1,-0.167532704738184,-0.179861471861472,-0.179861471861472,-0.0303418803418803,-0.0358974358974359,0.0903846153846154,-0.113377192982456,-0.118522544283414,-0.0795518207282913,-0.0713550994168159,-0.0666666666666667,0.0535513405362145,-0.1,-0.0105788724641184,-0.075,0.0823529411764706,0.0619047619047619,0.0383513405362145,0.0512326371371876,0.0333333333333333,0.130332902391726,0.1,-0.10651364764268,0.0128070175438597,0.179861471861472,0.0541478129713424,-0.0888888888888889,-0.101932367149758,-0.0652380952380952,-0.0928580516347649,0.1,-0.0911631363805277,-0.1,0.0210699863032774,0.25,-0.0695637486336256,0,0.122819838680884,0.053146151542378
"SNAI2",-0.103497563842879,-0.200845165652468,-0.166120807297278,-0.165266106442577,-0.11603608139291,-0.170468633384234,-0.0987522106801,-0.0729341905063087,-0.1,-0.134609403292335,-0.157590639895999,-0.133851020561874,-0.129090909090909,-0.133316261203585,-0.129090909090909,-0.12,0.0776513824901327,0.0758248984718678,0.0758248984718678,-0.135606242496999,-0.135606242496999,-0.147368421052632,-0.0975,-0.111269013588855,0.092156862745098,0.088102808691044,-0.137647058823529,0.0209967941621018,-0.12,0.0551275924576869,0.149122807017544,-0.0744252873563218,-0.0941176470588235,0.0243460764587525,0.00215491259795057,-0.1,0.116474358974359,-0.0916666666666667,0.149965823650034,0.135979859900467,-0.0758248984718678,-0.0780397451876471,0.129090909090909,0.133316261203585,0.0895681888637931,0.133522446770595,-0.0666666666666667,0.133316261203585,0.129090909090909,0.195645945464182,0.150980392156863,0.441807445527963,-0.1,0.11603608139291,0.43991165592077
"RAS",-0.00179586563307493,-0.194372294372294,-0.174117647058824,-0.18,-0.114002209131075,-0.171147350029121,-0.0341260405213894,0.0420634920634921,0.1,0.0424797803748475,-0.139847244953628,0.0482843137254902,0.1,0.0441176470588235,0.05,0,-0.159871794871795,-0.0541025641025641,-0.0541025641025641,0.00475706214689265,-0.0206666666666667,-0.0368421052631579,-0.106785714285714,-0.163274336283186,0.0936842105263158,0.0838802889576883,-0.0166666666666667,-0.0278293135435993,0,0.0596307692307692,0,0.00666666666666667,-0.12,-0.0155844155844156,-0.00474308300395257,-0.12,0.223672955974843,0,0.0349553128103277,-0.052434456928839,0.0541025641025641,0.00666666666666667,-0.05,-0.0441176470588235,-0.0476416337285903,-0.041629922017907,-0.1,-0.0462453066332916,-0.1,0.0470325768642243,0.22,0.0538210576281457,-0.1,0.114002209131075,0.317265812673293
"ZEB2",-0.157966368104795,-0.131501831501832,-0.104118738404453,-0.102077922077922,-0.101431353470582,-0.0972404315261458,-0.0865424543943153,-0.0807319347319347,-0.075,-0.0665545122587376,-0.0665110132471373,-0.0604929321443083,-0.0590909090909091,-0.054988344988345,-0.0524242424242424,-0.05,-0.0449034085115456,-0.039978354978355,-0.039978354978355,-0.0305020589166931,-0.021411149825784,-0.0193846153846154,-0.0138404651462104,-0.00843936553798451,-0.00360780984719864,-0.00238829765207669,0.00785714285714285,0.00884330372478775,0.0107142857142857,0.0118609408733199,0.0153846153846154,0.0180555555555556,0.0197368421052632,0.0198189134808853,0.0239645838032935,0.025,0.0257648953301127,0.0291666666666667,0.0319529213955443,0.0389754798920302,0.039978354978355,0.0451583592938733,0.0633333333333333,0.0633333333333333,0.0644531094598535,0.0665545122587376,0.0666666666666667,0.067962962962963,0.07,0.0801048047035724,0.0857142857142857,0.0965008951344335,0.1,0.101431353470582,0.109220420090635
"cMet",-0.0878648233486943,-0.0633333333333333,-0.0855555555555556,-0.113333333333333,-0.0848484848484848,-0.0898108747044917,-0.0814526547719825,0.0512341772151899,-0.1,-0.0127354133187795,-0.0587776268675145,-0.0109090909090909,-0.1,-0.02,0,-0.1,-0.021832884097035,-0.0142857142857143,-0.0142857142857143,-0.109204545454545,-0.115454545454545,-0.127067669172932,0.0222222222222222,-0.0621568044404797,-0.03,-0.0390909090909091,-0.17,0.111471861471861,-0.15,0.044883069828722,0.142857142857143,0.14,0.02,0.102380952380952,0.0833505331957344,0,-0.0274074074074074,0.133333333333333,0.10791873300272,0.108728083510692,0.0142857142857143,0.1275,0.1,0.02,0.0193650793650794,0.00991055456171735,0.1,0.00837209302325581,0.2,0.0166114608997171,0.113333333333333,-0.0188729318275555,0.1,0.0848484848484848,-0.212230397339886
"CD44",-0.102380952380952,-0.0833333333333333,-0.113333333333333,-0.113333333333333,-0.0777777777777778,-0.0855555555555556,-0.069966168285496,0.0525,-0.1,-0.00991055456171735,-0.0643956043956044,-0.02,0,0,-0.1,-0.1,-0.0142857142857143,-0.0285714285714286,-0.0285714285714286,-0.115454545454545,-0.17,-0.142857142857143,0.0317460317460317,-0.0502923976608187,-0.02,-0.03,-0.15,0.102380952380952,-0.1,0.051133069828722,0.1,0.133333333333333,0,0.116666666666667,0.0970760233918129,0,-0.0237037037037037,0.1,0.127067669172932,0.121771561771562,0.0285714285714286,0.14,0.2,0.1,0.04,0.00837209302325581,0.1,0.02,0.1,0.0191025641025641,0.133333333333333,-0.0216719140158506,0,0.0777777777777778,-0.209310689310689
"NOTCH",0.0412312783002438,-0.113684210526316,-0.0866666666666667,-0.0666666666666667,-0.0774557165861514,-0.0963440860215054,0.000611987154043229,-0.0514285714285714,-0.1,-0.0143979829694115,-0.0726440677966102,-0.0120745920745921,0,0.00307692307692308,-0.02,0,-0.0235836627140975,-0.0424242424242424,-0.0424242424242424,-0.010369532428356,-0.00448717948717948,-0.177142857142857,-0.0589371980676328,-0.0164102564102564,-0.0933333333333333,-0.0719047619047619,-0.0583333333333333,0.0038095238095238,-0.133333333333333,-0.0163636363636364,0.22,0.0777777777777778,0.06,-0.0428571428571429,-0.153623188405797,0,0.0736516357206013,0.133333333333333,0.0416589861751152,0.0406830206830207,0.0424242424242424,0.0333333333333333,0.02,-0.00307692307692308,0.011266846361186,0.0131734931734932,0.1,0.0120745920745921,0,0.0146425339279849,0.1,0.0320373514431239,0,0.0774557165861514,0.162444635974048
"KLF4",-0.0476387747959359,-0.160220125786164,-0.114424242424242,-0.121090909090909,-0.0774200206398349,-0.120765705838877,-0.0379145464651991,-0.0394238309695055,0,-0.0337724061027539,-0.0434204793028322,-0.0327035866471689,-0.0333333333333333,-0.0344277245782034,-0.0274509803921569,-0.0333333333333333,0.0345663650075415,0.0279487179487179,0.0279487179487179,-0.0385752688172043,-0.0375,-0.0967464114832536,-0.062962962962963,-0.0409129839067729,0.0709090909090909,0.0657544517338332,-0.05,0.00643478260869565,-0.0333333333333333,0.0382254782254782,0.107272727272727,-0.0266666666666667,-0.0709090909090909,0.00933333333333333,-0.00517952635599695,-0.08,0.0501443001443001,-0.06,0.101901050658511,0.0346508563899868,-0.0279487179487179,-0.0414814814814815,0.0274509803921569,0.0344277245782034,0.0391280429399466,0.0321534770865646,0,0.0318190289260295,0.0333333333333333,0.111738948720656,0.109090909090909,0.263445075372616,-0.1,0.0774200206398349,0.156270183716992
