"","AXIN2","STAT","SRC","DSH","CD44","RAF","PI3K","DELTA","cMet","Frizzled","GLI","Wnt","Ecadherin","NOTCH","ZEB2","ZEB1","NOTCHic","MEK","Jagged","cateninmemb","EGR1","SOSGRB2","HEY1","ILK","SMO","IKK","SMAD","FUS","SHH","FOXC2","PAK1","NFB","CDC42","miR200","Patched","AKT","TGF","KLF4","TGFR","TWIST1","RKIP","Csn","SUFU","SNAI1","cfos","ERK","Csl","TrCP","RAS","TCFLEF","cateninnuc","LIV1","SNAI2","Destcompl","GSK3"
"TCFLEF",-0.408365323565323,-0.0875,-0.0775,-0.0823529411764706,-0.0511977906789228,0.091784097403231,0.091784097403231,0.091784097403231,-0.0612606837606838,-0.0723529411764706,-0.0474179727632413,-0.0561136249371543,-0.158267597556187,-0.1670310400583,-0.177515638844586,-0.177515638844586,-0.181316754344014,-0.0420789779326365,-0.142757913831804,-0.156739205253211,-0.0271428571428571,-0.0372534930139721,-0.0369288546325372,-0.111268018531176,0.00285714285714286,0.0226392961876833,-0.122931498454695,0.0266666666666667,-0.0277136637358288,-0.232862614800496,0.174358974358974,0.0290909090909091,-0.195289206917114,0.0221833654966185,0.00930875576036866,-0.0400306005355094,0.233885480977893,0.175959702062643,0.218653692898422,-0.0693635922718061,-0.134951095192175,0.00909090909090909,0.0333333333333333,-0.236991281614713,0.0344599303135888,0.0373170731707317,0.206806950422445,0,-0.104793295826358,-0.0523531829751437,-0.0529545575455904,0.1,-0.213525983277097,-0.40985998983268,-0.343480086669186
"PI3K",0.180285714285714,0.1,0.111111111111111,0.1,0.141077666295058,0.356034632034632,0.356034632034632,0.356034632034632,0.124154589371981,0.111111111111111,0.141077666295058,0.124154589371981,-0.0887320045584576,0.167493796526055,-0.176360906892578,-0.176360906892578,0.138461538461538,0.000238784038205448,0.01,-0.115154857140482,-0.0333333333333333,-0.142307692307692,-0.0587798069485084,-0.0465146058423369,0.116666666666667,0.33921568627451,-0.0729146058423369,0.15,-0.0942307692307692,-0.331876887340302,0.3,0.333333333333333,-0.294117647058824,0.0047230166082625,0.0858974358974359,-0.331523378582202,0.341694882831181,0.155263157894737,0.318117647058824,-0.225694373734288,-0.231690368455074,0.3,0.1,-0.229231078904992,0.019047619047619,0.00140056022408963,-0.1,0.2,-0.372472988199016,-0.149552242566244,-0.151820283803357,-0.1,0.0440662143013593,-0.430007948709903,-0.411556036556037
"ZEB1",0.210776692816478,0.158974358974359,0.171169480925579,0.166666666666667,0.177623729291592,0.152268781959801,0.152268781959801,0.152268781959801,0.17901261818048,0.178861788617886,0.18222552110533,0.184631019387117,0.0690359062005337,0.110664803111327,-0.102965244914711,-0.102965244914711,0.113970588235294,-0.0353739310702254,0.0693005019032775,-0.0375210107080795,0,-0.0645224171539961,-0.0283753638416851,-0.0147329284589635,-0.00113636363636364,0.0316824849007765,-0.0113675438435788,0.0125,-0.0410798110897546,-0.154773086004253,0.15632183908046,0.0431578947368421,-0.178060969515242,-0.00268460691673527,0.0243538324420677,-0.0502539134722051,0.193797010124379,0.110623328593649,0.193797010124379,-0.161798667989416,-0.0192541050181282,0.08,0.075,-0.0115852437724316,0.012,0.0296470588235294,-0.104166666666667,0.1,-0.152426262274761,-0.174964154823506,-0.174083528600414,-0.166666666666667,-0.115704045874482,-0.195639916505269,-0.120912125829002
"FUS",-0.313186913036988,-0.15,-0.17,-0.25,-0.163203883495146,-0.269633273703041,-0.269633273703041,-0.269633273703041,-0.17,-0.2625,-0.254807692307692,-0.2625,-0.0237309193912527,-0.307575757575758,-0.100392534054279,-0.100392534054279,-0.312121212121212,-0.117358733220802,-0.185132275132275,0.112328190954647,-0.16,0.0763157894736842,-0.0526994744386049,-0.0677777777777778,-0.105,-0.0682857142857143,-0.0839068100358423,-0.08,0.136818181818182,-0.0196823956442831,-0.0733333333333333,-0.0642857142857143,0.106666666666667,0.0133591749771722,-0.143888888888889,0.106747252747253,-0.109455625838605,0.11247723132969,-0.114774774774775,0.0780575231837936,-0.00641466208476518,-0.05,0,-0.00445613424919572,0.121538461538462,0.118508158508159,0.312121212121212,-0.1,0.269196592480334,0.161700124096649,0.161700124096649,0.1,0.27289539021205,0.26282955543862,0.230417001037516
"SUFU",-0.312015952849634,-0.17,-0.17,-0.2625,-0.161700124096649,-0.269196592480334,-0.269196592480334,-0.269196592480334,-0.163203883495146,-0.2625,-0.254435945095796,-0.254807692307692,-0.0231129997208099,-0.308369408369408,-0.0945954326050035,-0.0945954326050035,-0.307575757575758,-0.125443839603781,-0.190120398647715,0.111646062714538,-0.121538461538462,0.0798122929701877,-0.0647476672096892,-0.0839068100358423,-0.143888888888889,-0.106747252747253,-0.0901423758557037,-0.105,0.124076869076869,-0.0214193683489978,-0.106666666666667,-0.0682857142857143,0.114774774774775,0.0200506247912986,-0.136818181818182,0.103391548049266,-0.106497045956948,0.120261662467415,-0.109455625838605,0.080325564420907,-0.00110853963578559,-0.0642857142857143,-0.08,0.000484240537857089,0.118508158508159,0.117358733220802,0.312121212121212,-0.05,0.267930769695524,0.161700124096649,0.162058180362634,0.15,0.273093148946394,0.262138433694867,0.231445278672477
"SMO",-0.31380803104941,-0.1,-0.15,-0.2,-0.17,-0.267307692307692,-0.267307692307692,-0.267307692307692,-0.17,-0.25,-0.2625,-0.2625,-0.0223610563775541,-0.312121212121212,-0.0936440677966102,-0.0936440677966102,-0.312121212121212,-0.118508158508159,-0.185132275132275,0.113631729129693,-0.1,0.0763157894736842,-0.0483516483516483,-0.0566666666666667,-0.08,-0.0642857142857143,-0.0677777777777778,0,0.143888888888889,-0.0131034482758621,-0.0333333333333333,-0.05,0.0733333333333333,0.00840867992766727,-0.105,0.0682857142857143,-0.114774774774775,0.0944444444444444,-0.106666666666667,0.0890522875816993,0.0111111111111111,-0.1,-0.1,-0.0110599078341014,0.16,0.121538461538462,0.266666666666667,0,0.269633273703041,0.163203883495146,0.161700124096649,0.1,0.275947454844007,0.264727365657598,0.230751449198051
"SRC",-0.252958051765906,-0.1,-0.225,-0.2,-0.206803278688525,-0.313108051731331,-0.313108051731331,-0.313108051731331,-0.215,-0.225,-0.206803278688525,-0.215,-0.151182058682059,-0.223809523809524,-0.0902890086852351,-0.0902890086852351,-0.245238095238095,-0.14505431675243,-0.102960479887085,-0.0355672803472534,-0.133333333333333,0.00142857142857143,0.0468801721284343,-0.0149122807017544,0.02,-0.119230769230769,-0.0518492176386913,0.1,0.0149673202614379,-0.0139075630252101,0.0222222222222222,-0.05,0.0277777777777778,0.0394466403162055,-0.0355555555555556,0.163675213675214,-0.00483405483405483,-0.019702842377261,-0.023015873015873,0.0545585449033725,0.108927989573151,-0.05,0.1,0.035827084550172,0.106060606060606,0.139393939393939,0.25,-0.1,0.313108051731331,0.203144742103159,0.20605301950808,0,0.208671274773857,0.197855152094283,0.148831168831169
"ZEB2",-0.179446147474203,-0.15,-0.143333333333333,-0.140909090909091,-0.138996101364522,-0.138658008658009,-0.138658008658009,-0.138658008658009,-0.138070175438597,-0.134242424242424,-0.133513184063643,-0.131678321678322,-0.0886136871049456,-0.0883312316099201,-0.0869480437835853,-0.0869480437835853,-0.0779487179487179,-0.0776598754951896,-0.0665961641555217,-0.0576335813515951,-0.0416666666666667,-0.0388644688644689,-0.0339758628468306,-0.0333906000103183,-0.03,-0.0291666666666667,-0.0254637707420256,-0.0214285714285714,-0.0198891352549889,-0.0186060606060606,-0.0181818181818182,-0.0180555555555556,-0.00545454545454545,-0.0043740252655393,0.00170731707317073,0.00580218068535826,0.00930942073799217,0.0102409041340339,0.0156586270871985,0.0388981516489251,0.0434299516908213,0.0444444444444444,0.05,0.0555913309082692,0.0679824561403509,0.0776598754951896,0.0846153846153846,0.1,0.141013469043448,0.142165115449029,0.143333946617861,0.15,0.166016863411577,0.187709985901916,0.227636422617476
"NOTCH",-0.189541778975741,-0.1,-0.16,-0.1,-0.137156177156177,-0.0824242424242424,-0.0824242424242424,-0.0824242424242424,-0.152307692307692,-0.16,-0.137156177156177,-0.152307692307692,-0.0706293152235427,-0.143870967741935,-0.0774557165861514,-0.0774557165861514,-0.06,-0.161428571428571,-0.108051948051948,-0.0291971342572331,-0.2,-0.0747368421052632,-0.0797101449275363,0.00952380952380953,0.0583333333333333,0.0777777777777778,-0.0338095238095238,0.133333333333333,0.00863499245852188,-0.0551020408163265,0.1,0.133333333333333,-0.0222222222222222,0.0163636363636364,-0.0262820512820513,-0.0111111111111111,0.0328028673835125,0.0589371980676328,0.0102222222222222,0.00457627118644068,-0.0276746242263484,0.1,0.1,-0.0194871794871795,0.14,0.14,0.06,0,0.0751778656126482,0.133859473859474,0.135900290186004,0,0.272942852354617,0.173350268826904,0.0746603970741902
"Patched",-0.303463203463203,-0.1,-0.1,-0.2,-0.17,-0.242307692307692,-0.242307692307692,-0.242307692307692,-0.15,-0.2,-0.2625,-0.25,-0.0212540453074434,-0.312121212121212,-0.075,-0.075,-0.266666666666667,-0.121538461538462,-0.206560846560847,0.115573476702509,-0.1,0.05,-0.11025641025641,-0.116666666666667,0,-0.05,-0.0566666666666667,-0.1,0.105,-0.02,-0.0333333333333333,-0.1,0.0333333333333333,0.00714285714285715,-0.08,0.0642857142857143,-0.106666666666667,0.0944444444444444,-0.0733333333333333,0.0861111111111111,0,0,0,0.0032258064516129,0.1,0.16,0.2,0,0.267307692307692,0.17,0.163203883495146,0.1,0.278804597701149,0.267052947052947,0.227838827838828
"ERK",0.182191073444547,0.13859649122807,0.13859649122807,0.133333333333333,0.144511187219102,0.222614052614053,0.222614052614053,0.222614052614053,0.140694393325972,0.133333333333333,0.139691887060308,0.135431235431235,0.0762406389668362,-0.00945532979218807,-0.0713645213286646,-0.0713645213286646,-0.0163805375484208,0.0441477167834621,-0.0482259131994034,0.0341720111743038,-0.096551724137931,0.00808753274772692,-0.0902778507506719,-0.0980225311633002,0.134863387978142,0.165781130634072,-0.100150190737768,0.126666666666667,-0.121336817929833,-0.187279773141842,0.18952380952381,0.150487012987013,-0.188589230084557,-0.000966804140107434,0.123752276867031,-0.160276543478109,0.197921868249312,0.0598979013045944,0.190779011106455,-0.236723832357756,-0.103852177141198,0.123214285714286,0.106666666666667,-0.228031431668869,0.0561261922230374,-0.0455404744436292,0.0185703185703186,0.0857142857142857,-0.227564547663558,-0.147299291308321,-0.148479846863877,-0.133333333333333,0.227691170368344,-0.388840675478078,-0.344636753819895
"cfos",-0.168341543513957,-0.15,-0.15,-0.15,-0.123373373373373,-0.0234749455337691,-0.0234749455337691,-0.0234749455337691,-0.131481481481481,-0.15,-0.126218323586745,-0.131481481481481,-0.0774178558378144,-0.111794871794872,-0.0689918905415274,-0.0689918905415274,-0.11025641025641,-0.155077376565954,-0.0996180555555556,-0.0581318854483855,-0.24,-0.05,-0.0176411794102948,-0.0349206349206349,-0.0214285714285714,0.0208333333333333,-0.0526625704045059,0.0619047619047619,-0.0305029299652955,-0.0794944319191091,0.0285714285714286,0.0833333333333333,-0.0238095238095238,0.0354766148883796,-0.00529953917050693,-0.031359649122807,0.0599057804940158,0.0874920634920635,0.0492997198879552,-0.00914285714285715,-0.0300932400932401,0.133333333333333,0.133333333333333,-0.0178091950243849,0.12,0.13304347826087,0.133333333333333,0.1,0.0198164089484032,0.125353571393175,0.127575793615398,0.1,0.268033936866054,0.152761034675208,0.0161011904761905
"CDC42",-0.168341543513957,-0.15,-0.15,-0.15,-0.123373373373373,-0.0234749455337691,-0.0234749455337691,-0.0234749455337691,-0.131481481481481,-0.15,-0.126218323586745,-0.131481481481481,-0.0774178558378144,-0.111794871794872,-0.0689918905415274,-0.0689918905415274,-0.11025641025641,-0.155077376565954,-0.0996180555555556,-0.0581318854483855,-0.14,-0.05,-0.0176411794102948,-0.0349206349206349,-0.0214285714285714,0.0208333333333333,-0.0526625704045059,0.0619047619047619,-0.0305029299652955,-0.0794944319191091,-0.0714285714285714,0.0833333333333333,-0.0238095238095238,0.0354766148883796,-0.00529953917050693,-0.031359649122807,0.0599057804940158,0.0874920634920635,0.0492997198879552,-0.00914285714285715,-0.0300932400932401,0.133333333333333,0.133333333333333,-0.0178091950243849,0.12,0.13304347826087,0.133333333333333,0.1,0.0198164089484032,0.125353571393175,0.127575793615398,0.1,0.268033936866054,0.152761034675208,0.0161011904761905
"NOTCHic",-0.186764001197963,-0.16,-0.152307692307692,-0.16,-0.133859473859474,-0.0751778656126482,-0.0751778656126482,-0.0751778656126482,-0.137156177156177,-0.152307692307692,-0.136080908338973,-0.137156177156177,-0.068944782298581,-0.146502546689304,-0.0604186795491143,-0.0604186795491143,-0.143870967741935,-0.178571428571429,-0.123283736131418,-0.02980565352701,-0.14,-0.0656459330143541,-0.115094760312152,-0.0338095238095238,-0.0262820512820513,0.0111111111111111,-0.0503562863994519,0.0583333333333333,-0.0246983408748115,-0.0599407504937459,0.0222222222222222,0.0777777777777778,-0.0102222222222222,0.0331266421439832,-0.00863499245852188,-0.0180878552971576,0.0398092368102641,0.0803657694962043,0.0328028673835125,0.00772092527449099,-0.0149985678883202,0.133333333333333,0.133333333333333,-0.000968660968660967,0.14,0.161428571428571,0.06,0.1,0.0746852547752098,0.135900290186004,0.137274335987531,0.1,0.275548062775459,0.173350268826904,0.0754868433551819
"Jagged",-0.191428571428571,0,-0.1,0,-0.152307692307692,-0.0733333333333333,-0.0733333333333333,-0.0733333333333333,-0.16,-0.1,-0.152307692307692,-0.16,-0.0674035087719298,-0.06,-0.0589371980676328,-0.0589371980676328,-0.06,-0.14,-0.108051948051948,-0.0244850923724163,-0.1,-0.08,-0.0666666666666667,0.0333333333333333,0.133333333333333,0.133333333333333,0.00952380952380953,0.1,0.0262820512820513,-0.0285714285714286,0.2,0.1,-0.1,-0.00363636363636363,0.0583333333333333,-0.0777777777777778,0.0102222222222222,0.0111111111111111,0.0222222222222222,0.03,0.0102564102564103,0,0,-0.0333333333333333,0.2,0.14,0,0,0.0824242424242424,0.137156177156177,0.133859473859474,0,0.276646556058321,0.178023166023166,0.0701149425287356
"DELTA",-0.191428571428571,0,-0.1,0,-0.152307692307692,-0.0733333333333333,-0.0733333333333333,-0.0733333333333333,-0.16,-0.1,-0.152307692307692,-0.16,-0.0674035087719298,-0.06,-0.0589371980676328,-0.0589371980676328,-0.06,-0.14,-0.108051948051948,-0.0244850923724163,-0.1,-0.08,-0.0666666666666667,0.0333333333333333,0.133333333333333,0.133333333333333,0.00952380952380953,0.1,0.0262820512820513,-0.0285714285714286,0.2,0.1,-0.1,-0.00363636363636363,0.0583333333333333,-0.0777777777777778,0.0102222222222222,0.0111111111111111,0.0222222222222222,0.03,0.0102564102564103,0,0,-0.0333333333333333,0.2,0.14,0,0,0.0824242424242424,0.137156177156177,0.133859473859474,0,0.276646556058321,0.178023166023166,0.0701149425287356
"KLF4",0.251494145714954,0.166666666666667,0.184313725490196,0.166666666666667,0.184030611233371,0.235769230769231,0.235769230769231,0.235769230769231,0.186639306885545,0.184313725490196,0.183191031023476,0.186639306885545,0.000963840037829341,0.246833719725744,-0.0487667698658411,-0.0487667698658411,0.239617224880383,0.122225039969127,0.187611648721094,-0.0885284611504124,0.16,0.00946255002858777,-0.000687547746371277,0.032,0.15,0.205714285714286,0.0262028985507246,0.166666666666667,-0.161626344086022,-0.172537025834062,0.140909090909091,0.22,-0.152909090909091,-0.00904354904354904,0.15625,-0.213121693121693,0.175608277900961,0.0222222222222222,0.170242424242424,-0.219943355119826,-0.0848690991548134,0.2,0.2,-0.0716230878053981,-0.150909090909091,-0.127379679144385,-0.229090909090909,0.1,-0.236504524886878,-0.184365059393906,-0.184240526392661,-0.166666666666667,-0.203708720929037,-0.235160008968843,-0.236010591230215
"HEY1",0.251494145714954,0.166666666666667,0.184313725490196,0.166666666666667,0.184030611233371,0.235769230769231,0.235769230769231,0.235769230769231,0.186639306885545,0.184313725490196,0.183191031023476,0.186639306885545,0.000963840037829341,0.246833719725744,-0.0487667698658411,-0.0487667698658411,0.239617224880383,0.122225039969127,0.187611648721094,-0.0885284611504124,0.16,0.00946255002858777,-0.000687547746371277,0.032,0.15,0.205714285714286,0.0262028985507246,0.166666666666667,-0.161626344086022,-0.172537025834062,0.140909090909091,0.22,-0.152909090909091,-0.00904354904354904,0.15625,-0.213121693121693,0.175608277900961,0.0222222222222222,0.170242424242424,-0.219943355119826,-0.0848690991548134,0.2,0.2,-0.0716230878053981,-0.150909090909091,-0.127379679144385,-0.229090909090909,0.1,-0.236504524886878,-0.184365059393906,-0.184240526392661,-0.166666666666667,-0.203708720929037,-0.235160008968843,-0.236010591230215
