"","ZEB2","SRC","TCFLEF","Wnt","Frizzled","GLI","TGFR","DSH","TGF","ERK","cateninmemb","SOSGRB2","cfos","TWIST1","CDC42","MEK","SUFU","Csl","FOXC2","PAK1","RKIP","Jagged","NFB","NOTCHic","NOTCH","SNAI1","GSK3","RAF","PI3K","RAS","EGR1","IKK","KLF4","TrCP","AKT","ZEB1","SMO","DELTA","Patched","ILK","SMAD","HEY1","SHH","Csn","miR200","SNAI2","FUS","AXIN2","STAT","LIV1","CD44","cateninnuc","cMet","Ecadherin","Destcompl"
"ZEB1",-0.12349565359531,-0.171169480925579,-0.170924382886363,-0.170345305101403,-0.164576074332172,-0.165877951149513,-0.0679118139745694,-0.152380952380952,-0.0651559084627584,-0.148470588235294,-0.0162778336633378,-0.0773879142300195,-0.152,-0.184199865199294,-0.0542062302182242,-0.144505830526043,-0.108333333333333,-0.0791666666666667,-0.0526896184601738,-0.0440613026819923,-0.105032697798655,-0.117250442093373,-0.0119298245614035,-0.0674019607843137,-0.066575514503322,-0.0898043741815626,-0.107239619090457,-0.147597736796797,-0.147597736796797,-0.144605610812545,-0.1,0.0159390278976129,-0.101513508100855,0.0333333333333333,-0.0202247421833272,0.0482099399556847,0.0640151515151515,0.147597736796797,0.0718582887700535,0.053860728509242,0.0509761131246266,0.0573198908173001,0.0850255485565303,0.00666666666666667,0.0560298910979934,0.115495212137455,0.0958333333333333,0.0835586504084934,0.158974358974359,0.166666666666667,0.170924382886363,0.173272719481275,0.17509104955303,0.141755989764023,0.203182801161418
"ZEB2",-0.122606443723658,-0.106666666666667,-0.101463223787167,-0.10013986013986,-0.0975757575757576,-0.0946352729838968,-0.0935683364254793,-0.0909090909090909,-0.0888064316635745,-0.0861205432937182,-0.0853606931910665,-0.083021978021978,-0.0828947368421053,-0.0784807771843221,-0.0779220779220779,-0.0775839579278645,-0.075,-0.0717948717948718,-0.0693628593628594,-0.0688311688311688,-0.0663446054750403,-0.0648320671801817,-0.0555555555555556,-0.0491282051282051,-0.0463959646910467,-0.0431351129285804,-0.035717336258671,-0.0341558441558441,-0.0341558441558441,-0.0300873216719041,-0.025,-0.0133333333333333,-0.0016388125066309,0,0.00866043613707165,0.0219170361598104,0.0321428571428571,0.0341558441558441,0.0370209059233449,0.0422935046174483,0.0429032607150093,0.0453676968193097,0.0542936331960722,0.0555555555555556,0.0651693795676664,0.0688952873925323,0.075,0.0847983476524075,0.1,0.1,0.101111111111111,0.104839847163791,0.106666666666667,0.130360616124164,0.142032954901675
"KLF4",-0.114814241486068,-0.13921568627451,-0.156194763819816,-0.150843593251254,-0.13921568627451,-0.154291869113323,-0.0727272727272727,-0.133333333333333,-0.0761419068736142,-0.26951871657754,-0.0401455173101515,-0.213207547169811,-0.263636363636364,-0.246383442265795,-0.0687272727272727,-0.276735211422901,-0.2,-0.0127272727272727,-0.0516126683247071,-0.0727272727272727,-0.230406101834673,-0.161988096860661,0.22,-0.0179904306220096,-0.0231450697972673,-0.1997932848611,-0.199263962690275,-0.236282051282051,-0.236282051282051,-0.237017345399698,-0.2,0.215238095238095,-0.0851851851851852,0.1,-0.215238095238095,0.205211558307534,0.166666666666667,0.236282051282051,0.179166666666667,0.0493333333333333,0.0377391304347826,0.0514132925897632,0.18239247311828,-0.2,-0.117908017908018,0.103048896882116,0.166666666666667,0.0833525689818284,0.133333333333333,0.166666666666667,0.155191419338211,0.156070230818571,0.150843593251254,0.231313890245106,0.195397118256693
"HEY1",-0.114814241486068,-0.13921568627451,-0.156194763819816,-0.150843593251254,-0.13921568627451,-0.154291869113323,-0.0727272727272727,-0.133333333333333,-0.0761419068736142,-0.26951871657754,-0.0401455173101515,-0.213207547169811,-0.263636363636364,-0.246383442265795,-0.0687272727272727,-0.276735211422901,-0.2,-0.0127272727272727,-0.0516126683247071,-0.0727272727272727,-0.230406101834673,-0.161988096860661,0.22,-0.0179904306220096,-0.0231450697972673,-0.1997932848611,-0.199263962690275,-0.236282051282051,-0.236282051282051,-0.237017345399698,-0.2,0.215238095238095,-0.0851851851851852,0.1,-0.215238095238095,0.205211558307534,0.166666666666667,0.236282051282051,0.179166666666667,0.0493333333333333,0.0377391304347826,0.0514132925897632,0.18239247311828,-0.2,-0.117908017908018,0.103048896882116,0.166666666666667,0.0833525689818284,0.133333333333333,0.166666666666667,0.155191419338211,0.156070230818571,0.150843593251254,0.231313890245106,0.195397118256693
"FOXC2",-0.114814241486068,-0.13921568627451,-0.156194763819816,-0.150843593251254,-0.13921568627451,-0.154291869113323,-0.0727272727272727,-0.133333333333333,-0.0761419068736142,-0.26951871657754,-0.0401455173101515,-0.213207547169811,-0.263636363636364,-0.246383442265795,-0.0687272727272727,-0.276735211422901,-0.2,-0.0127272727272727,-0.0516126683247071,-0.0727272727272727,-0.230406101834673,-0.161988096860661,0.22,-0.0179904306220096,-0.0231450697972673,-0.1997932848611,-0.199263962690275,-0.236282051282051,-0.236282051282051,-0.237017345399698,-0.2,0.215238095238095,-0.0851851851851852,0.1,-0.215238095238095,0.205211558307534,0.166666666666667,0.236282051282051,0.179166666666667,0.0493333333333333,0.0377391304347826,0.0514132925897632,0.18239247311828,-0.2,-0.117908017908018,0.103048896882116,0.166666666666667,0.0833525689818284,0.133333333333333,0.166666666666667,0.155191419338211,0.156070230818571,0.150843593251254,0.231313890245106,0.195397118256693
"Ecadherin",-0.111970639590334,-0.150843593251254,-0.156070230818571,-0.154291869113323,-0.150843593251254,-0.15495853577999,-0.0761419068736142,-0.13921568627451,-0.0788543842696359,-0.276735211422901,-0.0404019275665617,-0.219786494538232,-0.26951871657754,-0.246942101483672,-0.0727272727272727,-0.284186191815058,-0.166666666666667,-0.0179904306220096,-0.0541298307961029,-0.0687272727272727,-0.230780633669879,-0.159013268485375,0.215238095238095,-0.0231450697972673,-0.0235168170091632,-0.19852746207629,-0.201029967105286,-0.237017345399698,-0.237017345399698,-0.238972652662268,-0.263636363636364,0.215238095238095,-0.0927801218940459,0.2,-0.217835497835498,0.207581226553979,0.179166666666667,0.237017345399698,0.18239247311828,0.0377391304347826,0.0345914306769134,0.0386616147374142,0.177668063669461,-0.22,-0.120328874518819,0.103349920361947,0.166666666666667,0.0835587545488387,0.13921568627451,0.133333333333333,0.156194763819816,0.155603377410541,0.155191419338211,0.131411261228553,0.196142691416059
"SNAI2",-0.0862502622194252,-0.0780519480519481,-0.0835587545488387,-0.0822773001646241,-0.0780519480519481,-0.0828120595229129,-0.0633484162895928,-0.0709090909090909,-0.0645906523144375,-0.182352941176471,-0.0504567769561412,-0.144962812711291,-0.184313725490196,-0.121864480226805,-0.0607843137254902,-0.187758346581876,-0.1,-0.0364035087719298,-0.0547478083317329,-0.0607843137254902,-0.131692307692308,-0.0866325178200346,0.133333333333333,-0.0416666666666667,-0.042965367965368,-0.114496076256214,-0.126429406063686,-0.140906965871903,-0.140906965871903,-0.141363586876469,-0.166666666666667,0.129885057471264,-0.0748076923076923,0.1,-0.131089876748373,0.136631004824837,0.0858823529411765,0.140906965871903,0.0920048019207683,0.033869885982562,0.0276497902887821,0.0365280289330922,0.0920048019207683,-0.133333333333333,-0.0963357118022699,0.00154122991498393,0.08,0.0684443822321762,0.0709090909090909,0.08,0.0833525689818284,0.0834034750457331,0.0822773001646241,0.0794088987911384,0.124778860456755
"Destcompl",-0.0677111874660441,0.120776255707763,0.124408437265726,0.121766354717664,0.120776255707763,0.12343611353028,0.105686136523575,0.116666666666667,0.107952146375792,-0.0695234819824984,-0.158190677386579,0.0800594455455661,-0.0700699300699301,0.00239352570346444,0.105686136523575,-0.0678357182694182,0.1,0.0742969056012534,0.0840417245690873,0.107755102040816,-0.137817112520339,0.150999069395047,0.0567287784679089,0.0808186447316882,0.0826222519461171,-0.11654501734319,-0.121063691425187,-0.045611699182438,-0.045611699182438,-0.0446697839548085,-0.0579487179487179,0.064836886576017,-0.0687425102878446,0.0666666666666667,-0.066850309394809,0.139640838142226,-0.107980295566502,0.045611699182438,-0.10953469971158,-0.00111111111111111,0.00134502923976608,-0.00622915545992469,-0.105085956964965,-0.0523809523809524,-0.0764287546496464,-0.0758446577342858,-0.096551724137931,-0.0654202763879327,-0.116666666666667,-0.116666666666667,-0.124134464662986,-0.123745510187705,-0.122268793021195,-0.0023468468197089,0.0229164003001526
"AXIN2",-0.0551226739544633,0.0623255813953488,0.0654202763879327,0.0640497193263833,0.0623255813953488,0.0640497193263833,0.0934663498306566,0.06,0.0947864818438579,-0.0556477471316769,-0.0763651023853436,0.0788757136583223,-0.0491056910569106,0.000947058851048033,0.0970061728395062,-0.0528891264420217,0.1,0.0547368421052632,0.0777050584076345,0.0908333333333333,-0.0684981684981685,0.0746166465731683,0.051207729468599,0.0583082706766917,0.0610109733793944,-0.0632960653093563,-0.0724610006063095,-0.0550119570880817,-0.0550119570880817,-0.0555368914712838,-0.0466666666666667,0.0555555555555556,-0.0577221488229068,0.0666666666666667,-0.0588888888888889,0.0989988724800239,-0.0816849816849817,0.0550119570880817,-0.0870421245421245,-0.00142627099148838,0.00254198297676558,-0.00443950180258497,-0.0860585179847475,-0.0555555555555556,-0.0712435898607359,-0.0607877538736881,-0.0769230769230769,-0.0848873557233359,-0.06,-0.0666666666666667,-0.0643651767396325,-0.0652041069110628,-0.0640497193263833,-0.0086624633541615,0.0727522789229796
"cateninnuc",-0.0485581178009131,-0.00932400932400932,-0.00677125861802941,-0.00686718978857156,-0.00795414631031069,-0.00647193287157552,0.0151956549197928,-0.00932400932400932,0.0154139955311466,-0.227125647543919,0.0460127589034219,-0.169007174606688,-0.219530710835059,-0.108692619157103,0.0174945054945055,-0.225749500754929,-0.0111111111111111,0.0763967357187696,-0.0131095571095571,0.0205714285714286,-0.190919075134956,0.000319474183924524,0.15719696969697,0.0787223171141185,0.0823586807504821,-0.157368331769105,-0.158087445439481,-0.176164241164241,-0.176164241164241,-0.177511042511042,-0.211594202898551,0.16119696969697,-0.0376843994281717,0.166666666666667,-0.16666571969697,0.165309861720876,0.029471766848816,0.176164241164241,0.0201549966624806,0.0153405483405483,0.0201154460213123,0.00955990087943545,0.0203728615862279,-0.154166666666667,-0.069998681440006,0.000171347019883184,0.0311111111111111,-0.0149383054961175,0.00932400932400932,-0.00606060606060606,0.0074434020086194,-0.0932563580624456,0.00823705280227019,0.0111625287282211,0.150093760993075
