"","RKIP","cfos","SNAI1","TWIST1","MEK","ERK","SUFU","EGR1","NOTCHic","NFB","Csn","IKK","Csl","TrCP","AXIN2","Wnt","GLI","Destcompl","SNAI2","TCFLEF","DELTA","SOSGRB2","TGFR","TGF","CDC42","PAK1","RAS","STAT","RAF","PI3K","Ecadherin","DSH","CD44","cateninnuc","LIV1","cMet","miR200","SRC","cateninmemb","Frizzled","HEY1","SMAD","SMO","ILK","FUS","SHH","Patched","AKT","Jagged","NOTCH","GSK3","ZEB2","ZEB1","FOXC2","KLF4"
"ZEB1",0.144842790993661,0.120666666666667,0.124627934759034,0.177632963683792,0.115805303619245,0.110078431372549,0.133333333333333,0.116666666666667,0.110294117647059,0.0908771929824562,0.106666666666667,0.0892378487201611,0.108333333333333,0.0666666666666667,0.0741427623178805,-0.0126217278656303,-0.0136526557006819,0.00367144333064814,-0.0251120145768123,-0.0188554433922119,-0.00700520469752722,0.00241715399610137,0.0181367438108357,0.0145934367242215,0.013568215892054,0.00632183908045977,0.00905244879201541,0.0256410256410256,0.00700520469752722,0.00700520469752722,-0.0597116816464257,0.019047619047619,0.0207171455198715,0.0188554433922119,0.0333333333333333,0.0193282566309826,-0.0566098352716798,0.0134459036898061,-0.149934323688879,0.00685249709639953,-0.0780832638863727,-0.0915486024811532,-0.108333333333333,-0.0929909101734609,-0.108333333333333,-0.11422266415463,-0.118137254901961,-0.0920949915773039,-0.0896362375299288,-0.110294117647059,0.00293544356025121,-0.173188341188165,-0.173188341188165,-0.241568394297624,-0.173412345876808
"CD44",0.0333333333333333,-0.225,0.271026049973418,0.207179487179487,-0.275,-0.305,0.1,-0.2,0.242857142857143,0,0,0,0.2,-0.1,-0.1,-0.05,-0.0833333333333333,-0.0701353268580159,0.386977466977467,-0.0763565891472868,-0.2,-0.4,-0.135833333333333,-0.141388888888889,-0.0733333333333333,-0.133333333333333,0.197142857142857,0.1,0.2,0.2,0.153756378243405,0,0.0833333333333333,0.0594335122242099,0.1,0.15,0.180628019323672,0.2,0.15467032967033,0.1,-0.128070175438597,-0.181292517006803,-0.15,-0.183333333333333,-0.1,-0.179090909090909,-0.17,-0.02,-0.143310023310023,-0.269172932330827,-0.0630952380952381,-0.138095238095238,-0.138095238095238,-0.282916666666667,-0.0238095238095238
"cMet",0.0111111111111111,-0.305,0.267636219464944,0.206055891673869,-0.258636363636364,-0.275,0.1,-0.225,0.269172932330827,0,0,0.02,0.242857142857143,0,-0.101587301587302,-0.0833333333333333,-0.0742424242424242,-0.0674326241553132,0.389167247999365,-0.0594335122242099,-0.197142857142857,-0.453333333333333,-0.141388888888889,-0.135005910165485,-0.135833333333333,-0.0733333333333333,0.208463611859838,0.2,0.197142857142857,0.197142857142857,0.153501925317196,0.1,0.0763565891472868,0.0735578060095206,0.1,0.0833333333333333,0.177503019323671,0.15,0.155026201556451,0.05,-0.126109391124871,-0.197656153370439,-0.17,-0.181292517006803,-0.15,-0.169715909090909,-0.179090909090909,-0.02,-0.145483936353502,-0.258534634458487,-0.0872887864823349,-0.122943722943723,-0.122943722943723,-0.286714135021097,-0.0380952380952381
"AXIN2",0.124005080940565,0.11219512195122,0.113172726513374,0.013638638675826,0.113219936646676,0.118737178025986,-0.1,0.1,-0.11062030075188,0.126570048309179,0.122222222222222,0.128019323671498,-0.105263157894737,0.133333333333333,0.314265872347377,-0.0832985832665063,-0.0864432373545566,0.0962299327817492,0.134582871894035,-0.0885995991651161,0.118684675778101,-0.0841152053494269,-0.11903788375396,-0.116067586724257,-0.119922839506173,-0.11375,-0.121571814885713,0.0866666666666667,-0.118684675778101,-0.118684675778101,0.0434469915208941,0.0866666666666667,0.0861376999857492,0.0867405416640353,0.0666666666666667,0.0832985832665063,0.104700541884381,0.0936434108527132,0.105766922401318,0.0936434108527132,-0.0167535979909205,-0.00966183574879227,0.0864468864468864,-0.00966183574879227,0.0769230769230769,0.0857560199363478,0.090018315018315,-0.125797101449275,0.0854402765272331,0.10589057102215,-0.098513055213284,-0.0706501246059344,-0.0706501246059344,-0.113192131833818,-0.0664624362906819
"RAF",-0.0933473389355742,-0.31,0.176109942734366,0.263856209150327,-0.261430667644901,-0.272068965517241,0.1,-0.21,0.155555555555556,0.114285714285714,0.1,0.126785714285714,0.155555555555556,0.1,0.0805907172995781,0.0266666666666667,0.0651282051282051,0.00393209548627814,0.422800897592819,0.0584590847748743,-0.0811688311688312,-0.282031746031746,0.00857142857142856,0.00576769025367155,0.0133333333333333,0.0333333333333333,0.0922799422799423,-0.1,0.0811688311688312,0.0811688311688312,-0.0543613455570787,-0.1,-0.0577597840755736,-0.0429374562761465,0,-0.0192982456140351,0.135444231065117,-0.0666666666666667,-0.0860812072576778,-0.0666666666666667,-0.132597754548974,-0.151913577108674,-0.173333333333333,-0.144982884039367,-0.133333333333333,-0.141857923497268,-0.153333333333333,-0.123755411255411,-0.141001697792869,-0.128632478632479,-0.111426319936958,-0.0580707795313247,-0.0580707795313247,-0.266681402888299,-0.0720707795313247
"SHH",0.16,0.1,0.15,0.05,0.04,0.1,-0.2,0,-0.2,0,0,0.1,-0.1,0,-0.180952380952381,-0.1,-0.15,-0.0168831168831169,0.208352490421456,-0.07,-0.05,-0.2,-0.233333333333333,-0.213333333333333,-0.233333333333333,-0.2,0.0576923076923077,0.1,0.05,0.05,0.0575,0.2,0.05,0.0422222222222222,0,0,0.116666666666667,0.1,0.116559139784946,0.2,-0.0666666666666667,-0.0666666666666667,0.3,-0.0666666666666667,0.2,0.106666666666667,0.266666666666667,-0.1,0.0542857142857143,0.133333333333333,0.0384615384615385,-0.025,-0.025,-0.15,0
"Destcompl",0.0279873037921568,0.0604662004662005,0.0137907364969663,0.00889026425902652,0.0504295400248918,0.0478978944552715,-0.0333333333333333,0.0574358974358974,-0.0429416372894634,0.080952380952381,0.080952380952381,0.0764478764478765,-0.0538112025068547,0.0666666666666667,-0.0885995991651161,0.004101300541013,0.00206048421448239,-0.0917684208375873,0.0894886345159412,0.00668938412958041,0.0654409292046901,-0.0513842827941009,-0.080961887477314,-0.0857894736842105,-0.0851724137931035,-0.09,-0.0626151835218016,0.00555555555555556,-0.0654409292046901,-0.0654409292046901,0.0318232708885376,0.00555555555555556,-0.00230582248574479,-0.00602645705155899,0.00555555555555556,-0.00454462845589404,0.0721588637646184,-0.0149923896499239,0.00779892979649764,-0.0149923896499239,-0.017422748191979,-0.010296574770259,0.0574712643678161,-0.0113492063492063,0.0574712643678161,0.0531117169589908,0.0486629742123757,-0.0757767355082791,-0.00619209866975003,0.0459476493135115,-0.00885955685860743,-0.0199396869447748,-0.0199396869447748,-0.0799547480190412,-0.0153134679209497
"cateninnuc",0.0900927790158559,0.0185990338164251,0.0867390976062605,-0.0549996443542259,0.0219203669949177,0.017333211031615,0.0111111111111111,0.0297101449275362,-0.089083052307333,-0.0359848484848485,-0.0208333333333333,-0.0359848484848485,-0.0844318895166353,-0.0333333333333333,-0.169323009500107,-0.0398895377007348,-0.0347511977797862,-0.0085984583421328,0.143376646410933,-0.0348427989626808,-0.042959607959608,-0.147268423738296,-0.0605504610332196,-0.0620788453126956,-0.0565274725274725,-0.0611428571428571,0.0448114598114598,0.027039627039627,0.042959607959608,0.042959607959608,-0.0962667346728915,0.027039627039627,0.033871925176273,-0.064411550664494,0.0424242424242424,0.0386338299381778,0.0125925747728461,0.0353729603729604,0.0313717139135862,0.0366286681355174,-0.0337962349865081,-0.0214105959221921,-0.00602914389799636,-0.0212741702741703,-0.00111111111111111,-0.00139849936965362,-0.00292355383588455,0.0312973484848485,0.0239396929215461,0.0922648704891511,0.00224617783162037,-0.0197708325049372,-0.0197708325049372,0.0523781191486109,0.00954390607415518
"FUS",0.150549828178694,0.0476923076923077,0.151239022693679,0.0490829141429696,0.0380789325616912,0.0507226107226107,-0.266666666666667,0.04,-0.129242424242424,0.0857142857142857,0.1,0.0817142857142857,-0.124242424242424,0.1,-0.190652725585259,-0.147222222222222,-0.156837606837607,-0.0144347679706702,0.208437982427953,-0.0569751238938771,-0.0685934704830054,-0.190148448043185,-0.227072072072072,-0.220689093348668,-0.221666666666667,-0.213333333333333,0.0611698896969792,0.05,0.0685934704830054,0.0685934704830054,0.056793676192514,0.15,0.0509600862998921,0.0509968630243119,0,0.0422222222222222,0.115839495341939,0.07,0.117161491336476,0.175,-0.0747730530339226,-0.0688991295442908,0.119166666666667,-0.0682539682539683,0.106666666666667,0.119166666666667,0.130277777777778,-0.0778681318681319,0.0523589596481163,0.115606060606061,0.0294394784897107,-0.0171033932965928,-0.0171033932965928,-0.148865698729583,-0.0011384335154827
"Patched",0.16,0.1,0.140322580645161,0.0388888888888889,0.0476923076923077,0.04,-0.2,0.1,-0.133333333333333,0.1,0,0.1,-0.2,0,-0.199134199134199,-0.15,-0.175,-0.00479520479520479,0.201685823754789,-0.0422222222222222,-0.0576923076923077,-0.166666666666667,-0.213333333333333,-0.221666666666667,-0.233333333333333,-0.233333333333333,0.0639423076923077,0.1,0.0576923076923077,0.0576923076923077,0.0584708737864078,0.2,0.07,0.0509600862998921,0.1,0.05,0.116666666666667,0,0.111003584229391,0.1,-0.0743589743589744,-0.0666666666666667,0.266666666666667,-0.0666666666666667,0.3,0.119166666666667,0.106666666666667,-0.0857142857142857,0.0653968253968254,0.124242424242424,0.0336996336996337,-0.0166666666666667,-0.0166666666666667,-0.15,-0.0111111111111111
"SMO",0.143333333333333,0.04,0.147465437788018,0.0506535947712418,0.0507226107226107,0.0476923076923077,-0.3,0.1,-0.124242424242424,0.1,0.1,0.0857142857142857,-0.133333333333333,0,-0.188789371547992,-0.175,-0.147222222222222,-0.0148727241750498,0.203590585659551,-0.0509600862998921,-0.0639423076923077,-0.182456140350877,-0.221666666666667,-0.227072072072072,-0.213333333333333,-0.233333333333333,0.0685934704830054,0,0.0639423076923077,0.0639423076923077,0.0551498405760757,0.1,0.0422222222222222,0.0569751238938771,0.1,0.07,0.112869198312236,0.05,0.11585795316143,0.15,-0.0791208791208791,-0.0682539682539683,0.106666666666667,-0.0666666666666667,0.266666666666667,0.130277777777778,0.119166666666667,-0.0817142857142857,0.0475396825396825,0.129242424242424,0.0210782744763327,-0.0115819209039548,-0.0115819209039548,-0.139655172413793,-0.00277777777777778
"Frizzled",-0.0504761904761905,-0.06,-0.0333505866114562,-0.0812605042016807,-0.0752505446623094,-0.101176470588235,0,0,0.105952380952381,-0.0866666666666667,-0.0666666666666667,-0.0866666666666667,0.0642857142857143,-0.1,-0.0481888653981677,-0.00789473684210527,-0.00789473684210527,0.0244961630562063,-0.0558212770586316,0.00998605785988149,-0.025393028024607,-0.0454545454545454,-0.0710144927536232,-0.0872049689440994,-0.0666666666666667,-0.1,0.0372040516466542,0,0.025393028024607,0.025393028024607,-0.18722128252026,0.1,0.00789473684210527,-0.00331939119321482,0.1,0.00789473684210527,-0.0734880050505051,-0.05,-0.100861581920904,-0.05,0.00776868521549372,-0.00165014294551352,0.00454545454545455,-0.000715563506261181,0.05,0.00331657589722106,-0.0192640692640693,0.0866666666666667,0.00643716577540107,-0.0883053221288515,0.0886886102403344,-0.0111183715215137,-0.0111183715215137,0.108965257508709,-0.0131652661064426
"TCFLEF",-0.105114111218258,0.040418118466899,-0.0241995568355401,-0.0319585088733427,0.051574581051933,0.0508943089430894,0.0166666666666667,0.0428571428571429,0.126526382910888,-0.0624415584415585,-0.0584415584415584,-0.0656673648931713,0.138291088793241,-0.0857142857142857,0.402186568986569,0.0470739064856712,0.0551484406471619,0.0938457818807701,0.241023806804419,-0.0540976472035605,0.0289612993602163,0.168390603408567,0.000435802696180874,0.00209143183525372,0.00417412045319022,-0.00512820512820513,-0.0304067658516749,-0.0708333333333333,-0.0289612993602163,-0.0289612993602163,-0.00245493088492782,-0.0745098039215686,-0.0522024673439768,0.0544412898152443,-0.0333333333333333,-0.0433974358974359,-0.0824407587058189,-0.0408333333333333,0.0613112136527906,-0.0445098039215686,0.0675125448028674,0.0470867422917337,-0.050952380952381,0.0457483101693628,-0.0366666666666667,-0.0402755553042511,-0.0396620583717358,0.0634934518496931,-0.0669541854295883,-0.124865253342782,-0.0905135399259417,-0.0103116693248272,-0.0103116693248272,0.029017943893463,-0.00934396485867074
"GSK3",-0.056785670469881,-0.0752505446623094,-0.0233356605196848,-0.0780985278302347,-0.084960900096349,-0.0684836273690763,-0.00454545454545455,-0.101176470588235,0.0792144130379424,-0.0866666666666667,-0.0866666666666667,-0.0786206896551724,0.0883053221288515,-0.0866666666666667,-0.0403935549151513,0.00975232198142415,0.00267685028331094,0.0173409853111128,-0.0507621206464461,-0.00122201575246639,-0.0358034914225646,-0.0712401381941938,-0.0805847598848659,-0.0790462983464044,-0.0872049689440994,-0.0710144927536232,0.0326522309183629,0.00789473684210527,0.0358034914225646,0.0358034914225646,-0.189010049275494,0.00789473684210527,-0.00331939119321482,-0.00351482635279677,-0.05,-0.00998605785988149,-0.0754352214746037,0.00789473684210527,-0.0957664942377817,0.00789473684210527,0.0081147059767394,-0.00549614447305164,0.00331657589722106,-0.00504636936060786,-0.0192640692640693,-0.00590936122668184,0.00270307896470572,0.0846035956380784,-0.00164182477515628,-0.0903832442067736,-0.0118132601921621,-0.0101238821625498,-0.0101238821625498,0.10901082597533,-0.00490913329683759
