"","ZEB2","DELTA","miR200","AXIN2","EGR1","MEK","cateninmemb","NOTCH","cfos","LIV1","ERK","Jagged","cMet","CD44","TCFLEF","cateninnuc","Wnt","GLI","Ecadherin","STAT","FUS","Frizzled","DSH","HEY1","GSK3","Csn","ILK","SHH","Patched","SMAD","AKT","SMO","ZEB1","TrCP","SNAI1","RKIP","IKK","NFB","SUFU","FOXC2","SRC","KLF4","Csl","TWIST1","NOTCHic","SNAI2","SOSGRB2","RAS","RAF","PI3K","Destcompl","CDC42","TGFR","PAK1","TGF"
"TCFLEF",-0.248017986886408,0.215906894517003,-0.0830906309219562,0.617386568986569,-0.234285714285714,-0.244400199104032,0.34525454448311,0.337100096230589,-0.256236933797909,0.266666666666667,-0.245760743321719,0.256483595741915,0.256858974358974,0.266292936623125,0.165949294011441,0.164145170300101,0.263476621417798,0.272172273591711,0.436687837434864,0.254166666666667,0.0433333333333333,0.25578431372549,0.26078431372549,0.212188917435849,0.178013265141904,0.206493506493507,0.182687020581757,-0.0252775814461942,-0.0209831029185868,0.183643043526308,0.240389719677237,-0.0290476190476191,0.0568732943469785,0.142857142857143,-0.230494484594903,-0.0913821922211508,0.236041893590281,0.242493506493506,-0.05,0.0276135312967,-0.249166666666667,0.250684364654953,-0.337334608640204,0.349771136603675,-0.331452255699028,0.461180296875145,0.138230615691694,-0.221820166527515,-0.215906894517003,-0.215906894517003,0.17092437756199,0.328920691711389,0.326116953393632,0.335897435897436,0.329759337499593
"AXIN2",-0.219849954956588,0.242771583991307,-0.135800461873054,0.580711247581563,-0.246666666666667,-0.225820750440827,0.312856452413394,0.259445912077491,-0.239349593495935,0.2,-0.227200060785655,0.273452088452088,0.217030205827319,0.217976578067067,0.216218078653233,0.216607183711599,0.217030205827319,0.218288067462539,0.263189478133179,0.193333333333333,0.0615384615384615,0.204961240310078,0.193333333333333,0.223853511581706,0.212540456492402,0.255555555555556,0.210420979986197,-0.043302708220741,-0.0377289377289377,0.20843685300207,0.287632850241546,-0.0377289377289377,0.130641936261767,0.2,-0.214678666893398,-0.184992516444129,0.278743961352657,0.268599033816425,-0.1,-0.0610386334976499,-0.204961240310078,0.221429458107019,-0.23859649122807,0.219450395346271,-0.249310776942356,0.314790984031641,0.116688342045986,-0.242246649608105,-0.242771583991307,-0.242771583991307,0.20709199930817,0.184691358024691,0.182921446520267,0.193333333333333,0.18622177655327
"Destcompl",-0.174472380071363,0.163617589420523,-0.0946696142938659,0.216218078653233,-0.181538461538462,-0.181009620524043,0.279115865862246,0.208449036733867,-0.166386946386946,0.138888888888889,-0.171304979173832,0.230610150261715,0.167173590624828,0.163815381669604,0.165459217286042,0.167600981691957,0.167695732391243,0.164170686009054,0.220072433152253,0.16031746031746,-0.00613026819923371,0.172646227440748,0.16031746031746,0.175938079015002,0.138674021786354,0.219047619047619,0.161587301587302,-0.0163834654488842,-0.016963736241921,0.164745196324144,0.236522520269238,-0.00815544608648057,0.0817958459979737,0.233333333333333,-0.155934495717215,-0.137486971654519,0.23585137932964,0.227743271221532,-0.0111111111111111,-0.0263987609369955,-0.172646227440748,0.180678240203256,-0.200470035252644,0.165129243860285,-0.210252643948296,0.270515883606027,0.0842499107164771,-0.162989645935436,-0.163617589420523,-0.163617589420523,0.0319968195199671,0.132068965517241,0.138384754990926,0.13,0.140453720508167
"FUS",-0.151734775224429,0.0417486583184258,-0.045750452079566,-0.180286480136555,-0.02,-0.0196704444980307,-0.10164007898252,-0.121060606060606,-0.0430769230769231,0,-0.0461072261072261,-0.0415586154140371,-0.0388888888888889,-0.0320927723840345,-0.0283333738877939,-0.0326811999747504,0.0694444444444444,0.0752136752136752,-0.0496072722098414,0,-0.0133333333333333,0.075,0.1,0.0615225354355789,0.141269944351413,-0.05,0.0685714285714286,0.0303787878787879,0.0313888888888889,0.0576036866359447,-0.00949450549450549,0.0258333333333333,0.00599805899275588,-0.1,-0.0684969422948729,-0.0532531500572738,0.0174285714285714,0.0214285714285714,-0.0666666666666667,-0.0720780399274047,0.0333333333333333,0.150136612021858,0.0878787878787879,0.0132332979730578,0.102878787878788,-0.18144719296332,-0.0578272604588394,-0.0526656888861113,-0.0417486583184258,-0.0417486583184258,0.110450749951684,0.025,0.00878378378378378,0.0333333333333333,0.00559229442208166
"GLI",-0.145079535756955,0.112657581344362,-0.0111808934099956,0.124436896135266,-0.105714285714286,-0.0855503336442563,0.202369446965401,0.0907164961475306,-0.0807142857142857,0.1,-0.0872077922077922,0.0811237225217432,0.0952006294256491,0.0952006294256491,0.0955253047503244,0.095345986160964,0.213851992409867,0.113426460494974,0.232782273534922,0.1,0.0440476190476191,0.210322580645161,0.22,0.0715482499013908,0.0163638912557442,0.116666666666667,0.0614657683144364,-0.0505117511592031,-0.0533924095954171,0.063087389936058,0.0795409282133906,-0.0493107769423559,0.0156298003072197,0.0833333333333333,-0.0606503534214584,-0.0557362101652072,0.0842284282133906,0.0903508771929824,-0.0190476190476191,0.0312762297901617,-0.0903225806451613,0.141147147147147,-0.0991688770999116,0.0963483535894402,-0.0916688770999116,0.252567626802179,0.0677964218672183,-0.112855601146342,-0.112657581344362,-0.112657581344362,-0.122794094354227,0.0368965517241379,0.0438147907178486,0.03,0.049226555423731
"ZEB2",-0.139874994871694,-0.0745021645021645,-0.0635488327455909,-0.0628485011975705,-0.0583333333333333,-0.0571614421577153,-0.0542026760239881,-0.0540395124001681,-0.0530701754385965,-0.05,-0.0498443689869836,-0.047360846594436,-0.0457894736842105,-0.0448635477582846,-0.0406381956456085,-0.0394693644767774,-0.0381118881118881,-0.0381118881118881,-0.0338543702143792,-0.03,-0.025,-0.0227272727272727,-0.0227272727272727,-0.0192646063613806,-0.0147374768517758,-0.0111111111111111,-0.0107034514780994,-0.00803135888501742,-0.00803135888501742,-0.00765467099029449,-0.00563343717549325,-0.000714285714285712,-0.000648039231895144,0,0.00151582225642126,0.00264090177133655,0.00277777777777778,0.0138888888888889,0.025,0.0253504273504273,0.03,0.0329359136912371,0.0358974358974359,0.0405446627154235,0.0425641025641026,0.0486761884031844,0.0554578754578755,0.0687205799197234,0.0745021645021645,0.0745021645021645,0.0852283641163993,0.124415584415584,0.129177489177489,0.12987012987013,0.132352092352092
"ILK",-0.128128763166009,-0.01395670995671,-0.0134943811173319,-0.116095238095238,-0.0666666666666667,-0.0338522294163567,0.0570230516464126,0.123076923076923,-0.0380952380952381,-0.1,-0.0322128851540616,0.0623684210526316,-0.0623188405797102,-0.0792419175027871,-0.0786769457513747,-0.07558416224622,-0.0623188405797102,-0.0792419175027871,0.175185815289439,-0.1,-0.15,-0.0666666666666667,-0.1,0.137298624424041,0.0251563251563252,0.233333333333333,0.129563825530212,0.138034188034188,0.143589743589744,0.123963825530212,0.24841628959276,0.166666666666667,-0.0136159663729166,0.2,0.0132367149758454,0.0281512605042017,0.250980392156863,0.233333333333333,0.1,0.0852427409988386,0.0666666666666667,0.119736842105263,-0.1,0.00465781941191777,-0.123076923076923,0.079017021809193,0.00730769230769231,0.0235457510526004,0.01395670995671,0.01395670995671,-0.175990346500999,0.0691176470588235,0.0691176470588235,0.075,0.07318268770923
"AKT",-0.126073968645461,-0.0235457510526004,-0.0129596217590432,-0.118622313907512,-0.0380952380952381,-0.0427129889100276,0.0583482300358111,0.113320825515947,-0.0322128851540616,-0.1,-0.0338522294163567,0.0603816660857442,-0.0792419175027871,-0.0786769457513747,-0.07558416224622,-0.0743533930154508,-0.0792419175027871,-0.0798005767206642,0.174882784986408,-0.0666666666666667,-0.166666666666667,-0.0623188405797102,-0.0666666666666667,0.132035466529304,0.0287853574143897,0.233333333333333,0.123963825530212,0.140139451192083,0.138034188034188,0.127667529233916,0.143365784542255,0.143589743589744,-0.0115611718523686,0.233333333333333,0.0109810758781011,0.0275301424917793,0.24841628959276,0.250980392156863,0.15,0.0837389816003423,0.0623188405797102,0.125719748088169,-0.123076923076923,0.00496362980947129,-0.123076923076923,0.0793185293468815,0.00952991452991453,0.0199312932212751,0.0235457510526004,0.0235457510526004,-0.177892745177591,0.0691176470588235,0.07318268770923,0.0691176470588235,0.0752974913346077
"TrCP",-0.103327990959859,-0.00565784579414421,-0.00869125068886191,0.125981968584441,-0.12,-0.113542618521248,0.19316760560389,0.134798534798535,-0.0895652173913043,0.1,-0.108209285187915,0.134606765507839,0.096996996996997,0.096006897987096,0.0963772683574664,0.0963772683574664,0.0941520467836257,0.0926886321494794,0.217973562210024,0.1,-0.114285714285714,0.0888888888888889,0.1,0.107349266543199,-0.0655119047619048,0.158333333333333,0.0919269499914661,0.0989663196222336,0.0959663196222336,0.0957979177334016,0.108162768031189,0.104608294930876,0.00741356582235416,0.133333333333333,-0.00149437946120826,-0.0050009658849438,0.115570175438596,0.120833333333333,0.147619047619048,0.0815994421317728,-0.0888888888888889,0.0979859484777518,-0.143589743589744,0.0698783173348391,-0.135897435897436,0.252853879004669,0.0533553355335534,0.00656693670323512,0.00565784579414421,0.00565784579414421,-0.104248189630369,0.0526610644257703,0.0647822765469824,0.0428571428571429,0.0724325497710261
"PAK1",-0.103327990959859,-0.00565784579414421,-0.00869125068886191,0.125981968584441,-0.12,-0.113542618521248,0.19316760560389,0.134798534798535,-0.0895652173913043,0.1,-0.108209285187915,0.134606765507839,0.096996996996997,0.096006897987096,0.0963772683574664,0.0963772683574664,0.0941520467836257,0.0926886321494794,0.217973562210024,0.1,-0.114285714285714,0.0888888888888889,0.1,0.107349266543199,-0.0655119047619048,0.158333333333333,0.0919269499914661,0.0989663196222336,0.0959663196222336,0.0957979177334016,0.108162768031189,0.104608294930876,0.00741356582235416,0.133333333333333,-0.00149437946120826,-0.0050009658849438,0.115570175438596,0.120833333333333,0.147619047619048,0.0815994421317728,-0.0888888888888889,0.0979859484777518,-0.143589743589744,0.0698783173348391,-0.135897435897436,0.252853879004669,0.0533553355335534,0.00656693670323512,0.00565784579414421,0.00565784579414421,-0.104248189630369,0.0526610644257703,0.0647822765469824,0.0428571428571429,0.0724325497710261
