"","Ecadherin","STAT","TCFLEF","ZEB2","cateninnuc","Destcompl","DSH","Csn","FOXC2","cateninmemb","NFB","IKK","RAF","PI3K","DELTA","RAS","FUS","AKT","SMO","SHH","Patched","TWIST1","HEY1","SMAD","GSK3","EGR1","ILK","SNAI2","TGF","TGFR","KLF4","MEK","CDC42","PAK1","RKIP","cfos","ERK","SNAI1","SOSGRB2","Jagged","TrCP","SUFU","LIV1","NOTCH","miR200","NOTCHic","Frizzled","Csl","GLI","SRC","Wnt","CD44","cMet","ZEB1","AXIN2"
"ZEB2",-0.173313445937848,-0.14,-0.136405156082695,-0.133747486109691,-0.132638922316461,-0.128728426161829,-0.127272727272727,-0.111111111111111,-0.107108003108003,-0.104933801126987,-0.0986111111111111,-0.0963888888888889,-0.0905844155844156,-0.0905844155844156,-0.0905844155844156,-0.0860876275758503,-0.0857142857142857,-0.0842393561786085,-0.0828571428571429,-0.0807063668039278,-0.0779790940766551,-0.0537710497774985,-0.0531727949469885,-0.0529367134640237,-0.051756226104691,-0.05,-0.0486684207810969,-0.0403433506476476,-0.0373393801965231,-0.0346938775510204,-0.031920971756247,-0.0313387717917926,-0.0285714285714286,0.0194805194805195,0.0278099838969404,0.0342105263157895,0.0374363327674024,0.0583509324742875,0.0635347985347986,0.0867376394296785,0.1,0.1,0.1,0.104411937788987,0.105564098221578,0.106051282051282,0.107272727272727,0.115384615384615,0.11807018669404,0.12,0.122657342657343,0.127602339181287,0.133157894736842,0.133747486109691,0.157658919924903
"SOSGRB2",0.061693691879897,0,-0.108181322872398,-0.0988972431077694,-0.114491074306433,-0.403163540411863,0,0.1,0.0723809523809524,0.122566436566437,0.0888888888888889,0.083625730994152,0.0248587570621469,0.0248587570621469,0.0248587570621469,0.0338331160365059,0.166666666666667,0.0711257309941521,0.15,0.117127592708988,0.131081081081081,-0.278782608695652,0.0419507575757576,0.121986615535003,-0.477538749235804,-0.314285714285714,0.126881720430108,0.399242736624323,-0.301248538695347,-0.299120879120879,-0.101754385964912,-0.314968214968215,-0.291428571428571,0.271428571428571,-0.000694444444444436,0.303174603174603,0.305877305877306,-0.284316986496091,0.494166666666667,-0.114189704399692,0,-0.2,0,-0.0543977149610952,-0.159807102853251,-0.0755244755244755,0.0428571428571429,-0.0909090909090909,0.0834368530020704,0.0428571428571429,0.0761904761904762,0.0892339544513458,0.0819875776397515,0.0988972431077694,0.0876650165016502
"TWIST1",-0.0959555717353474,0.00952380952380952,0.00810753109239028,-0.0790211263895474,0.0163306478261453,0.0460585158776488,0.00952380952380952,0.1,0.148584751707407,0.012723235977002,0.123076923076923,0.0945054945054945,0.0247284076759093,0.0247284076759093,0.0247284076759093,0.036029777538923,0.111111111111111,0.104674986030918,0.0751111111111111,0.0751246072984382,0.0874398782343988,0.0168001525553013,0.00632023343887751,-0.00643974307340644,0.0668916023438685,0.2,-0.00808990808990809,-0.289860570418924,0.0592465896892101,0.0585632183908046,-0.0826766729205754,0.196950601682662,0.0535632183908046,-0.0466666666666667,-0.131758155671199,-0.204347826086957,-0.196453089244851,-0.0990589190906668,-0.155078331279704,-0.0106108644529762,-0.2,-0.1,-0.0666666666666667,-0.0504268128796431,-0.104585822590225,-0.0589173789173789,-0.0373015873015873,-0.0614814814814815,-0.0243752715121136,-0.0373015873015873,-0.00677527151211362,-0.0226557699897869,-0.00538669368456602,0.0790211263895474,-0.0390019120664282
"ERK",0.0674192702812663,-0.0701754385964912,-0.0966438910177232,-0.0690199306148424,-0.0960188910177232,-0.371608864798376,-0.0633333333333333,0.0857142857142857,0.0534466031017755,0.1250238669175,0.0645021645021645,0.0633256939139292,0.0861960261960262,0.0861960261960262,0.0861960261960262,0.0929066972631329,0.0386666666666667,0.0669954186845714,0.0337486338797814,0.0248256443941321,0.0291734704810886,-0.278034375675723,0.0548130962981542,0.0374486947208583,-0.373740249243177,-0.206551724137931,0.0423119166053568,0.380369690741746,-0.322792016406178,-0.320044763658926,-0.0693770644956792,-0.120783336773503,-0.317125055629729,0.316190476190476,-0.0889708705649097,0.217190022010271,0.127190022010271,-0.333030785326589,0.393923254738789,-0.0210390717352657,-0.0857142857142857,-0.0666666666666667,0.0333333333333333,-0.048139476140568,-0.144603769477122,-0.0550646838968007,0.0556410256410256,-0.0528749028749029,0.0789685752843648,0.0624831309041835,0.0787179487179487,0.085305601054898,0.0855600539811066,0.0690199306148424,0.0877958245371027
"RKIP",0.0682341588812675,0,-0.0855600539811066,-0.0629794356767097,-0.085305601054898,-0.35698495426045,0,0.1,0.0505452402004126,0.120098922451864,0.0857142857142857,0.0857142857142857,0.0766233766233766,0.0766233766233766,0.0766233766233766,0.0928626928626929,0.0666666666666667,0.0645021645021645,0.0666666666666667,0.0337486338797814,0.0386666666666667,-0.260124777183601,0.0612853271389857,0.0367768612548033,-0.351812450748621,-0.21,0.0476679503637142,0.387860931398263,-0.317125055629729,-0.316190476190476,-0.0729794356767097,-0.217190022010271,-0.306666666666667,0.3,-0.0794817927170868,0.21,0.206551724137931,-0.326246597292401,0.38184126984127,-0.0366622200662948,-0.1,-0.1,0,-0.0528749028749029,-0.139843707557617,-0.0797979797979798,0.0333333333333333,-0.0888888888888889,0.0556410256410256,0.0333333333333333,0.0633333333333333,0.0624831309041835,0.0701754385964912,0.0629794356767097,0.064662447257384
"miR200",0.0116249134482191,-0.04,-0.0283650925801239,-0.0403718637992831,-0.0156378198528511,-0.102438406207754,-0.04,-0.04,0.00584109657280389,0.000854113332816164,-0.0242105263157895,-0.0213533834586466,-0.0137428243398393,-0.0137428243398393,-0.0137428243398393,0.000471639500559737,-0.04,-0.0156930061001561,-0.04,-0.0524931205283434,-0.0437974683544304,-0.00536287843036309,-0.0137005649717514,-0.0183721693151049,-0.0825398484873465,-0.0857142857142857,-0.00677342323360022,-0.13704998022338,0.150633062677434,0.14947027197976,-0.0477053140096618,-0.0418800247371676,0.152696078431373,-0.1625,0.0612241666902265,0.0457142857142857,0.0548051948051948,0.0293674843674844,-0.0926208897485493,0.0237905058738912,0.1,0.04,0,0.0431944560407448,0.00979907105270894,0.0313300492610837,0.004,0.0520197044334975,0.0200501470360625,-0.00782608695652174,0.0420281690140845,0.00773017194520322,0.0302020820575628,0.0403718637992831,0.0779099558145303
"Jagged",0.0450175438596491,0,0.0455477855477855,-0.0384057971014493,0.0180752580752581,0.0363706563706564,0,0,0.0971428571428571,-0.000316444119261022,0.1,0.0666666666666667,0.0733333333333333,0.0733333333333333,0.0733333333333333,0.0187878787878788,0.1,0.1,0.0666666666666667,0.083974358974359,0.0916666666666667,0.056,-0.05,0.0642857142857143,0.0049808429118774,-0.1,0.05,-0.098868778280543,0.0768888888888889,0.0888888888888889,-0.0166666666666667,0.02,0.1,-0.2,0.0615384615384615,0,-0.02,0.0166666666666667,-0.08,-0.0730735930735931,0,0,0,-0.0228571428571429,0.0624242424242424,0.02,0,0,-0.00615384615384615,0,-0.06,-0.00615384615384615,-0.06,0.0384057971014493,-0.0228571428571429
"TCFLEF",-0.117750012779654,-0.025,-0.225769214144044,-0.0353658514974304,-0.235477117924113,-0.482807120351704,-0.0176470588235294,0.0948051948051948,0.165406040679492,0.10449591715846,0.0588051948051948,0.0717084206116464,0.148065042350241,0.148065042350241,0.148065042350241,0.151613005556548,-0.0233333333333333,0.0673605945246899,-0.0280952380952381,-0.0580378464467125,-0.0506758832565284,-0.140800988228533,-0.0646490944269991,-0.120331375689935,-0.323160135548537,0.262857142857143,-0.112491987544619,-0.372344005193829,-0.328225762788505,-0.324252252854731,-0.134514260249554,0.270758254521321,-0.317710196779964,0.315384615384615,-0.259286403085825,-0.260418118466899,-0.263275261324042,-0.240766088862323,-0.0825714724397359,0.0842397238736982,-0.0857142857142857,-0.05,0,-0.106969859223705,-0.148039430449069,-0.119926669854934,0.0576470588235294,-0.127769807109836,0.104018561716771,0.065,0.0841427853192559,0.110992581841638,0.0914957264957265,0.0353658514974304,-0.248947008547009
"GLI",0.135261804508194,0.11,0.125819851219618,-0.0333479262672811,0.138192833885488,0.133517964021345,-0.02,0.155555555555556,0.0829252665978672,0.105496104205473,0.129239766081871,0.110872419143096,0.177835218496188,0.177835218496188,0.177835218496188,0.18991442641698,-0.0279761904761905,0.109309919143096,-0.0385025062656642,-0.0409548452259396,-0.0405433225921948,0.0628296218024571,0.0439942720927441,0.0229476509468952,-0.0242735413091097,0.202857142857143,0.0283530563523006,-0.0500863084577973,0.166795438019059,0.161854261548471,-0.0428065208065208,0.216663916194303,0.15367816091954,-0.143333333333333,-0.0081920495922482,-0.227857142857143,-0.208376623376623,-0.0147455632905187,-0.300570432517335,-0.0991834389400082,-0.1,-0.00952380952380952,-0.15,-0.133883099658962,0.056574014221073,-0.145311671087533,-0.0154838709677419,-0.142811671087533,-0.112279865961484,-0.145483870967742,0.00686907020872865,-0.138482188881956,-0.118654602675059,0.0333479262672811,-0.17514190821256
"NOTCHic",0.0399861749913984,0.06,0.0388915846058703,-0.0287761674718197,0.0228610502547253,0.0355606875233043,0.06,0.0666666666666667,0.0842725477287689,0.00292686800970683,0.1,0.1,0.0434255599472991,0.0434255599472991,0.0434255599472991,0.0242137372872006,0.0916666666666667,0.0790697674418605,0.083974358974359,0.0732849219092103,0.072209653092006,0.0699643961198167,-0.0482608695652174,0.0536382322713258,0.0134519172920427,0.02,0.0442857142857143,-0.099021464605574,0.0787997169143666,0.0768888888888889,-0.024120082815735,0.0314285714285714,0.0768888888888889,-0.0888888888888889,0.0676579370119924,-0.02,-0.0485714285714286,0.021045991045991,-0.0730622009569378,-0.0781999114449446,-0.1,-0.0666666666666667,0,-0.105539655590589,0.0664044240922854,-0.100276497695853,-0.00615384615384615,-0.0228571428571429,-0.0208166027520866,-0.00615384615384615,-0.0455477855477855,-0.0180752580752581,-0.0455477855477855,0.0287761674718197,-0.0287271638215034
