"","TGF","TGFR","CDC42","SOSGRB2","PAK1","Jagged","AXIN2","HEY1","TWIST1","NOTCHic","SMAD","ILK","Csl","SNAI1","NFB","CD44","TCFLEF","GLI","Wnt","STAT","Csn","Frizzled","RKIP","TrCP","SUFU","DELTA","GSK3","ZEB1","EGR1","FOXC2","SNAI2","cateninmemb","cfos","ERK","MEK","miR200","FUS","SMO","RAF","PI3K","RAS","Patched","Ecadherin","LIV1","SHH","DSH","SRC","cMet","cateninnuc","ZEB2","IKK","Destcompl","AKT","NOTCH","KLF4"
"AXIN2",0.406230927910884,0.39302960777887,0.369135802469136,0.343922818649326,0.333333333333333,0.346235139713401,0.65384047250767,0.270999135907858,0.345705031201989,0.330676691729323,0.273688750862664,0.259006211180124,0.302105263157895,0.401989380234756,0.325603864734299,0.295146121459115,0.300890552877638,0.295447690810146,0.291045175086875,0.266666666666667,0.277777777777778,0.287596899224806,0.34653068257907,0.2,-0.1,0.370749166121138,0.337434508791488,0.305371625867087,0.246666666666667,-0.109158491781443,-0.133176715553287,0.214319699177356,-0.253983739837398,-0.254918319276651,-0.259745905483547,0.0947408651099701,0.0769230769230769,0.0626373626373626,-0.370749166121138,-0.370749166121138,-0.378360714677569,0.0519230769230769,-0.128803518915763,-0.233333333333333,0.0430706179066835,-0.266666666666667,-0.287596899224806,-0.291045175086875,-0.30352782049545,-0.243160834199145,-0.358937198067633,-0.37844584929145,-0.384492753623188,-0.347568583621215,-0.225293610138892
"TGFR",0.463014184397163,0.451666666666667,0.555238095238095,0.382488628979857,0.526666666666667,0.321106006275213,0.168237315590678,0.346749809944475,0.346072228812442,0.366896551724138,0.332282693772764,0.324809384164223,0.36,0.360291590951285,0.339285714285714,0.141367096987752,0.138017814691102,0.119976523780541,0.101266846361186,0.133333333333333,0.325,0.0842857142857143,0.265021645021645,0.3,0.26,0.163690476190476,-0.0784428223511664,0.22009978459959,-0.0285714285714286,-0.0415201795546394,0.0451313759450012,-0.0419415230825757,0.0338345864661654,0.0182790309106099,0.0210187569380071,0.0262795016132057,-0.243333333333333,-0.25367816091954,-0.163690476190476,-0.163690476190476,-0.181234335839599,-0.28180316091954,-0.0975192978479068,-0.1,-0.290277737190727,-0.114285714285714,-0.103333333333333,-0.120314465408805,-0.13739779697631,-0.218619195713449,-0.365601503759398,-0.124291114666302,-0.377229410736143,-0.380565616472339,-0.212552667901638
"TGF",0.451666666666667,0.555238095238095,0.526666666666667,0.376315789473684,0.46,0.300816151202749,0.151499118165785,0.325854287556415,0.331481481481481,0.36,0.324809384164223,0.305454545454545,0.34,0.34347743165925,0.325,0.120314465408805,0.141367096987752,0.101266846361186,0.0842857142857143,0.1,0.3,0.114285714285714,0.259307359307359,0.2,0.2,0.149404761904762,-0.0870002795638803,0.218967709127892,0,-0.0454503105590062,0.0393443389079642,-0.0389392136137536,0.0285714285714286,0.0338345864661654,0.0182790309106099,0.0265727567451705,-0.26,-0.243333333333333,-0.149404761904762,-0.149404761904762,-0.163690476190476,-0.25367816091954,-0.088831052532745,0,-0.28180316091954,-0.1,-0.133333333333333,-0.103333333333333,-0.138017814691102,-0.214468252317223,-0.339285714285714,-0.122274985634044,-0.365601503759398,-0.366896551724138,-0.207195525044495
"ZEB1",0.147106445977619,0.144350540465808,0.150949525237381,0.0739961013645224,0.140804597701149,0.142215713586718,-0.158434010270937,0.220259006968852,0.00599674177058529,0.0818627450980392,0.210807816222862,0.211288585453631,0.0916666666666667,0.094334801794451,0.129122807017544,-0.125533421623809,-0.130054698219554,-0.134606519538629,-0.14182301438399,-0.125641025641026,0.113333333333333,-0.155284552845528,0.0801073459100538,0.133333333333333,0.225,-0.161085515036063,-0.166544631654418,-0.0232464423896649,0,-0.017885832061467,0.089394699049844,-0.0472143875548327,-0.02,-0.0352941176470588,-0.0322104172065302,-0.169273074946881,-0.2,-0.190909090909091,0.161085515036063,0.161085515036063,0.154943782752599,-0.196791443850267,0.0313944097919425,0.133333333333333,-0.20141777836984,0.133333333333333,0.147592245153221,0.133866754957142,0.130054698219554,-0.211655245421892,-0.127483462755249,0.157612572179896,-0.11891203418382,-0.082689191379031,-0.214137250582447
"GLI",0.516634365392221,0.500869659509868,0.480114942528736,0.313928667203003,0.476666666666667,0.204436684537924,0.129675422705314,0.252610142168716,0.249940761935669,0.197433687002653,0.244119848659807,0.241957686497645,0.184933687002653,0.300524278969715,0.208479532163743,0.0981996256002605,0.10242040482104,0.113688077839235,0.224326375711575,0.06,0.161111111111111,0.209032258064516,0.244757004002287,0.15,0.019047619047619,0.168514043217566,-0.0942337538648522,0.205083119986346,-0.0457142857142857,-0.0832043343653251,0.0298147252578545,-0.0585016078258923,0.0373809523809524,0.0438744588744589,0.0400070555595417,0.0133782419850531,-0.056547619047619,-0.0828634085213033,-0.168514043217566,-0.168514043217566,-0.166335825395784,-0.0828634085213033,-0.0766516182061439,-0.1,-0.0840979764225378,-0.18,-0.0890322580645161,-0.108544453186467,-0.109174738353616,-0.195876770779997,-0.210520348490273,-0.156890710762484,-0.226145348490273,-0.21457654414551,-0.182444444444444
"Csl",0.440435547467395,0.422975230007077,0.405777777777778,0.322673590850741,0.405777777777778,0.21187123820195,0.165405592626212,0.355417185826393,0.267761512812387,0.211406742663109,0.243489779604888,0.244600890715999,0.198248847926267,0.324907242515938,0.211111111111111,0.121118881118881,0.123408957454759,0.118219790961726,0.127090758703662,0.0815384615384615,0.166666666666667,0.108811188811189,0.240248157321901,0.133333333333333,0.108333333333333,0.157900140838672,0.0565513725162111,0.209490040124198,0.0466666666666667,-0.0736977594152233,0.0235539577983249,-0.0338771595097362,-0.0680952380952381,-0.0623809523809524,-0.0645548654244306,0.0115727505458889,-0.131410256410256,-0.160822021116139,-0.157900140838672,-0.157900140838672,-0.157164846721024,-0.168348902836569,-0.0733167637843208,-0.12,-0.167486833871052,-0.0815384615384615,-0.108811188811189,-0.12969030969031,-0.129412387986491,-0.192765455823347,-0.21343669250646,-0.168343860537252,-0.235917312661499,-0.233224924481291,-0.174323671497585
"SNAI1",0.413106575017873,0.410283994372712,0.394983447924624,0.298429644851278,0.379831932773109,0.191010194875496,0.126439652301721,0.239744885960381,0.249103693408041,0.202710622710623,0.239172862389146,0.22920976275815,0.185128205128205,0.193376739064886,0.195833333333333,0.0981561759779582,0.104087210460717,0.0948237065615789,0.0924471069272096,0.0859259259259259,0.195833333333333,0.101715399610136,0.228171031523629,0.158333333333333,0.152380952380952,0.123219014632214,-0.00819275856157044,0.199592450974054,0.0530434782608696,-0.0813283725874947,0.0252110047187047,-0.0526593999587806,-0.0445689019896831,-0.0472355686563498,-0.0566526090150942,0.00578702432238651,-0.181413210445468,-0.185116914149172,-0.123219014632214,-0.123219014632214,-0.125189457981968,-0.182116914149172,-0.076228775036586,-0.06,-0.185029535508395,-0.0859259259259259,-0.104844844844845,-0.0959339537557359,-0.10377745310398,-0.182233720478237,-0.2125,-0.137333437761069,-0.222916666666667,-0.205159602302459,-0.179864236711487
"PAK1",0.410283994372712,0.394983447924624,0.379831932773109,0.287486248624862,0.385714285714286,0.190069018404908,0.12504105090312,0.240340124055619,0.243667795972144,0.185128205128205,0.22920976275815,0.230500085338795,0.174358974358974,0.295511970381612,0.195833333333333,0.0959339537557359,0.0981561759779582,0.0924471069272096,0.101715399610136,0.06,0.158333333333333,0.0859259259259259,0.219802830686809,0.133333333333333,0.119047619047619,0.125037196450396,-0.00891883116883117,0.192089375943303,0.04,-0.0784058821173549,0.0265184133677158,-0.0576680355373644,-0.0530434782608696,-0.0445689019896831,-0.0472355686563498,0.00780431538866893,-0.152380952380952,-0.181413210445468,-0.125037196450396,-0.125037196450396,-0.123219014632214,-0.185116914149172,-0.0756564545371063,-0.1,-0.182116914149172,-0.06,-0.0859259259259259,-0.104844844844845,-0.104087210460717,-0.181126709408126,-0.195833333333333,-0.134427736006683,-0.2125,-0.202710622710623,-0.168337756960708
"LIV1",0.410283994372712,0.394983447924624,0.379831932773109,0.287486248624862,0.385714285714286,0.190069018404908,0.12504105090312,0.240340124055619,0.243667795972144,0.185128205128205,0.22920976275815,0.230500085338795,0.174358974358974,0.295511970381612,0.195833333333333,0.0959339537557359,0.0981561759779582,0.0924471069272096,0.101715399610136,0.06,0.158333333333333,0.0859259259259259,0.219802830686809,0.133333333333333,0.119047619047619,0.125037196450396,-0.00891883116883117,0.192089375943303,0.04,-0.0784058821173549,0.0265184133677158,-0.0576680355373644,-0.0530434782608696,-0.0445689019896831,-0.0472355686563498,0.00780431538866893,-0.152380952380952,-0.181413210445468,-0.125037196450396,-0.125037196450396,-0.123219014632214,-0.185116914149172,-0.0756564545371063,-0.1,-0.182116914149172,-0.06,-0.0859259259259259,-0.104844844844845,-0.104087210460717,-0.181126709408126,-0.195833333333333,-0.134427736006683,-0.2125,-0.202710622710623,-0.168337756960708
"NOTCHic",0.422975230007077,0.405777777777778,0.405777777777778,0.310478468899522,0.377777777777778,0.21343373820195,0.16412024558251,0.342998885172798,0.263021106491845,0.198248847926267,0.244600890715999,0.233809523809524,0.288571428571429,0.313840048840049,0.166666666666667,0.12969030969031,0.121118881118881,0.127090758703662,0.108811188811189,0.12,0.133333333333333,0.0815384615384615,0.225040784050012,0.1,0.133333333333333,0.140658761528327,0.0566986479212184,0.201755233494364,-0.02,-0.0685253456221198,0.0264622352032466,-0.0314306763293081,-0.0466666666666667,-0.0680952380952381,-0.0623809523809524,0.0035117483672397,-0.108333333333333,-0.131410256410256,-0.140658761528327,-0.140658761528327,-0.157900140838672,-0.160822021116139,-0.0771539730866464,-0.1,-0.168348902836569,-0.12,-0.0815384615384615,-0.108811188811189,-0.123408957454759,-0.178953301127214,-0.211111111111111,-0.166454768520189,-0.21343669250646,-0.211406742663109,-0.172895100069013
