"","TWIST1","SOSGRB2","HEY1","AXIN2","ERK","SUFU","SMO","cfos","SHH","CD44","cMet","Jagged","Patched","SRC","DSH","Ecadherin","PAK1","TGFR","CDC42","SNAI2","TGF","FOXC2","RAF","PI3K","DELTA","RAS","ZEB2","ZEB1","TrCP","LIV1","FUS","Frizzled","Csl","Wnt","cateninmemb","GLI","STAT","NOTCH","NFB","KLF4","EGR1","TCFLEF","cateninnuc","NOTCHic","SMAD","AKT","Csn","miR200","MEK","IKK","ILK","Destcompl","SNAI1","RKIP","GSK3"
"AXIN2",-0.44636590740039,-0.184960686812019,0.175307849141521,-0.0565450735357929,-0.234910721069828,0.2,0.307326007326007,-0.215284552845528,0.352326007326007,-0.501096494889522,-0.471128040630847,0.454719123414776,0.332326007326007,-0.431472868217054,-0.373333333333333,0.0692174997448435,-0.0320833333333333,0.00501925598164535,-0.0135648148148148,0.199917448293335,-0.0152502790839556,0.0659998549459908,0.254002061874034,0.254002061874034,0.254002061874034,0.258988938514454,-0.230636071048166,-0.230636071048166,0.133333333333333,0.3,-0.269230769230769,0.431472868217054,-0.0796491228070176,0.471128040630847,0.359494276844215,0.50131671987613,0.373333333333333,-0.107207037864933,0.148792270531401,-0.207836419967704,0.193333333333333,0.520908921618713,0.535046405406003,-0.0957205513784461,-0.175644122383253,0.165603864734299,0.144444444444444,0.116042189518544,0.247324514173276,0.158937198067633,-0.173659995399126,0.727213541814307,0.398642038747188,0.397838827838828,0.677339856050382
"Destcompl",-0.412526566694473,-0.155027075572679,0.139176379176379,-0.520908921618713,-0.195096488211242,0.255555555555556,0.296836343732895,-0.186899766899767,0.322638851224302,-0.472506758445217,-0.458700788295963,0.419823438693817,0.31393478932875,-0.434322678843227,-0.405555555555556,0.0572521878603639,0.0144897959183673,0.0383736434682766,0.0331104855735398,0.151973626403705,-0.0475362050446313,0.0255922355640495,0.206696847445646,0.206696847445646,0.206696847445646,0.210621494227436,-0.183814883338473,-0.183814883338473,0.1,0.355555555555556,-0.279693486590038,0.434322678843227,-0.105883274578927,0.459075154090752,0.325761851885223,0.473360868376466,0.405555555555556,-0.123596962824984,0.11304347826087,-0.168883494466332,0.168717948717949,0.483328676253436,0.48944800312748,-0.11457892675284,-0.13938178780284,0.118890264644569,0.1,0.0797497897975961,0.203113365848373,0.117547982765374,-0.133650793650794,0.584256547376216,0.354640611242415,0.363273582758834,0.64086639358113
"TGFR",-0.113921180967444,-0.0537037037037037,-0.054177853479219,0.208677929922565,-0.0408187134502924,-0.0466666666666667,-0.0708045977011494,-0.0385964912280702,-0.0790143434638613,0.17443561734525,0.166540880503145,-0.110227102943374,-0.0739295977011494,0.153333333333333,0.142857142857143,0.0944838389568613,0.108888888888889,-0.0143253968253968,0.0946031746031746,-0.13493605274121,0.018580715974333,-0.00272342618459953,-0.0279761904761905,-0.0279761904761905,-0.0279761904761905,-0.0297305764411028,-0.124132408232404,-0.124132408232404,-0.0333333333333333,-0.1,0.0466666666666667,-0.162857142857143,-0.00333333333333333,-0.176064690026954,-0.164379749393426,-0.183161464220503,-0.133333333333333,0.0111791945753742,-0.0333333333333333,-0.128494696887145,0.0333333333333333,-0.18065571303903,-0.184110097450013,0.0104597701149425,0.0372895990092638,-0.0297837617299062,-0.0333333333333333,0.0320493589959664,0.0380789874228951,-0.0228070175438596,0.0419159335288368,-0.150664338653092,0.138685852897438,0.160909090909091,-0.211874591638131
"PI3K",-0.261512179117311,-0.201923076923077,0.0704301617731141,-0.225333333333333,-0.174509803921569,0.1,0.116666666666667,-0.133333333333333,0.133974358974359,-0.182980304719435,-0.159903381642512,0.129912280701754,0.108974358974359,-0.155555555555556,-0.1,0.0927268995511315,-0.05,-0.0434117647058824,-0.0794117647058824,-0.00578733690040364,0.0572329029172645,0.0767688734030197,0.23991341991342,0.23991341991342,0.23991341991342,0.234433967858625,-0.111632017138127,-0.111632017138127,0.2,0.1,-0.1,0.155555555555556,0.05,0.159903381642512,0.0559098032369159,0.182980304719435,0.1,0.0455334987593052,0.166666666666667,-0.0745614035087719,0.133333333333333,0.186935106979322,0.196625828628807,0.0423076923076923,-0.0601840736294518,0.192006033182504,0.166666666666667,0.0764611108873404,0.169591771134683,0.184313725490196,-0.0801840736294518,0.445837176952925,0.242419484702093,0.280122818358112,0.38538961038961
"ILK",-0.261512179117311,-0.201923076923077,0.0704301617731141,-0.225333333333333,-0.174509803921569,0.1,0.116666666666667,-0.133333333333333,0.133974358974359,-0.182980304719435,-0.159903381642512,0.129912280701754,0.108974358974359,-0.155555555555556,-0.1,0.0927268995511315,-0.05,-0.0434117647058824,-0.0794117647058824,-0.00578733690040364,0.0572329029172645,0.0767688734030197,0.23991341991342,0.23991341991342,0.23991341991342,0.234433967858625,-0.111632017138127,-0.111632017138127,0.2,0.1,-0.1,0.155555555555556,0.05,0.159903381642512,0.0559098032369159,0.182980304719435,0.1,0.0455334987593052,0.166666666666667,-0.0745614035087719,0.133333333333333,0.186935106979322,0.196625828628807,0.0423076923076923,-0.0601840736294518,0.192006033182504,0.166666666666667,0.0764611108873404,0.169591771134683,0.184313725490196,-0.0801840736294518,0.445837176952925,0.242419484702093,0.280122818358112,0.38538961038961
"GSK3",-0.278746167603718,-0.239504632255625,0.0715462936275329,-0.261371463820603,-0.18578799941029,0.127272727272727,0.145245077503142,-0.174509803921569,0.156948485493279,-0.214026622848512,-0.20164567046756,0.152787826894465,0.139723605110504,-0.194360902255639,-0.165789473684211,0.0961968672053325,-0.0318840579710145,-0.0264949755087613,-0.0442650103519669,0.0163532647047079,0.0303411293549152,0.0571937813308683,0.289093697230993,0.289093697230993,0.289093697230993,0.288253361096539,-0.102719482052727,-0.102719482052727,0.0866666666666667,0.15,-0.112987012987013,0.194360902255639,0.0618347338935574,0.202857634281783,0.0645252093444573,0.215121785225179,0.165789473684211,0.0466898787487023,0.117916666666667,-0.0791391158108541,0.174509803921569,0.21767755784406,0.223203873633533,0.0443522164110399,-0.0715449165759946,0.116118847627468,0.0991666666666667,0.0641878920051457,0.186924363046654,0.10757183908046,-0.0845883948368642,0.51281309199511,0.246224501259891,0.305117952223215,0.437965948928211
"AKT",-0.261817989514865,-0.190811965811966,0.051633169291911,-0.235802647412756,-0.169591771134683,0.1,0.108974358974359,-0.174509803921569,0.128711201079622,-0.186935106979322,-0.182980304719435,0.123952015801092,0.133974358974359,-0.159903381642512,-0.155555555555556,0.0898481116723436,-0.0794117647058824,-0.0572329029172645,-0.0434117647058824,-0.0054858293627152,0.0418250479323702,0.0632350388165536,0.234433967858625,0.234433967858625,0.234433967858625,0.241903847376698,-0.0938237979600453,-0.0938237979600453,0.166666666666667,0.1,-0.116666666666667,0.159903381642512,0.0423076923076923,0.182980304719435,0.0568272344295764,0.188008237680329,0.155555555555556,0.0321188646129637,0.184313725490196,-0.109604138551507,0.133333333333333,0.196625828628807,0.198318136321114,0.0455334987593052,-0.079375992821371,0.0849353261117967,0.166666666666667,0.0529316991226345,0.179718353413164,0.192006033182504,-0.0601840736294518,0.454025762560865,0.254700186456479,0.280743936370535,0.393050900712191
"RAS",-0.13785051827605,-0.119047619047619,-0.041501976284585,-0.0818445322793149,-0.199736842105263,-0.1,-0.0166666666666667,-0.205,-0.0199209039548023,-0.0527534418022528,-0.0676470588235294,-0.0336290163611275,-0.00466666666666667,-0.05,-0.1,0.0967796411493891,-0.1,-0.0752941176470588,-0.04,-0.0513080470586679,0.0525218404193361,0.053968253968254,0.278717948717949,0.278717948717949,0.278717948717949,0.192179487179487,-0.0844698085419735,-0.0844698085419735,0.2,0,0,0.05,0.15,0.0676470588235294,-0.0418405961673646,0.0509803921568628,0.1,0.16390268123138,0.166666666666667,-0.116428571428571,0.18,0.0604457494945605,0.0550633132339373,0.165789473684211,0.00346320346320346,0.178888888888889,0.2,0.0463076923076923,0.217383900928793,0.173333333333333,0.032034632034632,0.153566483799042,0.160147492625369,0.223459119496855,0.10235142118863
"DSH",-0.265301865427022,-0.226016260162602,0.0504390271915468,-0.248129454688183,-0.174509803921569,0.1,0.112987012987013,-0.174509803921569,0.139723605110504,-0.20164567046756,-0.194360902255639,0.136583447332421,0.145245077503142,-0.165789473684211,-0.15,0.0926736535076045,-0.0666666666666667,-0.0442650103519669,-0.0318840579710145,0.0151453268272273,0.0264949755087613,0.050335727104393,0.280410223841637,0.280410223841637,0.280410223841637,0.289093697230993,-0.0823628698684778,-0.0823628698684778,0.0666666666666667,0.1,-0.127272727272727,0.165789473684211,0.0559523809523809,0.194360902255639,0.0612537681419816,0.202857634281783,0.15,0.0443522164110399,0.0991666666666667,-0.0997498028337549,0.133333333333333,0.214026622848512,0.21767755784406,0.0618347338935574,-0.0845883948368642,0.10757183908046,0.0866666666666667,0.0464856645725548,0.18578799941029,0.117916666666667,-0.062324243893468,0.506578502350869,0.248771566597654,0.292335997335997,0.529313702671971
"SMAD",-0.0321970906704267,-0.0592871931381248,-0.0394244025309721,0.193911284602254,-0.0539170506912442,-0.0333333333333333,-0.0633333333333333,-0.0539170506912442,-0.0681489944635813,0.150957134368899,0.147684407096172,-0.0785729646697389,-0.0789296636085627,0.13984126984127,0.147619047619048,0.0608554965395559,0,-0.0143992446297899,-0.0183098591549296,-0.145579636846176,0.0191801211238138,-0.004897090038587,0.179793795723927,0.179793795723927,0.179793795723927,0.18078063782919,-0.0737034672382969,-0.0737034672382969,0.05,-0.12,0.0833333333333333,-0.153174603174603,0.100952380952381,-0.158943833943834,-0.141464819870709,-0.162540956245992,-0.134285714285714,0.0970388615216201,0.0849206349206349,-0.0651718127764724,0.0571428571428571,-0.154077894206077,-0.155091065432014,0.0883087027914614,-0.0676971430396088,0.0687637721755369,0.0611111111111111,0.053429287830929,0.0510324353066289,0.0594304388422036,0.0208742855318198,-0.0926734977340082,0.0489216688329592,0.087082344792809,-0.0133440202237195
"cateninnuc",-0.276749843702041,-0.0242294433773436,0.029764922380631,-0.49346485306086,0.0524936446785649,0.188888888888889,0.230528233151184,0.0575569358178054,0.245532495725779,-0.324797062840541,-0.318447856491335,0.290945824432493,0.243571711412054,-0.310839160839161,-0.294172494172494,0.0206707758112083,0.169142857142857,0.180080080838702,0.173758241758242,0.0574329176161594,-0.1829185087863,-0.138490160113111,-0.021985941985942,-0.021985941985942,-0.021985941985942,-0.0228276928276928,-0.0582980235183925,-0.0582980235183925,-0.0333333333333333,0.278787878787879,-0.228888888888889,0.311980713350576,-0.289014438166981,0.31958940900275,0.208951133958868,0.326308776591683,0.294172494172494,-0.29724911047142,-0.0295454545454545,-0.0150257018584421,-0.0623188405797102,0.327859049397673,0.230261700598999,-0.291340019562329,-0.00183908860580075,-0.0262329545454545,-0.00833333333333333,0.0186425225908571,-0.0506587822932438,-0.0215454545454545,0.0012987012987013,0.376111019064672,0.160754365346199,0.1424424045764,0.353896100659776
