"","KLF4","ZEB1","AXIN2","cateninmemb","Frizzled","TCFLEF","cateninnuc","Ecadherin","DSH","ERK","ILK","TrCP","NFB","IKK","AKT","SHH","miR200","Jagged","NOTCHic","NOTCH","SNAI2","TGFR","TGF","CDC42","PAK1","GSK3","Csl","RAF","PI3K","DELTA","RAS","SUFU","Patched","SMO","Csn","FUS","RKIP","LIV1","SMAD","EGR1","MEK","cfos","HEY1","SNAI1","STAT","Destcompl","SRC","CD44","cMet","SOSGRB2","GLI","Wnt","TWIST1","ZEB2","FOXC2"
"KLF4",0.144444444444444,0.11734262125903,0.268811421805515,0.277697547484133,0.215686274509804,0.190577773304235,0.192943900327896,0.162761179084812,0.233333333333333,-0.0650267379679144,-0.02,-0.1,-0.26,-0.283809523809524,-0.294920634920635,-0.225806451612903,-0.163768823768824,-0.20793875789378,-0.292535885167464,-0.291504957332413,0.194371423588994,-0.0617575757575758,-0.0573673318551367,0.0630909090909091,0.0590909090909091,-0.259583754865572,0.287272727272727,-0.297179487179487,-0.297179487179487,-0.297179487179487,-0.293503016591252,0.2,0.233333333333333,0.233333333333333,0.2,0.233333333333333,-0.242846835703979,-0.233333333333333,0.02,0.08,0.0639958101328629,0.0709090909090909,0.0491520244461421,-0.235193674103001,-0.233333333333333,-0.24886790973083,-0.215686274509804,-0.19158111778584,-0.199407204742362,-0.165537449971412,-0.19078651508719,-0.199407204742362,-0.281546840958606,-0.11734262125903,-0.311331249579888
"HEY1",0.144444444444444,0.11734262125903,0.268811421805515,0.277697547484133,0.215686274509804,0.190577773304235,0.192943900327896,0.162761179084812,0.233333333333333,-0.0650267379679144,-0.02,-0.1,-0.26,-0.283809523809524,-0.294920634920635,-0.225806451612903,-0.163768823768824,-0.20793875789378,-0.292535885167464,-0.291504957332413,0.194371423588994,-0.0617575757575758,-0.0573673318551367,0.0630909090909091,0.0590909090909091,-0.259583754865572,0.287272727272727,-0.297179487179487,-0.297179487179487,-0.297179487179487,-0.293503016591252,0.2,0.233333333333333,0.233333333333333,0.2,0.233333333333333,-0.242846835703979,-0.233333333333333,0.02,0.08,0.0639958101328629,0.0709090909090909,0.0491520244461421,-0.235193674103001,-0.233333333333333,-0.24886790973083,-0.215686274509804,-0.19158111778584,-0.199407204742362,-0.165537449971412,-0.19078651508719,-0.199407204742362,-0.281546840958606,-0.11734262125903,-0.311331249579888
"miR200",0.12020358868185,0.116612903225806,0.255475803095085,0.236853141202177,0.224,0.211329893271587,0.210420802362497,0.212673171540272,0.22,-0.00974025974025974,-0.00265486725663717,0,-0.0357894736842105,-0.0500751879699248,-0.0576223577812456,-0.0404324894514768,-0.0221975776817474,-0.0591867497802286,-0.0904433497536946,-0.0932682085107567,0.178746686243208,-0.0199952561669829,-0.0199952561669829,0.0183823529411765,0.0125,-0.169878532536449,0.0800985221674877,-0.21468809797168,-0.21468809797168,-0.21468809797168,-0.214438721413077,0.02,0.0404324894514768,0.0391666666666667,0.02,0.0325,-0.0610072281435828,-0.2,0.00359530612811052,0.0142857142857143,0.00769944341372913,0.0142857142857143,0.00669491525423729,-0.0653737003737004,-0.22,-0.241253351805663,-0.224347826086957,-0.214504496446191,-0.220122473974281,-0.0583462282398453,-0.214280142392819,-0.219774647887324,-0.168819626181589,-0.116612903225806,-0.0876832652442408
"Ecadherin",0.138115330520394,0.115446886661874,0.26489389603232,0.281415496202082,0.199407204742362,0.192943900327896,0.195838391457682,0.0650007117040914,0.215686274509804,-0.0639958101328629,-0.02,-0.2,-0.283809523809524,-0.294920634920635,-0.292323232323232,-0.221869443738888,-0.160975527679438,-0.207252259037945,-0.291504957332413,-0.286672243577766,0.195394903420421,-0.0573673318551367,-0.0561015090703266,0.0617575757575758,0.0630909090909091,-0.258700752658067,0.292535885167464,-0.293503016591252,-0.293503016591252,-0.293503016591252,-0.290989050110805,0.233333333333333,0.225806451612903,0.233333333333333,0.26,0.233333333333333,-0.236479794505477,-0.233333333333333,0.019273607748184,0.0709090909090909,0.0659565944465884,0.0650267379679144,0.051165447264934,-0.231396205748571,-0.215686274509804,-0.249333892955434,-0.199407204742362,-0.190577773304235,-0.19158111778584,-0.16159008155036,-0.189453181753856,-0.19078651508719,-0.277636226433466,-0.115446886661874,-0.303779762165701
"cateninmemb",0.138115330520394,0.115446886661874,0.26489389603232,0.186382270168872,0.199407204742362,0.192943900327896,0.195838391457682,0.073531527706422,0.215686274509804,-0.0639958101328629,-0.02,-0.2,-0.283809523809524,-0.294920634920635,-0.292323232323232,-0.221869443738888,-0.160975527679438,-0.207252259037945,-0.291504957332413,-0.286672243577766,0.195394903420421,-0.0573673318551367,-0.0561015090703266,0.0617575757575758,0.0630909090909091,-0.258700752658067,0.292535885167464,-0.293503016591252,-0.293503016591252,-0.293503016591252,-0.290989050110805,0.233333333333333,0.225806451612903,0.233333333333333,0.26,0.233333333333333,-0.236479794505477,-0.233333333333333,0.019273607748184,0.0709090909090909,0.0659565944465884,0.0650267379679144,0.051165447264934,-0.231396205748571,-0.215686274509804,-0.249333892955434,-0.199407204742362,-0.190577773304235,-0.19158111778584,-0.16159008155036,-0.189453181753856,-0.19078651508719,-0.277636226433466,-0.115446886661874,-0.303779762165701
"cateninnuc",0.0844731879429388,0.0524802945685544,0.192943900327896,0.0249556912794307,0.0198997349682281,0.0320688469168841,-0.0670750359883907,-0.0939489283010933,0.024009324009324,-0.0510369438547755,-0.0236709956709957,-0.233333333333333,-0.248863636363636,-0.238863636363636,-0.236519886363636,-0.076203719786798,-0.114148252312666,-0.0461344745329178,-0.217568139680871,-0.217568139680871,0.139115947554003,-0.0761351522041177,-0.0761351522041177,0.0755604395604396,0.0817142857142857,-0.210651796394607,0.224544883866918,-0.228857538857539,-0.228857538857539,-0.228857538857539,-0.23020434020434,0.0888888888888889,0.0755501250155562,0.0774134790528233,0.245833333333333,0.0888888888888889,-0.189813922223351,-0.0393939393939394,0.0227160161348429,0.0456521739130435,0.0528718062400966,0.0472394755003451,0.0476980530797192,-0.184960574578674,-0.024009324009324,-0.200721667295917,-0.0212315462315462,-0.028857495161843,-0.0244924157967636,-0.10112113219843,-0.027508430620402,-0.0231606045334455,-0.116607421818154,-0.0524802945685544,-0.236738278115327
"ERK",0.0426590148254424,0.0468837220311593,-0.279140023011588,-0.247378545524219,-0.233846153846154,-0.225156738122188,-0.224601182566632,-0.192183619212308,-0.23,0.0646539496209342,0.0867794903847944,-0.0142857142857143,-0.00519480519480519,0.0124522536287242,0.0188742719773481,0.141777200117396,-0.117004244990299,0.172897269327646,0.0700233667386952,0.0719624249104404,0.148014671331394,-0.0471475024282173,-0.0474222277029426,0.0449577214063195,0.0552380952380952,-0.186859781004369,-0.0576146076146076,-0.11536741036741,-0.11536741036741,-0.11536741036741,-0.117237597386112,-0.1,-0.142743383692275,-0.139475409836066,0.0142857142857143,-0.128,-0.0831378585740116,0.2,-0.0882992472237002,-0.173448275862069,-0.0627040888967002,-0.171320616287601,-0.0932740445085405,-0.255718550531185,0.236842105263158,-0.137724254456763,0.240688259109312,0.229431831058991,0.235793154214207,-0.138918169209431,0.222685384790648,0.228951048951049,-0.0963421200285849,-0.0468837220311593,-0.233313339865064
"RAF",0.0583452893352463,0.0443452893352463,-0.277074542897328,-0.256475635299165,-0.2,-0.235793154214207,-0.229431831058991,-0.191280563567648,-0.1,0.173448275862069,0.0827021822849807,0,-0.0142857142857143,-0.0142857142857143,-0.00519480519480519,0.139475409836066,-0.12077101485614,0.177849866601989,0.0383838383838384,0.0576146076146076,0.137513551320161,-0.0552380952380952,-0.0449577214063195,0.06,0.0666666666666667,-0.182505910165485,-0.0111111111111111,-0.128896103896104,-0.128896103896104,-0.128896103896104,-0.119494394494395,-0.1,-0.128,-0.1,0,-0.1,-0.0916666666666667,0,-0.0856724793146837,-0.12,-0.171320616287601,-0.17,-0.086566008517228,-0.25550487531751,0.1,-0.129669428747109,0.2,0.240688259109312,0.236842105263158,-0.154603174603175,0.233846153846154,0.23,-0.0950831847890671,-0.0443452893352463,-0.246905393457118
"TGFR",0.0385964912280702,0.0430561824802143,-0.117318391352726,-0.0879081220455979,-0.0942857142857143,-0.0712754656796365,-0.073135518824012,-0.0516447142950715,-0.114285714285714,0.116959064327485,0.0848484848484849,0.166666666666667,0.220238095238095,0.230764411027569,0.235415573818267,0.0818702513150205,-0.0969728084299831,0.0833285308744744,0.236666666666667,0.228752997601918,-0.193087238036887,0.0582142857142857,0.0553774062816616,-0.16,-0.16,0.250575080597712,-0.236666666666667,0.257142857142857,0.257142857142857,0.257142857142857,0.250710108604845,-0.0466666666666667,-0.0903448275862069,-0.0903448275862069,-0.191666666666667,-0.08,-0.0927272727272727,0.1,-0.0844926129623639,-0.133333333333333,-0.115589201313787,-0.128070175438597,-0.112398356380573,-0.119929666739804,0.133333333333333,0.150555619330997,0.113333333333333,0.0731893412777226,0.0850314465408805,0.101559454191033,0.0550160855577776,0.0659838274932615,-0.15757150388823,-0.0430561824802143,-0.19955850443462
"TGF",0.0385964912280702,0.040414673046252,-0.131481481481481,-0.0874462282811637,-0.114285714285714,-0.0731893412777226,-0.0712754656796365,-0.0482375592695179,-0.1,0.128070175438597,0.0848484848484849,0.2,0.191666666666667,0.220238095238095,0.230764411027569,0.0903448275862069,-0.0949200225062294,0.0898502700049092,0.236666666666667,0.236666666666667,-0.196790941740591,0.16,0.0582142857142857,-0.16,-0.16,0.256198552480353,-0.206666666666667,0.2625,0.2625,0.2625,0.257142857142857,-0.0666666666666667,-0.0903448275862069,-0.08,-0.166666666666667,-0.0466666666666667,-0.087012987012987,0,-0.0848484848484849,-0.133333333333333,-0.116959064327485,-0.133333333333333,-0.109413281753707,-0.110785123966942,0.1,0.153378199976158,0.133333333333333,0.0850314465408805,0.113333333333333,0.105263157894737,0.0659838274932615,0.0942857142857143,-0.147962962962963,-0.040414673046252,-0.190388198757764
