"","NOTCH","NOTCHic","Csl","HEY1","CD44","ILK","SRC","STAT","IKK","NFB","Csn","AKT","FUS","SNAI1","SMO","Patched","SHH","EGR1","ERK","RAF","DELTA","SOSGRB2","SNAI2","PAK1","FOXC2","ZEB1","CDC42","TGFR","TGF","RAS","PI3K","GSK3","RKIP","MEK","cfos","LIV1","miR200","SUFU","DSH","Frizzled","TrCP","cMet","SMAD","Wnt","TCFLEF","cateninnuc","GLI","TWIST1","Destcompl","AXIN2","Jagged","Ecadherin","cateninmemb","ZEB2","KLF4"
"FUS",0.171212121212121,0.175757575757576,0.175757575757576,0.0466794075489728,0.103754045307443,0.0404761904761905,0.106666666666667,0.1,-0.0657142857142857,-0.0857142857142857,-0.1,-0.058021978021978,-0.213333333333333,0.00796307567457902,-0.200833333333333,-0.200833333333333,-0.185681818181818,-0.16,-0.143216783216783,-0.0495304114490161,-0.0495304114490161,0.176518218623482,0.226767303532982,0.233333333333333,-0.0626043557168784,-0.167245502755537,-0.208333333333333,-0.205630630630631,-0.202439141268929,0.0578273546804571,0.0495304114490161,-0.354682196936313,-0.00959253804614628,0.130573105055864,0.152307692307692,-0.1,-0.122553846704743,0.133333333333333,-0.2,-0.2,0.1,-0.106666666666667,-0.0475729646697389,-0.2,-0.103754045307443,-0.102123610524835,-0.196153846153846,-0.0434497941119438,-0.372694521005504,-0.259537114559603,-0.112625741059476,-0.137870507874516,-0.176903558820768,-0.0649318914422377,-0.0475865209471767
"SMO",0.175757575757576,0.175757575757576,0.166666666666667,0.0278388278388278,0.106666666666667,0.0166666666666667,0.1,0.1,-0.0857142857142857,-0.1,-0.1,-0.0657142857142857,-0.133333333333333,-0.0043010752688172,-0.213333333333333,-0.200833333333333,-0.200833333333333,-0.1,-0.152307692307692,-0.0355769230769231,-0.0355769230769231,0.184210526315789,0.230178434592228,0.233333333333333,-0.066551724137931,-0.18135593220339,-0.233333333333333,-0.208333333333333,-0.205630630630631,0.0495304114490161,0.0355769230769231,-0.346320992922935,0.00380952380952382,0.143216783216783,0.16,-0.1,-0.131464737793852,0.1,-0.2,-0.2,0,-0.106666666666667,-0.0404761904761905,-0.2,-0.103754045307443,-0.103754045307443,-0.2,-0.0376906318082789,-0.36641714874273,-0.260158232572026,-0.105396825396825,-0.136500644860818,-0.175227581167136,-0.061864406779661,-0.0361111111111111
"SNAI2",0.292492595124174,0.28859649122807,0.276315789473684,0.100241109101869,0.355970544675679,0.0782696177062374,0.334025974025974,0.305454545454545,-0.116091954022989,-0.133333333333333,-0.133333333333333,-0.098019664866362,-0.26,0.155124518352188,-0.277647058823529,-0.283769507803121,-0.280952606394671,0.1,0.0686274509803922,0.0872933529348812,0.0872933529348812,0.308722109533469,0.541454372094997,0.196078431372549,-0.156704774474652,0.0994677994545836,-0.210364145658263,-0.212928248222366,-0.210443776172676,-0.07176823877963,-0.0872933529348812,-0.476699463706213,-0.112948717948718,-0.0672760996290408,-0.0823529411764706,-0.26,0.0697704289223205,0.2,-0.305454545454545,-0.334025974025974,0.1,-0.349518931772453,-0.0998007181847063,-0.349518931772453,-0.357413843644751,-0.356326887123012,-0.355401284713629,-0.352330936916248,-0.502805818314505,-0.412559787044242,-0.362763451084129,-0.674282738259416,-0.551812134475011,-0.0601799874134676,-0.0201923076923077
"SMAD",-0.192260536398467,-0.195435139573071,-0.194285714285714,-0.218472526695425,0.0332560903149138,-0.178526040169876,0.0255555555555556,0.02,-0.152147525676937,-0.165873015873016,-0.161111111111111,-0.154814192343604,-0.179166666666667,-0.11234078242546,-0.174166666666667,-0.176918960244648,-0.177290707456544,-0.171428571428571,-0.172853927767656,-0.0949182404204238,-0.0949182404204238,0.00349009168884945,0.166828919069222,0.0166666666666667,-0.0131743369035091,-0.281644273438962,-0.0152582159624413,-0.0180515120518268,-0.0184499184263288,0.0972208719993712,0.0949182404204238,-0.165760758317149,0.082224800950214,0.172853927767656,0.168202764976959,-0.02,-0.254881305154841,0.166666666666667,0,-0.00555555555555555,0.15,-0.031437908496732,0.0794784211222568,-0.0094017094017094,-0.035291368469595,-0.0361019054503447,-0.0115599827830044,0.109115128353772,-0.0941452732235033,-0.0331969607524594,0.168115486663874,-0.0888856629223632,-0.0639297785079296,-0.0582130682085971,-0.05452606393997
"LIV1",-0.103296703296703,-0.107692307692308,-0.115384615384615,-0.121320957168475,-0.0852178911584852,-0.112032770097286,-0.0962962962962963,-0.1,-0.0758771929824561,-0.0916666666666667,-0.0666666666666667,-0.0888401559454191,-0.0857142857142857,-0.20457397933728,-0.0695852534562212,-0.0782272287648632,-0.0852272287648632,-0.16,-0.160736919675755,0.0113714862638822,0.0113714862638822,-0.0125137513751375,0.111091734653594,0.0333333333333333,-0.0526915964030692,-0.361737903874104,-0.0431372549019608,-0.0416221033868093,-0.0459936880862628,-0.0127351226275186,-0.0113714862638822,0.115893398268398,0.125625056343288,0.159403586342422,0.155652173913043,0.1,-0.307155848033722,0.0523809523809524,0.1,0.0962962962962963,0.0666666666666667,0.0881881881881882,0.112677931387609,0.0910331384015595,0.0818845578251519,0.0794017992044622,0.087618504255218,0.195227460944852,0.147911445279866,0.117720667967903,0.110949216087253,0.063487990646214,0.0919156212286174,-0.0533225225345465,-0.0541764246682279
"cfos",-0.107692307692308,-0.115384615384615,-0.1,-0.113968015992004,-0.0881881881881882,-0.103968253968254,-0.1,-0.1,-0.0916666666666667,-0.0666666666666667,-0.0666666666666667,-0.0758771929824561,-0.0523809523809524,-0.200994027069976,-0.0857142857142857,-0.0695852534562212,-0.0782272287648632,-0.28,-0.155652173913043,0.00893246187363834,0.00893246187363834,-0.0194444444444444,0.107836761778368,0.0285714285714286,-0.0485536653685865,-0.355628579115262,-0.0333333333333333,-0.0431372549019608,-0.0416221033868093,-0.0113714862638822,-0.00893246187363834,0.114802489177489,0.120652680652681,0.160736919675755,0.16,0.1,-0.299541634835753,0.0666666666666667,0.1,0.1,0.1,0.0962962962962963,0.112032770097286,0.0962962962962963,0.0852178911584852,0.0818845578251519,0.0910331384015595,0.194683982683983,0.149866332497911,0.121494252873563,0.109722222222222,0.0668789941064217,0.0953954747084709,-0.0523578923094662,-0.0476190476190476
"CDC42",-0.107692307692308,-0.115384615384615,-0.1,-0.113968015992004,-0.0881881881881882,-0.103968253968254,-0.1,-0.1,-0.0916666666666667,-0.0666666666666667,-0.0666666666666667,-0.0758771929824561,-0.0523809523809524,-0.200994027069976,-0.0857142857142857,-0.0695852534562212,-0.0782272287648632,-0.18,-0.155652173913043,0.00893246187363834,0.00893246187363834,-0.0194444444444444,0.107836761778368,-0.0714285714285714,-0.0485536653685865,-0.355628579115262,-0.0333333333333333,-0.0431372549019608,-0.0416221033868093,-0.0113714862638822,-0.00893246187363834,0.114802489177489,0.120652680652681,0.160736919675755,0.16,0.1,-0.299541634835753,0.0666666666666667,0.1,0.1,0.1,0.0962962962962963,0.112032770097286,0.0962962962962963,0.0852178911584852,0.0818845578251519,0.0910331384015595,0.194683982683983,0.149866332497911,0.121494252873563,0.109722222222222,0.0668789941064217,0.0953954747084709,-0.0523578923094662,-0.0476190476190476
"Patched",0.175757575757576,0.166666666666667,0.2,0.0230769230769231,0.106666666666667,0.0166666666666667,0.1,0.1,-0.1,-0.1,0,-0.0857142857142857,-0.1,-0.0209677419354839,-0.133333333333333,-0.213333333333333,-0.200833333333333,-0.1,-0.16,-0.0230769230769231,-0.0230769230769231,0.2,0.235892720306513,0.233333333333333,-0.07,-0.2,-0.233333333333333,-0.233333333333333,-0.208333333333333,0.0355769230769231,0.0230769230769231,-0.333699633699634,0.0371428571428572,0.152307692307692,0.1,-0.1,-0.142857142857143,0,-0.2,-0.2,0,-0.1,-0.0166666666666667,-0.2,-0.106666666666667,-0.103754045307443,-0.2,-0.0259259259259259,-0.355564435564436,-0.256709956709957,-0.105396825396825,-0.133179611650485,-0.171344086021505,-0.05,-0.0111111111111111
"Jagged",-0.165714285714286,-0.18,-0.2,-0.216666666666667,0.0276923076923077,-0.116666666666667,0,0,-0.0666666666666667,-0.1,0,-0.0777777777777778,-0.1,-0.183333333333333,-0.0666666666666667,-0.0666666666666667,-0.105128205128205,-0.1,-0.18,0.0333333333333333,0.0333333333333333,0.02,0.165711412770236,0,-0.0671428571428571,-0.324154589371981,-0.1,-0.0666666666666667,-0.0786666666666667,-0.0242424242424242,-0.0333333333333333,0.00344827586206897,0.0923076923076923,0.146666666666667,0.2,0,-0.273939393939394,0,0,0,0,-0.02,0.0928571428571429,-0.02,-0.0367832167832168,-0.0466733266733267,-0.0276923076923077,0.121,-0.0290965250965251,-0.0242857142857143,0.0851948051948052,-0.0771228070175438,-0.0560526797146515,-0.0463768115942029,-0.0333333333333333
"CD44",0.0984962406015037,0.114285714285714,0.1,0.0947368421052632,-0.12,0.105555555555556,0,0.1,0.133333333333333,0.1,0.1,0.113333333333333,0.1,0.0574428495481127,0.15,0.13,0.120909090909091,0.1,0.06,0.0142857142857143,0.0142857142857143,0.0833333333333333,-0.277620157620158,-0.0666666666666667,0.0541666666666667,0.125396825396825,0.0466666666666667,0.0716666666666667,0.0605555555555556,-0.0171428571428571,-0.0142857142857143,0.180952380952381,-0.128888888888889,-0.05,-0.1,-0.1,0.113640755379886,-0.1,0,0.1,0,0,-0.111678004535147,0.1,0.131627906976744,0.136243291592129,0.12,-0.0600732600732601,0.217128669649678,0.14,-0.0817715617715618,0.190084681359244,0.198205128205128,-0.0428571428571429,0.0476190476190476
