"","GSK3","Destcompl","ZEB1","cateninnuc","TCFLEF","Wnt","cateninmemb","DSH","STAT","LIV1","KLF4","AXIN2","miR200","SNAI1","Ecadherin","SNAI2","RAS","NFB","Csn","AKT","RAF","PI3K","IKK","ERK","cfos","ILK","HEY1","SOSGRB2","SMAD","FOXC2","PAK1","TrCP","EGR1","ZEB2","TWIST1","TGF","TGFR","CDC42","MEK","Csl","Jagged","DELTA","NOTCH","SMO","NOTCHic","FUS","RKIP","SHH","Patched","SUFU","SRC","cMet","Frizzled","CD44","GLI"
"Destcompl",0.707359982758769,0.643990986097566,0.332829537612146,0.522491209146984,0.515250005679366,0.488526455385265,0.348342807362259,0.427777777777778,0.427777777777778,0.377777777777778,0.176992394734193,0.242502643047073,0.172730592348142,0.404839512757554,-0.0423403424934884,0.491687264860521,0.215806837605288,0.142028985507246,0.133333333333333,0.159992586692324,0.208742473398067,0.208742473398067,0.151938895417156,0.0456952883182391,0.0440559440559441,-0.00992063492063492,-0.0292355507740123,0.0310577430227369,-0.00840016708437761,-0.275154261345921,-0.277551020408163,0.133333333333333,0.041025641025641,-0.170960089863883,0.0711980320280445,0.336106892847883,0.323594577576947,0.303068261787474,-0.0486488748161294,-0.256788092440266,-0.397711173325761,-0.208742473398067,-0.287090000604421,-0.213661740558292,-0.275266353309832,-0.190804597701149,-0.365515234265555,-0.240237942440414,-0.230760186154147,-0.166666666666667,-0.464764079147641,-0.488147163724755,-0.464764079147641,-0.504565074172516,-0.505038514754467
"TGFR",0.139853323517839,0.0254353466516949,0.236421169512141,0.0115703842328277,0.00882459149589239,0.0161725067385445,0.0112580802561158,0.0142857142857143,0,0,0.101969597907813,0.00252212154930324,0.0914705366318269,0.241570876160579,0.0120617873452047,-0.0365783081197332,0.136852548036759,0.208333333333333,0.208333333333333,0.222286821705426,0.133928571428571,0.133928571428571,0.208333333333333,-0.114252297410192,-0.11203007518797,0.0927468230694037,0.107743680052349,0.151884340480832,0.0938144387277667,-0.0291402668908839,-0.131111111111111,0.233333333333333,-0.0857142857142857,-0.10467604240671,-0.202450902860156,0.0309971293481932,0.0317063492063492,0.126349206349206,0.121101612478685,0.0133333333333333,0.103843301103498,-0.133928571428571,0.00973621103117506,-0.100114942528736,0.0133333333333333,-0.0966666666666667,-0.206320346320346,-0.100150253263199,-0.106364942528736,-0.113333333333333,0,-0.00188679245283019,-0.0142857142857143,-0.00451837140019861,-0.0193983131901574
"TGF",0.138141832075296,0.0216047014904046,0.239817395927236,0.00882459149589239,0.00451837140019861,0.0142857142857143,0.00802482390507658,0,0,0,0.0983981693363844,0.00123456790123457,0.0917637917637917,0.241865861411316,0.0130839338528708,-0.0391246044160295,0.133928571428571,0.208333333333333,0.233333333333333,0.208333333333333,0.135714285714286,0.135714285714286,0.208333333333333,-0.11203007518797,-0.0857142857142857,0.102424242424242,0.116698903932946,0.160526315789474,0.0927468230694037,-0.0304503105590062,-0.12,0.2,-0.1,-0.102034532972748,-0.203518518518519,0.0317063492063492,0.126349206349206,0.131111111111111,0.114252297410192,0.0333333333333333,0.109640402552774,-0.135714285714286,0.0133333333333333,-0.0966666666666667,0.0133333333333333,-0.113333333333333,-0.203463203463203,-0.106364942528736,-0.100114942528736,-0.133333333333333,0,0,-0.0142857142857143,-0.00188679245283019,-0.0161725067385445
"RAS",0.238875968992248,0.211454871338592,0.127378497790869,0.0978229924036119,0.0947068450948301,0.0941176470588235,0.0016642137098226,0.1,0.1,0,0.0928571428571429,0.0814492753623188,0.0914461538461538,0.19039331366765,-0.0452694244144737,0.253804237000113,0.172179487179487,0.133333333333333,0.1,0.141111111111111,0.262564102564103,0.262564102564103,0.113333333333333,-0.0247368421052632,-0.03,0.0822510822510823,-0.0138339920948617,-0.0051948051948052,0.0822510822510823,-0.135555555555556,-0.14,0.2,0.02,-0.0918262150220913,-0.00469176213857065,0.144892253931275,0.145882352941176,0.14,0.0463054695562436,-0.05,0.0530534200670215,-0.262564102564103,-0.0789970208540219,-0.0833333333333333,-0.0657894736842105,-0.1,-0.180100628930818,-0.0890282485875706,-0.0873333333333333,-0.1,-0.1,-0.0941176470588235,-0.1,-0.0962453066332916,-0.0982843137254902
"GSK3",0.574895032957954,0.640055784353212,0.296971228321035,0.40049016215756,0.393977004262823,0.366834979605877,0.224123985845067,0.307894736842105,0.307894736842105,0.25,0.0912772490601517,0.217612462082159,0.11085795098932,0.333144510247645,0.0833964712608295,0.226431579363337,0.268681768001629,0.138333333333333,0.125833333333333,0.142636310050103,0.264059919262133,0.264059919262133,0.141781609195402,-0.00804888037086179,-0.0118082788671024,-0.0203186107533399,-0.0390555929292818,0.0721346190206088,-0.0174700350411959,-0.202445746827632,-0.188405797101449,0.113333333333333,-0.0192156862745098,-0.0897373808481373,-0.0234624479917011,0.245805064500717,0.232215320910973,0.217929606625259,0.00463978946177089,-0.243837535014006,-0.191359411261405,-0.264059919262133,-0.270890482066953,-0.0617790811339198,-0.257124248300719,-0.0424242424242424,-0.300685104369315,-0.0817162637446575,-0.0697545412566192,-0.00909090909090909,-0.340037593984962,-0.367189911865757,-0.340037593984962,-0.383380388056233,-0.382872715454934
"DSH",0.654096364072762,0.624099461704392,0.288798865765314,0.393977004262823,0.383380388056233,0.340037593984962,0.222444056578931,0.25,0.25,0.2,0.0851703788311441,0.211980803025843,0.106989252278886,0.323288474810214,0.087644084036595,0.213403106541939,0.264059919262133,0.125833333333333,0.113333333333333,0.141781609195402,0.258177566320956,0.258177566320956,0.138333333333333,-0.0118082788671024,-0.0192156862745098,-0.0237148371684342,-0.0394016136905275,0.0642276422764228,-0.0203186107533399,-0.192078920671332,-0.166666666666667,0.133333333333333,-0.0133333333333333,-0.085725493775329,-0.0271756362119316,0.232215320910973,0.217929606625259,0.188405797101449,0.00804888037086179,-0.226190476190476,-0.182746272575274,-0.258177566320956,-0.257124248300719,-0.0424242424242424,-0.243837535014006,-0.00909090909090909,-0.291411921411921,-0.0697545412566192,-0.0617790811339198,0,-0.307894736842105,-0.340037593984962,-0.307894736842105,-0.367189911865757,-0.366834979605877
"AKT",0.632081180468277,0.587878290842589,0.291273529965601,0.330294195944273,0.322448042098119,0.292463768115942,0.153472288364287,0.233333333333333,0.233333333333333,0.2,0.0788742690058479,0.185747292418773,0.104604885414914,0.315440745583766,0.0351151683591738,0.215041793834603,0.316133641129185,0.250980392156863,0.233333333333333,0.173979615156086,0.310591472454486,0.310591472454486,0.268929110105581,-0.0342976534876246,-0.0392156862745098,-0.0160454581832733,-0.03192713394828,0.0973076923076923,-0.0143619564997716,-0.276125802310655,-0.254411764705882,0.233333333333333,-0.0333333333333333,-0.0793989572349385,0.0386796335340412,0.305728543130464,0.296362984218077,0.274411764705882,0.0292343623483841,-0.223076923076923,-0.146569652608342,-0.310591472454486,-0.248962052895963,-0.0397435897435897,-0.239205955334988,-0.0166666666666667,-0.29475211489278,-0.0588956365272155,-0.0536324786324786,0,-0.272463768115942,-0.292463768115942,-0.272463768115942,-0.311107835912552,-0.310899522305886
"PI3K",0.608694083694084,0.570260424837627,0.283054351883409,0.322448042098119,0.311107835912552,0.272463768115942,0.150516121187936,0.2,0.2,0.1,0.0677631578947368,0.176,0.101396329265182,0.305165056360709,0.0398121380561434,0.202478979764251,0.310591472454486,0.233333333333333,0.233333333333333,0.268929110105581,0.302372294372294,0.302372294372294,0.250980392156863,-0.0392156862745098,-0.0333333333333333,-0.0136454581832733,-0.0266639760535432,0.0973076923076923,-0.0160454581832733,-0.269358885017422,-0.225,0.2,-0.0333333333333333,-0.0752893681938426,0.0340924775707384,0.296362984218077,0.274411764705882,0.254411764705882,0.0342976534876246,-0.2,-0.134649122807018,-0.302372294372294,-0.239205955334988,-0.0166666666666667,-0.223076923076923,0,-0.282950872656755,-0.0536324786324786,-0.0397435897435897,0,-0.233333333333333,-0.272463768115942,-0.233333333333333,-0.292463768115942,-0.292463768115942
"ILK",0.608694083694084,0.570260424837627,0.283054351883409,0.322448042098119,0.311107835912552,0.272463768115942,0.150516121187936,0.2,0.2,0.1,0.0677631578947368,0.176,0.101396329265182,0.305165056360709,0.0398121380561434,0.202478979764251,0.310591472454486,0.233333333333333,0.233333333333333,0.268929110105581,0.302372294372294,0.302372294372294,0.250980392156863,-0.0392156862745098,-0.0333333333333333,-0.0136454581832733,-0.0266639760535432,0.0973076923076923,-0.0160454581832733,-0.269358885017422,-0.225,0.2,-0.0333333333333333,-0.0752893681938426,0.0340924775707384,0.296362984218077,0.274411764705882,0.254411764705882,0.0342976534876246,-0.2,-0.134649122807018,-0.302372294372294,-0.239205955334988,-0.0166666666666667,-0.223076923076923,0,-0.282950872656755,-0.0536324786324786,-0.0397435897435897,0,-0.233333333333333,-0.272463768115942,-0.233333333333333,-0.292463768115942,-0.292463768115942
"Wnt",0.586912225705329,0.569633711608213,0.26805356288857,0.367189911865757,0.340037593984962,0.25,0.20864406779661,0.2,0.1,0,0.0725490196078431,0.187272727272727,0.0995959595959596,0.298706004140787,0.101515492113446,0.16698275862069,0.252665755297334,0.133333333333333,0.1,0.125833333333333,0.24812030075188,0.24812030075188,0.113333333333333,-0.0133333333333333,-0.0333333333333333,-0.0213675213675214,-0.0302564102564103,0.0575757575757576,-0.0190419399721725,-0.158866396761134,-0.1,0.1,0,-0.0701099952175992,-0.0423529411764706,0.188405797101449,0.166666666666667,0.133333333333333,0.0192156862745098,-0.15,-0.147745098039216,-0.24812030075188,-0.226190476190476,0,-0.192857142857143,0,-0.261666666666667,-0.0424242424242424,-0.00909090909090909,0,-0.2,-0.25,-0.3,-0.307894736842105,-0.307894736842105
