"","PAK1","TGFR","CDC42","TGF","GSK3","AXIN2","Destcompl","SOSGRB2","AKT","TWIST1","cateninnuc","IKK","TCFLEF","MEK","ERK","cfos","NFB","Csn","Ecadherin","Wnt","RAS","RAF","PI3K","TrCP","SUFU","ILK","FUS","SMO","LIV1","KLF4","Csl","SNAI1","cateninmemb","Jagged","NOTCHic","NOTCH","FOXC2","ZEB2","RKIP","SHH","Patched","SNAI2","miR200","DSH","SMAD","STAT","HEY1","DELTA","Frizzled","SRC","GLI","EGR1","cMet","CD44","ZEB1"
"Destcompl",-0.191224489795918,-0.212023037890292,-0.205707248416608,-0.215865402422312,0.599161607727175,0.367755885283688,0.500525928540726,-0.193542785215149,0.424543606510341,-0.0624362056191593,0.317318325116842,0.404409378322422,0.315941476570182,0.00925918240298817,0.00841530054644809,0.0133333333333333,0.37287784679089,0.338095238095238,-0.0957381467160622,0.312158583764443,0.504877450612153,0.496871171177303,0.496871171177303,0.266666666666667,-0.122222222222222,0.13952380952381,-0.125670498084291,-0.111384783798577,0.283333333333333,0.419187211585439,-0.312056404230317,-0.472090496459127,-0.306701384127789,-0.222392320195043,-0.319665099882491,-0.323873516716159,0.261361090333529,-0.448890797762213,0.442154282865513,0.0946461261383009,0.102576493643136,-0.13498899006298,-0.332540794708161,-0.297619047619048,-0.150634920634921,-0.297619047619048,-0.111308349769888,-0.496871171177303,-0.307208088714938,-0.307208088714938,-0.314941515118803,-0.0133333333333333,-0.311685700655237,-0.314297640953744,0.137361643393096
"GSK3",-0.33304347826087,-0.341638135636015,-0.337805383022774,-0.343433007430887,0.448802000302817,0.16390535051989,0.464470983911772,-0.263018271197511,0.340369879162983,-0.135221884651101,0.12164019504571,0.323275862068965,0.120324405572026,-0.0248279455322799,-0.0236915818959163,-0.0274509803921569,0.308333333333333,0.270833333333333,-0.175121128622642,0.115673988893803,0.453743761378266,0.446810988269022,0.446810988269022,0.233333333333333,0.0590909090909091,0.196860829809861,0.0924242424242424,0.0956500488758553,0.1,0.368696809487895,-0.150420168067227,-0.308948192016948,-0.150819088852831,0.0570291438000281,-0.158112475759535,-0.159930657577716,0.145462420076863,-0.378827796966738,0.281281700755385,-0.108201785160236,-0.104852502863585,-0.00433440143013406,-0.293166946229371,-0.105263157894737,-0.203007756346592,-0.105263157894737,-0.17870798448843,-0.446810988269022,-0.112406015037594,-0.112406015037594,-0.117560781346633,0.0274509803921569,-0.11571727331574,-0.118098225696692,-0.00950557189124444
"DSH",-0.32,-0.337805383022774,-0.33304347826087,-0.341638135636015,0.542146426259555,0.160709003487926,0.459645341079789,-0.258832224685883,0.323275862068965,-0.135862089516658,0.120324405572026,0.308333333333333,0.118098225696692,-0.0236915818959163,-0.0274509803921569,-0.0274509803921569,0.270833333333333,0.233333333333333,-0.174758929083623,0.112406015037594,0.446810988269022,0.437007066700394,0.437007066700394,0.133333333333333,0.05,0.189691018489106,0.0590909090909091,0.0924242424242424,0.1,0.354956351472628,-0.152380952380952,-0.303964803312629,-0.149139159586695,0.0557152751868894,-0.150420168067227,-0.158112475759535,0.144983951177342,-0.372438495332266,0.278524808524809,-0.104852502863585,-0.0956500488758553,-0.00424812015317116,-0.287656981399359,-0.1,-0.196860829809861,-0.1,-0.173517673069745,-0.437007066700394,-0.105263157894737,-0.105263157894737,-0.115673988893803,0.0333333333333333,-0.112406015037594,-0.11571727331574,-0.00638521527906019
"Frizzled",-0.3,-0.33304347826087,-0.32,-0.337805383022774,0.530313479623824,0.156067653276956,0.452775112072155,-0.251515151515151,0.308333333333333,-0.133025210084034,0.118098225696692,0.270833333333333,0.11571727331574,-0.0274509803921569,-0.0274509803921569,-0.0333333333333333,0.233333333333333,0.133333333333333,-0.173617577020409,0.105263157894737,0.437007066700394,0.420471633629528,0.420471633629528,0.1,0,0.171934009143311,0.05,0.0590909090909091,0.1,0.346218487394958,-0.135714285714286,-0.300776397515528,-0.147136803874092,0.0502889185977421,-0.152380952380952,-0.150420168067227,0.135893042086433,-0.358265266985809,0.265238095238095,-0.0956500488758553,-0.0924242424242424,-0.00250190362232133,-0.277900883838384,0,-0.189691018489106,-0.1,-0.155973813420622,-0.420471633629528,-0.1,-0.1,-0.112406015037594,0.0333333333333333,-0.105263157894737,-0.112406015037594,-0.00638521527906019
"AKT",-0.217647058823529,-0.226460066953611,-0.225647058823529,-0.22978332979349,0.415275450356096,0.180422898401238,0.427566638505686,-0.224358974358974,0.272768408062526,-0.0181071454260623,0.140789804003002,0.357616892911011,0.138482111695309,-0.0252928563000216,-0.0290903246544519,-0.0274509803921569,0.329411764705882,0.3,-0.108384217080684,0.131846897064288,0.37092787874501,0.362012216094408,0.362012216094408,0.233333333333333,0.05,0.162498919567827,0.05,0.0730769230769231,0.1,0.331815114709852,-0.148076923076923,-0.287088615257952,-0.122266770908785,0.0336226327407924,-0.148076923076923,-0.156613508442777,0.242170059294578,-0.347622167072288,0.270654984401787,-0.0804453441295547,-0.0730769230769231,-0.030361057319335,-0.275152723513379,-0.111111111111111,-0.168222825291733,-0.111111111111111,-0.149761827634367,-0.362012216094408,-0.124154589371981,-0.124154589371981,-0.135757511589428,0.0333333333333333,-0.131846897064288,-0.135801699324175,0.00355061792455871
"PI3K",-0.2,-0.225647058823529,-0.217647058823529,-0.226460066953611,0.405194805194805,0.174285714285714,0.421694016504032,-0.217692307692308,0.357616892911011,-0.0153548518480806,0.138482111695309,0.329411764705882,0.135801699324175,-0.0290903246544519,-0.0274509803921569,-0.0333333333333333,0.3,0.233333333333333,-0.107475126171593,0.124154589371981,0.362012216094408,0.346943722943723,0.346943722943723,0.2,0,0.147298919567827,0.05,0.05,0.1,0.324122807017544,-0.125,-0.284331723027375,-0.120941592519386,0.0296491228070175,-0.148076923076923,-0.148076923076923,0.2331475029036,-0.334608468442151,0.257611506140918,-0.0730769230769231,-0.0730769230769231,-0.0286525146057672,-0.26606181442247,-0.1,-0.162498919567827,-0.1,-0.133972353950156,-0.346943722943723,-0.111111111111111,-0.111111111111111,-0.131846897064288,0.0333333333333333,-0.124154589371981,-0.131846897064288,0.0028656864177094
"ILK",-0.2,-0.225647058823529,-0.217647058823529,-0.226460066953611,0.405194805194805,0.174285714285714,0.421694016504032,-0.217692307692308,0.357616892911011,-0.0153548518480806,0.138482111695309,0.329411764705882,0.135801699324175,-0.0290903246544519,-0.0274509803921569,-0.0333333333333333,0.3,0.233333333333333,-0.107475126171593,0.124154589371981,0.362012216094408,0.346943722943723,0.346943722943723,0.2,0,0.147298919567827,0.05,0.05,0.1,0.324122807017544,-0.125,-0.284331723027375,-0.120941592519386,0.0296491228070175,-0.148076923076923,-0.148076923076923,0.2331475029036,-0.334608468442151,0.257611506140918,-0.0730769230769231,-0.0730769230769231,-0.0286525146057672,-0.26606181442247,-0.1,-0.162498919567827,-0.1,-0.133972353950156,-0.346943722943723,-0.111111111111111,-0.111111111111111,-0.131846897064288,0.0333333333333333,-0.124154589371981,-0.131846897064288,0.0028656864177094
"SHH",0,-0.0666666666666667,0.0333333333333333,-0.106666666666667,0.223076923076923,0.247619047619048,0.226233766233766,0,0.1,-0.075,0.0933333333333333,0.1,0.0933333333333333,-0.06,0,-0.1,0,0,-0.0644444444444444,0.2,0.207692307692308,0.2,0.2,0,-0.2,0.0666666666666667,-0.2,-0.3,0,0.25,-0.1,-0.216666666666667,-0.127885304659498,-0.0771428571428571,-0.2,-0.233333333333333,0.2,-0.325,0.22,0.173333333333333,0.333333333333333,-0.00544061302681993,-0.216666666666667,-0.2,-0.0666666666666667,-0.1,-0.0666666666666667,-0.2,-0.2,-0.1,-0.2,0,-0.1,-0.1,0.025
"Patched",0.0333333333333333,-0.106666666666667,-0.0666666666666667,-0.0983333333333334,0.213553113553114,0.247619047619048,0.227332667332667,0,0.142857142857143,-0.0638888888888889,0.09042071197411,0.1,0.0933333333333333,-0.0676923076923077,-0.06,0,0.1,0,-0.0615318230852211,0.2,0.213942307692308,0.207692307692308,0.207692307692308,0,-0.2,0.0666666666666667,-0.3,-0.333333333333333,0.1,0.305555555555556,-0.2,-0.232795698924731,-0.133440860215054,-0.0734391534391534,-0.233333333333333,-0.206060606060606,0.17,-0.316666666666667,0.205714285714286,0.173333333333333,0.173333333333333,-0.00144061302681993,-0.230952380952381,-0.2,-0.106666666666667,-0.1,-0.058974358974359,-0.207692307692308,-0.2,-0.1,-0.2,0.1,-0.1,-0.0933333333333333,0
"Ecadherin",0.0607272727272727,0.0453126385809313,0.0487272727272727,0.0433234884905154,0.313579164488951,0.364855509491734,0.311258572624488,-0.112583882519334,0.307089947089947,0.156234588186609,0.300300754330879,0.292804232804233,0.299927271604456,0.0794204017127001,0.0798125585754452,0.0890909090909091,0.274285714285714,0.26,0.111265548340835,0.299389908329009,0.334716667930602,0.331644042232278,0.331644042232278,0.2,-0.233333333333333,0.0197101449275362,-0.266666666666667,-0.266666666666667,0.266666666666667,0.247257383966245,-0.33177033492823,-0.291007981298082,-0.0507220997160022,-0.284179154441918,-0.341048685443694,-0.342907421503173,0.261782583367186,-0.302751651920434,0.286264502396124,0.255778511557023,0.261290322580645,-0.146236905259914,-0.229932628927042,-0.284313725490196,-0.0301217672035653,-0.284313725490196,0.0155226849739286,-0.331644042232278,-0.29594163246694,-0.29594163246694,-0.300723241662343,-0.0890909090909091,-0.298550328119114,-0.29955367260072,0.122816090267486
