"","Csn","SHH","ILK","FUS","HEY1","NFB","AKT","SNAI2","SMAD","miR200","FOXC2","TrCP","KLF4","SMO","DSH","cfos","cMet","ERK","SNAI1","MEK","RAF","IKK","RAS","Jagged","EGR1","LIV1","RKIP","TWIST1","TGFR","CDC42","TGF","PAK1","GSK3","ZEB2","SOSGRB2","ZEB1","NOTCHic","NOTCH","Csl","cateninmemb","SRC","CD44","PI3K","DELTA","GLI","Frizzled","cateninnuc","TCFLEF","Ecadherin","STAT","Wnt","Destcompl","AXIN2","Patched","SUFU"
"cateninmemb",-0.06,0.195724324781983,0.158840579710145,0.116666666666667,0.145906758066253,0.0114285714285714,0.0201827801827802,0.20128667156764,0.18087447801523,-0.0540416277287786,0.064626239511823,0,0.189357712142522,0.166666666666667,0.109803921568627,0.147272727272727,0.127397450385614,0.1627366447985,0.234146896526343,0.167050370288697,0.0187405731523379,-0.00708994708994709,0.00226012622496355,-0.0481228285378842,0.147272727272727,0.0333333333333333,0.179685180166721,0.0203507990409075,-0.16340280857354,-0.161939393939394,-0.180220168428875,-0.131272727272727,-0.258840306295732,-0.188219178417189,0.176576088591977,0.188219178417189,0.0485719923050363,0.0771965276210214,0.0784688995215311,0.115652804349837,-0.0795713634290926,-0.113685075803675,-0.0187405731523379,-0.0187405731523379,-0.113847225498058,-0.0795713634290926,-0.135168820816831,-0.140957803076402,0.182385871812339,-0.109803921568627,-0.127847225498058,-0.291598065038419,-0.224070453497659,-0.163440860215054,-0.1
"Csl",0.144444444444444,0.200206866352257,0.197625899280576,0.157692307692308,0.281452335672285,0.144444444444444,0.184754521963824,0.205509515636362,0.208737010391687,0.0155686199276815,0.369300129395473,0.2,0.170652173913043,0.222398190045249,0.0276923076923077,0.232380952380952,0.0235631035631036,0.240952380952381,0.285316905316905,0.245300207039338,0.0443090143240068,0.188630490956072,0.0454119555004774,0.136320372201995,0.246666666666667,0.02,0.219855736340406,0.162964780644225,-0.111616555943657,-0.10078853046595,-0.109122224877897,-0.0911111111111111,0.052307803171488,-0.186665065257427,0.0249247286731241,0.186665065257427,-0.15978171234538,-0.160690803254471,-0.128202764976959,-0.0173915705985827,-0.0246620046620047,-0.0264202464202464,-0.0443090143240068,-0.0443090143240068,-0.0297695315437251,-0.0246620046620047,-0.0254853610549995,-0.0256568876416205,-0.0489475258715541,-0.0276923076923077,-0.025737273479209,-0.0192901963942986,-0.027971992599727,-0.219172383593636,-0.15
"KLF4",0,0.163440860215054,0.14,0.1,0.133155080213904,-0.06,-0.00708994708994709,0.187379386799428,0.158840579710145,-0.0639112739112739,0.0662280701754386,-0.1,0.17037037037037,0.116666666666667,0.0333333333333333,0.147272727272727,0.0795713634290926,0.147272727272727,0.209463352222546,0.1627366447985,0.00256410256410256,0.0114285714285714,0.0187405731523379,-0.0634546363182045,0.12,0.1,0.174067202638631,0.00936383442265795,-0.161939393939394,-0.131272727272727,-0.16340280857354,-0.127272727272727,-0.250231034772553,-0.181584107327141,0.169997141223556,0.181584107327141,0.0784688995215311,0.0485719923050363,0.0363636363636364,-0.01123347294079,-0.109803921568627,-0.127397450385614,-0.00256410256410256,-0.00256410256410256,-0.127847225498058,-0.109803921568627,-0.140957803076402,-0.113685075803675,-0.125481815245683,-0.0333333333333333,-0.0795713634290926,-0.272306359539816,-0.221390041126525,-0.166666666666667,0
"FOXC2",0,0.163440860215054,0.14,0.1,0.133155080213904,-0.06,-0.00708994708994709,0.187379386799428,0.158840579710145,-0.0639112739112739,0.0662280701754386,-0.1,0.17037037037037,0.116666666666667,0.0333333333333333,0.147272727272727,0.0795713634290926,0.147272727272727,0.209463352222546,0.1627366447985,0.00256410256410256,0.0114285714285714,0.0187405731523379,-0.0634546363182045,0.12,0.1,0.174067202638631,0.00936383442265795,-0.161939393939394,-0.131272727272727,-0.16340280857354,-0.127272727272727,-0.250231034772553,-0.181584107327141,0.169997141223556,0.181584107327141,0.0784688995215311,0.0485719923050363,0.0363636363636364,-0.01123347294079,-0.109803921568627,-0.127397450385614,-0.00256410256410256,-0.00256410256410256,-0.127847225498058,-0.109803921568627,-0.140957803076402,-0.113685075803675,-0.125481815245683,-0.0333333333333333,-0.0795713634290926,-0.272306359539816,-0.221390041126525,-0.166666666666667,0
"cfos",0.2,0.236553450531945,0.240740740740741,0.157142857142857,0.219390304847576,0.125,0.179605263157895,0.306539640408254,0.206869772998805,0.00512689924454631,0.381190134590422,0.1,0.164761904761905,0.157142857142857,0.1,0.28,0.121481481481481,0.26695652173913,0.325755931831881,0.282210759027266,0.0933006535947712,0.1375,0.0981787023752591,0.135694444444444,0.28,0.1,0.239393939393939,0.157766233766234,-0.136694677871148,-0.119047619047619,-0.150331041507512,-0.142857142857143,-0.0114420995670996,-0.180548829701372,0.0583333333333333,0.180548829701372,-0.11025641025641,-0.157948717948718,-0.133333333333333,-0.104731739388655,-0.14,-0.137697697697698,-0.0933006535947712,-0.0933006535947712,-0.13990253411306,-0.14,-0.143986659927254,-0.134727400667995,-0.160799861887667,-0.1,-0.121481481481481,-0.171556796555705,-0.16367816091954,-0.23778801843318,-0.2
"NOTCHic",0.2,0.219172383593636,0.23,0.15,0.3082497212932,0.144444444444444,0.188630490956072,0.204241804972678,0.197625899280576,0.00794334759652678,0.36412771560237,0.1,0.156366459627329,0.157692307692308,0.02,0.246666666666667,0.0246620046620047,0.232380952380952,0.294407814407814,0.240952380952381,0.0467720685111989,0.144444444444444,0.0443090143240068,0.149862038868661,0.18,0,0.216629929888793,0.162739047009914,-0.10078853046595,-0.0911111111111111,-0.111616555943657,-0.111111111111111,0.0512768753364365,-0.168985507246377,0.0176076555023923,0.168985507246377,-0.128202764976959,-0.15978171234538,-0.0314285714285714,-0.0189206225863503,-0.0276923076923077,-0.0235631035631036,-0.0467720685111989,-0.0467720685111989,-0.025737273479209,-0.0276923076923077,-0.0256568876416205,-0.0264202464202464,-0.0496452002901588,-0.02,-0.0246620046620047,-0.0193511348464619,-0.0261725067385445,-0.222398190045249,-0.2
"NOTCH",0.1,0.222398190045249,0.233333333333333,0.2,0.315942028985507,0.2,0.144444444444444,0.202037396155043,0.23,0.0432034632034632,0.351224489795918,0,0.195652173913043,0.15,0,0.18,0.0276923076923077,0.246666666666667,0.292820512820513,0.232380952380952,0.0424242424242424,0.144444444444444,0.0467720685111989,0.150524290524291,0.2,0,0.198320070733864,0.153305084745763,-0.0911111111111111,-0.111111111111111,-0.10078853046595,-0.1,0.0479710902124695,-0.154911433172303,0.0357894736842105,0.154911433172303,-0.0314285714285714,-0.128202764976959,-0.06,-0.0203405008824963,-0.02,-0.0246620046620047,-0.0424242424242424,-0.0424242424242424,-0.0246620046620047,-0.02,-0.0264202464202464,-0.0235631035631036,-0.0534736842105263,0,-0.0276923076923077,-0.0173511348464619,-0.0261725067385445,-0.157692307692308,-0.1
"cMet",0.1,0.154943181818182,0.152040816326531,0.15,0.130615755073959,0.133333333333333,0.120416666666667,0.257804369191231,0.170222634508349,-0.0401994126043039,0.167357594936709,0.1,0.233333333333333,0.17,0.1,0.16,0.0566666666666667,0.16,0.137506645401382,0.169090909090909,0.0419047619047619,0.126666666666667,0.0400179694519317,0.140507753116449,0.1,0.1,0.0414814814814815,0.120316088405976,-0.0936111111111111,-0.0991666666666667,-0.0829728132387707,-0.0866666666666667,0.161117511520737,-0.126262626262626,0.0442857142857143,0.126262626262626,-0.140601503759398,-0.134218525035994,-0.114285714285714,-0.0856773949656512,-0.15,-0.0450387596899225,-0.0419047619047619,-0.0419047619047619,-0.0475757575757576,-0.05,-0.0424659652527213,-0.0481156827668456,-0.10623916586071,-0.2,-0.0566666666666667,0.140179511608083,-0.0720634920634921,-0.151818181818182,-0.1
"SMAD",0.194444444444444,0.270519081886702,0.24744132579749,0.25,0.185216509912076,0.18015873015873,0.202982259570495,0.174897627652851,0.151250849607014,0.0337067309257872,0.229273455980676,0.25,0.11468693732618,0.29,0.0333333333333333,0.212442396313364,0.0105228758169935,0.219419140499411,0.13852598073969,0.220380678960949,0.157883665097639,0.205648926237162,0.158870507202902,0.227867755900014,0.228571428571429,0.02,0.111757227610886,0.0963275665835123,-0.0449675707878556,-0.0399396378269618,-0.0413819134173377,-0.0357142857142857,0.202297536771221,-0.124185818917107,0.0067287784679089,0.124185818917107,-0.259376026272578,-0.26175697865353,-0.235238095238095,-0.022810335471091,-0.0144444444444444,-0.00943196672608437,-0.157883665097639,-0.157883665097639,-0.0258547008547009,-0.0277777777777778,-0.00537034611952887,-0.00739668857140323,-0.0438871350447829,-0.02,-0.0258547008547009,0.0593146112269562,-0.0123052610223062,-0.287247706422018,-0.25
"RAS",0,0.19864406779661,0.190909090909091,0.2,0.091897233201581,0.1,0.0766666666666667,0.332111429844894,0.211317254174397,-0.0564615384615385,0.181904761904762,0,0.125714285714286,0.2,0.1,0.055,0.105882352941176,0.0497368421052632,0.214837758112094,0.0673839009287926,-0.106153846153846,0.0933333333333333,-0.202307692307692,0.116495170510546,-0.02,0,0.086685534591195,0.108925259138025,-0.12,-0.12,-0.119009900990099,-0.1,-0.196421188630491,-0.116435935198822,-0.0155844155844156,0.116435935198822,-0.0947368421052632,-0.0853028798411122,-0.1,0.059455052102584,-0.1,-0.116520650813517,0.106153846153846,0.106153846153846,-0.118382352941176,-0.1,-0.127812871340865,-0.11959757389044,0.0256223455565801,-0.1,-0.105882352941176,-0.220546361244036,-0.139235836627141,-0.18,-0.1
"ZEB1",0.113333333333333,0.163335918320741,0.16381772714643,0.1375,0.13754236264599,0.0554385964912281,0.0680849665146473,0.172873105208244,0.142183111761814,0.107887864672376,0.160215324208006,0.0333333333333333,0.0238281430450137,0.110227272727273,0.019047619047619,0.128,0.0262774528197771,0.122117647058824,0.119932358901714,0.126082404768075,0.0800838390724426,0.053799252228933,0.0855956500960647,0.114111009043769,0.1,0.0333333333333333,0.0851271488021972,-0.0125715456383646,-0.0491434485802784,-0.0415292353823088,-0.0554426611787036,-0.0574712643678161,-0.0436562691291805,-0.0259933349420958,0.0766861598440546,0.0259933349420958,-0.0873774509803922,-0.114650178253119,-0.11875,0.00515095995608111,-0.041963727329581,-0.0408607861531104,-0.0800838390724426,-0.0800838390724426,-0.0489111613388707,-0.0507549361207898,-0.0450052463271538,-0.0358075946637487,-0.0781487949247992,-0.0102564102564103,-0.0334472438130975,-0.15916539067224,-0.145560989203546,-0.157286096256684,-0.175
"SOSGRB2",0.1,0.16202597946784,0.187311827956989,0.166666666666667,0.0751893939393939,0.0666666666666667,0.0888157894736842,0.253411622504061,0.17822091886608,0.00431519463154974,0.0489010989010989,0,0.0162280701754386,0.183333333333333,-0.1,0.126984126984127,-0.136024844720497,0.14049764049764,0.00348969438521677,0.11019461019461,0.0384180790960452,0.0929824561403509,0.0409821816601478,0.2319754979624,0.138095238095238,0,-0.108735380116959,0.0971014492753623,0.042967032967033,0.0314285714285714,0.0493500116904372,0.0214285714285714,0.168409393318229,-0.01765664160401,-0.140555555555556,0.01765664160401,-0.224475524475524,-0.234334679405102,-0.209090909090909,0.0807582777582778,0.114285714285714,0.140372670807453,-0.0384180790960452,-0.0384180790960452,0.135300207039337,0.114285714285714,0.154050843294119,0.147741091860085,0.151742324270517,0.1,0.130952380952381,0.245290540928125,0.169224422442244,-0.180630630630631,-0.2
"ZEB2",-0.155555555555556,-0.15496990814064,-0.146128566269411,-0.128571428571429,-0.119394315362057,-0.118055555555556,-0.117889408099688,-0.116711676709223,-0.11381149309868,-0.103415150354439,-0.101184149184149,-0.1,-0.0996650195927014,-0.0971428571428571,-0.0954545454545455,-0.0929824561403509,-0.0898245614035088,-0.089756649688738,-0.0862337485281847,-0.0860981131033721,-0.0813203463203463,-0.0758333333333333,-0.0725409030655283,-0.0698880918119745,-0.0666666666666667,-0.05,-0.0476328502415459,-0.0361051765545373,-0.0315151515151515,-0.0267532467532468,-0.0177585377585378,-0.0103896103896104,-0.00621355914063361,-0.00320929875600063,0.00206959706959707,0.00320929875600063,0.0521025641025641,0.0635779739386297,0.0641025641025641,0.0691806539479609,0.0766666666666667,0.0777875243664717,0.0813203463203463,0.0813203463203463,0.0813684480656958,0.0821212121212121,0.0833234672967809,0.0879987919721055,0.0891280953758101,0.09,0.0923776223776224,0.0930800732625962,0.100171283920947,0.138606271777003,0.2
"IKK",0.1,0.11507024265645,0.129861111111111,0.12,0.122910216718266,0.0571428571428571,-0.0342985842985843,-0.232105231742621,0.126890814081408,0.00277591973244147,-0.111976911976912,0,0.0117216117216117,0.1,0.05,0.0928571428571429,0.0525641025641026,0.0808571428571429,0.0011379700310998,0.0830793650793651,0.179189352692075,-0.0261904761904762,0.193273859734329,0.022572633552015,0.05,0.1,-0.0238615664845173,-0.169771241830065,-0.138888888888889,-0.138888888888889,-0.130088888888889,-0.15,0.246300366300366,-0.00302255639097744,0.0798319327731093,0.00302255639097744,-0.121645021645022,-0.145454545454545,-0.145454545454545,-0.125435011915459,-0.0833333333333333,-0.0694871794871795,-0.179189352692075,-0.179189352692075,-0.0694871794871795,-0.0833333333333333,-0.0611198763333498,-0.053102998696219,-0.161571626158527,-0.05,-0.0525641025641026,0.163469325267101,-0.084047619047619,-0.118518518518519,-0.1
"NFB",0.0571428571428571,0.119889519764883,0.126890814081408,0.1,0.115767359575409,-0.0261904761904762,-0.0187430287430287,-0.231088971580019,0.121314605902969,0.00126534571431458,-0.118749820343446,0.1,0.00402930402930403,0.118518518518519,0.0833333333333333,0.0808571428571429,0.0694871794871795,0.0830793650793651,0.00141194263383953,0.075889822595705,0.193273859734329,-0.0342985842985843,0.185811173167164,0.0319251515376265,0.0928571428571429,0.05,-0.0264256690486199,-0.161834733893557,-0.130088888888889,-0.138888888888889,-0.134519268635724,-0.138888888888889,0.252967032967033,-0.00263941462852534,0.0745687748783724,0.00263941462852534,-0.145454545454545,-0.137067448680352,-0.121645021645022,-0.118148845072798,-0.0525641025641026,-0.053102998696219,-0.193273859734329,-0.193273859734329,-0.0537568424085278,-0.0525641025641026,-0.0516296802549185,-0.0611198763333498,-0.166547549111978,-0.0833333333333333,-0.0694871794871795,0.163635438223911,-0.0755369807497467,-0.11507024265645,-0.12
"RKIP",0.1,0.0446338797814208,0.0798566538296962,0.0666666666666667,0.0654665118079752,0.0571428571428571,0.0666125541125541,0.191919333216763,0.0570843766019734,0.0177605428066156,-0.00692602416740348,0.1,-0.0180296508847441,0.0666666666666667,-0.1,0.1,-0.159649122807018,0.096551724137931,-0.0953129580567922,0.0561261922230374,0.118831168831169,0.0696428571428571,0.126523476523477,0.141135095804026,0.1,0,-0.178011204481793,0.119420677361854,0.119047619047619,0.1,0.12745883400089,0.0666666666666667,0.360441292356186,0.0220296508847441,-0.113714285714286,-0.0220296508847441,-0.129292929292929,-0.144677544677545,-0.111111111111111,0.058988063693946,0.133333333333333,0.167341430499325,-0.118831168831169,-0.118831168831169,0.161025641025641,0.133333333333333,0.190042902055759,0.180628143786039,0.140328678193687,0.1,0.153333333333333,0.433403047630202,0.199789029535865,-0.0626666666666667,-0.1
"RAF",0.1,0.0446338797814208,0.0798566538296962,0.0666666666666667,0.0654665118079752,0.0571428571428571,0.0666125541125541,0.191919333216763,0.0570843766019734,0.0177605428066156,-0.00692602416740348,0.1,-0.0180296508847441,0.0666666666666667,-0.1,0.1,-0.159649122807018,0.096551724137931,-0.0953129580567922,0.0561261922230374,0.118831168831169,0.0696428571428571,0.126523476523477,0.141135095804026,0.1,0,-0.178011204481793,0.119420677361854,0.119047619047619,0.1,0.12745883400089,0.0666666666666667,0.360441292356186,0.0220296508847441,-0.113714285714286,-0.0220296508847441,-0.129292929292929,-0.144677544677545,-0.111111111111111,0.058988063693946,0.133333333333333,0.167341430499325,-0.118831168831169,-0.118831168831169,0.161025641025641,0.133333333333333,0.190042902055759,0.180628143786039,0.140328678193687,0.1,0.153333333333333,0.433403047630202,0.199789029535865,-0.0626666666666667,-0.1
"MEK",0.0571428571428571,0.0269868209578914,0.0570843766019734,0.0666666666666667,0.0436483299897934,0.0696428571428571,0.0560243188184365,0.183403518131605,0.0508113138713461,0.0242620907942317,-0.0213404385818179,0.1,-0.0239120038259206,0.0626666666666667,-0.133333333333333,0.096551724137931,-0.167341430499325,0.0561261922230374,-0.113902701646536,-0.0538738077769626,0.126523476523477,0.0666125541125541,0.129380619380619,0.139495751541731,0.1,-0.1,-0.196432257113372,0.116856574797751,0.12745883400089,0.119047619047619,0.138407739110379,0.1,0.378868810783704,0.0291725080276013,-0.127047619047619,-0.0291725080276013,-0.144677544677545,-0.143947617670245,-0.129292929292929,0.055817331986629,0.159649122807018,0.180628143786039,-0.126523476523477,-0.126523476523477,0.174312354312354,0.153333333333333,0.200451823988844,0.190042902055759,0.139417931381301,0.133333333333333,0.161025641025641,0.450348654324763,0.214203443950279,-0.0446338797814208,-0.0666666666666667
"ERK",0.0696428571428571,0.0182911687839783,0.0508113138713461,0.0626666666666667,0.0364810944949129,0.0666125541125541,0.0413454197358677,0.174025700277682,0.0410848701023491,0.0269581692256043,-0.032451549692929,0.0571428571428571,-0.0316639418104167,0.0446338797814208,-0.153333333333333,0.0561261922230374,-0.180628143786039,-0.0538738077769626,-0.128023072016906,-0.0625089052699988,0.129380619380619,0.0560243188184365,0.132790960414723,0.142507799734502,0.096551724137931,-0.133333333333333,-0.207295766862675,0.113666560928126,0.138407739110379,0.12745883400089,0.148023123725764,0.119047619047619,0.39058543203711,0.041613452909491,-0.124134997688396,-0.041613452909491,-0.143947617670245,-0.145332659221492,-0.144677544677545,0.0502055564576501,0.167341430499325,0.190042902055759,-0.129380619380619,-0.129380619380619,0.18408679040258,0.161025641025641,0.206701823988844,0.200451823988844,0.138971656063759,0.159649122807018,0.174312354312354,0.464666579916645,0.225422956145401,-0.0269868209578914,-0.0666666666666667
"Csn",-0.12,-0.0808909522817508,-0.0541369047619048,-0.0253968253968254,-0.0616915836101883,-0.128333333333333,-0.149633333333333,-0.143557468764349,-0.0713605551475089,0.015831202024433,-0.172817458822432,-0.02,-0.0783178912590677,-0.0526695526695527,-0.166666666666667,-0.00484848484848485,-0.204389973687855,-0.0191341991341991,-0.245494449853027,-0.0274675324675325,0.225773967065517,-0.140833333333333,0.230572431556879,0.050741484849553,0.0133333333333333,-0.133333333333333,-0.214740587419309,-0.0018770453482936,0.178390390703824,0.165569877883311,0.191516882350602,0.143181818181818,0.517980213131029,0.0878858560794045,-0.163763403666551,-0.0878858560794045,-0.154834054834055,-0.162526362526362,-0.153535353535354,-0.0968675911686681,0.183908045977011,0.216389973687855,-0.225773967065517,-0.225773967065517,0.216180366700955,0.183908045977011,0.237008775566457,0.22925171002226,-0.0132019593978881,0.166666666666667,0.204389973687855,0.529631621932208,0.249400180988354,0.0644975096588,0.0142857142857143
