"","Csn","SHH","ILK","FUS","HEY1","NFB","AKT","SNAI2","SMAD","miR200","FOXC2","TrCP","KLF4","SMO","DSH","cfos","cMet","ERK","SNAI1","MEK","RAF","IKK","RAS","Jagged","EGR1","LIV1","RKIP","TWIST1","TGFR","CDC42","TGF","PAK1","GSK3","ZEB2","SOSGRB2","ZEB1","NOTCHic","NOTCH","Csl","cateninmemb","SRC","CD44","PI3K","DELTA","GLI","Frizzled","cateninnuc","TCFLEF","Ecadherin","STAT","Wnt","Destcompl","AXIN2","Patched","SUFU"
"FUS",0,0.515025252525253,0.335396825396825,0.4,0.329081063863673,0.0142857142857143,0.0535164835164835,0.417795697688473,0.359267793138761,-0.0258878962037253,0.372268602540835,-0.1,0.338479052823315,0.4125,0.3,0.298461538461538,0.271111111111111,0.31967365967366,0.503228704750312,0.334616188409292,0.0192195885509839,0.0342857142857143,0.0222763571099359,-0.0487830687830688,0.26,0.2,0.375447553591884,0.0649448493766326,-0.44536036036036,-0.418333333333333,-0.464509296530573,-0.393333333333333,-0.421081676168211,-0.344477661086271,0.268353576248313,0.344477661086271,-0.0204545454545455,-0.0318181818181818,-0.0454545454545455,0.213470799426819,-0.26,-0.307033441208198,-0.0192195885509839,-0.0192195885509839,-0.410149572649573,-0.3625,-0.339633964254946,-0.316807877298424,0.0347613419244978,-0.2,-0.373611111111111,-0.535384289789314,-0.457908058957534,-0.473611111111111,-0.4
"SMO",-0.1,0.473611111111111,0.276666666666667,0.4,0.275457875457875,0,0.0342857142857143,0.399303776683087,0.335396825396825,-0.0189572031344183,0.340689655172414,0,0.313888888888889,0.4,0.3,0.26,0.26,0.298461538461538,0.466436251920123,0.31967365967366,0.0331730769230769,0.0142857142857143,0.0192195885509839,-0.0487830687830688,0.2,0.1,0.339365079365079,0.0654684095860566,-0.418333333333333,-0.393333333333333,-0.44536036036036,-0.333333333333333,-0.390646893559515,-0.330367231638418,0.249122807017544,0.330367231638418,-0.0454545454545455,-0.0204545454545455,0,0.211422382294603,-0.2,-0.271111111111111,-0.0331730769230769,-0.0331730769230769,-0.373611111111111,-0.3,-0.316807877298424,-0.307033441208198,0.0273640816505252,-0.2,-0.3625,-0.50954487373092,-0.424988804299149,-0.4125,-0.3
"Frizzled",0.2,0.291830749895266,0.267918902802624,0.2,0.275908346972177,0.26,0.26,0.344983683237246,0.293152547662437,-0.00494949494949496,0.453503436587892,0.1,0.288515406162465,0.190909090909091,0.1,0.0533333333333333,0.297368421052632,0.106274509803922,0.498257418909593,0.121089324618736,-0.201503759398496,0.235,-0.210165176721331,0.0148083778966132,0.0333333333333333,0.1,0.388571428571429,0.123739495798319,-0.235072463768116,-0.213333333333333,-0.262691511387164,-0.166666666666667,-0.552251828631139,-0.289627398894839,0.239393939393939,0.289627398894839,0.110714285714286,0.124439775910364,0.0857142857142857,0.0890751950497713,-0.25,-0.318796992481203,0.201503759398496,0.201503759398496,-0.318796992481203,-0.25,-0.362243854669787,-0.344624807050739,-0.13521099278377,-0.2,-0.297368421052632,-0.612565150127572,-0.349527836504581,-0.233766233766234,-0.1
"Wnt",0.1,0.233766233766234,0.205128205128205,0.1,0.218461538461538,0.2,0.235,0.322586206896552,0.267918902802624,-0.00494949494949496,0.434898785425101,0.1,0.264705882352941,0.2,0,0.0333333333333333,0.25,0.0533333333333333,0.447463768115942,0.106274509803922,-0.201503759398496,0.26,-0.201503759398496,-0.00034313725490196,0,0,0.36,0.120882352941176,-0.213333333333333,-0.166666666666667,-0.235072463768116,-0.1,-0.515282131661442,-0.286657101865136,0.212121212121212,0.286657101865136,0.0857142857142857,0.110714285714286,0.1,0.0760593220338983,-0.2,-0.297368421052632,0.201503759398496,0.201503759398496,-0.297368421052632,-0.1,-0.344624807050739,-0.318796992481203,-0.136376493949271,-0.1,-0.25,-0.575164619623593,-0.316969696969697,-0.190909090909091,0
"SHH",0,0.4,0.2,0.2,0.2,0,0,0.33816091954023,0.216666666666667,-0.0333333333333333,0.25,0,0.2,0.3,0.2,0.1,0.2,0.2,0.383333333333333,0.26,0.05,-0.1,0.0269230769230769,-0.0371428571428572,0,0,0.26,0.05,-0.333333333333333,-0.233333333333333,-0.393333333333333,-0.2,-0.32051282051282,-0.25,0.2,0.25,0,0,0.1,0.184372759856631,-0.1,-0.2,-0.05,-0.05,-0.3,-0.2,-0.271111111111111,-0.26,0.0202777777777778,-0.1,-0.3,-0.429350649350649,-0.342857142857143,-0.4,-0.2
"TrCP",0.125,0.222553450531945,0.206869772998805,0.157142857142857,0.189978540141694,0.1375,0.188864522417154,0.312868754332304,0.22299880525687,0.0142639550821098,0.387397031142146,0.2,0.182794691647151,0.23778801843318,0.14,0.26695652173913,0.137697697697698,0.282210759027266,0.323130633502526,0.287544092360599,0.0981787023752591,0.179605263157895,0.0922696114661681,0.124651499659168,0.28,0.1,0.245471287460238,0.163201016374929,-0.150331041507512,-0.136694677871148,-0.153609730032102,-0.119047619047619,-0.0125330086580087,-0.204664585328382,0.0652640264026403,0.204664585328382,-0.157948717948718,-0.15025641025641,-0.11025641025641,-0.0955742302311454,-0.121481481481481,-0.134727400667995,-0.0981787023752591,-0.0981787023752591,-0.138439119478914,-0.121481481481481,-0.140952177168633,-0.143986659927254,-0.16294519060739,-0.14,-0.13990253411306,-0.178624465728637,-0.16556495337237,-0.236553450531945,-0.157142857142857
"LIV1",0.125,0.222553450531945,0.206869772998805,0.157142857142857,0.189978540141694,0.1375,0.188864522417154,0.312868754332304,0.22299880525687,0.0142639550821098,0.387397031142146,0.2,0.182794691647151,0.23778801843318,0.14,0.26695652173913,0.137697697697698,0.282210759027266,0.323130633502526,0.287544092360599,0.0981787023752591,0.179605263157895,0.0922696114661681,0.124651499659168,0.28,0.1,0.245471287460238,0.163201016374929,-0.150331041507512,-0.136694677871148,-0.153609730032102,-0.119047619047619,-0.0125330086580087,-0.204664585328382,0.0652640264026403,0.204664585328382,-0.157948717948718,-0.15025641025641,-0.11025641025641,-0.0955742302311454,-0.121481481481481,-0.134727400667995,-0.0981787023752591,-0.0981787023752591,-0.138439119478914,-0.121481481481481,-0.140952177168633,-0.143986659927254,-0.16294519060739,-0.14,-0.13990253411306,-0.178624465728637,-0.16556495337237,-0.236553450531945,-0.157142857142857
"EGR1",0.125,0.222553450531945,0.206869772998805,0.157142857142857,0.189978540141694,0.1375,0.188864522417154,0.312868754332304,0.22299880525687,0.0142639550821098,0.387397031142146,0.2,0.182794691647151,0.23778801843318,0.14,0.26695652173913,0.137697697697698,0.282210759027266,0.323130633502526,0.287544092360599,0.0981787023752591,0.179605263157895,0.0922696114661681,0.124651499659168,0.28,0.1,0.245471287460238,0.163201016374929,-0.150331041507512,-0.136694677871148,-0.153609730032102,-0.119047619047619,-0.0125330086580087,-0.204664585328382,0.0652640264026403,0.204664585328382,-0.157948717948718,-0.15025641025641,-0.11025641025641,-0.0955742302311454,-0.121481481481481,-0.134727400667995,-0.0981787023752591,-0.0981787023752591,-0.138439119478914,-0.121481481481481,-0.140952177168633,-0.143986659927254,-0.16294519060739,-0.14,-0.13990253411306,-0.178624465728637,-0.16556495337237,-0.236553450531945,-0.157142857142857
"SNAI1",0.1375,0.231679664124178,0.22299880525687,0.23778801843318,0.206645206808361,0.179605263157895,0.171503411306043,0.314712535760397,0.244770022969047,0.0297298532569417,0.388540614369592,0.125,0.207405283547462,0.236553450531945,0.121481481481481,0.282210759027266,0.134727400667995,0.287544092360599,0.228646647737401,0.293373688773155,0.0922696114661681,0.188864522417154,0.0968673126155934,0.124651499659168,0.26695652173913,0.14,0.241287187041828,0.156739477913391,-0.153609730032102,-0.150331041507512,-0.150182310677264,-0.136694677871148,-0.0176155169088337,-0.198883527517804,0.0731885547045271,0.198883527517804,-0.15025641025641,-0.144542124542125,-0.157948717948718,-0.098164903806275,-0.137697697697698,-0.143986659927254,-0.0922696114661681,-0.0922696114661681,-0.147031441233941,-0.13990253411306,-0.146682688268272,-0.140952177168633,-0.161748520472114,-0.121481481481481,-0.138439119478914,-0.180324027132146,-0.172091759899177,-0.222553450531945,-0.157142857142857
"DELTA",0,0.157692307692308,0.133333333333333,0.1,0.233333333333333,0.1,0.144444444444444,0.201508295625943,0.233333333333333,0.0460606060606061,0.361428571428571,0,0.2,0.2,0,0.2,0.02,0.18,0.266666666666667,0.246666666666667,0.0333333333333333,0.2,0.0424242424242424,0.10978354978355,0.1,0,0.194871794871795,0.155,-0.111111111111111,-0.1,-0.0911111111111111,0,0.0547892720306513,-0.195652173913043,0.02,0.195652173913043,-0.06,-0.0314285714285714,0,-0.0177226998353759,0,-0.0276923076923077,-0.0333333333333333,-0.0333333333333333,-0.0276923076923077,0,-0.0235631035631036,-0.0246620046620047,-0.0534736842105263,0,-0.02,-0.0182857142857143,-0.0242857142857143,-0.15,0
