"","SMAD","ILK","HEY1","FOXC2","TGF","TGFR","AKT","CDC42","IKK","Jagged","FUS","NFB","SUFU","SNAI1","TWIST1","MEK","ERK","SNAI2","AXIN2","Wnt","cateninnuc","TCFLEF","CD44","Frizzled","GLI","Ecadherin","LIV1","DSH","cateninmemb","STAT","SRC","cMet","EGR1","Destcompl","RAS","RAF","PI3K","DELTA","cfos","ZEB2","SOSGRB2","TrCP","RKIP","KLF4","GSK3","Csl","Csn","NOTCHic","NOTCH","PAK1","Patched","SMO","SHH","miR200","ZEB1"
"SMAD",0.184142752224944,0.276047514129706,0.220998683328787,0.194498871489086,0.199953873866031,0.200750686615035,0.262326797385621,0.204661301140174,0.250326797385621,0.181858678955453,0.2625,0.244444444444444,0.25,0.119547018393793,0.126301111711506,-0.0206568469040337,-0.0120030007501875,0.0897743847817217,-0.044306139664438,-0.0742063492063492,-0.0353514360698714,-0.0356553874376526,-0.0425753331635685,-0.0492063492063492,-0.0698898024437593,-0.0421525487672062,0.04,0.0380952380952381,0.0749655497088406,0.0114285714285714,0.0225396825396825,0.0480298786181139,0,-0.0228953565780077,-0.124491576300816,-0.121859997353447,-0.121859997353447,-0.121859997353447,0.00967741935483871,-0.0567431464346425,-0.144239869860988,-0.2,-0.118550817311636,-0.0590907129785907,-0.161658692185008,-0.193333333333333,-0.211111111111111,-0.192183908045977,-0.189009304871374,-0.197619047619048,-0.256261467889908,-0.2425,-0.267785631458681,-0.244962497422037,-0.260407205473824
"SNAI1",0.234376513503998,0.234007509813961,0.221505791222036,0.299606776263842,0.288821120967978,0.288014669355074,0.185587231968811,0.285828877005348,0.186281676413255,0.132144104114038,0.149846390168971,0.167763157894737,0.15952380952381,0.1537051642377,0.16214216218564,0.0354275026353966,0.0327369196757553,0.134432101180257,-0.0546925813288858,-0.0584538582227927,-0.0559073468496022,-0.0508479766895609,-0.0508479766895609,-0.0647953216374269,-0.0524209514586246,-0.068709077579077,0.03,0.0411111111111111,0.0791996101580632,0.0411111111111111,0.0654354354354354,0.0575146433562275,-0.0356521739130435,0.0603424883092933,-0.0495877420383926,-0.0451542445014468,-0.0451542445014468,-0.0451542445014468,-0.0407369196757553,-0.0560261022273865,-0.181786381468336,-0.125,-0.215360589232385,-0.0486232718305646,-0.0471858417984656,-0.112564102564103,-0.1625,-0.113663003663004,-0.116520146520147,-0.284313725490196,-0.188303180292428,-0.173303180292428,-0.195487646311845,-0.315792375570339,-0.366546091188945
"cMet",-0.156911976911977,-0.158730158730159,-0.152321981424149,-0.14370253164557,-0.153333333333333,-0.153333333333333,-0.139583333333333,-0.153333333333333,-0.133333333333333,-0.124494780581737,-0.1,-0.1,-0.1,-0.129719586588454,-0.0976326295427419,-0.181818181818182,-0.18,0.217473232363743,-0.0179365079365079,0.02,0.00465965252721264,-0.00550983899821109,0.00372093023255814,0,0.00636363636363637,0.0264595614326603,0.1,0.1,0.0212009046706556,0.2,0.1,-0.02,0.2,0.151311900681649,0.0304222821203953,0.0247619047619048,0.0247619047619048,0.0247619047619048,0.2,-0.0544011544011544,-0.153333333333333,0.1,0,0.0365079365079365,0.184927035330261,0.114285714285714,0.1,0.119548872180451,0.117421212605983,0.153333333333333,0.147272727272727,0.12,0.162897727272727,0.13858777997365,0.163780663780664
"CDC42",0.217878477555897,0.208201058201058,0.20312343828086,0.300386691261871,0.285828877005348,0.284313725490196,0.167763157894737,0.266666666666667,0.1625,0.1134375,0.142857142857143,0.125,0.1,0.250571538166475,0.150943722943723,0.0407369196757553,0.0356521739130435,0.130371599203716,-0.0652216748768473,-0.0411111111111111,-0.0508479766895609,-0.0575146433562275,-0.0654354354354354,-0.03,-0.0647953216374269,-0.0631035412468971,0.1,0.05,0.082079338374579,0.05,0.03,0.0411111111111111,0.02,0.0654302076075389,-0.0415178808650832,-0.0500544662309368,-0.0500544662309368,-0.0500544662309368,-0.04,-0.0523060071486222,-0.1625,0,-0.211375291375291,-0.0284761904761905,-0.0405167748917749,-0.0833333333333333,-0.1,-0.114102564102564,-0.112564102564103,-0.342857142857143,-0.149846390168971,-0.15952380952381,-0.173303180292428,-0.303458959341312,-0.35811714516315
"TrCP",0.234007509813961,0.217878477555897,0.209005791222036,0.296938415399802,0.288014669355074,0.285828877005348,0.186281676413255,0.284313725490196,0.167763157894737,0.122026457055215,0.15952380952381,0.1625,0.142857142857143,0.248900893775067,0.158552418595897,0.0327369196757553,0.0407369196757553,0.132722412946935,-0.0551587817950863,-0.0647953216374269,-0.0508479766895609,-0.0508479766895609,-0.0575146433562275,-0.0411111111111111,-0.0584538582227927,-0.068709077579077,0.05,0.03,0.0764016826969233,0.03,0.0411111111111111,0.0654354354354354,-0.04,0.0612196812917494,-0.0451542445014468,-0.0415178808650832,-0.0415178808650832,-0.0415178808650832,-0.0356521739130435,-0.0487690296566607,-0.175371287128713,-0.1,-0.21745263944159,-0.0514270101483216,-0.0419713203463203,-0.114102564102564,-0.125,-0.112564102564103,-0.113663003663004,-0.266666666666667,-0.173303180292428,-0.149846390168971,-0.188303180292428,-0.31665692888446,-0.361011035838391
"NOTCHic",0.214590613223707,0.205238095238095,0.3020624303233,0.283285055957867,0.271373193616876,0.269462365591398,0.156072351421189,0.253333333333333,0.144444444444444,0.0899158089886567,0.15,0.111111111111111,0.1,0.248127798127798,0.13984575205202,0.0423809523809524,0.0395238095238095,0.0965104213070734,-0.0532831686133573,-0.0166899766899767,-0.0281705571781908,-0.0377888777888778,-0.0463603063603064,-0.00153846153846154,-0.0457222347544928,-0.0520035602517136,0.1,0.04,0.0865085011577002,0.04,0.00153846153846154,0.0166899766899767,0.02,0.0690961161428451,-0.00887049981502755,-0.0211857707509881,-0.0211857707509881,-0.0211857707509881,-0.0466666666666667,-0.0472946859903382,-0.156172248803828,0,-0.208102016164182,-0.024120082815735,-0.00323374813970425,0.0514285714285714,-0.1,-0.0840552995391705,-0.0840552995391705,-0.233333333333333,-0.140045248868778,-0.157692307692308,-0.162625894030069,-0.301153567049521,-0.353574879227053
"GLI",0.17483639822578,0.158620182009564,0.158145547152338,0.243970373237014,0.129285289652621,0.127167642593797,0.0725599340613438,0.124022988505747,0.0584974340613438,0.0832979241590321,0.0220238095238095,0.0646198830409357,0.00952380952380953,0.181090421817944,0.129812602978987,0.13243022171199,0.137402597402597,0.119403788708401,-0.0534027777777778,0.0544212523719165,-0.0444218466353929,-0.0462748053921173,-0.0524436365609485,0.0767741935483871,-0.0417489603940409,-0.059126677983667,0.05,-0.08,0.0691517727257638,0.03,0.0332258064516129,0.0576160503540519,-0.125714285714286,0.0920855457118669,0.106841725255788,0.10822786386965,0.10822786386965,0.10822786386965,-0.125714285714286,-0.0457492746202424,0.0682791250047887,-0.0166666666666667,-0.137168693603649,-0.0494766194766195,0.0882864129559635,-0.0407780725022104,-0.0277777777777778,-0.0357780725022104,-0.0348256915498295,-0.103333333333333,-0.0225608664518439,-0.006234335839599,-0.033671977562955,-0.273649962009095,-0.304800989930022
"Csl",0.229035057668151,0.214590613223707,0.307944783264476,0.278112642164764,0.273414009943406,0.271373193616876,0.172351421188631,0.269462365591398,0.156072351421189,0.0987699756553233,0.157692307692308,0.144444444444444,0.15,0.246151513542818,0.1472949619843,0.0369461697722567,0.0423809523809524,0.0997169835740384,-0.0422291840375218,-0.0457222347544928,-0.028456434822559,-0.0281705571781908,-0.0377888777888778,-0.0166899766899767,-0.0384641702383638,-0.0585151881586904,0.04,0.00153846153846154,0.0791690516164158,0.00153846153846154,0.0166899766899767,0.0463603063603064,-0.0466666666666667,0.0641601015176166,-0.0114440292267923,-0.00887049981502755,-0.00887049981502755,-0.00887049981502755,-0.0395238095238095,-0.0439797688632663,-0.16999338701521,-0.1,-0.214092799574321,-0.0455486542443064,-0.0042646759747558,-0.0840552995391705,-0.111111111111111,-0.0840552995391705,-0.0813280268118978,-0.253333333333333,-0.162625894030069,-0.140045248868778,-0.179867273340413,-0.313136137855621,-0.35633731016628
"ILK",-0.213225450180072,-0.183625450180072,-0.189203914842095,-0.380257839721254,-0.340014347202296,-0.322941176470588,0.181297134238311,-0.302941176470588,0.194117647058824,-0.144912280701754,-0.05,0.2,0,-0.397479871175523,-0.207266741336592,-0.207999265279882,-0.203081232492997,-0.0949594905079276,-0.0884761904761905,-0.115458937198068,-0.125564180548113,-0.124533252713061,-0.126228167967298,-0.111111111111111,-0.126228167967298,0.123812812521804,0.1,0.1,8.03045702159677e-05,0.1,0.111111111111111,0.115458937198068,0.133333333333333,-0.312396536035895,-0.259230504655162,-0.264709956709957,-0.264709956709957,-0.264709956709957,0.161904761904762,-0.0385770160832238,0.0830769230769231,-0.2,0.322317388493859,-0.0324561403508772,-0.389670514670515,-0.075,-0.233333333333333,-0.0673076923076923,-0.0576302729528536,0.25,0.0897435897435897,0.0666666666666667,0.103632478632479,0.322332541185,0.415350228021488
"DELTA",0.178571428571429,0.183333333333333,0.283333333333333,0.254285714285714,0.253333333333333,0.233333333333333,0.111111111111111,0.2,0.1,0.108311688311688,0,0,0,0.25,0.153,0.0466666666666667,-0.02,0.101985922574158,-0.0285714285714286,-0.04,-0.0463603063603064,-0.0166899766899767,-0.00153846153846154,-0.1,-0.00153846153846154,-0.0635087719298246,0,0,0.0798774464971648,0,0.1,0.04,-0.1,0.0604169884169884,-0.0139393939393939,0.0133333333333333,0.0133333333333333,0.0133333333333333,0,-0.0384057971014493,-0.16,0,-0.18974358974359,-0.0166666666666667,-0.00881226053639847,0.1,0,0.08,0.0514285714285714,-0.2,-0.15,-0.1,-0.157692307692308,-0.27030303030303,-0.322463768115942
