"","ZEB1","AXIN2","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","CDC42","cateninmemb","SOSGRB2","TGFR","TGF","SHH","Patched","TrCP","Csn","AKT","SMAD","NFB","ILK","NOTCHic","NOTCH","FOXC2","DELTA","Jagged","RKIP","RAF","PI3K","RAS","MEK","ERK","Csl","TWIST1","SNAI1","cfos","SNAI2","EGR1","IKK","HEY1","SUFU","FUS","SMO","LIV1","PAK1","STAT","cateninnuc","Destcompl","Ecadherin","GSK3","ZEB2","miR200","KLF4"
"Destcompl",0.595474244893764,-0.539998017814169,-0.495999844602856,-0.506883326355827,-0.476519325122336,-0.495513463342128,-0.476110478267501,-0.458697542944118,-0.458697542944118,-0.413492063492063,0.341182266009852,0.389788396082431,-0.0259367256564029,0.35802437127301,0.370930775213897,-0.288025048309547,-0.27506566726506,-0.133333333333333,-0.147619047619048,-0.188167737540367,-0.0843609022556391,-0.165010351966874,-0.0774603174603175,0.0853838621229926,0.0887906757502471,-0.0899948040635505,-0.206396476764344,-0.359999216869392,-0.531032673135787,0.206396476764344,0.206396476764344,0.208751264833417,-0.298329485413943,-0.287780962207192,-0.0777751664708186,0.503223452928443,0.534914917845529,-0.262097902097902,0.265388873872942,-0.231794871794872,0.182127469083991,0.0677544677544678,0.188888888888889,0.226819923371648,0.24967706622879,0.377777777777778,-0.314285714285714,0.413492063492063,0.514175524214062,0.601910292380707,-0.0521195957551705,0.680991807655466,-0.595474244893764,-0.606896780209264,-0.540365114999784
"AXIN2",0.592775623436303,-0.0711774609349077,-0.517361718438718,-0.539998017814169,-0.488430900828655,-0.517137525434334,-0.488430900828655,-0.44015503875969,-0.44015503875969,-0.386666666666667,0.331064814814815,0.413642369815285,-0.0237287319194753,0.365578089151098,0.389010432385421,-0.304273554314538,-0.27706043956044,-0.133333333333333,-0.166666666666667,-0.225024154589372,-0.0745399125833908,-0.188405797101449,-0.0630319760754543,0.0699812030075188,0.0780893111156269,-0.121404341170149,-0.247115491665665,-0.392232285927938,-0.546549194533065,0.247115491665665,0.247115491665665,0.256301843371701,-0.332445233959268,-0.302790061545475,-0.0610526315789474,0.525201046918424,0.569767833567327,-0.266341463414634,0.312516496376181,-0.22,0.207246376811594,0.0568053129919256,0.15,0.203846153846154,0.246703296703297,0.3,-0.282916666666667,0.386666666666667,0.555605454044174,0.740362907326314,-0.0356731307148811,0.707450712902658,-0.592775623436303,-0.601054832832782,-0.524688696762961
"GSK3",0.545486162251713,-0.251037298841606,-0.208141724084536,-0.215987408857575,-0.200122856160008,-0.208062208501386,-0.200443160882338,-0.17593984962406,-0.17593984962406,-0.172368421052632,0.390186335403727,0.227510045346369,0.060997267055123,0.402381457354946,0.410073765047254,-0.129623469013826,-0.117661746525788,-0.153333333333333,-0.190833333333333,-0.225852122015915,-0.0975011695877943,-0.209583333333333,-0.0946525938756504,-0.125769328710505,-0.123951146892323,-0.0964435319882077,-0.286548701536147,-0.0450673151880876,-0.38284645179382,0.286548701536147,0.286548701536147,0.293061306578164,-0.257849054826609,-0.239099054826609,0.125070028011204,0.318232646151876,0.359090150384387,-0.229324618736383,0.132017828808238,-0.214509803921569,0.213031609195402,0.102062902514783,0.0772727272727273,0.0915584415584415,0.110913280268119,0.125,-0.379710144927536,0.172368421052632,0.223158461489154,0.528552073446188,-0.225301597513359,0.520572878845989,-0.545486162251713,-0.560921853369858,-0.521172198220428
"DSH",0.526615434168503,-0.238404117715275,-0.200122856160008,-0.208062208501386,-0.17593984962406,-0.200443160882338,-0.17593984962406,-0.172368421052632,-0.172368421052632,-0.125,0.379710144927536,0.2240617694843,0.0605321507760532,0.390186335403727,0.402381457354946,-0.117661746525788,-0.110913280268119,-0.133333333333333,-0.153333333333333,-0.213031609195402,-0.0946525938756504,-0.190833333333333,-0.0897469334982919,-0.125070028011204,-0.125769328710505,-0.101387710616597,-0.285708365401693,-0.0422935925603504,-0.372570762570763,0.285708365401693,0.285708365401693,0.286548701536147,-0.239099054826609,-0.229324618736383,0.130952380952381,0.310678228738304,0.3467977915804,-0.214509803921569,0.125115326651206,-0.173333333333333,0.209583333333333,0.0961805495736067,0.05,0.0772727272727273,0.0915584415584415,0.1,-0.366666666666667,0.125,0.215987408857575,0.519006458793142,-0.220724712429394,0.608260066865955,-0.526615434168503,-0.541578359817689,-0.496744717304397
"Frizzled",0.500631182199999,-0.216885130373502,-0.17593984962406,-0.200443160882338,-0.172368421052632,-0.17593984962406,-0.172368421052632,-0.125,-0.125,0,0.366666666666667,0.216405703524348,0.0727272727272727,0.379710144927536,0.390186335403727,-0.110913280268119,-0.0915584415584415,-0.1,-0.133333333333333,-0.209583333333333,-0.0897469334982919,-0.153333333333333,-0.0813357185450209,-0.130952380952381,-0.125070028011204,-0.0931626023914886,-0.269172932330827,-0.0314408793820559,-0.348095238095238,0.269172932330827,0.269172932330827,0.285708365401693,-0.229324618736383,-0.214509803921569,0.114285714285714,0.287983193277311,0.337232574189096,-0.173333333333333,0.124998912215816,-0.133333333333333,0.190833333333333,0.0874086197490453,0,0.05,0.0772727272727273,0.1,-0.333333333333333,0.1,0.208062208501386,0.505647680167187,-0.221690471867498,0.586682340647858,-0.500631182199999,-0.512919823232323,-0.464705882352941
"SUFU",0.498787071404854,-0.43928508387918,-0.396353223397833,-0.29238911088048,-0.38482905982906,-0.289128241315262,-0.277098166127292,-0.394444444444444,-0.287777777777778,-0.35,0.206441441441441,0.228035620146185,-0.106661759293338,0.207505271228675,0.212436237698103,-0.280068445068445,-0.280454545454545,0.1,0.0857142857142857,0.0723699387860462,-0.0456627513306348,0.0817142857142857,-0.043584229390681,0.246515151515152,0.245721500721501,-0.0707000130599451,-0.00686352149424659,-0.182794412578489,-0.318922084297637,0.00686352149424659,0.00686352149424659,0.00274959744361368,-0.199025254520486,-0.207110360903464,-0.237424242424242,0.295881541548089,0.301281981207866,-0.192167832167832,0.108783171950337,-0.183076923076923,-0.0663296703296703,0.0245198663742404,0.226666666666667,0.251666666666667,0.257222222222222,0.25,-0.198333333333333,0.243333333333333,0.291928752824214,0.346671686479064,-0.0826882190788696,0.30832364230748,-0.498787071404854,-0.513523609095046,-0.457925406018564
"FUS",0.483328134206787,-0.429683210342881,-0.38482905982906,-0.289128241315262,-0.394444444444444,-0.277098166127292,-0.287777777777778,-0.35,-0.243333333333333,-0.35,0.198333333333333,0.221896465985202,-0.0975708502024291,0.206441441441441,0.207505271228675,-0.280454545454545,-0.257222222222222,0.1,0.1,0.0663296703296703,-0.043584229390681,0.0857142857142857,-0.0377777777777778,0.237424242424242,0.246515151515152,-0.0605263157894737,0.00754695885509839,-0.177331229680627,-0.306269023073147,-0.00754695885509839,-0.00754695885509839,0.00686352149424659,-0.207110360903464,-0.192167832167832,-0.242424242424242,0.28371659309448,0.303837347477031,-0.183076923076923,0.112672427059104,-0.16,-0.0817142857142857,0.0197005892658067,0.266666666666667,0.226666666666667,0.251666666666667,0.2,-0.173333333333333,0.25,0.29238911088048,0.343216077760298,-0.0855718442076029,0.301896907088971,-0.483328134206787,-0.497538478983522,-0.441757741347905
"Csn",0.471222497932175,-0.139750747560592,-0.113194533895256,-0.117677363851681,-0.0961639662096662,-0.113497299543,-0.0961639662096662,-0.104597701149425,-0.104597701149425,-0.0666666666666667,0.344674355495251,0.188485040352451,0.0843998616395711,0.344674355495251,0.352072923514344,-0.0829078348644715,-0.082088162733324,-0.02,-0.145,-0.1926,-0.0819431194015552,-0.178333333333333,-0.0801436335403727,-0.145598845598846,-0.147521922521923,-0.100272123580246,-0.267084637395298,0.0102022801060551,-0.299959258571538,0.267084637395298,0.267084637395298,0.266508821656334,-0.165543831168831,-0.164502164502164,0.149494949494949,0.236908991740689,0.266841480255962,-0.160606060606061,0.0818200562567598,-0.133333333333333,0.195,0.0854291251384275,0.0428571428571429,0.0650793650793651,0.0681096681096681,0.0666666666666667,-0.343181818181818,0.0666666666666667,0.1215859627693,0.43636929173127,-0.21404036656727,0.543317262341474,-0.471222497932175,-0.487521114750071,-0.453435322847088
"Wnt",0.467957914873266,-0.200606060606061,-0.172368421052632,-0.17593984962406,-0.125,-0.172368421052632,-0.125,0,-0.1,0,0.333333333333333,0.203389830508475,0.0757575757575758,0.366666666666667,0.379710144927536,-0.0915584415584415,-0.0772727272727273,-0.1,-0.1,-0.190833333333333,-0.0813357185450209,-0.133333333333333,-0.0743589743589744,-0.114285714285714,-0.130952380952381,-0.0978137651821862,-0.269172932330827,-0.0324509803921569,-0.326666666666667,0.269172932330827,0.269172932330827,0.269172932330827,-0.214509803921569,-0.173333333333333,0.1,0.279411764705882,0.315010351966874,-0.133333333333333,0.110172413793103,-0.1,0.153333333333333,0.081025641025641,0,0,0.05,0,-0.3,0.1,0.200443160882338,0.484162269026604,-0.21399816417519,0.561833855799373,-0.467957914873266,-0.483232323232323,-0.431372549019608
"SMO",0.465536723163842,-0.424093148231079,-0.394444444444444,-0.277098166127292,-0.35,-0.287777777777778,-0.243333333333333,-0.35,-0.25,-0.3,0.173333333333333,0.218730730417232,-0.105263157894737,0.198333333333333,0.206441441441441,-0.257222222222222,-0.251666666666667,0,0.1,0.0817142857142857,-0.0377777777777778,0.1,-0.0266666666666667,0.242424242424242,0.237424242424242,-0.075,-0.0110576923076923,-0.188174603174603,-0.305238095238095,0.0110576923076923,0.0110576923076923,-0.00754695885509839,-0.192167832167832,-0.183076923076923,-0.233333333333333,0.290522875816993,0.29062980030722,-0.16,0.0995665024630542,-0.1,-0.0857142857142857,0.0124542124542125,0.3,0.266666666666667,0.226666666666667,0.1,-0.133333333333333,0.2,0.289128241315262,0.337230676300444,-0.0765307483171919,0.298886873644155,-0.465536723163842,-0.479716696805304,-0.413888888888889
