"","KLF4","miR200","AKT","AXIN2","SHH","cateninmemb","NFB","PAK1","FUS","Wnt","Frizzled","DSH","Csn","STAT","SRC","cMet","Ecadherin","GLI","CDC42","TrCP","SUFU","CD44","TCFLEF","TGFR","cateninnuc","ILK","TGF","SMAD","LIV1","SOSGRB2","EGR1","ERK","Csl","MEK","SNAI1","RKIP","FOXC2","TWIST1","NOTCH","NOTCHic","Jagged","cfos","HEY1","SNAI2","ZEB1","RAF","PI3K","DELTA","RAS","Patched","SMO","IKK","Destcompl","ZEB2","GSK3"
"SMO",0.375,0.288034960819771,-0.0602857142857143,-0.139110314972384,-0.0436111111111111,0.0783202839544838,-0.05,0.133333333333333,-0.2,-0.1,-0.15,-0.2,-0.1,-0.1,-0.05,0.01,0.191043002663036,-0.0722222222222222,0.193333333333333,0,-0.3,0.0377777777777778,0.0601078748651564,0.218333333333333,0.0683785515568857,0.13,0.229144144144144,0.134761904761905,-0.1,0.130701754385965,0.1,0.238461538461538,0.266666666666667,0.25967365967366,0.329723502304147,0.27984126984127,0.149137931034483,0.143191721132898,-0.234393939393939,-0.239393939393939,-0.0914814814814815,-0.2,-0.113553113553114,0.0513628899835797,0.0365819209039548,0.216826923076923,0.216826923076923,0.216826923076923,0.200547853309481,0.0825,0.12,0.0642857142857143,0.250206537648398,-0.403813559322034,0.254596536149934
"Frizzled",0.370028011204482,0.28438446969697,-0.0554166666666667,0.356391825229035,0.204287110738724,0.284256793112725,-0.0866666666666667,0.366666666666667,0.1,0.301315789473684,0.275,0.3,-0.0666666666666667,0.2,0.275,0.301315789473684,0.247248450474257,0.319172932330827,0.386666666666667,-0.1,0.1,0.319172932330827,0.322484190608973,0.391014492753623,0.316769904894687,0.13613595706619,0.38815734989648,0.142678013140956,0.1,0.248484848484848,0.2,0.245882352941176,0.107142857142857,0.253289760348584,0.290131124913734,0.202142857142857,0.173972318990679,0.0595378151260504,-0.0968487394957983,-0.0988095238095238,0.0554248366013072,-0.24,-0.118745226404801,-0.301169911889481,-0.00648228380944264,0.18174982911825,0.18174982911825,0.18174982911825,0.169938805496203,-0.197835497835498,-0.145454545454545,0.0741666666666667,0.141770732414508,-0.375901908698761,0.313934169278997
"Patched",0.35,0.269047619047619,-0.0642857142857143,-0.173593073593074,-0.0825,0.0656989247311828,-0.1,0.0333333333333333,-0.3,-0.15,-0.2,-0.2,0,-0.1,-0.1,-0.05,0.186245954692557,-0.1,0.133333333333333,0,-0.2,0.01,0.0377777777777778,0.193333333333333,0.0601078748651564,0.1,0.218333333333333,0.13,-0.1,0.0833333333333333,0.1,0.2,0.2,0.238461538461538,0.339247311827957,0.274285714285714,0.125,0.149074074074074,-0.239393939393939,-0.266666666666667,-0.0986243386243386,-0.1,-0.0897435897435898,0.0685057471264368,0.0416666666666667,0.223076923076923,0.223076923076923,0.223076923076923,0.216826923076923,0.12,0.2,0.05,0.268811188811189,-0.375,0.257509157509158
"Wnt",0.350980392156863,0.27969696969697,-0.0741666666666667,0.328484848484848,0.197835497835498,0.282669491525424,-0.0666666666666667,0.3,0.1,0.275,0.3,0.2,-0.1,0.1,0.2,0.275,0.246082949308756,0.301315789473684,0.366666666666667,-0.1,0,0.301315789473684,0.319172932330827,0.386666666666667,0.322484190608973,0.138461538461538,0.391014492753623,0.13613595706619,0,0.245454545454545,0.1,0.24,0.15,0.245882352941176,0.301242236024845,0.22,0.178623481781377,0.0738235294117647,-0.0988095238095238,-0.107142857142857,0.0443137254901961,-0.2,-0.125128205128205,-0.297068965517241,0.00836920133907221,0.209022556390977,0.209022556390977,0.209022556390977,0.18174982911825,-0.145454545454545,-0.1,0.0866666666666667,0.158481607746073,-0.372931611669058,0.333934169278997
"DSH",0.37099888499089,0.285603981892092,-0.0427729885057471,0.368628112148866,0.214716558591484,0.282018866139816,-0.0741666666666667,0.386666666666667,0.145454545454545,0.319172932330827,0.301315789473684,0.275,-0.0866666666666667,0.275,0.301315789473684,0.319172932330827,0.242770838533958,0.32374809572952,0.391014492753623,-0.0666666666666667,0.1,0.322484190608973,0.316769904894687,0.38815734989648,0.312228497949006,0.142678013140956,0.381537140837247,0.137772352763597,0.2,0.246045824094605,0.24,0.253289760348584,0.0988095238095238,0.237500286664373,0.278826777087647,0.191653346653347,0.174405219423579,0.0524456165444901,-0.0807648234118822,-0.0968487394957983,0.0546496428028576,-0.245882352941176,-0.127517156229362,-0.298026722133951,-0.0143562995574741,0.169938805496203,0.169938805496203,0.169938805496203,0.157893987569032,-0.204287110738724,-0.197835497835498,0.0554166666666667,0.132610427070997,-0.372752302399548,0.298852962782477
"GSK3",0.365655373540508,0.282438682947191,-0.0333712791040377,0.369389147156476,0.21328115189292,0.277509582320187,-0.0554166666666667,0.391014492753623,0.197835497835498,0.32374809572952,0.319172932330827,0.301315789473684,-0.0741666666666667,0.301315789473684,0.319172932330827,0.322484190608973,0.240828131915585,0.318087718371029,0.38815734989648,-0.0866666666666667,0.145454545454545,0.316769904894687,0.312228497949006,0.381537140837247,0.306767971633216,0.137772352763597,0.37487047417058,0.134623926976491,0.275,0.241859777582977,0.245882352941176,0.237500286664373,0.0968487394957983,0.228409377573464,0.269635193477458,0.180876404297457,0.171374916393276,0.050781083894042,-0.0773882000352588,-0.0807648234118822,0.0530438033867992,-0.253289760348584,-0.12371092785566,-0.293626377008844,-0.0207456011919466,0.157893987569032,0.157893987569032,0.157893987569032,0.152851970762309,-0.214716558591484,-0.204287110738724,0.0427729885057471,0.127714336898401,-0.367551708045908,0.190699884579482
"STAT",0.25908100613983,0.304263409115846,0.0493704600484261,-0.0635102152749212,0.115147835631474,-0.00201782614328496,0.03,0.277272727272727,0.05,-0.0219155844155844,-0.0446428571428571,-0.0571428571428571,0.05,-0.0571428571428571,-0.0446428571428571,-0.0219155844155844,0.0871568401324878,-0.00931054239877769,0.283522727272727,0.1,0.05,-0.0108044733044733,-0.00985810106472567,0.283522727272727,-0.0104540486213407,0.124718196457327,0.286904369784805,0.124718196457327,0,0.366420361247947,0.266666666666667,0.31843137254902,0.0941176470588235,0.315205566097407,0.224504469916537,0.141903153153153,0.0434246762099523,0.213848919695996,-0.0915461435164462,-0.102225755166932,-0.0472040098323606,-0.306666666666667,-0.114,-0.0707930940748278,-0.0353415814954276,0.148216501240695,0.148216501240695,0.148216501240695,0.140753814673531,-0.103643410852713,-0.0966666666666667,-0.0442857142857143,0.108046934231878,-0.365285996055227,0.131882510013351
"RAS",0.343928571428571,0.282123076923077,-0.122222222222222,0.329249011857707,0.303423728813559,0.284449890222489,-0.166666666666667,0.26,0.2,0.264705882352941,0.2,0.1,-0.2,0.1,0.2,0.264705882352941,0.259253895673333,0.314705882352941,0.3,-0.1,0.1,0.313642052565707,0.332103591027246,0.323529411764706,0.337486027287869,0.269264069264069,0.332440302853815,0.281508967223253,0,0.304761904761905,0.3,0.376315789473684,0.35,0.393962848297214,0.358495575221239,0.15211320754717,0.187301587301587,0.0771085651936716,-0.338282025819265,-0.355263157894737,-0.0975990538143111,-0.35,-0.154347826086957,0.0460435508505341,0.106874079528719,0.385641025641026,0.385641025641026,0.385641025641026,0.264487179487179,-0.278,-0.25,0.133333333333333,0.148989225733412,-0.361454344624448,0.334095607235142
"SOSGRB2",0.341140350877193,0.268879607205025,-0.052266081871345,0.339975247524752,0.375424261470773,0.402593541593542,-0.0888888888888889,0.271428571428571,0.266666666666667,0.283333333333333,0.2,0.1,-0.1,0.1,0.2,0.282608695652174,0.376745108976947,0.319565217391304,0.321428571428571,-0.1,0.2,0.318840579710145,0.338840579710145,0.340659340659341,0.341326239365977,0.329462365591398,0.342787000233809,0.332958869087901,0,0.450833333333333,0.309523809523809,0.433848133848134,0.445454545454545,0.43990873990874,0.348016346837242,0.0839181286549708,0.187985347985348,0.113275362318841,-0.404067763222693,-0.422377622377622,-0.163383136633596,-0.40952380952381,-0.207007575757576,0.120539765293339,0.0865288220551379,0.359133709981168,0.359133709981168,0.359133709981168,0.333492684340142,-0.340540540540541,-0.3,0.0730994152046784,0.101362358744909,-0.355426065162907,0.297840112201964
"Csn",0.346402355814121,0.278028504285262,-0.0180666666666667,0.373906397544854,0.188045904386465,0.27647888006835,-0.0566666666666667,0.393181818181818,0.119047619047619,0.325543553524443,0.307471264367816,0.283333333333333,-0.065,0.283333333333333,0.307471264367816,0.325543553524443,0.23117069811916,0.329473684528809,0.391689280868385,0.06,0.0857142857142857,0.327765775746665,0.319405647129301,0.383996973176078,0.313091756570071,0.126379399585921,0.376121078188011,0.119952664367412,0.2,0.241927821976248,0.246666666666667,0.247965367965368,0.104545454545455,0.227132034632035,0.247909421814542,0.17161736917414,0.174358888452341,0.0416245909303413,-0.084015984015984,-0.103246753246753,0.0304066515495087,-0.246666666666667,-0.11640919158361,-0.303189822398437,-0.0395070306038048,0.151761615795671,0.151761615795671,0.151761615795671,0.138517853799509,-0.17984918307499,-0.176623376623377,0.0316666666666667,0.0900582552545485,-0.345341604631927,0.267093198602365
