"","TGFR","TGF","FOXC2","PAK1","ILK","TWIST1","SOSGRB2","miR200","FUS","NFB","SNAI1","RKIP","KLF4","SNAI2","RAF","PI3K","RAS","Destcompl","SRC","CD44","STAT","Ecadherin","ZEB2","ZEB1","DSH","cateninmemb","Wnt","GLI","Frizzled","cateninnuc","TCFLEF","cMet","LIV1","AXIN2","EGR1","DELTA","ERK","GSK3","MEK","cfos","TrCP","Csn","SUFU","HEY1","AKT","IKK","SMAD","Patched","SHH","Csl","SMO","NOTCH","Jagged","NOTCHic","CDC42"
"ZEB1",-0.0984114541713915,-0.0936870447225726,-0.0747485718471513,-0.0908045977011494,0.0368742640151365,0.0253563285002463,-0.0389083820662768,0.102383997817994,-0.0125,0.0126315789473684,0.028553809243577,0.0249876493590227,0.132724771193399,0.0310813607946453,-0.05107044947253,-0.05107044947253,-0.0502830478977269,0.00148139531701176,0.0265165728580363,0.0305606905050951,0.0435897435897436,0.021597204000204,-0.128227253535482,-0.128227253535482,-0.0523809523809524,0.107365998202683,-0.035307781649245,-0.0363387094842966,-0.035307781649245,-0.0322542825440675,-0.0321564351859462,-0.0284773571717618,-0.0666666666666667,0.0569120611070717,-0.0166666666666667,0.05107044947253,0.0172156862745098,0.0880502778275677,0.0132509285652587,0.0113333333333333,-0.1,-0.06,-0.05,-0.0447660543256398,-0.0383927030691483,-0.024106988783434,-0.0282204178612903,-0.0181595365418895,-0.0234976148337044,0.0229166666666667,0.00340909090909091,0.0277619105493437,-0.00979852960692436,0.0327205882352941,0.100949525237381
"AXIN2",-0.189733420736371,-0.192043651759473,-0.183151048795077,-0.176666666666667,0.042259029215551,-0.131497706460519,-0.12777565274059,-0.11676646736984,-0.0730769230769231,-0.135265700483092,-0.130368085125189,-0.119337311434086,0.0808820279844548,-0.206255874144004,0.159548079963305,0.159548079963305,0.158760678388502,-0.113629445164448,0.126976744186046,0.12619897849476,0.12,-0.205208813046765,-0.0800674643308512,-0.0800674643308512,-0.12,-0.194484952387189,-0.125252606255012,-0.126510467890232,-0.126976744186046,-0.127643183201426,-0.12725407814306,-0.125252606255012,-0.1,0.275605351955935,0.126666666666667,-0.159548079963305,0.121013600790213,-0.105201275205852,0.118944635272972,0.114471544715447,0.133333333333333,0.122222222222222,0.05,-0.0335229898110223,0.149855072463768,0.145410628019324,-0.0406717276282494,0.0951007326007326,0.0914941752236834,-0.14,0.0826007326007326,-0.141737451737452,-0.123201657332092,-0.147142857142857,0.185308641975309
"cMet",-0.12,-0.145531914893617,-0.140685654008439,-0.153333333333333,-0.0557823129251701,-0.0763345268963247,0.0790476190476191,-0.103661753403601,0,0.133333333333333,-0.137809405383,-0.0433333333333333,-0.0238095238095238,-0.199891673614301,-0.00952380952380954,-0.00952380952380954,-0.0114106019766397,0.0334635328332807,-0.15,-0.0242635658914729,-0.2,-0.0603603115314884,-0.0711399711399711,-0.0711399711399711,0.1,0.00476979130004042,0.00333333333333333,0.0215151515151515,0.05,0.0255847306024681,0.0334943351222421,0.00333333333333333,0.1,0.0415873015873016,0.075,0.00952380952380954,0.075,-0.0729646697388633,0.0986363636363636,0.095,0,-0.1,0.1,0.0457172342621259,-0.08125,-0.1,0.0285095856524428,0.0290909090909091,0.0572159090909091,0.228571428571429,0.02,0.195648696208607,0.0482193169149691,0.223308270676692,0.103333333333333
"miR200",0.157186907020873,0.158349697718547,0.161170590926689,0.129166666666667,0.0574818560659269,0.0157630099961388,0.0832398452611219,0.0204772613693153,0.0375,0.0263157894736842,0.0480954230954231,0.0625263634050493,0.0393547273982057,-0.0278236193794312,0.0940566398775354,0.0940566398775354,0.0943060164361389,0.0452087605587598,0.0443478260869565,0.0559002869193667,0.04,-0.10209044201821,-0.0325537634408602,-0.0325537634408602,-0.04,-0.117118432663589,-0.0486760563380282,-0.0475771552391271,-0.036,-0.0536492046682845,-0.0547098107288905,-0.0570238824249847,-0.1,-0.0894862125358928,-0.0571428571428571,-0.0940566398775354,-0.0444155844155844,-0.0849158819954554,-0.0410142238713667,-0.0171428571428571,-0.1,0,0,-0.0402542372881356,-0.0577443609022556,-0.0577443609022556,-0.0571683764421024,-0.0847573839662447,-0.0651921665749404,-0.0805911330049261,-0.0708333333333333,-0.0935270379338176,-0.0701956045712459,-0.0771428571428571,-0.150735294117647
"ILK",-0.254647058823529,-0.258712099473936,-0.250480836236934,-0.225,-0.0151260504201681,-0.119047619047619,-0.167692307692308,-0.141972449349499,0,-0.0333333333333333,-0.224726247987117,-0.205332902391726,0.0263157894736842,-0.11175064703437,0.237437229437229,0.237437229437229,0.229218051355038,-0.00412067396692918,0.111111111111111,0.110843552582683,0.1,-0.244527908923878,-0.0283586510216336,-0.0283586510216336,-0.1,-0.186574250161596,-0.115458937198068,-0.110843552582683,-0.111111111111111,-0.118608710716529,-0.115928298345395,-0.115458937198068,-0.1,-0.158571428571429,0.133333333333333,-0.237437229437229,0.150980392156863,-0.154160654160654,0.139504982320797,0.133333333333333,0,-0.0333333333333333,-0.1,0.0328422964383009,0.0417797888386124,0.0392156862745098,0.0255260504201681,0.0230769230769231,0.0147435897435897,-0.175,0,-0.169789081885856,-0.0387719298245614,-0.182692307692308,0.242647058823529
"RKIP",-0.125714285714286,-0.132256341789052,-0.135661656351311,-0.133333333333333,0.09701540436457,-0.130736779560309,-0.0848253968253968,-0.0331741156313337,0.1,-0.0142857142857143,-0.199303526069975,-0.20875350140056,0.025011956001913,0.311647141108585,0.185714285714286,0.185714285714286,0.186568986568987,-0.0427172262633276,-0.0333333333333333,-0.00985155195681511,0,0.153573212993726,-0.027011956001913,-0.027011956001913,0,0.142414010649305,0.0233333333333333,0.0156410256410256,0.0333333333333333,0.0150011097781287,0.01474665685192,0.0175438596491228,0,0.0149671823722457,-0.03,-0.185714285714286,0.016551724137931,-0.179353821907013,0.00591342626559061,0.02,0,0,-0.1,-0.0751064653503678,0.00481601731601732,0.00178571428571429,-0.092064909315065,-0.116,-0.104524590163934,-0.211111111111111,-0.12,-0.207264957264957,-0.0989247311827957,-0.211111111111111,0.14
"TCFLEF",0.220014043769749,0.217696162975047,0.215327104041782,0.215384615384615,0.106691729323308,0.197155510914656,0.272426838630431,0.0752646951442132,0.2,0.17174025974026,0.0201009497243807,0.0284368829499013,-0.0840176979882862,0.316222363050348,-0.14199937740732,-0.14199937740732,-0.143707655988134,-0.151724471147484,-0.123333333333333,-0.130299951620706,-0.133333333333333,0.390489303607512,-0.0192604111288322,-0.0192604111288322,0.13921568627451,0.265843738446769,0.131779788838612,0.136127614925569,0.12921568627451,0.0291544762484268,0.0301854040834784,0.125897435897436,0.133333333333333,0.481427106227106,0.0142857142857143,0.14199937740732,0.00113821138211382,-0.178155515086896,0.00726066036170566,0.00209059233449477,-0.114285714285714,-0.15974025974026,-0.166666666666667,-0.128080692739557,-0.154454144733247,-0.162062840385421,-0.112236662401702,-0.179185867895545,-0.183480346423153,0.197911684999203,-0.19047619047619,0.200901718221794,0.0765753831920532,0.197911684999203,-0.224686940966011
"Patched",-0.186666666666667,-0.195,-0.12,-0.166666666666667,-0.0666666666666667,-0.0333333333333333,-0.116666666666667,-0.111904761904762,-0.1,0.1,-0.113440860215054,-0.111428571428571,-0.0333333333333333,0.179432950191571,0.0423076923076923,0.0423076923076923,0.0423076923076923,-0.0251348651348651,0,-0.0433333333333333,-0.1,0.001264832793959,-0.0166666666666667,-0.0166666666666667,0,0.0814336917562724,-0.05,-0.0625,-0.1,0.0409600862998921,0.0322222222222222,0.05,0.1,0.180952380952381,0.1,-0.0423076923076923,0.02,-0.041025641025641,0.0276923076923077,0,0,0,0.2,0.058974358974359,-0.0285714285714286,-0.1,0.0766666666666667,0.0666666666666667,0.0541666666666667,0.2,0.0666666666666667,0.160606060606061,0.107724867724868,0.133333333333333,0.166666666666667
"STAT",0.176704545454545,0.168491985068072,0.162130879345603,0.145454545454545,0.035024154589372,0.0394340708433662,0.0288177339901478,0.0957620015296593,0,0.01,0.0771866200459063,0.0835762548262548,0.0980095068330362,0.0949840105792822,0.0234181141439206,0.0234181141439206,0.0122240842931743,0.0128244035660875,-0.00535714285714285,-0.0136322011322011,-0.0428571428571429,0.103105594047821,-0.016612874305182,-0.016612874305182,0.0428571428571429,0.00115654244430368,0.000811688311688309,0.0117360580595875,0.00535714285714285,0.0135058677700417,0.0145785733719488,0.000811688311688309,-0.1,-0.0341909071320836,0.0666666666666667,-0.0234181141439206,-0.0192156862745098,0.0157832665776591,-0.0181404174573055,-0.0133333333333333,0.1,0.05,0.05,-0.0406666666666667,0.00791767554479419,-0.0242857142857143,-0.0338747293020156,0.00217054263565891,-0.000484324620978256,0.0294117647058824,-0.0466666666666667,0.00841989905382253,0.00304517759992544,-0.000317965023847377,-0.176704545454545
"IKK",0.0303030303030303,0.0439030303030303,0.0475324675324675,0.05,-0.0354166666666667,-0.0993137254901961,-0.0678571428571429,0.0876588628762542,-0.2,-0.171428571428571,0.0824215436810857,0.0647540983606557,0.0146520146520147,-0.276366580117587,-0.079189352692075,-0.079189352692075,-0.0777809019878497,0.103015699672355,0.0666666666666667,0.0697435897435898,0.1,-0.19431820143091,-0.0112781954887218,-0.0112781954887218,-0.1,-0.186759906759907,-0.058974358974359,-0.0697435897435898,-0.0666666666666667,-0.0699009236490464,-0.0736983920034768,-0.058974358974359,-0.1,-0.0985714285714286,-0.1,0.079189352692075,-0.0291428571428571,0.181373626373626,-0.058031746031746,-0.0571428571428571,0,0.1,0.1,0.0337461300309597,-0.0083011583011583,0.0214285714285714,0.0680899339933994,0.106666666666667,0.0859770114942529,0.127272727272727,0.14,0.114574314574315,0.00338331771321462,0.112987012987013,-0.0166666666666667
