"","KLF4","Ecadherin","cateninmemb","TrCP","FOXC2","AXIN2","Csn","FUS","IKK","NFB","GLI","NOTCH","cateninnuc","NOTCHic","TCFLEF","SNAI1","PI3K","STAT","RKIP","Destcompl","TGF","SNAI2","TGFR","CDC42","TWIST1","MEK","GSK3","ZEB1","EGR1","ERK","cfos","SOSGRB2","PAK1","Jagged","RAF","DELTA","RAS","DSH","SRC","cMet","LIV1","CD44","Frizzled","Csl","miR200","Wnt","AKT","SHH","SMO","Patched","SUFU","SMAD","ILK","HEY1","ZEB2"
"CD44",-0.019047619047619,-0.164320920638367,-0.164230769230769,0,0.192916666666667,-0.1,-0.1,-0.1,0.0333333333333333,0,-0.0833333333333333,-0.162406015037594,-0.0763208109719738,-0.157142857142857,-0.0717054263565891,0.167384370015949,-0.0761904761904762,-0.1,0.196296296296296,0.0767270544581469,0.0922222222222222,-0.265583305583306,0.0866666666666667,0.0866666666666667,0.161025641025641,0.105,0.0654761904761905,0.19047619047619,-0.1,-0.085,-0.125,-0.128571428571429,-0.0666666666666667,0.0110955710955711,0.0761904761904762,0.0761904761904762,0.0961904761904762,0,0.2,0.15,0.1,0.0833333333333333,0.1,0.2,0.159104084321476,0.05,-0.0666666666666667,0.01,0.05,0.01,0.1,-0.01281179138322,0.00555555555555556,0.0280701754385965,-0.0761904761904762
"AXIN2",0.0754999266006845,0.158440090429299,0.193502771028613,0.0666666666666667,0.127991321714975,0.535529886518523,0.122222222222222,-0.0576923076923077,0.128019323671498,0.109178743961353,0.156659353517625,-0.0869640317008738,0.158325105038799,-0.0930451127819549,0.156638983119214,0.149507697811485,-0.0900686029578763,0.14,0.137576017172791,0.178757073960399,0.156113119055268,0.197563929829262,0.153142822025565,0.154027777777778,-0.00598875644176523,0.0936766674788888,0.170357497701891,0.184653667949497,-0.113333333333333,-0.105400805409923,-0.0913821138211382,-0.0356326235709125,-0.142916666666667,0.0958118027683245,0.0900686029578763,0.0900686029578763,0.082981988784648,-0.14,-0.151627906976744,-0.151627906976744,-0.133333333333333,-0.156990683001981,-0.151627906976744,0.0894736842105263,0.154333472258415,-0.151627906976744,-0.119130434782609,0.0400927760763826,0.0434065934065934,0.046978021978022,0.05,-0.150391074304118,-0.15277202668507,-0.143053325710527,-0.0738501455174267
"cMet",-0.0238095238095238,-0.165084279416993,-0.169568847522584,-0.1,0.199245780590717,-0.0984126984126984,0,-0.05,0.0666666666666667,0.0333333333333333,-0.0742424242424242,-0.130491121420573,-0.074060923966324,-0.162406015037594,-0.0763208109719738,0.162299624253237,-0.0961904761904762,-0.2,0.2,0.059835162566255,0.0773286052009456,-0.2714227216417,0.0922222222222222,0.0866666666666667,0.150913281475079,0.0813636363636364,0.081605222734255,0.195526695526696,-0.125,-0.105,-0.085,-0.108571428571429,-0.0866666666666667,0.00674774500861458,0.0961904761904762,0.0961904761904762,0.0716621743036837,0.1,0.15,0.0833333333333333,0.1,0.0717054263565891,0.05,0.157142857142857,0.162229084321476,0.0833333333333333,-0.0479166666666667,-0.011875,0.01,0.01,0.1,-0.0109936095650381,-0.01281179138322,0.0143446852425181,-0.0670995670995671
"Csl",0.0415458937198068,-0.130259238784065,-0.140928331653917,-0.133333333333333,-0.319847298207381,-0.10132467735441,-0.1,-0.162179487179487,-0.128165374677003,-0.144444444444444,-0.0636878712685164,-0.12442374264106,-0.0638153591434388,-0.128969197186515,-0.0658165026540163,-0.229380555032729,-0.102755894779883,-0.0630769230769231,-0.166053765334656,-0.0605739279869028,-0.1149421356379,0.0710661828923224,-0.121064584617492,-0.110236559139785,-0.131607759596687,0.00410973084886128,0.0217570229560017,-0.366565066147098,-0.0133333333333333,-0.0247619047619048,0.000952380952380955,0.0939670128758704,0.0973333333333333,0.116117750749373,0.102755894779883,0.102755894779883,0.093197071250471,0.0630769230769231,0.0661072261072261,0.0672061272061272,0.04,0.0610836782265354,0.0661072261072261,0.113179723502304,-0.309784714259383,0.069333032558839,0.135142118863049,0.155069735603662,0.162179487179487,0.161104218362283,0.108333333333333,0.200260934109855,0.189705378554299,0.300266028373445,-0.0529721265825037
"GLI",0.0431514371514371,-0.0869109273609014,-0.097357779600826,-0.0833333333333333,-0.278608101135191,-0.0848958333333333,-0.0722222222222222,-0.177380952380952,-0.0964971953693758,-0.0985380116959064,-0.094771690419476,-0.0476048376910446,-0.0646920753962794,-0.0504619805481874,-0.0664254884267636,-0.180135396518375,0.0569555865597024,-0.07,-0.126251219816265,-0.0830193041083354,0.0478408919846403,0.114016344717126,0.0452526566905227,0.0496551724137931,-0.139352635668425,-0.11584571045897,-0.0624834178523196,-0.328082010582011,0.114285714285714,0.103138528138528,0.122619047619048,0.0985706623759721,-0.06,0.0708269654737633,-0.0569555865597024,-0.0569555865597024,-0.0638862796290093,0,0.0667741935483871,0.069213217938631,0.05,0.0631787351800103,-0.0032258064516129,0.0329619805481874,-0.28689313782193,0.000303605313092979,0.101184695369376,0.185421335525763,0.187907268170426,0.189948084496957,0.152380952380952,0.118283698028644,0.111797211542158,0.113596062492497,-0.0482619047619048
"CDC42",0.0444444444444444,-0.0999501437137345,-0.10322871678206,-0.1,-0.338565279770445,-0.0914285714285714,-0.133333333333333,-0.119047619047619,-0.145833333333333,-0.108333333333333,-0.0737037037037037,-0.147179487179487,-0.0693838392848294,-0.133333333333333,-0.066050505951496,-0.225598114965204,-0.108769063180828,-0.05,-0.174242424242424,-0.0565049553343941,-0.103768780239368,0.121930040762158,-0.0946778711484594,-0.080952380952381,-0.159766233766234,0.0142962417096536,0.0521915584415584,-0.370690649141012,0.02,0.00434782608695652,0,0.0972222222222222,0.0142857142857143,0.135277777777778,0.108769063180828,0.108769063180828,0.114866624156438,0.05,0.07,0.0737037037037037,0.1,0.071001001001001,0.07,0.133333333333333,-0.311887785417197,0.0737037037037037,0.13530701754386,0.168569721795528,0.169047619047619,0.172273425499232,0.133333333333333,0.189076634237925,0.193915343915344,0.201624187906047,-0.0481801760252123
"SMAD",0.0409843244972477,-0.127941765643692,-0.134574665161288,-0.2,-0.240842107729175,-0.0921494240775402,-0.166666666666667,-0.233333333333333,-0.184593837535014,-0.19047619047619,-0.0802467915777268,-0.241373836891078,-0.0539846766848429,-0.246929392446634,-0.0555044335237487,-0.173909508054669,-0.197335904270402,-0.0542857142857143,-0.149844997858373,-0.00453803625965987,-0.0630692461952676,0.0705858705109551,-0.0658580908167815,-0.0574782025486251,-0.107930511706158,0.0178653866763394,0.126602274083477,-0.312568647285628,-0.0285714285714286,-0.0351730789840317,-0.0188940092165899,0.0807157645666962,0.0476190476190476,0.212685379136992,0.197335904270402,0.197335904270402,0.188454325323034,0.080952380952381,0.0542857142857143,0.0582072829131653,0.04,0.0512981920040744,0.080952380952381,0.234285714285714,-0.276367188772021,0.0867216117216117,0.189927170868347,0.231096199538442,0.238333333333333,0.237415902140673,0.208333333333333,0.169252847609012,0.260681419037583,0.287369452554376,-0.0472883020285327
"TCFLEF",0.0498233384262796,0.19992121238071,0.190588864497734,-0.0857142857142857,-0.210722546137795,0.561370451770452,-0.131168831168831,-0.133333333333333,-0.106523669878509,-0.0871688311688312,0.202374550712147,-0.041017269074391,0.114919712816523,-0.0327116212338594,0.116723836527863,0.00294085505382577,0.0853329616362108,0.204166666666667,-0.00334573173531708,0.180355593897195,0.225874342953124,0.354304237127398,0.226536594608753,0.223732856290996,-0.234713938770103,-0.127320391571263,0.182689850464316,-0.180594143186248,0.148571428571429,0.143646922183508,0.121742160278746,0.0947041302011362,-0.205128205128205,0.149405615333056,-0.0853329616362108,-0.0853329616362108,-0.0765287566427811,-0.196078431372549,-0.204166666666667,-0.213568376068376,-0.166666666666667,-0.210423721980326,-0.196078431372549,0.0425155428024869,-0.141719605695509,-0.205480140774258,0.0945671481393782,0.149301216627557,0.147619047619048,0.144393241167435,0.166666666666667,0.00969289990141354,0.0182971064023696,0.0104763536016748,-0.0448341750841751
"Jagged",0.0111111111111111,-0.130070175438597,-0.138072068776294,0,-0.324285714285714,-0.0957142857142857,0,-0.1,-0.133333333333333,-0.1,-0.0630769230769231,-0.222857142857143,-0.0672061272061272,-0.18,-0.0661072261072261,-0.216666666666667,-0.06,0,-0.158974358974359,-0.0482471042471043,-0.0973333333333333,0.0730266465560583,-0.133333333333333,-0.1,-0.13,0.0133333333333333,0.00651340996168583,-0.346376811594203,0.1,0.02,0,0.08,0,0.112034632034632,0.06,0.06,0.105454545454545,0,0.1,0.04,0,0.0630769230769231,0.1,0.2,-0.285454545454546,0.04,0.1,0.162179487179487,0.133333333333333,0.108333333333333,0,0.197619047619048,0.183333333333333,0.283333333333333,-0.0415458937198068
"DELTA",0.0111111111111111,-0.130070175438597,-0.138072068776294,0,-0.324285714285714,-0.0957142857142857,0,-0.1,-0.133333333333333,-0.1,-0.0630769230769231,-0.222857142857143,-0.0672061272061272,-0.18,-0.0661072261072261,-0.216666666666667,-0.06,0,-0.158974358974359,-0.0482471042471043,-0.0973333333333333,0.0730266465560583,-0.133333333333333,-0.1,-0.13,0.0133333333333333,0.00651340996168583,-0.346376811594203,0.1,0.02,0,0.08,0,0.112034632034632,0.06,0.06,0.105454545454545,0,0.1,0.04,0,0.0630769230769231,0.1,0.2,-0.285454545454546,0.04,0.1,0.162179487179487,0.133333333333333,0.108333333333333,0,0.197619047619048,0.183333333333333,0.283333333333333,-0.0415458937198068
