"","HEY1","SMAD","ILK","SHH","Patched","SMO","FUS","NOTCH","NOTCHic","AKT","Csl","SUFU","NFB","ZEB1","CDC42","TGF","TGFR","PAK1","RKIP","Csn","TrCP","Ecadherin","cateninmemb","FOXC2","SOSGRB2","Destcompl","GSK3","DSH","STAT","GLI","Wnt","Frizzled","CD44","SRC","LIV1","TCFLEF","cMet","cateninnuc","RAS","RAF","PI3K","DELTA","AXIN2","TWIST1","SNAI2","miR200","EGR1","cfos","ERK","MEK","SNAI1","ZEB2","IKK","Jagged","KLF4"
"GLI",0.403874054638061,0.40593980172669,0.395128990915879,0.257996125675741,0.255115467239527,0.222462406015038,0.180357142857143,0.271013325754705,0.260537135278515,0.246142327545053,0.218037135278515,0.142857142857143,0.219005847953216,0.357946321897935,0.480229885057471,0.486252822534349,0.473311646063761,0.473333333333333,0.348745749450814,0.161111111111111,0.15,0.144727798796603,0.103290829618469,0.116994431544548,0.125888212082902,0.0649599495704052,-0.152865476846491,0.02,-0.05,-0.0985562598409302,-0.00664136622390892,-0.0219354838709677,-0.0728438101956103,-0.0919354838709678,-0.05,-0.0838827712345713,-0.0797403619197482,-0.0847793641813735,-0.117843420397648,-0.112496885744183,-0.112496885744183,-0.112496885744183,-0.0970939009661836,-0.216456691770783,-0.286125206135391,-0.183506163599043,-0.411428571428571,-0.411428571428571,-0.428311688311688,-0.448753677261965,-0.320556523663936,-0.357946321897935,-0.241454827545053,-0.289551785188232,-0.348747318747319
"TrCP",0.399209953846606,0.399383853899983,0.390996757125789,0.340792626728111,0.334792626728111,0.301459293394777,0.259523809523809,0.273369963369963,0.261282051282051,0.274756335282651,0.216666666666667,0.242857142857143,0.25,0.354338691895818,0.391596638655462,0.392888243225755,0.382505729564553,0.385714285714286,0.377611302141689,0.2,0.2,0.14255578483421,0.0991978651314589,0.135841667196736,0.116680418041804,0.0677638425247073,-0.0357050865800866,-0.05,-0.05,-0.0709461322683402,-0.0802144249512671,-0.0907407407407407,-0.0747118405534247,-0.0907407407407407,-0.05,-0.083971099812684,-0.0826326326326326,-0.0856262722264771,-0.0914011709635813,-0.0882193527817631,-0.0882193527817631,-0.0882193527817631,-0.0968175480992658,-0.210063617541878,-0.274547058472957,-0.180586675525463,-0.36,-0.355652173913043,-0.374296241709654,-0.395629575042987,-0.355604477493846,-0.354338691895818,-0.271052631578947,-0.281261716087253,-0.345561800676555
"Jagged",0.183333333333333,0.345238095238095,0.283333333333333,0.248076923076923,0.225,0.2,0.1,0.0742857142857143,0.06,0.211111111111111,0,0,0.1,0.327294685990338,0.3,0.383555555555556,0.355555555555556,0.2,0.323076923076923,0,0,0.019859649122807,0.00629412840680446,0.104285714285714,0.12,0.000525096525096527,0.00344827586206897,0,0,0.0123076923076923,0.02,0,0.0123076923076923,0,0,-0.0089044289044289,0.02,-0.00560772560772561,-0.0315151515151515,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0.0142857142857143,-0.204,-0.183358471593766,-0.167272727272727,-0.1,-0.2,-0.26,-0.326666666666667,-0.325,-0.327294685990338,-0.2,-0.192900432900433,-0.305555555555556
"DELTA",0.183333333333333,0.345238095238095,0.283333333333333,0.248076923076923,0.225,0.2,0.1,0.0742857142857143,0.06,0.211111111111111,0,0,0.1,0.327294685990338,0.3,0.383555555555556,0.355555555555556,0.2,0.323076923076923,0,0,0.019859649122807,0.00629412840680446,0.104285714285714,0.12,0.000525096525096527,0.00344827586206897,0,0,0.0123076923076923,0.02,0,0.0123076923076923,0,0,-0.0089044289044289,0.02,-0.00560772560772561,-0.0315151515151515,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0.0142857142857143,-0.204,-0.183358471593766,-0.167272727272727,-0.1,-0.2,-0.26,-0.326666666666667,-0.325,-0.327294685990338,-0.2,-0.192900432900433,-0.305555555555556
"SMAD",0.42229844996481,0.314019542101734,0.410686208768401,0.38135986153269,0.377270642201835,0.3525,0.3375,0.337854406130268,0.32991789819376,0.281040149393091,0.294285714285714,0.35,0.281746031746032,0.277419426844447,0.266566063044936,0.258653578903291,0.251482264162255,0.25952380952381,0.252379560070355,0.238888888888889,0.25,0.116352630998854,0.0842512441681472,0.0727439553305726,0.0723528541851523,0.0505450639769575,0.0686510287262167,-0.0190476190476191,-0.0257142857142857,-0.045008388893281,-0.0557997557997558,-0.0634920634920635,-0.0544581953993719,-0.0701587301587302,-0.04,-0.0624636228077843,-0.0642763772175537,-0.0639833796466901,-0.170976424288192,-0.167686950603981,-0.167686950603981,-0.167686950603981,-0.094029809764826,-0.127094130808185,-0.235355265601181,-0.141955886982101,-0.314285714285714,-0.29815668202765,-0.305133426213696,-0.323402656982927,-0.217614365473236,-0.277419426844447,-0.283706816059757,-0.330657729367407,-0.272707882121788
"SOSGRB2",0.404166666666667,0.428772088126927,0.412688172043011,0.405698721977792,0.396396396396396,0.366666666666667,0.266666666666667,0.219669063331035,0.206993006993007,0.300730994152047,0.145454545454545,0.2,0.255555555555556,0.26453634085213,0.242857142857143,0.262606188138103,0.250549450549451,0.242857142857143,0.305116959064328,0.2,0.1,0.25029485089805,0.144277446277446,0.103467643467643,-0.0711111111111111,-0.0512447656742959,-0.179142901667446,-0.1,-0.1,-0.127639751552795,-0.126190476190476,-0.142857142857143,-0.131262939958592,-0.142857142857143,0,-0.143894518905961,-0.129813664596273,-0.14255608678359,0.0683905548312328,0.0760828625235405,0.0760828625235405,0.0760828625235405,-0.164775852585259,-0.184115942028986,-0.471467246111949,-0.15818480536845,-0.214285714285714,-0.225396825396825,-0.255126555126555,-0.273308373308373,-0.27117697228145,-0.26453634085213,-0.292397660818713,-0.370828214621582,-0.255964912280702
"SUFU",0.274812964231508,0.261195898061725,0.257731694828469,0.217171132171132,0.20520202020202,0.196111111111111,0.185,0.319660894660895,0.303787878787879,0.0415990854782801,0.315151515151515,0.16,0.00228571428571429,0.261725813638188,0.191846846846847,0.190382244891247,0.196102165995783,0.178333333333333,0.214092152324847,0.0142857142857143,0,0.158269382841498,-0.0470989896171895,0.150558267620793,0.0124524598208809,0.0479669461584783,-0.0643961895756444,-0.0875,-0.18,-0.0907869443650113,-0.0956196581196581,-0.0763888888888889,-0.185517839907211,-0.168888888888889,-0.2,-0.179811318168081,-0.189277238403452,-0.1843637478356,-0.044053031587772,-0.0525973353852403,-0.0525973353852403,-0.0525973353852403,-0.324313508564006,-0.00118033999251872,-0.298997308140251,-0.134573829634353,-0.203076923076923,-0.224289044289044,-0.209346515553412,-0.21147417512788,-0.19556483521345,-0.261725813638188,-0.0369010989010989,-0.273179774862372,-0.268326461830437
"SMO",0.241025641025641,0.250634920634921,0.23,0.196111111111111,0.185,0.16,0.2,0.315151515151515,0.315151515151515,0.00228571428571429,0.233333333333333,0.1,0,0.258474576271186,0.186666666666667,0.191846846846847,0.178333333333333,0.166666666666667,0.202857142857143,-0.1,0,0.149319423048599,-0.0499618958137593,0.144655172413793,0.0114035087719298,0.0554400638121568,-0.0595789323944664,0,-0.1,-0.0763888888888889,-0.0875,-0.1,-0.168888888888889,-0.2,-0.1,-0.189277238403452,-0.18,-0.185517839907211,-0.0425536672629696,-0.0355769230769231,-0.0355769230769231,-0.0355769230769231,-0.310404537990745,-0.00974945533769063,-0.296948002189381,-0.132218203737191,-0.2,-0.18,-0.203076923076923,-0.224289044289044,-0.184178187403994,-0.258474576271186,-0.0142857142857143,-0.252460317460317,-0.258333333333333
"FUS",0.262764771460424,0.257731694828469,0.250634920634921,0.20520202020202,0.196111111111111,0.185,0.16,0.303787878787879,0.315151515151515,0.0369010989010989,0.315151515151515,0.2,0.0142857142857143,0.257861079338671,0.178333333333333,0.196102165995783,0.191846846846847,0.186666666666667,0.203888070692194,0,-0.1,0.153429012089695,-0.0520103129459753,0.139392014519056,0.00755735492577598,0.0488707207464634,-0.072622410655336,-0.1,-0.2,-0.0956196581196581,-0.0763888888888889,-0.0875,-0.189277238403452,-0.18,-0.1,-0.185517839907211,-0.168888888888889,-0.179811318168081,-0.0525973353852403,-0.0425536672629696,-0.0425536672629696,-0.0425536672629696,-0.32220578022677,0.00438667031675963,-0.301436332530495,-0.13122810472729,-0.18,-0.203076923076923,-0.224289044289044,-0.209346515553412,-0.19266875344173,-0.257861079338671,-0.00228571428571429,-0.272942245171161,-0.266530054644809
"Patched",0.207692307692308,0.23,0.2,0.185,0.16,0.2,0.1,0.315151515151515,0.233333333333333,0.0142857142857143,0.2,0,-0.1,0.25,0.166666666666667,0.178333333333333,0.186666666666667,0.166666666666667,0.202857142857143,0,0,0.157068500539374,-0.0451075268817204,0.155,0.0166666666666667,0.043036963036963,-0.0586080586080586,0,-0.1,-0.0875,-0.1,0,-0.18,-0.1,-0.1,-0.168888888888889,-0.2,-0.189277238403452,-0.0355769230769231,-0.0730769230769231,-0.0730769230769231,-0.0730769230769231,-0.313852813852814,-0.000925925925925924,-0.284567049808429,-0.130952380952381,-0.1,-0.2,-0.18,-0.203076923076923,-0.186559139784946,-0.25,0,-0.248888888888889,-0.233333333333333
