"","FOXC2","RKIP","SNAI1","NOTCH","Csl","Jagged","SMO","ILK","Patched","SMAD","MEK","AKT","ERK","TrCP","NFB","PAK1","TGFR","TGF","CDC42","AXIN2","LIV1","RAS","DELTA","cMet","CD44","TCFLEF","Wnt","SRC","GLI","STAT","ZEB1","SOSGRB2","GSK3","DSH","Frizzled","cateninnuc","RAF","PI3K","Destcompl","miR200","Ecadherin","cateninmemb","SNAI2","TWIST1","EGR1","cfos","HEY1","FUS","Csn","IKK","SHH","SUFU","NOTCHic","ZEB2","KLF4"
"NOTCHic",-0.169157340355497,-0.0668360294392349,-0.0232539682539683,0.067239873878244,-0.0257142857142857,0.0811480939957761,0.0717948717948718,0.138095238095238,0.0953242835595777,0.137375813634806,-0.165714285714286,0.0782945736434108,-0.194285714285714,0,0.0444444444444444,0.0555555555555556,0.0323297491039427,0.0406100038810127,0.0355555555555556,0.0907322551662174,0.1,0.028744718549816,0.025296442687747,0.0413053613053613,0.0555910755910756,0.050284953142096,0.0413053613053613,0.0261538461538462,0.0552838559290172,0.08,-0.233220611916264,0.0108612440191388,0.0060843545169564,-0.08,-0.0261538461538462,-0.0464681592489662,-0.025296442687747,-0.025296442687747,-0.05702574002574,-0.22302279608638,-0.0971235376144754,-0.120108687689226,0.112782355632762,0.0971543545464236,0.18,0.18,-0.231783723522854,-0.0333333333333333,-0.0333333333333333,-0.0666666666666667,-0.100700627645599,-0.0333333333333333,-0.0646082949308756,-0.0943478260869565,-0.0833160800552105
"TWIST1",0.025549122670278,0.152048799874887,0.145962540741652,0.0331118636779014,0.0414814814814815,0.0291867924691397,0.137333333333333,0.0294339794339794,0.135963470319635,0.0264636824042765,0.137708368910596,0.0389178617992177,0.134225781845919,0.1,0.0423076923076923,0.0975757575757576,0.0875326541274817,0.085938121097869,0.0837826541274817,-0.0924606039122168,-0.0333333333333333,0.0392947051074818,0.0392947051074818,-0.0610773387369132,-0.0598725194598048,-0.0597193801029901,-0.0621971595655806,-0.0674603174603175,-0.0613971595655806,-0.0619047619047619,0.195112656516165,0.0710751237067027,0.057322755033459,0.0619047619047619,0.0674603174603175,0.0603519275440482,-0.0392947051074818,-0.0392947051074818,0.06129553210595,0.161095622401565,0.13799081117424,0.126163887788526,0.303972904340083,-0.109564854164396,-0.153333333333333,-0.131594202898551,-0.0289811883032222,-0.133333333333333,-0.05,-0.0423076923076923,-0.132515194457566,-0.166666666666667,-0.0312250712250712,-0.0925012732030276,-0.105076089222431
"GLI",-0.0885610165118679,-0.0121504447224408,0.0219794498569378,0.119025198938992,0.119858532272325,0.1027206021143,0.00397869674185463,0.129672122700651,0.0101011457214465,0.128050501079029,-0.053297098849585,0.0614741839718344,-0.0571645021645022,0.0333333333333333,0.0497076023391813,0.165,0.159990240728692,0.16257847602281,0.158103448275862,0.0939779589371981,0.1,0.142831351474377,0.142633331672397,0.0640912667191188,0.064953335684636,0.0636546343859347,0.182656546489564,0.0567741935483871,0.0830820784044572,0.06,-0.168753797576378,0.0334007585335019,0.113391181704087,-0.18,-0.176774193548387,-0.0628775871653729,-0.142633331672397,-0.142633331672397,-0.0891924464240988,-0.175097698998628,-0.101049960596141,-0.117969126712446,0.128586015074426,0.0377337631242555,0.0657142857142857,0.0740476190476191,-0.12039195006088,0.00654761904761906,-0.0444444444444444,-0.0599116839718343,-0.00475135148276334,0.0190476190476191,-0.112358532272325,-0.0870009387267452,-0.0863080223080223
"CD44",0.247916666666667,0.0962962962962963,0.22150451887294,0.0383458646616541,0.1,0.00783216783216783,0.05,0.0166666666666667,0.05,-0.00170068027210884,0.12,0.0666666666666667,0.12,0.1,0.1,0.133333333333333,0.0908333333333333,0.0963888888888889,0.153333333333333,-0.17,0.1,0.00285714285714286,0,-0.05,-0.143333333333333,-0.127054263565891,-0.15,0,-0.143333333333333,0.1,0.250793650793651,-0.0523809523809524,0.0934523809523809,0,0.1,0.127054263565891,0,0,-0.0701516970424533,0.208875713658322,0.220843013787862,0.224652014652015,0.150951270951271,-0.186300366300366,-0.1,-0.1,-0.0625730994152047,-0.1,-0.2,-0.0333333333333333,-0.0409090909090909,-0.1,-0.0857142857142857,-0.0857142857142857,0.019047619047619
"cMet",0.246650843881857,0.103703703703704,0.206250281584804,0.0319628859382499,0.0857142857142857,0.00565825478868957,0.05,-0.00170068027210884,0.0409090909090909,-0.0071552257266543,0.121818181818182,0.0541666666666667,0.12,0.2,0.0333333333333333,0.153333333333333,0.0963888888888889,0.102771867612293,0.0908333333333333,-0.162063492063492,0.1,0.00285714285714286,0.00285714285714286,-0.143333333333333,-0.127054263565891,-0.127054263565891,-0.143333333333333,-0.05,-0.12969696969697,0,0.261904761904762,-0.0857142857142857,0.0966781874039938,0.1,0.15,0.127054263565891,-0.00285714285714286,-0.00285714285714286,-0.066773318664075,0.205750713658322,0.225168713533409,0.221449167676926,0.148761489929373,-0.182929579783512,-0.1,-0.12,-0.0410044719642243,-0.05,-0.1,-0.0666666666666667,-0.0252840909090909,-0.1,-0.0383458646616541,-0.0786435786435786,0.0142857142857143
"DSH",-0.11069050084962,-0.00656343656343656,-0.0103381642512077,-0.0374659654071419,-0.044047619047619,0.0634026482333596,0.0329004329004329,0.0791710089036757,0.0393520458036587,0.0787936504131097,-0.0191803037004275,0.113462643678161,-0.0274509803921569,0.0666666666666667,0.0991666666666667,0.106666666666667,0.103271221532091,0.105710245922335,0.10231884057971,0.120529344073648,0.1,-0.0109893559955723,-0.0157512607574771,0.0733082706766917,0.0779440322660957,0.0769916513137148,0.0733082706766917,0.0697368421052632,0.0778834340753845,0.075,-0.202201474002505,-0.0509238728750924,-0.0822206988680307,-0.075,-0.0697368421052632,-0.0747654714383808,0.0157512607574771,0.0157512607574771,-0.00713894370070859,-0.154433357969943,-0.111229105960274,-0.0981055906821014,0.0212010349905601,0.106260504201681,0.0333333333333333,0.0274509803921569,-0.0820466879145491,-0.00909090909090909,-0.0866666666666667,-0.105416666666667,-0.0411925366012047,0,0.0381652661064426,-0.0546328607939591,-0.0488319599684534
"SUFU",0.00910413279712501,-0.00141150618322931,0.00875499259106965,-0.113441558441558,-0.111060606060606,-0.0353743602392831,0.0188888888888889,0.070189452124936,0.0219191919191919,0.0685728239494164,0.00117083698888541,0.0852506822037023,-0.00265895024515714,0.1,0.0817142857142857,0.0866666666666667,0.0786448150277938,0.0808144402743421,0.083963963963964,-0.167350186946127,0,0.055991643543489,0.0518777194928561,-0.0226429341963323,-0.0196354153993398,-0.0196354153993398,0.0838675213675214,-0.0255555555555556,0.0864697518507927,-0.02,-0.146011842957243,0.0841675867991658,0.0263221852242851,-0.0875,-0.0819444444444444,0.0207095841972937,-0.0518777194928561,-0.0518777194928561,0.00255504587375684,-0.096695740817788,-0.0294470410975618,0.0505315804855454,0.178665424902382,-0.0122976147512675,0.00307692307692308,0.00610722610722611,-0.0747730530339226,-0.0133333333333333,-0.0857142857142857,-0.0778681318681319,-0.0223052923052923,-0.0133333333333333,0.111060606060606,-0.0522395425974233,-0.0585588386069391
"Frizzled",-0.115452405611524,-0.0128571428571429,-0.0135265700483092,-0.0381652661064426,-0.0357142857142857,0.0587514854426619,0.00909090909090909,0.074498111707414,0.0329004329004329,0.0791710089036757,-0.0274509803921569,0.105416666666667,-0.0274509803921569,0.1,0.0866666666666667,0.1,0.10231884057971,0.103271221532091,0.106666666666667,0.117575757575758,0.1,-0.0157512607574771,-0.0181134654818865,0.0697368421052632,0.0733082706766917,0.0779440322660957,0.0697368421052632,0.075,0.0733082706766917,0.1,-0.205351080301717,-0.0484848484848485,-0.0810606060606061,0,-0.075,-0.0769916513137148,0.0181134654818865,0.0181134654818865,-0.00771146278467806,-0.156262626262626,-0.112370458023487,-0.099636803874092,0.02201593603829,0.106260504201681,0.0333333333333333,0.0333333333333333,-0.0785379159847245,0,-0.0666666666666667,-0.0991666666666667,-0.0393520458036587,0,0.044047619047619,-0.0514832544947465,-0.0439775910364146
"FUS",0.0103448275862069,-0.00181966944853543,0.00585891081934904,-0.111060606060606,-0.106060606060606,-0.0379871868426085,0.0133333333333333,0.0682539682539683,0.0188888888888889,0.070189452124936,-0.00265895024515714,0.0778681318681319,-0.00610722610722611,0.1,0.0857142857142857,0.0866666666666667,0.083963963963964,0.0786448150277938,0.0866666666666667,-0.168989531208422,0,0.0518777194928561,0.0523144007155635,-0.0255555555555556,-0.0226429341963323,-0.0196354153993398,0.0819444444444444,-0.02,0.0838675213675214,0,-0.145528751169803,0.083468286099865,0.0270933934505062,-0.1,-0.0875,0.0196354153993398,-0.0523144007155635,-0.0523144007155635,0.00271453550693068,-0.0981827296653716,-0.0298589875445237,0.0501223035414799,0.178995022792955,-0.013328542586319,-0.02,0.00307692307692308,-0.0747730530339226,-0.0133333333333333,-0.1,-0.0817142857142857,-0.0219191919191919,0.0666666666666667,0.111060606060606,-0.0507902672351045,-0.0627504553734062
"SHH",0,-0.02,0,-0.133333333333333,-0.1,-0.0257142857142857,-0.1,0.0666666666666667,-0.0666666666666667,0.0666666666666667,0.02,0.1,0,0,0,0,0.0666666666666667,0.0866666666666667,-0.0333333333333333,-0.152380952380952,0,0.0576923076923077,0.05,0,0,-0.02,0.1,-0.1,0.1,-0.1,-0.15,0.1,0.0384615384615385,0,0,0.0255555555555556,-0.05,-0.05,0.00441558441558441,-0.1,-0.0227777777777778,0.0514695340501792,0.179233716475096,0,0,0.1,-0.0666666666666667,0.2,0,-0.1,-0.0133333333333333,0.2,0.2,-0.05,-0.05
