"","GSK3","AXIN2","DSH","TCFLEF","cateninnuc","CD44","GLI","Destcompl","Frizzled","Wnt","Csl","Ecadherin","SNAI2","ZEB2","ZEB1","Csn","NOTCHic","SUFU","NOTCH","SOSGRB2","cateninmemb","TWIST1","MEK","RAF","PI3K","DELTA","ERK","RKIP","cfos","miR200","Patched","KLF4","TGFR","ILK","HEY1","TGF","IKK","SHH","SMAD","FOXC2","FUS","NFB","AKT","EGR1","SMO","RAS","CDC42","PAK1","SNAI1","Jagged","TrCP","cMet","SRC","STAT","LIV1"
"AKT",0.0873727676147031,0.0919491146639161,0.0333333333333333,0.0366570105449836,0.0266570105449835,0.0315023713697258,0.0305176161382137,0.0449869085567987,0.0202898550724638,0.0433667781493868,-0.175,-0.0466637383439718,0.176124140749521,-0.121581386207907,-0.121581386207907,-0.133333333333333,-0.149193548387097,-0.2,-0.146754523996853,0.16525641025641,-0.0502181536105107,0.131403716743781,-0.110851769635017,-0.128225582636542,-0.128225582636542,-0.128225582636542,-0.0893327822932451,0.160327843511987,-0.110644257703081,0.017808311950067,0.137393162393162,0.119573774179037,0.248749880439981,0.12213781512605,0.110810271567325,0.260532357781371,0.104977375565611,0.143708951866847,0.133922326910562,0.245875053487377,-0.166666666666667,0.092156862745098,-0.0202751496869144,-0.104761904761905,-0.151282051282051,0.145334016371481,-0.243058823529412,-0.247058823529412,-0.13142920707566,0.0836795631462763,0.0333333333333333,-0.0433667781493868,-0.0202898550724638,-0.0333333333333333,0
"AXIN2",0.171910187955955,0.5100669709175,0.113333333333333,0.124864480188329,0.128625829085865,0.13013997842983,0.129796744892144,0.168531381616071,0.129612403100775,0.120991713445603,-0.00526315789473684,-0.0281934926318152,0.205293252993373,-0.119720410738772,-0.119720410738772,0.0777777777777778,-0.0106203007518797,-0.15,-0.00589057102214997,0.130641052885092,-0.124782831268537,0.120384082899296,-0.0830621821525982,-0.111549055234176,-0.111549055234176,-0.111549055234176,-0.0913380442215637,0.124999704596479,-0.0829268292682927,-0.0512583887856119,0.185485347985348,0.121359973421722,0.176044602862449,0.137727168161951,0.137958836843218,0.175714569859149,-0.0632850241545894,0.181223052903381,0.137330342765125,0.163932702738323,-0.188461538461538,-0.0473429951690821,-0.0555072463768116,-0.1,-0.183699633699634,0.101312834761735,-0.174274691358025,-0.182916666666667,-0.106801230369929,-0.0849201092679353,-0.0666666666666667,-0.120991713445603,-0.129612403100775,-0.113333333333333,-0.133333333333333
"PI3K",0.107130832130832,0.0944761904761905,0,0.0315023713697258,0.0366570105449836,0.0433667781493868,0.0433667781493868,0.0290233022706117,0.0333333333333333,0.0202898550724638,-0.175,-0.0495425262227597,0.171802532709319,-0.119526591687359,-0.119526591687359,-0.0333333333333333,-0.175,-0.1,-0.149193548387097,0.171923076923077,-0.0435922616635179,0.139048976682619,-0.0893327822932451,-0.152883116883117,-0.152883116883117,-0.152883116883117,-0.110644257703081,0.165917905623788,-0.104761904761905,0.00497408735113653,0.151282051282051,0.105043859649123,0.243058823529412,0.12453781512605,0.114569670063566,0.248749880439981,0.092156862745098,0.137393162393162,0.12213781512605,0.2368524970964,-0.2,0.133333333333333,0.104977375565611,-0.133333333333333,-0.166666666666667,0.128225582636542,-0.247058823529412,-0.3,-0.119649758454106,0.077719298245614,0,-0.0202898550724638,-0.0333333333333333,0,-0.1
"ILK",0.107130832130832,0.0944761904761905,0,0.0315023713697258,0.0366570105449836,0.0433667781493868,0.0433667781493868,0.0290233022706117,0.0333333333333333,0.0202898550724638,-0.175,-0.0495425262227597,0.171802532709319,-0.119526591687359,-0.119526591687359,-0.0333333333333333,-0.175,-0.1,-0.149193548387097,0.171923076923077,-0.0435922616635179,0.139048976682619,-0.0893327822932451,-0.152883116883117,-0.152883116883117,-0.152883116883117,-0.110644257703081,0.165917905623788,-0.104761904761905,0.00497408735113653,0.151282051282051,0.105043859649123,0.243058823529412,0.12453781512605,0.114569670063566,0.248749880439981,0.092156862745098,0.137393162393162,0.12213781512605,0.2368524970964,-0.2,0.133333333333333,0.104977375565611,-0.133333333333333,-0.166666666666667,0.128225582636542,-0.247058823529412,-0.3,-0.119649758454106,0.077719298245614,0,-0.0202898550724638,-0.0333333333333333,0,-0.1
"DSH",0.0818102054224944,0.0849480379300809,0.025,0.0316577038623048,0.0205268044856351,0.027848180052781,0.0266708437761069,0.0412090526371,0.00921052631578947,0.037781954887218,-0.192857142857143,-0.0525598093510026,0.146735669519768,-0.112036896704729,-0.112036896704729,-0.0333333333333333,-0.163445378151261,-0.2,-0.158550273256156,0.116925351071693,-0.049949256638632,0.106068001668753,-0.128516716628172,-0.122338415831992,-0.122338415831992,-0.122338415831992,-0.100697167755991,0.17034299034299,-0.11921568627451,0.0148588014289234,0.114606898477866,0.110323352642028,0.244223602484472,0.0956068636138186,0.0834961380538089,0.259206180881685,-0.00416666666666667,0.123809352465596,0.110323844745894,0.241269330424777,-0.154545454545455,-0.0166666666666667,-0.0306034482758621,-0.113333333333333,-0.130735930735931,0.137744578296978,-0.235652173913043,-0.24,-0.104220151828847,0.073615601984275,-0.0666666666666667,-0.037781954887218,-0.00921052631578947,-0.025,0
"Frizzled",0.101995820271682,0.085369978858351,0.1,0.027848180052781,0.0316577038623048,0.037781954887218,0.037781954887218,0.025560197675268,0.025,0.00921052631578947,-0.192857142857143,-0.0561594581657524,0.141729848797998,-0.110462093555123,-0.110462093555123,0.0666666666666667,-0.192857142857143,-0.1,-0.163445378151261,0.124242424242424,-0.0437066182405166,0.112450980392157,-0.100697167755991,-0.149897470950103,-0.149897470950103,-0.149897470950103,-0.11921568627451,0.175238095238095,-0.113333333333333,-0.000385101010101011,0.130735930735931,0.0918767507002801,0.235652173913043,0.096541443053071,0.0870049099836334,0.244223602484472,-0.0166666666666667,0.114606898477866,0.0956068636138186,0.229581018736465,-0.2,0.0333333333333333,-0.00416666666666667,-0.133333333333333,-0.154545454545455,0.122338415831992,-0.24,-0.3,-0.0934955141476881,0.0681892453951277,-0.1,-0.00921052631578947,-0.025,0,-0.1
"GSK3",-0.00587698259747232,0.087231142952912,0.00921052631578947,0.0205268044856351,0.0256583834330035,0.0316577038623048,0.0295010324553522,0.0279297289315699,0.037781954887218,0.0266708437761069,-0.163445378151261,-0.0527902999667419,0.141990199286809,-0.110105247373377,-0.110105247373377,0.0166666666666667,-0.158550273256156,-0.154545454545455,-0.15309572780161,0.133204420839134,-0.0426106182655109,0.111829845458765,-0.118289443900899,-0.137744578296978,-0.137744578296978,-0.137744578296978,-0.128516716628172,0.177109907636223,-0.100697167755991,0.0114590358955119,0.123809352465596,0.112613428977906,0.259206180881685,0.110323844745894,0.0969909477423902,0.259462591138095,-0.0306034482758621,0.129072510360333,0.114371820757888,0.24429963345508,-0.130735930735931,-0.00416666666666667,-0.0160735337459475,-0.11921568627451,-0.114606898477866,0.126610124515466,-0.244223602484472,-0.235652173913043,-0.0928137287945175,0.0769732662178517,0.0333333333333333,-0.027848180052781,-0.037781954887218,-0.00921052631578947,-0.025
"Patched",0.0234432234432234,0.228138528138528,0,0.0644444444444444,0.0731823085221143,0.07,-0.025,0.0250949050949051,0,-0.05,0.2,-0.0106903991370011,0.287019157088123,-0.108333333333333,-0.108333333333333,0,0.166666666666667,0,0.139393939393939,0.05,-0.0907885304659498,0.0611111111111111,-0.0415384615384615,0.0115384615384615,0.0115384615384615,0.0115384615384615,-0.08,0.08,-0.1,0.00476190476190477,0.0933333333333333,0.116666666666667,0.08,0.116666666666667,0.125641025641026,0.055,0.1,0.0683333333333333,0.0766666666666666,0.155,-0.1,0.1,0.171428571428571,-0.1,-0.133333333333333,-0.0302884615384615,-0.1,-0.1,-0.0403225806451613,-0.0270899470899471,0,-0.05,-0.1,-0.1,-0.1
"SHH",-0.00512820512820513,0.219047619047619,0,0.07,0.0644444444444444,0.05,-0.05,0.045974025974026,0,0,0.1,-0.00777777777777777,0.288352490421456,-0.1,-0.1,0,0.2,0,0.166666666666667,0.05,-0.0963440860215054,0.05,-0.08,0.05,0.05,0.05,-0.1,0.08,-0.1,0.0333333333333333,0.133333333333333,0.15,0.1,0.133333333333333,0.133333333333333,0.08,0.1,0.0933333333333333,0.116666666666667,0.175,0,0,0.1,0,-0.1,-0.0115384615384615,-0.1,0,-0.05,-0.00857142857142857,0,-0.1,-0.1,-0.1,0
"ZEB2",-0.214032563889497,-0.206992285956408,-0.190909090909091,-0.166143096395135,-0.165623615875654,-0.159805068226121,-0.154414148542589,-0.152572159681811,-0.150909090909091,-0.140652680652681,-0.107692307692308,-0.0996650513221323,-0.098218619668276,-0.0896792517837829,-0.0896792517837829,-0.0888888888888889,-0.0770256410256411,-0.075,-0.069921815889029,-0.0686813186813187,-0.0650444661858217,-0.0525732337889866,-0.0352882106919541,-0.0300649350649351,-0.0300649350649351,-0.0300649350649351,-0.0279711375212224,-0.0166505636070853,-0.0118421052631579,-0.0117005093416229,-0.00876306620209059,-0.00864600780229546,-0.00620902906617192,-0.00340452974255791,-0.00332957365215431,0.000140177283034432,0.00277777777777777,0.00305511561609123,0.0039125434281738,0.00898523698523699,0.0107142857142857,0.0138888888888889,0.0167964693665628,0.025,0.0307142857142857,0.0328486609749993,0.0381818181818182,0.0545454545454545,0.0560906672388779,0.0599598522468634,0.1,0.146842105263158,0.16,0.2,0.2
