"","FOXC2","SNAI1","ERK","MEK","TWIST1","TrCP","SUFU","ZEB2","Jagged","SOSGRB2","IKK","NOTCHic","Csl","FUS","SMO","HEY1","Patched","SMAD","ILK","SHH","miR200","KLF4","TGFR","Ecadherin","STAT","LIV1","DELTA","SNAI2","cateninmemb","cateninnuc","TCFLEF","SRC","GLI","CD44","Wnt","cMet","Destcompl","Frizzled","AXIN2","DSH","RAF","PI3K","RAS","TGF","PAK1","CDC42","GSK3","ZEB1","AKT","NFB","NOTCH","EGR1","Csn","cfos","RKIP"
"AXIN2",-0.587987812343784,-0.586138362624518,-0.104256515462351,-0.126325480979592,-0.584468814935346,-0.133333333333333,0.15,-0.55306313058109,-0.438977597021075,-0.181702296456855,-0.172463768115942,-0.0859586466165414,-0.0663157894736842,0.203846153846154,0.260989010989011,0.0921935409765024,0.309203296703297,0.122509776857603,0.101081205429032,0.352809854080346,-0.488000895698121,-0.494139644129214,-0.0223774991805965,-0.321924049314154,0.4,0.3,-0.217366612781838,0.245930485688123,-0.588415676281335,-0.705704492196056,-0.664589057695407,0.481395348837209,-0.613557569613614,-0.614061507871257,-0.553809141940658,0.553809141940658,0.800190683823278,-0.481395348837209,-0.150935096558801,-0.4,0.217366612781838,0.217366612781838,0.216054276823832,0.00455571700237871,0.06125,0.0427314814814815,0.740965577265348,0.167139075764895,0.165797101449275,0.179710144927536,0.105553241211136,0.0533333333333333,0.166666666666667,0.0752845528455285,0.529739454094293
"Destcompl",-0.595634063738533,-0.567954283940109,-0.140084068936528,-0.15822752885214,-0.593290390689427,-0.133333333333333,0.188888888888889,-0.547407823443901,-0.427979201410733,-0.175167760358517,-0.109635722679201,-0.11954954954955,-0.0999843321582452,0.247509578544061,0.290366721401204,0.113286713286713,0.331299363888251,0.141457811194653,0.127539682539683,0.363214257505272,-0.4738449051321,-0.496611408977603,0.021776732471573,-0.302821382683251,0.471428571428571,0.4,-0.159762569285865,0.208574874915233,-0.582752228548168,-0.701092067184582,-0.672178247704725,0.538551859099804,-0.635368479537358,-0.63656180934856,-0.591027106624557,0.591785689945575,0.688230084635161,-0.538551859099804,-0.664589057695407,-0.471428571428571,0.159762569285865,0.159762569285865,0.15630888011789,-0.0360624467572873,0.0159183673469388,-0.00546094299788882,0.737260947831357,0.11906869007239,0.0975551857664492,0.115942028985507,0.136182816082616,0.0887179487179487,0.133333333333333,0.122051282051282,0.524180914384783
"GSK3",-0.560263465624543,-0.414641854045292,-0.0889494979278261,-0.10258586156419,-0.47742947082121,-0.113333333333333,0.113636363636364,-0.475679323520725,-0.156498680021177,-0.207415046666323,-0.0802873563218391,0.0480617421793892,0.0641456582633053,0.146969696969697,0.179227761485826,0.137172217435007,0.205608129583985,0.145253639402898,0.136707912266466,0.22905310566054,-0.378930815081158,-0.443850167355166,-0.00601121042266324,-0.293872924732858,0.343421052631579,0.275,-0.215120014023015,0.115902500160337,-0.383034740590491,-0.524263309658062,-0.502092257026483,0.396992481203008,-0.472858802574323,-0.474220484987303,-0.44078333087621,0.44136334213016,0.680842670140086,-0.396992481203008,-0.504944801285892,-0.343421052631579,0.215120014023015,0.215120014023015,0.214909929989402,-0.00578366137220855,0.0295652173913044,0.0209937888198758,0.602584479132656,-0.0209841646148568,0.0743044503389331,0.0883333333333333,-0.033776027893675,0.0627450980392157,0.0883333333333333,0.0701525054466231,0.373252887463414
"AKT",-0.488313833363897,-0.362450328720352,-0.0500987280157965,-0.0614911330790876,-0.404649661146552,-0.233333333333333,0.05,-0.428126240956897,-0.11392471244336,-0.169358974358974,-0.211613876319759,0.0947890818858561,0.107692307692308,0.116666666666667,0.13974358974359,0.127337792569407,0.167521367521368,0.135265710324534,0.125501400560224,0.19067926225821,-0.340175919322496,-0.401585695006748,-0.0361745576279292,-0.219868184954412,0.255555555555556,0.2,-0.267170728814564,0.0691810487647636,-0.295437410987082,-0.445201727362057,-0.421663265823595,0.31207729468599,-0.393005528463386,-0.393415843143183,-0.356692679301375,0.356692679301375,0.630879333429513,-0.31207729468599,-0.418182912154031,-0.255555555555556,0.267170728814564,0.267170728814564,0.265002054115769,0.0249963098937902,0.0691176470588235,0.0451176470588235,0.661147768002607,-0.0228867455854671,0.104543169249052,0.203921568627451,-0.0813744477395146,0.019047619047619,0.233333333333333,0.0484593837535014,0.331150051994042
"PI3K",-0.45523112659698,-0.344154589371981,-0.0484593837535014,-0.0500987280157965,-0.372539569403433,-0.2,0,-0.406208432737718,-0.0973684210526316,-0.162692307692308,-0.203921568627451,0.107692307692308,0.1,0.05,0.116666666666667,0.116059597080685,0.13974358974359,0.125501400560224,0.113501400560224,0.167521367521368,-0.319855063707523,-0.378508771929825,-0.0451176470588235,-0.207292427378654,0.2,0.1,-0.265800865800866,0.0650604457496882,-0.27433649355589,-0.421663265823595,-0.393415843143183,0.255555555555556,-0.356692679301375,-0.356692679301375,-0.31207729468599,0.31207729468599,0.606313576605692,-0.255555555555556,-0.376666666666667,-0.2,0.265800865800866,0.265800865800866,0.267170728814564,0.0361745576279292,0.075,0.0691176470588235,0.629292929292929,-0.0283661976402616,0.211613876319759,0.233333333333333,-0.0947890818858561,0.0333333333333333,0.233333333333333,0.019047619047619,0.303199741435036
"TGF",-0.435434782608696,-0.3103909726637,-0.479699248120301,-0.50858813700919,-0.356851851851852,0,-0.133333333333333,-0.395285116612348,-0.190378006872852,-0.475,0.0238095238095238,-0.253333333333333,-0.233333333333333,-0.113333333333333,-0.0633333333333333,-0.0948420373952289,-0.0391954022988506,-0.050019550342131,-0.0596969696969697,-0.0204454022988506,-0.312772285186078,-0.382557843885075,-0.104444444444444,-0.248137041688184,0.1,0,0.166666666666667,-0.0236223434789196,-0.297458885753997,-0.320415425355842,-0.294099635882158,0.166666666666667,-0.268598382749326,-0.263836477987421,-0.221428571428571,0.216666666666667,0.291233311210843,-0.171428571428571,-0.282760141093474,-0.1,-0.166666666666667,-0.166666666666667,-0.177380952380952,-0.00805555555555556,0.16,0.104444444444444,0.243770384866275,-0.00176594318470749,-0.0290726817042606,0.0333333333333333,0.267126436781609,0.4,0.0333333333333333,0.442857142857143,0.341125541125541
"TWIST1",-0.207911555811031,-0.330309252198512,-0.299359267734554,-0.313787128431071,-0.325404498565254,0,0.0333333333333333,-0.356877930562141,-0.250251882464859,-0.249689999804416,0.00659340659340659,-0.218746438746439,-0.205925925925926,0.0444444444444444,0.0804444444444444,-0.104252809337555,0.103732115677321,-0.0614357832179614,-0.0723268723268723,0.12589960336205,-0.32664395765643,-0.316677089847822,-0.0268900208986416,-0.253786517780994,0.20952380952381,0.166666666666667,0.117453521248588,0.120011543684035,-0.313790993429118,-0.325127763325473,-0.309429085924668,0.237301587301587,-0.290227903091061,-0.289980387609201,-0.267827903091061,0.26708882134414,0.286535143355347,-0.237301587301587,-0.322223421739551,-0.20952380952381,-0.117453521248588,-0.117453521248588,-0.11985078152256,0.0184617748849742,0.0484848484848485,0.0381400208986416,0.276050932245725,0.130630630630631,-0.015067982864593,0.00769230769230769,0.23006719346342,0.26,0,0.27304347826087,0.329277342320821
"ZEB1",-0.324926758562144,-0.170742058978035,-0.167686274509804,-0.178699490368835,-0.360080688652933,0.0333333333333333,0.0583333333333333,-0.313248206213635,-0.197956706254603,-0.118323586744639,0.0783721599079666,-0.171813725490196,-0.154166666666667,0.108333333333333,0.131060606060606,0.0431419012766163,0.138903743315508,0.0682179586413401,0.0590833432567248,0.159188440824405,-0.274446867004974,-0.285327645711921,0.124008807778852,-0.278952279165827,0.335897435897436,0.266666666666667,0.11709605567307,0.144515246826492,-0.435784643774003,-0.462069689435817,-0.445924875345798,0.367604752970607,-0.425518917843534,-0.426509981728776,-0.402494862860716,0.402898870617665,0.413602211230009,-0.369802555168409,-0.459817791818063,-0.338095238095238,-0.11709605567307,-0.11709605567307,-0.120088181657322,-0.133063925889088,-0.0977011494252874,-0.11944027986007,0.360491347269241,-0.0734872770466738,-0.0712293027651095,-0.0701754385964912,0.186689758548047,0.133333333333333,-0.0333333333333333,0.145333333333333,0.161433679151281
"TrCP",-0.263316771620339,-0.128941483176703,-0.261518054532056,-0.274851387865389,-0.225331168831169,0.0333333333333333,0.104761904761905,-0.312267315413458,-0.0459850034083163,-0.162486248624862,0.108333333333333,-0.0323076923076923,-0.0153846153846154,0.121428571428571,0.13110599078341,0.0941815856777494,0.142217101894521,0.0962058371735791,0.0936251920122888,0.149217101894521,-0.212621566085287,-0.29560239396305,0.0730073847720906,-0.204836690111346,0.19,0.15,0.11694829693395,0.0213908491336192,-0.264611473629007,-0.283596028257688,-0.273389131705963,0.223333333333333,-0.259507916131793,-0.260796539113371,-0.244385964912281,0.244954954954955,0.277445359595392,-0.223333333333333,-0.292473897821979,-0.19,-0.11694829693395,-0.11694829693395,-0.117402842388495,-0.079564761821271,-0.0571428571428571,-0.0669467787114846,0.227113636363636,-0.0873490050370067,-0.112037037037037,-0.108333333333333,0.0432967032967033,0.24,-0.108333333333333,0.25304347826087,0.1605160401293
"PAK1",-0.263316771620339,-0.128941483176703,-0.261518054532056,-0.274851387865389,-0.225331168831169,0.0333333333333333,0.104761904761905,-0.312267315413458,-0.0459850034083163,-0.162486248624862,0.108333333333333,-0.0323076923076923,-0.0153846153846154,0.121428571428571,0.13110599078341,0.0941815856777494,0.142217101894521,0.0962058371735791,0.0936251920122888,0.149217101894521,-0.212621566085287,-0.29560239396305,0.0730073847720906,-0.204836690111346,0.19,0.15,0.11694829693395,0.0213908491336192,-0.264611473629007,-0.283596028257688,-0.273389131705963,0.223333333333333,-0.259507916131793,-0.260796539113371,-0.244385964912281,0.244954954954955,0.277445359595392,-0.223333333333333,-0.292473897821979,-0.19,-0.11694829693395,-0.11694829693395,-0.117402842388495,-0.079564761821271,-0.0571428571428571,-0.0669467787114846,0.227113636363636,-0.0873490050370067,-0.112037037037037,-0.108333333333333,0.0432967032967033,0.24,-0.108333333333333,0.25304347826087,0.1605160401293
