"","GLI","STAT","PI3K","GSK3","ZEB2","Destcompl","NFB","IKK","TWIST1","KLF4","PAK1","HEY1","SMAD","EGR1","SNAI1","TGFR","TGF","cfos","NOTCH","NOTCHic","Csl","SHH","RKIP","SMO","Patched","FUS","MEK","ERK","FOXC2","ILK","CDC42","Jagged","SUFU","miR200","TrCP","AKT","Csn","SOSGRB2","ZEB1","RAF","DELTA","RAS","SNAI2","LIV1","DSH","Frizzled","Wnt","SRC","cMet","CD44","Ecadherin","TCFLEF","cateninnuc","cateninmemb","AXIN2"
"ZEB2",-0.249888582365647,-0.24,-0.182835497835498,-0.181831571399277,-0.139086807466976,-0.132799183703252,-0.111111111111111,-0.104444444444444,-0.082876686067874,-0.0465032289258886,-0.0454545454545455,-0.0447823144597338,-0.041766615955898,-0.0416666666666667,-0.0389616358772816,-0.0284353741496599,-0.0273771730914588,-0.0153508771929825,-0.0123413198823035,-0.0117948717948718,-0.00512820512820513,-0.00185460880582832,-0.00183574879227053,0.00214285714285714,0.00458188153310104,0.0178571428571429,0.0218024900962083,0.0218024900962083,0.0301989121989122,0.0374983232729712,0.04,0.0674746416680774,0.075,0.0955505363545617,0.1,0.107248182762201,0.111111111111111,0.118095238095238,0.139086807466976,0.182835497835498,0.182835497835498,0.188188816893314,0.192632900998104,0.2,0.227272727272727,0.233939393939394,0.241631701631702,0.246666666666667,0.251929824561404,0.259337231968811,0.259908884959522,0.268140048870219,0.274633555363726,0.302670508863695,0.3060399517157
"AXIN2",-0.152974686417213,-0.133333333333333,0.0500888988345736,0.0981136536994661,-0.0710103204163183,0.0941948646806721,0.0463768115942029,0.0449275362318841,-0.0226774682758456,-0.0732630760236629,0.08,-0.081285617695354,-0.0749942489072924,-0.0866666666666667,0.111560948288127,0.0671189773844641,0.0687691424009658,-0.0988617886178862,-0.0825970331233489,-0.0846240601503759,-0.0810526315789474,-0.0806392241638143,0.121934794596085,0.0767399267399267,0.0803113553113553,-0.0576923076923077,0.0955682017664521,0.0941888914216245,-0.114956862029462,0.076581550494594,-0.0688888888888889,0.1181944084118,-0.05,-0.104452647909234,-0.0666666666666667,-0.0404830917874396,-0.0333333333333333,0.117046764985054,0.0710103204163183,-0.0500888988345736,-0.0500888988345736,-0.0477266941101641,0.196855429141307,0.1,0.133333333333333,0.144961240310078,0.146685378241112,0.144961240310078,0.146685378241112,0.153309983919345,0.137496081627434,0.15741314921829,0.159358674510119,0.180740878151508,0.530241782419815
"SOSGRB2",-0.13804347826087,0,0.131638418079096,0.00334400210978051,-0.0602130325814536,-0.0765731658349108,0.288888888888889,0.325730994152047,0.101333333333333,-0.0530701754385965,0.164285714285714,0.0788825757575758,0.201669298443492,-0.442857142857143,0.1391947405828,0.151208791208791,0.149081131634323,-0.476190476190476,-0.34616369545947,-0.344755244755245,-0.290909090909091,-0.217714225853761,0.316483918128655,0.183333333333333,0.213063063063063,-0.166666666666667,0.526886626886627,0.532947232947233,-0.0663125763125763,-0.196774193548387,-0.174285714285714,0.254039404902102,-0.2,-0.109852512676909,-0.3,-0.313230994152047,-0.3,0.538333333333333,0.0602130325814536,-0.131638418079096,-0.131638418079096,-0.134202520643199,0.455507340919984,0,0,0.1,0.125,0.1,0.130434782608696,0.143478260869565,0.313863435473716,0.164530892448513,0.17504714483857,0.293048555048555,0.144300055005501
"MEK",-0.17041958041958,-0.1,-0.000510600510600507,0.00541169796488946,-0.0527131698207739,-0.0593067737496935,0.182142857142857,0.179112554112554,0.117166101871984,-0.0446197991391679,0.193333333333333,0.082612888466547,0.107328866931191,-0.4,0.13670988376694,0.156350689808634,0.164379886888926,-0.451724137931034,-0.229695608527725,-0.227505827505827,-0.212121212121212,-0.134581806493089,0.286595164381542,0.110666666666667,0.128699453551913,-0.0666666666666667,0.363107116654439,0.458107116654439,-0.014423176492142,-0.103269826340786,-0.164761904761905,0.176671749442353,-0.0666666666666667,-0.117612982977538,-0.2,-0.175583142347848,-0.157142857142857,0.488888888888889,0.0527131698207739,0.000510600510600507,0.000510600510600507,0.0103518703518703,0.478854856543838,0,0.1,0.14,0.151538461538462,0.147368421052632,0.158906882591093,0.177788001472212,0.336660559979639,0.190765100708853,0.198571792158667,0.317820333143145,0.17875945565819
"ERK",-0.183702788439631,-0.147368421052632,-0.0103518703518703,0.00641078969967601,-0.0509808863562069,-0.060246270179607,0.179112554112554,0.175583142347848,0.11286651796075,-0.0546973185190128,0.164761904761905,0.0829541853948746,0.103073547782255,-0.451724137931034,0.139024698581755,0.164379886888926,0.162456809965849,-0.458107116654439,-0.23994491600695,-0.229695608527725,-0.227505827505827,-0.143760550454442,0.291887643490177,0.128699453551913,0.134581806493089,-0.110666666666667,0.380098760108478,0.363107116654439,-0.0176710397400053,-0.107328866931191,-0.156350689808634,0.186009098839943,-0.0666666666666667,-0.119573767291263,-0.157142857142857,-0.180170298311151,-0.182142857142857,0.488888888888889,0.0509808863562069,0.0103518703518703,0.0103518703518703,0.0164024754123764,0.489044216327427,0.1,0.14,0.151538461538462,0.17041958041958,0.158906882591093,0.177788001472212,0.190765100708853,0.345071133271778,0.198571792158667,0.207321792158667,0.328583902600367,0.1948570166338
"RAS",0.0926470588235294,0.1,-0.125641025641026,-0.0155426356589147,-0.0504307805596465,-0.0196799272380668,-0.3,-0.266666666666667,-0.0670812875068194,-0.0432142857142857,0.02,-0.0737154150197628,-0.178664192949907,0.16,-0.0277974434611603,0.00235294117647059,0.0112638322655795,0.235,0.268818272095333,0.263157894736842,0.3,0.183864406779661,-0.130220125786164,-0.2,-0.172,0.2,-0.231491228070175,-0.198157894736842,-0.0758730158730159,0.176623376623377,-0.02,-0.193837965700769,0.1,-0.0601538461538462,0.1,0.266666666666667,0.2,-0.200865800865801,0.0504307805596465,0.125641025641026,0.125641025641026,0.0102564102564103,-0.285502419170114,0,-0.1,-0.05,-0.0676470588235294,-0.05,-0.0676470588235294,-0.0953066332916145,-0.0747932304234825,-0.0983835563685376,-0.104332564867121,-0.0825271308024999,-0.110830039525692
"RKIP",-0.151538461538462,0,-0.00649350649350649,0.00713159968479118,-0.0447766618842659,-0.0588883637078525,0.157142857142857,0.182142857142857,0.118265002970885,-0.0367766618842659,0.2,0.0771583430120015,0.103269826340786,-0.4,0.131581678638735,0.164761904761905,0.156350689808634,-0.4,-0.227505827505827,-0.212121212121212,-0.166666666666667,-0.128699453551913,0.258963585434174,0.0666666666666667,0.110666666666667,-0.0666666666666667,0.458107116654439,0.451724137931034,-0.00271146478043031,-0.100299529311083,-0.193333333333333,0.164376667475139,-0.1,-0.109253849850603,-0.2,-0.179112554112554,-0.2,0.475555555555556,0.0447766618842659,0.00649350649350649,0.00649350649350649,0.000510600510600507,0.462309844378388,0,0,0.1,0.14,0.1,0.147368421052632,0.158906882591093,0.322999357793847,0.177788001472212,0.190765100708853,0.305137406313877,0.157137834036568
"miR200",-0.0556904503946757,-0.06,-0.0614925373134328,0.0658659770390697,-0.0375224014336917,-0.0518501967260893,-0.0452631578947368,-0.0366917293233083,-0.159507486378652,-0.0448757763975155,-0.195833333333333,-0.0203107344632768,-0.031605797428196,0.142857142857143,-0.0452612202612203,-0.170343137254902,-0.176738486092111,0.132857142857143,0.0605989257187387,0.054384236453202,0.054384236453202,0.0397573839662447,-0.0785707688973076,-0.0258333333333333,-0.0397573839662447,0.0125,-0.13443413729128,-0.128311688311688,-0.0311985575400209,0.0319192770520204,0.170343137254902,-0.0530791496843283,0,0.0151916688714466,0.1,0.0461256915874592,0.04,-0.175264345583495,0.0375224014336917,0.0614925373134328,0.0614925373134328,0.0622406669892433,0.132766401366481,0.1,0.06,0.056,0.0545915492957746,0.0469565217391304,0.0455480710349051,0.0466716665405231,-0.0518663063043781,0.0466716665405231,0.0453080301768867,0.0392453825814877,0.0852933015500649
"cateninnuc",-0.276659225229803,-0.234965034965035,-0.239041679041679,-0.00162922737847629,-0.033423109379211,-0.0205867498794873,-0.2,-0.202,-0.18851858317563,-0.0544141801259239,-0.122285714285714,-0.00571428571428572,0.00182424124306798,0.11304347826087,0.124376605879038,-0.133408614374132,-0.138867129657974,0.117805383022774,-0.0418751965854843,-0.0373297420400298,-0.0291902071563088,-0.175749954690041,0.104158815543431,0.157194899817851,0.168996142053875,-0.155555555555556,-0.122740930578227,-0.119071205807584,-0.167803164049066,-0.00277922077922078,0.125362637362637,0.256574219576617,-0.155555555555556,-0.0311704514745167,0.166666666666667,0.205125,0.166666666666667,0.00369134348440495,0.033423109379211,0.239041679041679,0.239041679041679,0.241735281735282,0.431130711235266,0.227272727272727,0.234965034965035,0.255512980170514,0.270730371474862,0.257187257187257,0.272404648491605,0.278357029443986,0.221387804637293,0.285003780750931,0.190112866638808,0.309373862302635,0.411907825192881
"Ecadherin",-0.400129691652122,-0.341176470588235,-0.288567119155354,-0.0983320959041209,-0.0287910045534802,-0.112849848771527,-0.224761904761905,-0.246984126984127,-0.301702218814279,-0.0506797937177684,-0.179090909090909,0.00591403858675868,0.0253265957820121,0.129090909090909,0.0707291431805447,-0.197432372505543,-0.204846477388003,0.140855614973262,-0.124058636782638,-0.119969417451783,-0.123062200956938,-0.319846435526204,0.0511442098119466,0.302083333333333,0.309610215053763,-0.283333333333333,-0.151601521583329,-0.148072109818623,-0.211708887271764,-0.0241159420289855,0.191090909090909,0.379448744527258,-0.233333333333333,-0.031791938663447,0.2,0.256075036075036,0.22,0.0500127892630375,0.0287910045534802,0.288567119155354,0.288567119155354,0.298343655468204,0.472436871271954,0.3,0.341176470588235,0.362106703146375,0.382796358318789,0.362106703146375,0.383845833581157,0.401571586089519,0.398477851630568,0.411907825192881,0.419937703810995,0.543693864852401,0.452661923714491
