"","LIV1","STAT","ZEB2","DSH","Destcompl","CD44","PI3K","cMet","Frizzled","NFB","SNAI2","miR200","NOTCH","FOXC2","Csn","TGF","CDC42","KLF4","HEY1","GSK3","PAK1","ZEB1","TWIST1","TrCP","EGR1","SNAI1","RKIP","cfos","MEK","ERK","ILK","SMAD","SHH","Patched","SUFU","AKT","Jagged","TGFR","SMO","IKK","cateninmemb","NOTCHic","FUS","Wnt","Ecadherin","AXIN2","Csl","RAF","DELTA","SRC","GLI","RAS","cateninnuc","TCFLEF","SOSGRB2"
"SRC",-0.2,-0.2,-0.274812818209045,-0.1,-0.13843287147635,0.00819672131147541,0.294384647476012,0,-0.05,0.183333333333333,-0.0211041531810877,-0.096477821695213,0.177142857142857,-0.370364145658263,0.15,-0.365631313131313,-0.301388888888889,-0.160723514211886,-0.00179576299238663,-0.31004329004329,-0.288888888888889,0.0687556154537287,-0.16309208033346,0.1,0.0333333333333333,-0.280538638918806,0.175529488432714,-0.0424242424242424,-0.047874976176863,-0.0535353535353535,-0.0342105263157895,-0.038715030820294,-0.0376252723311547,-0.017037037037037,-0.0333333333333333,-0.175641025641026,-0.0587055986826629,0.334722222222222,-0.0133333333333333,-0.175641025641026,0.000371201915880854,-0.159285714285714,-0.0333333333333333,0,-0.0850768893415952,0.0189872072761273,-0.145,-0.294384647476012,-0.294384647476012,0.05,-0.00819672131147541,-0.295899798991163,0.00426576572950238,-0.000879648140743702,0.127142857142857
"Wnt",0,0.1,-0.272931611669058,0,-0.243535858279238,0.230263157894737,0.34812030075188,0.225,0.1,0.133333333333333,0.034051724137931,-0.103232323232323,0.238095238095238,-0.419514170040486,0.1,-0.435072463768116,-0.366666666666667,-0.250980392156863,-0.00974358974358975,-0.365987460815047,-0.3,0.074988043998087,-0.292647058823529,0.1,0,-0.299534161490683,0.261666666666667,-0.0333333333333333,-0.0592156862745098,-0.0533333333333333,0.000854700854700857,0.00318028225004969,-0.0543290043290043,-0.0590909090909091,0,-0.205833333333333,-0.0929656862745098,0.413333333333333,-0.05,-0.193333333333333,0.0182203389830508,-0.221428571428571,0,-0.225,-0.168913678768124,-0.142424242424242,-0.15,-0.34812030075188,-0.34812030075188,-0.2,-0.230263157894737,-0.352665755297334,-0.234898919484141,-0.230263157894737,0.142424242424242
"PI3K",0.1,0.2,-0.27010338056056,0.2,-0.217240542604039,0.224370122630992,0.281281385281385,0.228985507246377,0.233333333333333,0.266666666666667,0.0439017178259645,-0.0927122353351862,0.21985111662531,-0.301263646922184,0.233333333333333,-0.316867527498804,-0.291176470588235,-0.265789473684211,0.000934988060404261,-0.245622895622896,-0.25,0.0658166577405586,-0.171066535428617,0.2,0.0333333333333333,-0.273321256038647,0.255801551389787,-0.0333333333333333,-0.0408550305368049,-0.0392156862745098,-0.0136454581832733,-0.0144454581832733,-0.0638888888888889,-0.0666666666666667,0,-0.281749622926094,-0.0956140350877193,0.311176470588235,-0.0666666666666667,-0.284313725490196,0.00591258311042385,-0.223076923076923,-0.05,-0.228985507246377,-0.167405005000349,-0.141428571428571,-0.2,-0.281281385281385,-0.281281385281385,-0.233333333333333,-0.224370122630992,-0.278541659253988,-0.231524878295271,-0.227194981388054,0.117692307692308
"SMO",-0.1,0,-0.213418079096045,0.1,-0.138893044939557,0.09,0.0451923076923077,0.106666666666667,0.2,-0.1,0.0281313628899836,-0.0746232670283303,-0.098030303030303,-0.18,-0.1,-0.268333333333333,-0.226666666666667,-0.197222222222222,-0.00659340659340659,-0.123535687613358,-0.166666666666667,0.0331920903954802,-0.119880174291939,0,-0.1,-0.144393241167435,0.148888888888889,0.04,0.0507226107226107,0.0476923076923077,0.02,0.0184126984126984,-0.0405555555555556,-0.0516666666666667,0.1,0.0531428571428571,0.0227248677248677,0.268333333333333,-0.0266666666666667,0.0571428571428571,-0.0912078505063159,0.103030303030303,0.133333333333333,-0.2,-0.112246742855778,-0.0602030153754292,0.166666666666667,-0.0451923076923077,-0.0451923076923077,-0.1,-0.183333333333333,-0.0335644007155635,-0.0808241477480108,-0.0793203883495146,0.16140350877193
"FUS",0,0.1,-0.209123600568438,0.2,-0.139039030341016,0.0793203883495146,0.0335644007155635,0.09,0.2,-0.0571428571428571,0.0311834275219405,-0.0696727719788254,-0.113939393939394,-0.174736842105263,-0.1,-0.260886524822695,-0.268333333333333,-0.205418943533698,-0.00804268195572543,-0.124539032094963,-0.226666666666667,0.0350325811930262,-0.113073891569426,-0.1,-0.04,-0.144393241167435,0.147857961053837,0.0476923076923077,0.0518720360099671,0.0507226107226107,0.0184126984126984,0.0203481822836662,-0.0355050505050505,-0.0405555555555556,0.133333333333333,0.0685274725274725,0.0287489641104099,0.268333333333333,-0.0516666666666667,0.0531428571428571,-0.0925113886813625,0.098030303030303,-0.0266666666666667,-0.183333333333333,-0.114986468883175,-0.0558551892884726,0.103030303030303,-0.0335644007155635,-0.0335644007155635,-0.106666666666667,-0.173717948717949,-0.0296342697111967,-0.0849002347045325,-0.0808241477480108,0.180634278002699
"Patched",-0.1,-0.1,-0.208333333333333,0,-0.137342657342657,0.106666666666667,0.0576923076923077,0.1,0.1,-0.1,0.0309885057471264,-0.080952380952381,-0.103030303030303,-0.18,0,-0.268333333333333,-0.166666666666667,-0.188888888888889,0.00769230769230769,-0.118681318681319,-0.166666666666667,0.0416666666666667,-0.128703703703704,0,-0.1,-0.146774193548387,0.16,0.1,0.0476923076923077,0.04,0,0.02,-0.0516666666666667,-0.0266666666666667,0,0.0571428571428571,0.00486772486772487,0.226666666666667,0.133333333333333,0.1,-0.0834408602150538,0.166666666666667,0.1,-0.2,-0.108187702265372,-0.0670995670995671,0.2,-0.0576923076923077,-0.0576923076923077,0,-0.2,-0.0451923076923077,-0.0793203883495146,-0.09,0.166666666666667
"SUFU",0.1,0.106666666666667,-0.20670814163124,0.2,-0.137284644376104,0.0808241477480108,0.0296342697111967,0.0793203883495146,0.183333333333333,-0.0531428571428571,0.0329632561310374,-0.0715315080383049,-0.121875901875902,-0.17151103565365,-0.0571428571428571,-0.256350035670821,-0.268333333333333,-0.203622536348069,-0.0140667783412676,-0.122996615642521,-0.268333333333333,0.0374480401302243,-0.113280077136436,-0.1,-0.0476923076923077,-0.145926460928934,0.148266124319143,0.0507226107226107,0.0514465040950734,0.0518720360099671,0.0203481822836662,0.0228885979880541,-0.0304857454857455,-0.0355050505050505,-0.0266666666666667,0.0745677409838484,0.0285114344191985,0.260886524822695,-0.0405555555555556,0.0685274725274725,-0.0918292604412533,0.113939393939394,-0.0516666666666667,-0.173717948717949,-0.115089455494916,-0.0584313017006506,0.098030303030303,-0.0296342697111967,-0.0296342697111967,-0.09,-0.175576684777428,-0.0290013583187916,-0.0862813088733305,-0.0849002347045325,0.185529382897804
"SHH",0,-0.1,-0.2,0,-0.138441558441558,0.1,0.05,0,0,0,0.0429885057471264,-0.0666666666666667,-0.166666666666667,-0.15,0,-0.226666666666667,-0.166666666666667,-0.2,0,-0.128205128205128,-0.2,0.05,-0.125,0,0,-0.15,0.16,0.1,0.04,0.1,0,0,-0.0266666666666667,0.133333333333333,0,0.1,0.00857142857142857,0.166666666666667,0.1,0.1,-0.0834408602150538,0.2,0,-0.1,-0.103333333333333,-0.0761904761904762,0.1,-0.05,-0.05,0.1,-0.2,-0.0576923076923077,-0.09,-0.106666666666667,0.2
"TGFR",0,0.0333333333333333,-0.190827919975193,0.0428571428571429,0.0649274669251905,0.0560095994703741,-0.14047619047619,0.0652201257861635,0.0728571428571429,-0.170238095238095,-0.0598334298162647,-0.0728473340403262,-0.164282642851236,-0.287330752122379,-0.141666666666667,-0.298030226274907,-0.378412698412698,-0.188746322327558,-0.0743651183155788,0.169638823364918,-0.368888888888889,0.0790704680761241,-0.222595887702649,-0.166666666666667,0.0952380952380952,-0.163413080617425,0.104891774891775,-0.100501253132832,-0.0839106899669265,-0.089390142021721,0.0949657869012708,0.0917629399261818,0.0643384716540035,0.0705531609195402,0.0466666666666667,0.198879466107128,0.0569230112484259,0.294484126984127,0.0736781609195402,0.196553884711779,-0.0407208571292541,0.163563218390805,0.0633333333333333,-0.074743935309973,-0.0951663666484934,-0.0308609805390921,0.156666666666667,0.14047619047619,0.14047619047619,-0.0633333333333333,-0.0650665159551343,0.146324143692565,-0.0491694860618023,-0.0497895037765941,0.200243664717349
"NOTCH",0,0,-0.171739130434783,0,0.0433284018330747,0.0461072261072261,-0.0442424242424242,0.0430769230769231,0.02,0.0333333333333333,-0.0555663290957409,-0.0310822510822511,-0.00396313364055299,-0.214081632653061,0,-0.220243727598566,-0.188888888888889,-0.160628019323671,-0.145652173913043,0.0638801811215604,-0.2,0.0382447665056361,-0.128474576271186,0,0,-0.0984615384615385,0.118037135278515,-0.02,-0.00571428571428572,-0.02,0.0452380952380952,0.0319047619047619,0.00297888386123681,0.0147435897435897,0,0.0333333333333333,-0.00985088985088985,0.200888888888889,-0.00833333333333333,0,-0.0217858220240051,-0.105714285714286,-0.0333333333333333,-0.0430769230769231,-0.069790039615167,-0.0223989218328841,-0.12,0.0442424242424242,0.0442424242424242,-0.02,-0.0461072261072261,0.0456916996047431,-0.035306598163741,-0.0406127206127206,0.164210526315789
