"","GSK3","Ecadherin","FOXC2","SOSGRB2","MEK","ERK","SNAI2","NOTCHic","cateninnuc","SMO","cMet","IKK","SRC","Csn","AKT","Wnt","ILK","STAT","KLF4","NFB","TrCP","LIV1","TWIST1","RAS","RAF","PI3K","DELTA","ZEB1","ZEB2","CDC42","TGF","PAK1","TGFR","SNAI1","SMAD","FUS","AXIN2","DSH","miR200","Frizzled","Patched","GLI","HEY1","CD44","SHH","RKIP","TCFLEF","SUFU","Csl","EGR1","NOTCH","Jagged","cfos","Destcompl","cateninmemb"
"TWIST1",0.243599705555347,0.470132521174428,-0.0467705400376068,-0.0442351698644605,-0.192717192071678,-0.192219679633867,0.406261403474989,0.0810826210826211,0.194633152380547,0.0706666666666667,0.179398851739277,-0.171062271062271,0.173015873015873,-0.2,-0.157502949028373,0.180384294068505,0.000605150605150609,0.161904761904762,0.081498853450073,-0.161538461538462,-0.2,0.133333333333333,-0.18933456830482,-0.0671834448478761,-0.070265636628698,-0.070265636628698,-0.070265636628698,0.0735902569235903,-0.0735902569235903,0.0219644723092999,0.0177531966828762,0.0357575757575758,0.0207144723092999,0.111749841133182,-0.00687577766785688,-0.0666666666666667,-0.123788577014383,-0.161904761904762,0.0969716661426126,-0.173015873015873,-0.0912146118721461,-0.187584294068505,-0.00856149500217297,-0.187029373827631,-0.0936776660593382,0.143862782993218,-0.191470415175257,-0.0333333333333333,-0.0785185185185185,0.2,-0.0867429984411116,-0.0943764674945827,0.18695652173913,-0.266349343190768,-0.36936733153025
"RAS",0.180103359173127,0.0926531912721171,-0.0693650793650794,0.193073593073593,0.279907120743034,0.285789473684211,0.335479157759991,-0.186842105263158,0.149030742557637,-0.05,0.129411764705882,0.153333333333333,0.1,0.1,0.164444444444444,0.129411764705882,-0.0636363636363636,0.1,0.0717857142857143,0.2,0.1,0,-0.00607746863066012,0.211794871794872,0.304102564102564,0.304102564102564,0.304102564102564,0.0604455081001473,-0.0604455081001473,0.06,0.0627373325567851,0.1,0.0835294117647059,0.0637266470009833,0.0473098330241187,0,-0.102924901185771,-0.1,0.0775384615384615,-0.1,0.038,-0.137745098039216,0.0729249011857707,-0.135794743429287,0.0396949152542373,-0.105314465408805,-0.141948589583133,0.1,0.15,-0.22,0.173634558093347,0.0289848216045732,-0.27,-0.228015400689819,-0.106342088170018
"cateninnuc",0.419292205303036,0.130410218393724,-0.237143605028851,0.242861622046041,-0.0207074120531629,-0.0184138340715116,0.288497042545917,0.217457189156046,0.166091654579486,0.183752276867031,0.250441708050404,0.0811060606060606,0.243919968919969,0.0458333333333333,0.0834498106060606,0.248805482784041,0.0785238095238095,0.224475524475524,0.0763520090032545,0.0731060606060606,0.0333333333333333,0.209090909090909,-0.269500708479819,0.0880923330923331,0.0828734778734779,0.0828734778734779,0.0828734778734779,0.0590337250120004,-0.0590337250120004,-0.120747252747253,-0.12750577305042,-0.122285714285714,-0.127069091827713,0.194484720521526,-0.0778416812837004,-0.175555555555556,-0.0851021751789667,-0.224475524475524,0.0633016353454753,-0.242283743653607,-0.190584575003677,-0.255524850372974,-0.0941154210028382,-0.257187739796435,-0.19995276672481,0.179749872955828,-0.26263956952011,-0.155555555555556,-0.212806026365348,0.0384057971014493,-0.217911734610592,-0.263686251809279,0.0209454796411318,-0.452718623167301,-0.257155541413486
"PI3K",0.582539682539682,-0.113049491825011,-0.293570267131243,-0.0819230769230769,-0.0317766450842632,-0.0366946778711485,0.0917881839678517,-0.0923076923076923,0.18615970956443,0.0666666666666667,0.155072463768116,0.296078431372549,0.133333333333333,0.3,0.288386123680241,0.155072463768116,0.0293637454981993,0.1,0.0368421052631579,0.266666666666667,0.2,0.1,-0.161234995304846,0.317610152404673,0.305281385281385,0.305281385281385,0.305281385281385,0.049319749419803,-0.049319749419803,0.191176470588235,0.176867527498804,0.15,0.171176470588235,0.291292270531401,-0.0141637454981993,-0.05,-0.108857142857143,-0.1,0.163043930666881,-0.133333333333333,-0.058974358974359,-0.165841694537347,-0.0193017858944607,-0.165841694537347,-0.0923076923076923,0.291936005171299,-0.177706101317008,-0.1,0.1,0.0333333333333333,0.0955334987593052,-0.0891228070175439,0.019047619047619,-0.525208549046678,-0.0314753126448392
"ILK",0.582539682539682,-0.113049491825011,-0.293570267131243,-0.0819230769230769,-0.0317766450842632,-0.0366946778711485,0.0917881839678517,-0.0923076923076923,0.18615970956443,0.0666666666666667,0.155072463768116,0.296078431372549,0.133333333333333,0.3,0.288386123680241,0.155072463768116,0.0293637454981993,0.1,0.0368421052631579,0.266666666666667,0.2,0.1,-0.161234995304846,0.317610152404673,0.305281385281385,0.305281385281385,0.305281385281385,0.049319749419803,-0.049319749419803,0.191176470588235,0.176867527498804,0.15,0.171176470588235,0.291292270531401,-0.0141637454981993,-0.05,-0.108857142857143,-0.1,0.163043930666881,-0.133333333333333,-0.058974358974359,-0.165841694537347,-0.0193017858944607,-0.165841694537347,-0.0923076923076923,0.291936005171299,-0.177706101317008,-0.1,0.1,0.0333333333333333,0.0955334987593052,-0.0891228070175439,0.019047619047619,-0.525208549046678,-0.0314753126448392
"cMet",-0.210599078341014,0.148556503826186,-0.0795675105485232,0.267619047619048,0.141818181818182,0.14,0.235599955599956,-0.0834586466165413,0.0508556441587581,-0.09,0.0566666666666667,-0.113333333333333,0.15,-0.1,-0.113333333333333,0.0566666666666667,-0.111678004535147,0.2,0.150793650793651,-0.0666666666666667,-0.1,0.1,-0.0644919125818002,-0.0419047619047619,-0.0419047619047619,-0.0419047619047619,-0.0419047619047619,0.0457431457431458,-0.0457431457431458,0.0216666666666667,0.0353782505910166,0.0466666666666667,0.0438888888888889,0.0312004973913984,0.10440527726242,0.05,-0.0520634920634921,-0.1,0.0745385924462011,-0.05,0.0990909090909091,-0.0566666666666667,0.133367733058136,-0.0543410852713178,0.102215909090909,-0.0911111111111111,-0.0497257006559332,0.1,0.0571428571428571,-0.1,0.0813309870420733,0.0951636769028073,-0.14,0.153971244517463,-0.144395865107609
"RKIP",0.414893617021277,-0.254718409126498,-0.180165045682287,-0.27384126984127,-0.326852531181218,-0.303448275862069,-0.392100600338054,0.111111111111111,0.0120986887760693,0.153333333333333,0.00526315789473684,0.167857142857143,0,0.1,0.170887445887446,0,0.170143346170304,0,0.0416547106647537,0.142857142857143,0.1,0,-0.158306595365419,0.157778332778333,0.148376623376623,0.148376623376623,0.148376623376623,0.0456547106647537,-0.0456547106647537,0.04,0.0475656430796618,0.0333333333333333,0.0447619047619048,0.258000163876219,-0.171133445180205,-0.133333333333333,-0.00496952648851383,0,0.0544633573242612,0,-0.149333333333333,-0.00384615384615385,-0.178977932636469,-0.00910931174089069,-0.160808743169399,0.361344537815126,-0.00980861244019139,-0.1,-0.111111111111111,0.3,-0.107264957264957,-0.148963133640553,0.3,-0.339881248666714,0.183411310470134
"GSK3",0.49882766354682,-0.198663137601362,-0.415962055080782,-0.0367548428126988,-0.0192498347026211,-0.0266361983389847,0.0226719944268707,-0.0838382206029265,0.176898769132292,0.0984708839547549,0.161437534232933,0.204583333333333,0.151503759398496,0.1775,0.200309829059829,0.16000049142464,0.036807797299487,0.140789473684211,0.0369404116793831,0.17125,0.14,0.125,-0.261827436344086,0.303304787612215,0.298052686771879,0.298052686771879,0.298052686771879,0.0437189624441858,-0.0437189624441858,0.0706418219461698,0.0640153589782434,0.0582608695652174,0.0591435641064485,0.28964490346189,-0.0267628197882426,-0.062987012987013,-0.108214367514878,-0.140789473684211,0.170022969649458,-0.151503759398496,-0.0880414361019942,-0.168019359349168,-0.0217513954044524,-0.169056581851981,-0.103352440886683,0.295759240759241,-0.172885611237555,-0.0772727272727273,0.094327731092437,0.0309803921568627,0.0892927660574719,-0.097430303085777,0.0198692810457516,-0.531404900362245,0.0175317321489667
"Frizzled",0.567283176593521,-0.196215710594153,-0.397506826099237,-0.0484848484848485,-0.0198692810457516,-0.0309803921568627,0.0170869139562711,-0.0845238095238095,0.169056581851981,0.0772727272727273,0.140789473684211,0.1775,0.125,0.2,0.17125,0.140789473684211,0.0390578413834228,0.1,0.026890756302521,0.14,0.1,0.1,-0.246176470588235,0.291610109741067,0.281373889268626,0.281373889268626,0.281373889268626,0.0429151810446468,-0.0429151810446468,0.08,0.0706418219461698,0.0333333333333333,0.0582608695652174,0.271273291925466,-0.017562514280619,-0.05,-0.10091613812544,0,0.16446654040404,-0.125,-0.062987012987013,-0.151503759398496,-0.0262193126022913,-0.151503759398496,-0.0984708839547549,0.283571428571429,-0.161437534232933,-0.1,0.0928571428571429,0.0333333333333333,0.094327731092437,-0.0884142899584076,0.0133333333333333,-0.507073679552854,0.0204479418886199
"AKT",0.60189452124936,-0.113655552431072,-0.301089064123724,-0.0685897435897436,-0.0368399362235037,-0.0317766450842632,0.0957077819578014,-0.0955334987593052,0.190621248025969,0.058974358974359,0.165841694537347,0.288386123680241,0.155072463768116,0.266666666666667,0.217679052973171,0.165841694537347,0.0141637454981993,0.133333333333333,0.0513720197930724,0.296078431372549,0.3,0.1,-0.167657013653469,0.323634248790215,0.317610152404673,0.317610152404673,0.317610152404673,0.0424704343513098,-0.0424704343513098,0.171176470588235,0.167501968586418,0.191176470588235,0.176867527498804,0.307582997348444,-0.0299886613231151,-0.0666666666666667,-0.114272305312017,-0.133333333333333,0.162509171308593,-0.155072463768116,-0.0923076923076923,-0.176456219677012,-0.00200855281175394,-0.177706101317008,-0.0859919028340081,0.292557123183722,-0.18615970956443,-0.05,0.0923076923076923,0.019047619047619,0.0857774011983296,-0.089785058673173,0.0366946778711485,-0.541006729360987,-0.0344314798211899
