"","LIV1","TrCP","STAT","EGR1","DSH","SUFU","SRC","Frizzled","Csn","cfos","Wnt","RAF","PI3K","PAK1","NFB","FUS","ERK","DELTA","Csl","cMet","SOSGRB2","SMO","RAS","NOTCHic","MEK","IKK","GLI","CDC42","CD44","AXIN2","TWIST1","TGFR","TCFLEF","SNAI2","RKIP","Patched","NOTCH","GSK3","Destcompl","AKT","TGF","SNAI1","SHH","Jagged","ILK","HEY1","FOXC2","cateninnuc","cateninmemb","ZEB2","ZEB1","SMAD","miR200","KLF4","Ecadherin"
"SHH",0,0,0.1,0,0.2,0.2,0.1,0.2,0,0.1,0.3,0.3,0.3,0.2,0,0.2,0.2,0.3,0.1,0.2,0.3,0.3,0.4,0.2,0.3,0.1,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.4,0.3,0.4,0.5,0.2,0.5,0.4,0.4,0.3,0.2,0.2,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.4
"SNAI2",0.3,0.1,0.4,0.2,0.4,0.2,0.5,0.5,0.2,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.4,0.6,0.4,0.6,0.5,0.4,0.7,0.5,0.5,0.4,0.7,0.4,0.7,0.7,0.7,0.5,0.8,1,0.5,0.5,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.3,0.3,0.6,0.9,0.9,0.5,0.5,0.4,0.5,0.4,1
"Patched",0.1,0,0.1,0.1,0.2,0.2,0.2,0.3,0,0.2,0.4,0.4,0.4,0.3,0.1,0.3,0.3,0.4,0.2,0.3,0.4,0.4,0.5,0.3,0.4,0.2,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.6,0.3,0.6,0.5,0.5,0.4,0.3,0.3,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.5
"KLF4",0.3,0.1,0.4,0.2,0.4,0.2,0.5,0.5,0.2,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.4,0.6,0.4,0.6,0.5,0.4,0.7,0.5,0.5,0.4,0.7,0.4,0.7,0.7,0.7,0.5,0.8,0.8,0.5,0.5,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.3,0.3,0.6,0.9,0.9,0.5,0.5,0.4,0.5,0.4,0.9
"HEY1",0.3,0.1,0.4,0.2,0.4,0.2,0.5,0.5,0.2,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.4,0.6,0.4,0.6,0.5,0.4,0.7,0.5,0.5,0.4,0.7,0.4,0.7,0.7,0.7,0.5,0.8,0.8,0.5,0.5,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.3,0.3,0.6,0.9,0.9,0.5,0.5,0.4,0.5,0.4,0.9
"FOXC2",0.3,0.1,0.4,0.2,0.4,0.2,0.5,0.5,0.2,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.4,0.6,0.4,0.6,0.5,0.4,0.7,0.5,0.5,0.4,0.7,0.4,0.7,0.7,0.7,0.5,0.8,0.8,0.5,0.5,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.3,0.3,0.6,0.9,0.9,0.5,0.5,0.4,0.5,0.4,0.9
"CD44",0.1,0.1,0.1,0.4,0,0.1,0.2,0.1,0.2,0.5,0.2,0.5,0.5,0.2,0.3,0.1,0.6,0.5,0.3,0.3,0.6,0.2,0.6,0.4,0.7,0.4,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.6,0.6,0.3,0.5,0.6,0.5,0.5,0.5,0.6,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
"Wnt",0,0.1,0.1,0.1,0.2,0,0.2,0.3,0.1,0.2,0.3,0.5,0.5,0.3,0.2,0.1,0.3,0.5,0.2,0.3,0.4,0.2,0.6,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.7,0.7,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.6
"TWIST1",0.3,0.2,0.4,0.3,0.4,0.3,0.5,0.5,0.3,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.5,0.6,0.4,0.6,0.6,0.5,0.7,0.5,0.6,0.5,0.7,0.5,0.7,0.7,0.7,0.6,0.8,1,0.6,0.6,0.6,0.7,0.8,0.6,0.7,0.7,0.7,0.7,0.5,0.5,0.7,0.9,0.9,0.6,0.6,0.6,0.6,0.5,1
"SOSGRB2",0,0.3,0.1,0.5,0.1,0.2,0.2,0.2,0.4,0.6,0.3,0.7,0.7,0.3,0.5,0.3,0.7,0.7,0.5,0.3,0.7,0.4,0.8,0.6,0.8,0.6,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.8,0.7,0.5,0.7,0.8,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.5,0.7
