"","GSK3","SUFU","Patched","DSH","SRC","LIV1","Frizzled","EGR1","cfos","ERK","RAS","RAF","PI3K","DELTA","SNAI2","MEK","RKIP","GLI","SNAI1","cateninmemb","CD44","Destcompl","cateninnuc","Wnt","Ecadherin","TCFLEF","NFB","HEY1","SOSGRB2","cMet","AKT","AXIN2","FUS","SMAD","ILK","Csn","STAT","SHH","IKK","SMO","TrCP","TWIST1","Jagged","NOTCHic","NOTCH","Csl","PAK1","CDC42","TGFR","TGF","FOXC2","ZEB2","ZEB1","miR200","KLF4"
"TrCP",-0.108981601731602,-0.0476190476190476,-0.0585310348751209,-0.12,-0.123703703703704,-0.1,-0.123703703703704,-0.04,-0.0356521739130435,-0.027177597641857,-0.0205264505407977,-0.0191628141771614,-0.0191628141771614,0.0191628141771614,-0.098834400685089,0.031177597641857,-0.0969533413179822,0.127503446964294,-0.121099918379155,0.110075474380476,0.128119010099208,0.117866866335964,0.129608154415939,0.128966861598441,0.178651619566689,0.130711602691801,0.0208333333333333,0.0371740600288091,-0.173597359735974,0.129109109109109,0.0242446393762183,0.158307153700778,0.0476190476190476,0.0432565284178187,0.041321044546851,0.0333333333333333,0.12,0.0625310348751209,0.0260964912280702,0.0572964669738863,0.0333333333333333,-0.0638941276115189,0.0690162747102931,0.0669230769230769,0.0702197802197802,0.0653846153846154,-0.2,-0.213725490196078,-0.216755793226381,-0.216755793226381,-0.197986679953731,-0.467133188225424,-0.467133188225424,-0.483421921298899,-0.455420765027322
"LIV1",-0.108981601731602,-0.0476190476190476,-0.0585310348751209,-0.12,-0.123703703703704,-0.1,-0.123703703703704,-0.04,-0.0356521739130435,-0.027177597641857,-0.0205264505407977,-0.0191628141771614,-0.0191628141771614,0.0191628141771614,-0.098834400685089,0.031177597641857,-0.0969533413179822,0.127503446964294,-0.121099918379155,0.110075474380476,0.128119010099208,0.117866866335964,0.129608154415939,0.128966861598441,0.178651619566689,0.130711602691801,0.0208333333333333,0.0371740600288091,-0.173597359735974,0.129109109109109,0.0242446393762183,0.158307153700778,0.0476190476190476,0.0432565284178187,0.041321044546851,0.0333333333333333,0.12,0.0625310348751209,0.0260964912280702,0.0572964669738863,0.0333333333333333,-0.0638941276115189,0.0690162747102931,0.0669230769230769,0.0702197802197802,0.0653846153846154,-0.2,-0.213725490196078,-0.216755793226381,-0.216755793226381,-0.197986679953731,-0.467133188225424,-0.467133188225424,-0.483421921298899,-0.455420765027322
"EGR1",-0.108981601731602,-0.0476190476190476,-0.0585310348751209,-0.12,-0.123703703703704,-0.1,-0.123703703703704,-0.04,-0.0356521739130435,-0.027177597641857,-0.0205264505407977,-0.0191628141771614,-0.0191628141771614,0.0191628141771614,-0.098834400685089,0.031177597641857,-0.0969533413179822,0.127503446964294,-0.121099918379155,0.110075474380476,0.128119010099208,0.117866866335964,0.129608154415939,0.128966861598441,0.178651619566689,0.130711602691801,0.0208333333333333,0.0371740600288091,-0.173597359735974,0.129109109109109,0.0242446393762183,0.158307153700778,0.0476190476190476,0.0432565284178187,0.041321044546851,0.0333333333333333,0.12,0.0625310348751209,0.0260964912280702,0.0572964669738863,0.0333333333333333,-0.0638941276115189,0.0690162747102931,0.0669230769230769,0.0702197802197802,0.0653846153846154,-0.2,-0.213725490196078,-0.216755793226381,-0.216755793226381,-0.197986679953731,-0.467133188225424,-0.467133188225424,-0.483421921298899,-0.455420765027322
"cfos",-0.109345238095238,-0.0333333333333333,-0.0572964669738863,-0.1,-0.12,-0.1,-0.12,0.08,-0.04,-0.0356521739130435,-0.0191628141771614,-0.0228213507625272,-0.0228213507625272,0.0228213507625272,-0.0973877460738775,0.027177597641857,-0.0975058275058275,0.128966861598441,-0.122770562770563,0.111357525662527,0.129109109109109,0.117415738516416,0.130711602691801,0.123703703703704,0.176506290846965,0.128119010099208,0.0333333333333333,0.0342328835582209,-0.166666666666667,0.123703703703704,0.0260964912280702,0.156420361247947,0.0476190476190476,0.041321044546851,0.0380952380952381,0.0333333333333333,0.1,0.0585310348751209,0.0208333333333333,0.0476190476190476,0,-0.0633506493506494,0.0684027777777778,0.0653846153846154,0.0669230769230769,0.05,-0.185714285714286,-0.2,-0.213725490196078,-0.216755793226381,-0.199365990298558,-0.4584515161997,-0.4584515161997,-0.474284865461336,-0.440666666666667
"Csl",-0.0398423083844665,-0.0333333333333333,-0.0464019851116625,-0.0123076923076923,-0.0274592074592075,-0.02,-0.0274592074592075,-0.0533333333333333,-0.0461904761904762,-0.0433333333333333,-0.0351995984437117,-0.039611363149594,-0.039611363149594,0.039611363149594,-0.0755590162666851,0.0422463768115942,-0.0736256734956386,0.0271903902549064,-0.0948680626941496,0.0237055028414472,0.0275220018077161,0.0119937248984559,0.0273060441612529,0.0199323257387774,0.056405701127063,0.0227891773802352,0.0222222222222222,-0.0632037073469299,-0.137125685610923,0.0197668997668998,0.0237726098191214,0.0267009676095625,0.041025641025641,0.0413646225876442,0.0402535114765331,0.0222222222222222,0.0123076923076923,0.044677847180628,0.0198966408268734,0.041025641025641,0.0333333333333333,-0.0842573399525432,0.0365335205173781,0.0415862236235751,0.0361316781690296,0.0310599078341014,-0.192888888888889,-0.202566308243728,-0.203203250918887,-0.203430008288501,-0.1990730441231,-0.442625154580475,-0.442625154580475,-0.458627141870937,-0.433643892339544
"NOTCHic",-0.0385168297394003,-0.0333333333333333,-0.041025641025641,-0.02,-0.0123076923076923,0,-0.0123076923076923,-0.02,-0.0533333333333333,-0.0461904761904762,-0.039611363149594,-0.0351778656126482,-0.0351778656126482,0.0351778656126482,-0.079958717981823,0.0433333333333333,-0.0722431850163759,0.0199323257387774,-0.098030118030118,0.0183538208842607,0.0197668997668998,0.012785924776579,0.0227891773802352,0.0274592074592075,0.0600103522898537,0.0275220018077161,0.0222222222222222,-0.0638573021181717,-0.129808612440191,0.0274592074592075,0.0198966408268734,0.0223307876609763,0.0333333333333333,0.0402535114765331,0.0380952380952381,0.0333333333333333,0.02,0.0464019851116625,0.0222222222222222,0.041025641025641,0,-0.0871918771985929,0.0308043538507115,0.0310599078341014,0.0415862236235751,0.134285714285714,-0.188888888888889,-0.192888888888889,-0.202566308243728,-0.203203250918887,-0.196774193548387,-0.435442834138486,-0.435442834138486,-0.45274478892976,-0.426501035196687
"NOTCH",-0.0409961685823755,0,-0.041025641025641,0,-0.02,0,-0.02,0,-0.02,-0.0533333333333333,-0.0351778656126482,-0.0424242424242424,-0.0424242424242424,0.0424242424242424,-0.0741470947353301,0.0461904761904762,-0.0736516357206013,0.0274592074592075,-0.0953846153846154,0.0242361738254372,0.0274592074592075,0.0111192581099123,0.0275220018077161,0.0123076923076923,0.0540379173740804,0.0197668997668998,0.0333333333333333,-0.0623188405797102,-0.125263157894737,0.0123076923076923,0.0222222222222222,0.0237196765498652,0.0333333333333333,0.0380952380952381,0.0380952380952381,0,0,0.041025641025641,0.0222222222222222,0.0333333333333333,0,-0.0853050847457627,0.0354401154401154,0.134285714285714,0.0310599078341014,0.12,-0.2,-0.188888888888889,-0.192888888888889,-0.202566308243728,-0.2,-0.427294685990338,-0.427294685990338,-0.440606060606061,-0.405072463768116
"Jagged",-0.0409961685823755,0,-0.0333333333333333,0,0,0,0,0.1,0,-0.02,-0.0424242424242424,-0.0333333333333333,-0.0333333333333333,0.0333333333333333,-0.0789089994972348,0.0533333333333333,-0.0564102564102564,0.0123076923076923,-0.1,0.0153356502652277,0.0123076923076923,0.012988416988417,0.0197668997668998,0.02,0.0580701754385965,0.0274592074592075,0,-0.0666666666666667,-0.12,0.02,0.0222222222222222,0.0142857142857143,0,0.0380952380952381,0.0333333333333333,0,0,0.041025641025641,0.0333333333333333,0.0333333333333333,0,-0.087,0.0243290043290043,0.12,0.134285714285714,0.1,-0.2,-0.2,-0.188888888888889,-0.192888888888889,-0.185714285714286,-0.405072463768116,-0.405072463768116,-0.420606060606061,-0.383333333333333
"DELTA",-0.0409961685823755,0,-0.0333333333333333,0,0,0,0,0.1,0,-0.02,-0.0424242424242424,-0.0333333333333333,-0.0333333333333333,0.0333333333333333,-0.0789089994972348,0.0533333333333333,-0.0564102564102564,0.0123076923076923,-0.1,0.0153356502652277,0.0123076923076923,0.012988416988417,0.0197668997668998,0.02,0.0580701754385965,0.0274592074592075,0,-0.0666666666666667,-0.12,0.02,0.0222222222222222,0.0142857142857143,0,0.0380952380952381,0.0333333333333333,0,0,0.041025641025641,0.0333333333333333,0.0333333333333333,0,-0.087,0.0243290043290043,0.12,0.134285714285714,0.1,-0.2,-0.2,-0.188888888888889,-0.192888888888889,-0.185714285714286,-0.405072463768116,-0.405072463768116,-0.420606060606061,-0.383333333333333
"SRC",-0.0735930735930736,0.0333333333333333,0.0244444444444444,0,0.05,0.2,0.05,0.166666666666667,0.157575757575758,0.157575757575758,0.0157571964956195,0.0324238631622862,0.0324238631622862,-0.0324238631622862,-0.00822140038778113,-0.151915380217267,-0.0751710654936461,-0.0413114754098361,-0.184550352081371,0.011311180960934,-0.0413114754098361,-0.119591893613633,-0.0353230430422909,-0.02,0.0744810146280735,-0.0230187924830068,0.05,0.0442568685865607,-0.0142857142857143,-0.02,0.0675213675213675,-0.0951315398019465,-0.0333333333333333,0.00852892366050261,0.00942982456140351,0.05,-0.1,-0.0126797385620915,0.0730769230769231,-0.0133333333333333,0.1,-0.124918529746116,-0.00714302517054811,-0.103333333333333,-0.0854761904761905,-0.07,-0.311111111111111,-0.298611111111111,-0.298611111111111,-0.294974747474748,-0.297082166199813,-0.395043426175502,-0.395043426175502,-0.412042160737813,-0.493152454780362
"GLI",-0.0184683007273731,-0.180952380952381,-0.190297171500179,-0.2,-0.129677419354839,-0.1,-0.209677419354839,-0.142857142857143,-0.13452380952381,-0.130627705627706,-0.0932556269977489,-0.0926615675918083,-0.0926615675918083,0.0926615675918083,-0.100624816567283,0.131180191815551,-0.112371838687628,0.113632363034438,-0.096693979207706,0.103115046695911,0.135417537100844,0.141159361339899,0.137186270459535,0.213206831119545,0.168345028711161,0.137365589048896,0.0391812865497076,0.0715083774930974,-0.340047504118301,0.134555468135327,0.038702970223177,0.164189311594203,0.180952380952381,0.0795970169368998,0.0785159358558187,0.0444444444444444,0.12,0.192354784668903,0.037140470223177,0.186215538847118,0.0333333333333333,-0.0441141927304916,0.107085139105387,0.10788240495137,0.109787166856132,0.10288240495137,-0.255,-0.265344827586207,-0.267231620039037,-0.267937502391978,-0.157456140350877,-0.38886712749616,-0.38886712749616,-0.406319305049955,-0.38041184041184
"Destcompl",-0.247106132915178,-0.166666666666667,-0.188958200396471,-0.282539682539683,-0.278430093498587,-0.261111111111111,-0.278430093498587,0.0333333333333333,0.0242424242424242,0.0236959761549925,-0.0976628322191962,-0.0946801006650361,-0.0946801006650361,0.0946801006650361,-0.130233927098703,-0.0211643305853723,-0.274762256536535,0.281341609139947,-0.284582272461173,-0.24531908429693,0.282037058672716,0.153635067136583,0.282781017933088,0.286350885577795,0.00426228987881692,0.286146647713812,-0.0857142857142857,0.0243523997370151,-0.195099624383092,0.286887804941373,-0.0832232040285732,0.34024714910995,0.177011494252874,0.0401002506265664,0.0390476190476191,-0.0857142857142857,0.282539682539683,0.19263324875237,-0.0812097812097812,0.188440065681445,-0.1,-9.22993024343163e-05,0.267255502440387,0.169020759890325,0.175233184740024,0.171194672933803,-0.218979591836735,-0.221048557353976,-0.223153820511871,-0.223055298344383,-0.183094605081606,-0.380131785677577,-0.380131785677577,-0.394071513166768,-0.361565012864635
"cateninnuc",-0.196245572170284,-0.188888888888889,-0.232941429363382,-0.191841491841492,-0.225174825174825,-0.23030303030303,-0.22334834115656,0.111594202898551,0.119530710835059,0.105606660202147,0.0198937098937099,0.00777249777249776,0.00777249777249776,-0.00777249777249776,-0.0248184993890191,-0.111111247358111,-0.221180134175171,0.215937273962884,-0.233087718527453,-0.155015251710397,0.218239007369442,0.184834766922572,0.113741180301012,0.196174428113082,-0.00560094956449685,0.201286057406783,0.0356060606060606,0.00864510155196361,-0.208212197621814,0.198000912131347,0.0368873106060606,0.404258803167524,0.228888888888889,0.024091444556656,0.0245007215007215,0.00833333333333333,0.191841491841492,0.223573237642249,0.0236060606060606,0.217413479052823,0.0333333333333333,0.0687530002862645,0.203707735394615,0.103012452736536,0.0848306345547181,0.0785938480853735,-0.175428571428571,-0.176967032967033,-0.173518757104964,-0.173955438327671,-0.0588222706255493,-0.31624579986938,-0.31624579986938,-0.32810336580891,-0.25149648690574
"ERK",0.0273532158482011,0.08,0.0816856316297011,0.00333333333333333,0.0224021592442645,0.0333333333333333,0.0187179487179487,0.109655172413793,0.0947615553925165,0.00142822205918317,0.0913344026710363,0.0967249417249417,0.0967249417249417,-0.0967249417249417,0.0735905812789322,-0.00226387665528345,0.0918272762850925,-0.0138070701228596,-0.0810730896495516,0.139936142394411,-0.0176405086810872,-0.189388801538126,-0.0155507214031029,-0.00403263403263403,0.169408968924485,-0.00964794362532515,-0.0698051948051948,-0.0640024893666782,0.00535182616736015,-0.00771684455894982,-0.0759681737582439,-0.0167506330041063,-0.084,-0.0726231150921015,-0.073534969195445,-0.0607142857142857,-0.00701754385964912,-0.0768547137553049,-0.0686287242169595,-0.0758032786885246,-0.0857142857142857,-0.164285826490281,-0.0917153207446949,-0.109000448051543,-0.0993051571928172,-0.100971250971251,-0.170476190476191,-0.169541611036938,-0.176840881109931,-0.178214507483557,-0.174053815088298,-0.30894038496264,-0.30894038496264,-0.323539322638617,-0.306405080466673
"RAF",0.0247832939322301,0.1,0.084,0,0.0333333333333333,0,0.0333333333333333,0.17,0.12,0.109655172413793,0.0881535131535132,0.100974025974026,0.100974025974026,-0.100974025974026,0.0733604359736551,-0.0947615553925165,0.106022408963585,-0.0187179487179487,-0.0817853403618023,0.137079768844475,-0.0224021592442645,-0.188285070125611,-0.0176405086810872,-0.00333333333333333,0.169024222948748,-0.00771684455894982,-0.0857142857142857,-0.0643437862950058,0.00882539682539682,-0.00701754385964912,-0.0698051948051948,-0.0202180028129395,-0.1,-0.0731659655054081,-0.0721758664955071,-0.1,0,-0.0758032786885246,-0.0607142857142857,-0.08,-0.1,-0.161639928698752,-0.0938879456706282,-0.12020202020202,-0.100971250971251,-0.111111111111111,-0.2,-0.18,-0.170476190476191,-0.169541611036938,-0.163321544356027,-0.295630798660928,-0.295630798660928,-0.309788032648937,-0.291630798660928
"SOSGRB2",-0.114168374869637,0.2,0.186036036036036,0,0.0428571428571429,0,0.0428571428571429,0.247619047619048,0.236507936507937,0.228399828399828,0.0512096190062292,0.064030131826742,0.064030131826742,-0.064030131826742,0.0700586529795574,-0.216278616278616,0.0629020467836257,-0.0337991718426501,-0.167775408670931,0.156022854022854,-0.0370600414078675,-0.229550278207996,-0.032362446560328,-0.0178571428571429,0.187609362012719,-0.0233758308815517,-0.0888888888888889,-0.0664772727272727,0.0911111111111111,-0.0211180124223602,-0.0625730994152047,-0.0359942244224422,-0.2,-0.174032634032634,-0.173333333333333,-0.1,0,-0.17905929184999,-0.0625730994152047,-0.183333333333333,0,-0.129130434782609,-0.201071752336251,-0.224475524475524,-0.211799468137496,-0.209090909090909,-0.214285714285714,-0.204285714285714,-0.192747252747253,-0.186364274023848,-0.183687423687424,-0.295200501253133,-0.295200501253133,-0.310268138701784,-0.293771929824561
"AKT",0.111947237350463,0,0.00769230769230769,0.111111111111111,0.106763285024155,0.1,0.106763285024155,-0.0333333333333333,-0.0392156862745098,-0.0342976534876246,0.0370691518966812,0.0344185494870426,0.0344185494870426,-0.0344185494870426,0.0214673519915267,0.0279685395635739,0.0399131558978106,-0.104391132037476,0.045518203721865,0.144255021437211,-0.104346944302729,-0.196871440673046,-0.104048768251976,-0.108301746562616,0.163660314215016,-0.106202614405822,0.0725490196078431,0.0164874652578374,0.0204700854700855,-0.108301746562616,-0.0361533890945656,-0.153052088705518,0,0.0217468644023266,0.0214101640656262,0.0666666666666667,-0.111111111111111,-0.0108502024291498,0.0648567119155354,-0.00769230769230769,0.0333333333333333,0.0192993627730463,-0.0196886255373533,0.0455334987593052,0.0443139865641833,0.0423076923076923,0.0544117647058824,0.0544117647058824,0.0487207077953133,0.0466059041699356,0.0361725044318112,-0.218340559812594,-0.218340559812594,-0.223795172396908,-0.218398560503824
