"","SUFU","Csn","SHH","RAF","DELTA","RAS","Destcompl","TGFR","AKT","CDC42","TWIST1","miR200","TGF","KLF4","PAK1","NFB","cateninnuc","CD44","TCFLEF","AXIN2","Ecadherin","cateninmemb","ZEB2","ZEB1","SNAI2","GSK3","RKIP","Csl","NOTCH","NOTCHic","EGR1","SNAI1","Jagged","MEK","SOSGRB2","ERK","cfos","STAT","SRC","cMet","Frizzled","DSH","IKK","SMAD","Wnt","GLI","SMO","ILK","HEY1","PI3K","TrCP","LIV1","Patched","FUS","FOXC2"
"ILK",0.1,0.1,0.194017094017094,-0.306285714285714,-0.306285714285714,-0.291217221135029,0.207212356060368,-0.276882352941176,0.23921568627451,-0.280882352941176,0.0380103859077487,-0.182978544863791,-0.287451458632233,0.341008771929825,-0.275,0.2,-0.235981943032973,-0.236142697881828,-0.237837613136066,-0.147142857142857,-0.178216038328255,0.00447071208408416,-0.339662025090478,-0.339662025090478,-0.133320504396258,0.227477152477152,-0.234146735617324,-0.3,-0.337965260545906,-0.315384615384615,-0.2,-0.310205314009662,-0.264824561403509,-0.273150571704091,-0.218846153846154,-0.274789915966387,-0.257142857142857,0.2,0.233333333333333,0.23768115942029,0.233333333333333,0.2,-0.205882352941176,-0.300764465786315,0.23768115942029,0.236142697881828,-0.133333333333333,-0.311164465786315,-0.325184138835637,0.306285714285714,0,0.1,-0.171794871794872,-0.15,-0.292566782810685
"TCFLEF",0.166666666666667,-0.0506493506493506,0.207377324173287,0.0533005635857621,0.0533005635857621,0.052906345451728,0.159790176705527,-0.0350280596748756,-0.000781187956503521,-0.0219439475253429,0.273457520244465,-0.185749752255776,-0.0350280596748756,0.224867901706137,-0.0358974358974359,-0.0386493506493506,-0.0245624209264552,0.0778717142396388,-0.0243046889676923,0.0142837606837607,0.0689549730015854,0.093541235999231,-0.333049308878256,-0.333049308878256,-0.313303604866181,0.192332486282781,-0.275089773614364,0.157739518571656,0.132353550230832,0.145974812689303,0.0657142857142857,-0.313775471390534,0.0176281895151305,0.0109175377468061,-0.0401553815446031,0.0252032520325203,0.0242508710801394,-0.0875,-0.0825,-0.0816452991452991,-0.0891176470588235,-0.0941176470588235,0.0225203183912861,-0.171522376832631,-0.0882629462041227,-0.0845362381295885,-0.179047619047619,-0.17018394471026,-0.108080438988803,-0.0533005635857621,0.114285714285714,-0.1,-0.200015360983103,-0.16,-0.493604532436041
"RAS",0.1,0.1,0.284971751412429,-0.304102564102564,-0.304102564102564,-0.398333333333333,0.251908038535945,-0.197647058823529,0.308888888888889,-0.18,0.117359519912711,-0.206184615384615,-0.19863715783343,0.315357142857143,-0.1,0.2,-0.187661742682821,-0.190050062578223,-0.188511601039761,-0.139631093544137,-0.0591978240571591,0.0276289353853067,-0.324635493372607,-0.324635493372607,-0.348071990467205,0.347958656330749,-0.36011320754717,-0.2,-0.303475670307845,-0.278947368421053,-0.1,-0.328947885939036,-0.315024640252316,-0.203224974200206,-0.0502164502164502,-0.193421052631579,-0.125,0.1,0.15,0.179411764705882,0.15,0.1,-0.286666666666667,-0.359369202226345,0.179411764705882,0.187745098039216,-0.266666666666667,-0.324675324675325,-0.234584980237154,0.304102564102564,0,0,-0.286666666666667,-0.2,-0.322698412698413
"SUFU",0.253333333333333,0.05,0.276281931281931,-0.111138642382295,-0.111138642382295,-0.108290541116472,0.168345963167323,-0.0799415372819628,0.0936210635002581,-0.0735585585585586,0.085704170431119,-0.175801732246741,-0.0702768430018839,0.312083210627924,-0.0816666666666667,0.062,-0.0982208631084494,-0.0967055178399072,-0.0972489961007768,-0.0656486744917939,-0.126323930334057,-0.0914886883917956,-0.322982738899865,-0.322982738899865,0.0329872554672599,0.175060542901041,-0.231047057998457,0.0183333333333333,0.00855699855699857,0.00696969696969699,-0.123076923076923,-0.268526236342878,-0.0846842363231912,-0.144924896575667,0.0342902711323764,-0.138541917852263,-0.144289044289044,0.12,0.108888888888889,0.0982092772384034,0.00138888888888889,0.0125,-0.0889230769230769,-0.210745971437322,-0.0101495726495726,-0.0120083087090522,-0.256111111111111,-0.211438812083973,-0.206990024119411,0.111138642382295,0.05,0.1,-0.271262626262626,-0.228333333333333,-0.333144136760143
"GSK3",0.122727272727273,0.3,0.167771683946025,-0.274649079011479,-0.274649079011479,-0.270237314305596,0.191765508914456,-0.174180679694996,0.317071912761568,-0.182194616977226,0.116995161319493,-0.161225604015739,-0.170847346361662,0.318153722617039,-0.173623188405797,0.325,-0.209984915505816,-0.211827665189464,-0.210313862874237,-0.133327954133338,-0.143797893900026,0.0199972955939907,-0.307173771401505,-0.307173771401505,-0.22772272528116,0.104463637421756,-0.189876614613457,-0.322058823529412,-0.314706176176764,-0.322758124228712,-0.257647058823529,-0.27929502303112,-0.231011397588978,-0.236124977104079,-0.194756183502638,-0.24578406801317,-0.246535947712418,0.219736842105263,0.212593984962406,0.213256236618035,0.212593984962406,0.219736842105263,-0.330747126436782,-0.268809777540598,0.211940390191164,0.210053597738334,-0.175415444770283,-0.267760302278229,-0.293138621021772,0.274649079011479,-0.3,0.225,-0.171120966242676,-0.156060606060606,-0.360997411401328
"Jagged",0,0,0.198076923076923,0.0333333333333333,0.0333333333333333,0.0424242424242424,-0.0370965250965251,-0.111111111111111,0.166666666666667,-0.1,0.155,-0.147272727272727,-0.0911111111111111,0.305555555555556,0,0.1,-0.0362171162171162,-0.0276923076923077,-0.0307226107226107,-0.0142857142857143,-0.0671228070175438,-0.0250942015730748,-0.301207729468599,-0.301207729468599,-0.168652589240825,-0.0908045977011494,-0.194871794871795,0,-0.0457142857142857,-0.06,-0.1,-0.275,-0.174718614718615,-0.253333333333333,-0.16,-0.22,-0.2,0,0,0.02,0,0,-0.2,-0.269047619047619,0.02,0.0276923076923077,-0.2,-0.216666666666667,-0.116666666666667,-0.0333333333333333,0,0,-0.175,-0.1,-0.361428571428571
"DELTA",0,0,0.198076923076923,0.0333333333333333,0.0333333333333333,0.0424242424242424,-0.0370965250965251,-0.111111111111111,0.166666666666667,-0.1,0.155,-0.147272727272727,-0.0911111111111111,0.305555555555556,0,0.1,-0.0362171162171162,-0.0276923076923077,-0.0307226107226107,-0.0142857142857143,-0.0671228070175438,-0.0250942015730748,-0.301207729468599,-0.301207729468599,-0.168652589240825,-0.0908045977011494,-0.194871794871795,0,-0.0457142857142857,-0.06,-0.1,-0.275,-0.174718614718615,-0.253333333333333,-0.16,-0.22,-0.2,0,0,0.02,0,0,-0.2,-0.269047619047619,0.02,0.0276923076923077,-0.2,-0.216666666666667,-0.116666666666667,-0.0333333333333333,0,0,-0.175,-0.1,-0.361428571428571
"SHH",0.2,0,0.253333333333333,-0.1,-0.1,-0.123076923076923,0.178441558441558,0,-0.05,0.1,0.075,-0.166666666666667,-0.04,0.25,0,0,-0.108888888888889,-0.1,-0.12,-0.0761904761904762,-0.121388888888889,-0.0834408602150538,-0.3,-0.3,0.0311877394636015,0.21025641025641,-0.22,0.1,0.133333333333333,0.2,0,-0.283333333333333,-0.06,-0.1,0.05,0,-0.1,-0.1,-0.1,0,-0.2,-0.2,0.1,-0.133333333333333,-0.1,0,-0.3,-0.133333333333333,-0.133333333333333,0.1,0,0,-0.333333333333333,-0.2,-0.325
"NOTCHic",0.2,0.2,0.224262881331193,0.055467720685112,0.055467720685112,0.0559603315225504,-0.0501089861557151,-0.104014336917563,0.209819121447028,-0.0911111111111111,0.159455814945102,-0.150707904811951,-0.103377394242404,0.29763630089717,-0.111111111111111,0.166666666666667,-0.0300541624860055,-0.0362171162171162,-0.0341762998905856,-0.0189502845163223,-0.0671635618463736,-0.0228491584032523,-0.299726247987118,-0.299726247987118,-0.17149849268793,-0.109193027453216,-0.196911620029638,-0.0457142857142857,-0.175001212709192,-0.16184331797235,-0.22,-0.269660154660155,-0.198927591907724,-0.246190476190476,-0.156172248803828,-0.246190476190476,-0.253333333333333,0.02,0.0276923076923077,0.0307226107226107,0.0276923076923077,0.02,-0.188888888888889,-0.257800616649538,0.0307226107226107,0.0339484171742236,-0.198076923076923,-0.265714285714286,-0.174726867335563,-0.055467720685112,-0.1,0,-0.227488687782805,-0.175,-0.358531928900592
"NOTCH",0.1,0.1,0.227488687782805,0.0424242424242424,0.0424242424242424,0.055467720685112,-0.0464423194890485,-0.0911111111111111,0.188888888888889,-0.111111111111111,0.160084745762712,-0.15012987012987,-0.104014336917563,0.301207729468599,-0.1,0.2,-0.0341762998905856,-0.0307226107226107,-0.0362171162171162,-0.0161725067385445,-0.0679292586304471,-0.0214292801071062,-0.297504025764895,-0.297504025764895,-0.171298091886327,-0.0976227795193313,-0.198320070733864,-0.06,-0.16184331797235,-0.0457142857142857,-0.2,-0.276538461538462,-0.196940836940837,-0.246190476190476,-0.165263157894737,-0.253333333333333,-0.22,0,0.02,0.0276923076923077,0.02,0,-0.166666666666667,-0.265714285714286,0.0276923076923077,0.0307226107226107,-0.175,-0.269047619047619,-0.173188405797101,-0.0424242424242424,0,0,-0.198076923076923,-0.2,-0.35530612244898
