"","KLF4","GSK3","TGFR","CDC42","ERK","cfos","Csl","TrCP","FUS","AKT","RAF","PI3K","RKIP","SMO","Destcompl","RAS","SUFU","SOSGRB2","ILK","Wnt","Frizzled","GLI","CD44","cateninnuc","DSH","cateninmemb","Ecadherin","LIV1","STAT","TCFLEF","SRC","cMet","AXIN2","SNAI2","SNAI1","SMAD","SHH","Patched","HEY1","DELTA","NFB","TWIST1","IKK","Jagged","NOTCHic","NOTCH","Csn","MEK","EGR1","FOXC2","TGF","PAK1","ZEB2","ZEB1","miR200"
"CD44",0.26984126984127,-0.351785714285714,0.2725,0.26,-0.075,-0.075,0,-0.1,0.1,-0.00666666666666667,-0.214285714285714,-0.214285714285714,0.0562962962962963,0.15,-0.2392065917276,-0.217142857142857,0.1,0.183333333333333,0.116666666666667,0.05,0.1,0.0566666666666667,0.0566666666666667,0.0837149672033393,0,0.0343772893772894,-0.0447177288025187,-0.1,-0.1,-0.0729457364341085,-0.2,-0.15,-0.06,0.0231235431235431,-0.250877192982456,-0.106462585034014,-0.120909090909091,-0.13,-0.0730994152046784,0.214285714285714,0,-0.204835164835165,0,-0.127832167832168,-0.0142857142857143,0.00150375939849624,0,0.045,0.1,-0.27375,-0.2725,-0.2,-0.16031746031746,-0.16031746031746,0.0732367149758454
"TGF",0.154055428426138,-0.134240362811791,0.226349206349206,0.231111111111111,0.056641604010025,0.0619047619047619,0.0133333333333333,0,0.113333333333333,-0.00050125313283208,-0.107142857142857,-0.107142857142857,0.131168831168831,0.113333333333333,-0.071597710646702,-0.0982142857142857,0.133333333333333,0.169736842105263,0.0796969696969697,-0.0557142857142857,-0.0857142857142857,-0.0538274932614555,-0.0681132075471698,-0.0719409587433421,-0.1,-0.161732790691868,-0.16304073752406,0,0.1,0.0733763654419066,0.1,0.07,0.0644179894179894,-0.0385917317348504,-0.205410044500954,-0.0748582600195503,-0.0904885057471264,-0.102988505747126,-0.0948420373952289,0.107142857142857,-0.0333333333333333,-0.208333333333333,-0.00476190476190476,-0.0864690721649485,0.00666666666666667,-0.00022988505747126,-0.0333333333333333,-0.0633082706766917,-0.0333333333333333,-0.321490683229814,-0.324563492063492,-0.22,-0.154055428426138,-0.154055428426138,0.0422685073547143
"TWIST1",0.102053366687513,0.0510493166963755,-0.0428382967607106,-0.0415882967607106,-0.0727993897787948,-0.067536231884058,0.0437037037037037,0.1,0.0888888888888889,0.0614049792015894,-0.0455279124792091,-0.0455279124792091,0.115735922257661,0.0848888888888889,0.0519869199750013,-0.0451854467257845,0.1,-0.0377144086526238,0.121539721539722,0.033625730994152,0.0388888888888889,0.033625730994152,0.0329075165911874,0.0350745397611105,0.0333333333333333,0.034623030035217,0.0323064093429334,-0.0333333333333333,-0.0333333333333333,-0.0321418198071139,-0.0388888888888889,-0.0325059101654846,-0.0429645086096699,0.0391887949523666,-0.130626716786585,-0.117249292496817,-0.0832423540349851,-0.080779299847793,-0.131501831501831,0.0455279124792091,-0.0576923076923077,-0.0821098034942429,-0.0529304029304029,-0.0362799464434141,-0.0437037037037037,-0.0455904961565339,-0.05,0.0663317280872525,0.106666666666667,-0.000245394140742981,0.0444328297903233,0.0484848484848485,-0.0970742672497058,-0.0970742672497058,0.0683125458547322
"MEK",0.0709230033476805,-0.243221170880745,0.140089007565643,0.144761904761905,-0.0144240645634629,-0.016551724137931,0.0797979797979798,0.1,0.08,0.0652998472116119,-0.094017094017094,-0.094017094017094,0.0803331859059413,0.068,-0.269369915826025,-0.0981440781440781,0.1,0.192825396825397,0.0586792536763304,0.0330769230769231,0.01,0.0183916083916084,0.0136547662863452,0.0174625739237167,0,-0.13829284911064,-0.167515634580961,0,0,-0.0195071835891442,-0.00526315789473684,-0.0283400809716599,-0.00321333992220068,0.0792740061833416,-0.0919825835996322,-0.0575722426062197,-0.0565567341690775,-0.0663606557377049,-0.0734058353570549,0.094017094017094,-0.0732142857142857,-0.0457918878507114,-0.0641233766233766,-0.0845935568694343,-0.075951825951826,-0.0854408770467165,-0.0857142857142857,-0.0822426021032037,0.02,-0.149439227025434,-0.140818934572942,-0.14,-0.0856102115643005,-0.0856102115643005,0.0642765080863916
"Csl",0.0631469979296066,-0.0283357615751049,0.1753347487615,0.184888888888889,0.19952380952381,0.193809523809524,-0.051705069124424,-0.0333333333333333,-0.041025641025641,-0.0527131782945736,-0.00614627751059535,-0.00614627751059535,0.0931877049926839,-0.0645550527903469,-0.0922645505259765,-0.0112933363341248,-0.0333333333333333,0.0946392033298323,-0.0692702980472765,-0.0462906985487631,-0.0473659673659674,-0.0511294082261824,-0.0507568621854336,-0.0463865567982767,-0.0261538461538462,-0.123404769497607,-0.109978433009961,0.08,0.0261538461538462,0.0463293812694031,0.0473659673659674,0.0462670662670663,0.0554768371916842,-0.108472632851355,-0.0502003632438415,0.069825853602832,0.0561661021043996,0.0570281710699168,-0.025023717402234,0.00614627751059535,0.0666666666666667,-0.0560244300532535,0.0550387596899225,0.0519934722500948,0.0543366480717924,0.0525184662536106,0.0666666666666667,-0.188654244306418,-0.186666666666667,-0.152537210657344,-0.174200961913428,-0.184888888888889,-0.0763426481970801,-0.0763426481970801,0.0451173937199099
"TrCP",0.0558516783762685,0.008,0.160376878023937,0.169467787114846,0.20412675018423,0.195652173913043,-0.0435897435897436,-0.0333333333333333,-0.0476190476190476,-0.0478070175438596,0.0281922525107604,0.0281922525107604,0.080240440958673,-0.0701996927803379,-0.0902882205513784,0.0227377070562149,-0.0476190476190476,0.0722084708470847,-0.0682027649769585,-0.0606627680311891,-0.0659259259259259,-0.0660286216897257,-0.0654710155700255,-0.0626383208062962,-0.04,-0.105335599963595,-0.0786569395392675,0.1,0.04,0.0613969414959514,0.0659259259259259,0.0605205205205205,0.0696210924187502,-0.0920829898488588,-0.0338826582317716,0.0675576036866359,0.061557717471696,0.061557717471696,0.072992180380398,-0.0281922525107604,0.0583333333333333,-0.0522617165443252,0.0478070175438596,0.0520488241308793,0.0482051282051282,0.046007326007326,0.0583333333333333,-0.189460083517563,-0.2,-0.143119491699119,-0.159283981849073,-0.171428571428571,-0.0707354531545028,-0.0707354531545028,0.0439543237691939
"PAK1",0.0558516783762685,0.008,0.160376878023937,0.169467787114846,0.20412675018423,0.195652173913043,-0.0435897435897436,-0.0333333333333333,-0.0476190476190476,-0.0478070175438596,0.0281922525107604,0.0281922525107604,0.080240440958673,-0.0701996927803379,-0.0902882205513784,0.0227377070562149,-0.0476190476190476,0.0722084708470847,-0.0682027649769585,-0.0606627680311891,-0.0659259259259259,-0.0660286216897257,-0.0654710155700255,-0.0626383208062962,-0.04,-0.105335599963595,-0.0786569395392675,0.1,0.04,0.0613969414959514,0.0659259259259259,0.0605205205205205,0.0696210924187502,-0.0920829898488588,-0.0338826582317716,0.0675576036866359,0.061557717471696,0.061557717471696,0.072992180380398,-0.0281922525107604,0.0583333333333333,-0.0522617165443252,0.0478070175438596,0.0520488241308793,0.0482051282051282,0.046007326007326,0.0583333333333333,-0.189460083517563,-0.2,-0.143119491699119,-0.159283981849073,-0.171428571428571,-0.0707354531545028,-0.0707354531545028,0.0439543237691939
"Patched",0.0444444444444444,-0.226739926739927,0.353333333333333,0.333333333333333,0.16,0.1,-0.2,0,0.1,-0.135714285714286,-0.126923076923077,-0.126923076923077,0.191428571428571,0.0666666666666667,-0.206673326673327,-0.139423076923077,0,0.2,-0.0833333333333333,-0.1,-0.1,-0.1125,-0.02,-0.0115318230852211,-0.2,-0.106344086021505,-0.0496116504854369,0.1,0.1,0.0144444444444444,0,0,-0.00995670995670996,-0.00324904214559387,-0.156989247311828,0.0933333333333333,-0.0941666666666667,-0.106666666666667,0.0897435897435897,0.126923076923077,0.1,-0.0740740740740741,0.15,0.112804232804233,0.2,0.190909090909091,0,-0.183076923076923,-0.1,-0.23,-0.336666666666667,-0.233333333333333,-0.0666666666666667,-0.0666666666666667,0.0476190476190476
"FOXC2",0.0518518518518519,-0.104159668433645,0.0457575757575758,0.0470909090909091,-0.0432085561497326,-0.0490909090909091,-0.0709090909090909,-0.1,-0.0333333333333333,-0.0805291005291005,-0.0817948717948718,-0.0817948717948718,0.0545866831581117,-0.0333333333333333,-0.0989792720350421,-0.0803242835595777,0,0.0844625500285878,-0.0146666666666667,0.0133606931144551,0.0156862745098039,0.020257244838593,0.0194476496361942,0.0215218113291766,0.0333333333333333,-0.202236637572003,-0.236801779188951,-0.0333333333333333,-0.0333333333333333,-0.0251332683652912,-0.0156862745098039,-0.0133606931144551,0.0188189154477205,-0.011302599253869,-0.0543520459069925,0.011768115942029,0.0303091397849462,0.0270833333333333,0.0256226126814362,0.0817948717948718,0.08,-0.0349193899782135,0.0657142857142857,-0.0186597610285766,0.0709090909090909,0.0801874414245548,0.1,0.0483631953249904,0.04,-0.00478311039412068,-0.0481966001478197,-0.0590909090909091,-0.058343653250774,-0.058343653250774,0.0466992266992267
"cfos",0.0755238095238095,0.00727272727272727,0.169467787114846,0.171428571428571,0.195652173913043,0.2,-0.0666666666666667,0,-0.0476190476190476,-0.0478070175438596,0.0294117647058824,0.0294117647058824,0.0752680652680653,-0.0476190476190476,-0.0907393483709273,0.0281922525107604,-0.0333333333333333,0.0652777777777778,-0.0714285714285714,-0.0659259259259259,-0.04,-0.0606627680311891,-0.0605205205205205,-0.0613969414959514,-0.1,-0.106617651245646,-0.0814943097814821,0.1,0.1,0.0654710155700255,0.04,0.0659259259259259,0.0614449917898194,-0.096603785508895,-0.0341213217162584,0.0682027649769585,0.061557717471696,0.0701996927803379,0.0744627686156921,-0.0294117647058824,0.0583333333333333,-0.0528051948051948,0.0583333333333333,0.0502083333333333,0.0435897435897436,0.0482051282051282,0.0333333333333333,-0.20412675018423,-0.32,-0.143119491699119,-0.160376878023937,-0.185714285714286,-0.0575521734117376,-0.0575521734117376,0.0292335115864528
