"","GSK3","Patched","SHH","SMO","FUS","SNAI2","TrCP","cateninnuc","EGR1","TCFLEF","RAS","cMet","ERK","IKK","GLI","RAF","DELTA","Wnt","AKT","Destcompl","Frizzled","LIV1","AXIN2","Csl","TGF","TGFR","PAK1","ZEB2","CDC42","TWIST1","SOSGRB2","SNAI1","miR200","NOTCH","NOTCHic","Jagged","RKIP","KLF4","DSH","STAT","cateninmemb","FOXC2","ZEB1","SRC","PI3K","NFB","cfos","CD44","MEK","Csn","SMAD","ILK","HEY1","SUFU","Ecadherin"
"FUS",-0.257274595391944,-0.0783333333333333,-0.0591414141414141,-0.095,-0.12,-0.215785342346353,0.1,-0.226867662948704,0.16,-0.227682880340009,-0.353723801079595,-0.227777777777778,0.182843822843823,0.307428571428571,-0.321367521367521,-0.353287119856887,-0.353287119856887,-0.319444444444444,0.334351648351648,-0.288205508066313,-0.325,-0.2,-0.0843396483576394,0.345454545454545,-0.293274870615296,-0.286891891891892,0.286666666666667,-0.112742192644969,0.295,-0.301735505138646,-0.308367071524966,-0.36989247311828,-0.146891244278135,-0.394090909090909,-0.380454545454545,-0.273952954675846,-0.369432171494027,-0.108970856102004,0.3,0.2,-0.22599115111171,-0.479900181488203,-0.357825551973935,0.233333333333333,0.353287119856887,-0.271428571428571,-0.167692307692308,0.230690399137001,-0.188590949280604,-0.2,-0.246876600102407,-0.243650793650794,-0.257509157509158,0,-0.143476300110787
"TWIST1",-0.122734834221816,0.0271537290715373,0.0374985566577442,0.0422222222222222,0.0222222222222222,-0.365628915849747,0.2,-0.147522723810698,0.106666666666667,-0.145510072861877,-0.158557486092989,-0.139142181695373,0.0980854309687262,0.263369963369963,-0.146617209690894,-0.156845157325866,-0.156845157325866,-0.140217209690894,0.266759793878438,-0.151834151369158,-0.141269841269841,-0.133333333333333,-0.100329885168595,0.178518518518519,-0.137061821776004,-0.132733803552769,0.124242424242424,-0.109323358446165,0.141483803552769,-0.176321328684029,-0.226900584795322,-0.162405884221963,-0.116814799287286,-0.194846530129549,-0.193903133903134,-0.169167293358792,-0.171797526145352,-0.113154054617469,0.119047619047619,0.119047619047619,0.0943598576486796,-0.0677007725957463,-0.174047731942469,0.141269841269841,0.156845157325866,-0.253846153846154,-0.0849275362318841,0.145969490932321,-0.0946028439040496,-0.2,-0.236693038673237,-0.237683137683138,-0.254038616750481,-0.0333333333333333,0.220782295939915
"Patched",-0.263736263736264,-0.12,-0.095,0,-0.1,-0.227892720306513,0,-0.230690399137001,0.1,-0.227777777777778,-0.350961538461538,-0.2,0.16,0.2,-0.325,-0.338461538461538,-0.338461538461538,-0.3,0.271428571428571,-0.284475524475524,-0.3,-0.1,-0.0935064935064935,0.2,-0.295,-0.286666666666667,0.166666666666667,-0.108333333333333,0.266666666666667,-0.290740740740741,-0.266666666666667,-0.353225806451613,-0.154761904761905,-0.345454545454545,-0.3,-0.247619047619048,-0.342857142857143,-0.105555555555556,0.2,0.1,-0.211254480286738,-0.45,-0.341666666666667,0.2,0.338461538461538,-0.1,-0.1,0.233333333333333,-0.167692307692308,0,-0.216666666666667,-0.166666666666667,-0.171794871794872,0,-0.122615965480043
"SHH",-0.258974358974359,0,-0.12,-0.1,0,-0.23455938697318,0,-0.227777777777778,0,-0.233333333333333,-0.338461538461538,-0.2,0.1,0.1,-0.3,-0.3,-0.3,-0.3,0.2,-0.283376623376623,-0.2,0,-0.0571428571428571,0.1,-0.286666666666667,-0.266666666666667,0.2,-0.1,0.166666666666667,-0.25,-0.2,-0.35,-0.133333333333333,-0.3,-0.2,-0.214285714285714,-0.3,-0.05,0.2,0.1,-0.200143369175627,-0.4,-0.3,0.1,0.3,0,-0.1,0.2,-0.16,0,-0.166666666666667,-0.133333333333333,-0.133333333333333,0,-0.106111111111111
"SMO",-0.256940147231409,-0.095,-0.0783333333333333,-0.12,0,-0.220273672687466,0,-0.227682880340009,0.1,-0.230690399137001,-0.353287119856887,-0.233333333333333,0.167692307692308,0.271428571428571,-0.319444444444444,-0.350961538461538,-0.350961538461538,-0.325,0.307428571428571,-0.288351493467773,-0.3,-0.1,-0.0762651141961487,0.3,-0.286891891891892,-0.295,0.266666666666667,-0.0998587570621469,0.286666666666667,-0.290740740740741,-0.292982456140351,-0.36989247311828,-0.145901145268234,-0.380454545454545,-0.345454545454545,-0.261904761904762,-0.353968253968254,-0.113888888888889,0.3,0.2,-0.220963218150816,-0.470689655172414,-0.353531073446328,0.2,0.350961538461538,-0.2,-0.16,0.227777777777778,-0.182843822843823,-0.1,-0.243650793650794,-0.216666666666667,-0.224175824175824,0.1,-0.135531094631335
"cMet",-0.08963133640553,-0.0518181818181818,-0.0518181818181818,-0.07,-0.05,-0.224769018491646,-0.1,-0.0526865973338185,-0.1,-0.0583363148479428,0.0046900269541779,-0.07,-0.11,-0.0733333333333333,-0.0518181818181818,-0.00285714285714286,-0.00285714285714286,-0.07,-0.0670833333333333,0.115227147370005,-0.05,0.1,-0.0493650793650794,-0.0571428571428571,-0.0900945626477541,-0.0922222222222222,0.0866666666666667,-0.0917748917748918,0.0866666666666667,-0.132061571387414,0.232380952380952,-0.16362374863713,-0.100765124066754,0.0622940329547272,0.0729323308270677,0.0522732340123644,-0.00740740740740741,0.00317460317460317,0.1,0,0.0902037464315044,-0.185912447257384,-0.162193362193362,-0.05,0.00285714285714286,0.0666666666666667,0.12,0.0537209302325581,0.100909090909091,0.1,0.0402411873840445,0.0438775510204082,0.0666322669418645,0.1,0.112871418811947
"KLF4",-0.150244791882752,-0.075,-0.0567204301075269,-0.05,-0.1,-0.151972748139529,0.1,-0.108273273485695,-0.04,-0.104910882452071,-0.187462292609351,-0.0962152302781578,-0.0619251336898396,0.183809523809524,-0.108284195795399,-0.18525641025641,-0.18525641025641,-0.0962152302781578,0.191216931216931,-0.157396676210937,-0.107843137254902,-0.1,-0.0778826428758278,0.169090909090909,-0.0487110125646711,-0.0413939393939394,0.0227272727272727,-0.0845046439628483,0.0507272727272727,-0.122854030501089,-0.124556889651229,-0.138536316778617,-0.103072853072853,-0.199638928624279,-0.20066985645933,-0.120511562400618,-0.127880849309421,-0.1,0.0666666666666667,0.0666666666666667,0.0374359741432912,-0.22598530169613,-0.161898864809081,0.107843137254902,0.18525641025641,-0.16,0.0854545454545454,0.109258708539027,0.0670797728650973,-0.1,-0.084,-0.084,-0.0928189457601222,0,0.196397427653794
"HEY1",-0.150244791882752,-0.075,-0.0567204301075269,-0.05,-0.1,-0.151972748139529,0.1,-0.108273273485695,-0.04,-0.104910882452071,-0.187462292609351,-0.0962152302781578,-0.0619251336898396,0.183809523809524,-0.108284195795399,-0.18525641025641,-0.18525641025641,-0.0962152302781578,0.191216931216931,-0.157396676210937,-0.107843137254902,-0.1,-0.0778826428758278,0.169090909090909,-0.0487110125646711,-0.0413939393939394,0.0227272727272727,-0.0845046439628483,0.0507272727272727,-0.122854030501089,-0.124556889651229,-0.138536316778617,-0.103072853072853,-0.199638928624279,-0.20066985645933,-0.120511562400618,-0.127880849309421,-0.1,0.0666666666666667,0.0666666666666667,0.0374359741432912,-0.22598530169613,-0.161898864809081,0.107843137254902,0.18525641025641,-0.16,0.0854545454545454,0.109258708539027,0.0670797728650973,-0.1,-0.084,-0.084,-0.0928189457601222,0,0.196397427653794
"Ecadherin",-0.148037286363988,-0.0567204301075269,-0.0622322411311489,-0.075,-0.05,-0.151190087091967,0.1,-0.106779342579999,-0.0854545454545454,-0.108273273485695,-0.188579611045106,-0.109258708539027,-0.0670797728650973,0.191216931216931,-0.104284195795399,-0.187462292609351,-0.187462292609351,-0.108284195795399,0.202905242905243,-0.159074215819511,-0.0962152302781578,-0.0666666666666667,-0.0681919212263433,0.20066985645933,-0.0449135442102407,-0.0487110125646711,0.0507272727272727,-0.0807131747685355,0.0413939393939394,-0.120060734411704,-0.121925310703861,-0.143283152221655,-0.101769314897807,-0.211906586616844,-0.199638928624279,-0.117536734025332,-0.129004444815039,-0.107594936708861,0.107843137254902,0.107843137254902,0.0341026408099579,-0.231706125494757,-0.163320665756949,0.0962152302781578,0.187462292609351,-0.183809523809524,0.0619251336898396,0.104910882452071,0.061981733649411,-0.16,-0.0915060532687651,-0.084,-0.0934900866997195,0.1,0.0941578950345145
"NOTCHic",0.0894081884677496,0.189441930618401,0.192667737070014,0.171794871794872,0.133333333333333,0.220737978146914,0.1,0.0539423644330951,0.26,0.052262975120118,0.0165283591970249,0.0428438228438228,0.274285714285714,0.155555555555556,0.0439190916610271,0.0120948616600791,0.0120948616600791,0.0428438228438228,0.157881136950904,0.028226945236291,0.0276923076923077,0,0.0223307876609763,0.02,-0.0782038673150241,-0.0801146953405018,0.0888888888888889,-0.076231884057971,0.0768888888888889,-0.131028461784458,-0.156172248803828,-0.205075295075295,-0.0508605460050547,-0.117962648556876,-0.123225806451613,-0.12188354691666,-0.234577402523007,-0.0691683919944789,-0.02,-0.02,-0.0501056352354424,-0.323508887425938,-0.227117552334944,-0.0276923076923077,-0.0120948616600791,-0.144444444444444,-0.26,-0.0461405261405261,-0.285714285714286,-0.133333333333333,-0.201651250428229,-0.203809523809524,-0.112229654403567,-0.133333333333333,-0.13765090726619
"RAS",0.156511627906977,0.246,0.251084745762712,0.25,0.2,0.340293054075129,0,0.17907407412458,0.22,0.175391354577838,0.0392307692307692,0.155882352941176,0.285789473684211,0.0666666666666667,0.168382352941176,0.127692307692308,0.127692307692308,0.155882352941176,0.05,0.138734693967252,0.15,0,0.130144927536232,0,-0.0792661619103087,-0.0941176470588235,0.06,-0.0729933726067747,0.1,0.085379159847245,-0.214285714285714,-0.0351229105211406,-0.0849846153846154,-0.0025819265143992,-0.0157894736842105,-0.13718904001577,-0.245352201257862,-0.0946428571428571,-0.1,-0.1,-0.0430987725265167,-0.0746031746031746,-0.118059646539028,-0.15,-0.127692307692308,-0.0333333333333333,-0.27,-0.170775969962453,-0.287750257997936,0,-0.244094001236858,-0.235930735930736,-0.145652173913043,-0.1,-0.160909363306148
"NOTCH",0.0861024033437826,0.171794871794872,0.189441930618401,0.133333333333333,0.133333333333333,0.215327156503627,0,0.052262975120118,0.2,0.0461405261405261,0.0120948616600791,0.0276923076923077,0.26,0.144444444444444,0.0428438228438228,0.00484848484848485,0.00484848484848485,0.0276923076923077,0.155555555555556,0.0255602785696244,0.02,0,0.0237196765498652,0.02,-0.0801146953405018,-0.0768888888888889,0.1,-0.0695652173913043,0.0888888888888889,-0.132915254237288,-0.165263157894737,-0.215128205128205,-0.0445021645021645,-0.123225806451613,-0.02,-0.125194805194805,-0.235985853227233,-0.0584541062801932,0,0,-0.0494971159656655,-0.326734693877551,-0.235265700483092,-0.02,-0.00484848484848485,-0.133333333333333,-0.26,-0.0428438228438228,-0.274285714285714,-0.1,-0.203809523809524,-0.207142857142857,-0.113768115942029,-0.1,-0.13504753820034
"cfos",0.188076298701299,0.209984639016897,0.206280935313193,0.180952380952381,0.147619047619048,0.325237779252378,0.1,0.174389934488944,0.16,0.16957511967413,0.0858241670652,0.151111111111111,0.284347826086957,0.145833333333333,0.161637426900585,0.0772875816993464,0.0772875816993464,0.151111111111111,0.140570175438596,0.157532801575169,0.14,0.1,0.118916256157635,0.1,-0.0641329258976318,-0.0717086834733894,0.0857142857142857,-0.0660940082247588,0.0619047619047619,-0.0954978354978355,-0.140277777777778,-0.173975560304674,-0.0418130888719124,-0.0846153846153846,-0.0923076923076923,-0.0916666666666667,-0.211445221445221,-0.062031746031746,-0.1,-0.1,-0.146671672158804,-0.29194643711143,-0.210250201775626,-0.14,-0.0772875816993464,-0.133333333333333,-0.28,-0.164624624624625,-0.306381724392041,-0.133333333333333,-0.19441884280594,-0.196031746031746,-0.203423288355822,-0.133333333333333,-0.275816635718394
