"","GSK3","SNAI2","ZEB2","Ecadherin","STAT","cateninnuc","FOXC2","PI3K","Frizzled","DSH","Destcompl","LIV1","Csl","IKK","NFB","MEK","miR200","EGR1","cfos","SNAI1","KLF4","ZEB1","TrCP","SOSGRB2","RKIP","Csn","TWIST1","AKT","SUFU","SHH","HEY1","ILK","Patched","SMAD","NOTCH","ERK","Jagged","NOTCHic","SMO","FUS","Wnt","CDC42","GLI","RAS","AXIN2","RAF","DELTA","cMet","TCFLEF","CD44","cateninmemb","SRC","TGFR","TGF","PAK1"
"GLI",0.0847893094204077,0.288980738586309,-0.104719747397167,0.199403094034942,0.12,0.136214632383742,-0.0137300051599587,-0.0263553241317455,0.0496774193548387,0.04,0.0864852911179937,0.1,0.0685764809902741,0.068999880654016,0.0669590643274854,0.303902083183851,-0.211910091972011,0.285714285714286,0.302380952380952,-0.135581689529871,-0.0967833547833548,-0.314806280935313,0.0166666666666667,0.00349729916101597,-0.182498140720584,0.0722222222222222,-0.0681104304109398,-0.058062380654016,0,-0.0218951810743791,-0.105299171682873,-0.109223159232606,-0.0157223415682062,-0.118952888962335,-0.0678621952759884,-0.308874458874459,-0.0986390885116855,-0.0735764809902741,-0.0177631578947368,-0.0125,-0.0532068311195446,0.0964367816091954,-0.155334490694013,0.0285335419535277,-0.102673611111111,0.0263553241317455,0.0263553241317455,-0.132116443745083,-0.13567667661566,-0.134702650641634,-0.12248753832441,-0.129677419354839,0.092034265885925,0.0870930894153367,0.103333333333333
"TrCP",0.00315530303030303,0.294131305265002,-0.098848096289763,0.21096723325558,0.12,0.137551355384063,-0.0473644260058944,0.0480910250278973,0.131111111111111,0.12,0.0940058479532164,0.1,0.1,0.0958333333333333,0.0958333333333333,0.218710881847212,-0.246270924921268,0.2,0.221739130434783,-0.176570253105705,-0.0925547749154307,-0.358757408171545,0.0333333333333333,0.0202557755775578,-0.213200041211091,0.108333333333333,-0.086117730095991,-0.0902777777777778,-0.133333333333333,-0.153714456391876,-0.138644648264103,-0.147772657450077,-0.146714456391876,-0.158740399385561,-0.102417582417582,-0.220044215180545,-0.135914919904567,-0.104615384615385,-0.143010752688172,-0.133333333333333,-0.13374269005848,0.0243697478991597,-0.135206104692626,-0.0458182977551701,-0.102353068748645,-0.0480910250278973,-0.0480910250278973,-0.133813813813814,-0.137275493315097,-0.135794011833616,-0.126254285859269,-0.131111111111111,0.0228545963840081,0.0190294597719863,0.0380952380952381
"PAK1",0.00315530303030303,0.294131305265002,-0.098848096289763,0.21096723325558,0.12,0.137551355384063,-0.0473644260058944,0.0480910250278973,0.131111111111111,0.12,0.0940058479532164,0.1,0.1,0.0958333333333333,0.0958333333333333,0.218710881847212,-0.246270924921268,0.2,0.221739130434783,-0.176570253105705,-0.0925547749154307,-0.358757408171545,0.0333333333333333,0.0202557755775578,-0.213200041211091,0.108333333333333,-0.086117730095991,-0.0902777777777778,-0.133333333333333,-0.153714456391876,-0.138644648264103,-0.147772657450077,-0.146714456391876,-0.158740399385561,-0.102417582417582,-0.220044215180545,-0.135914919904567,-0.104615384615385,-0.143010752688172,-0.133333333333333,-0.13374269005848,0.0243697478991597,-0.135206104692626,-0.0458182977551701,-0.102353068748645,-0.0480910250278973,-0.0480910250278973,-0.133813813813814,-0.137275493315097,-0.135794011833616,-0.126254285859269,-0.131111111111111,0.0228545963840081,0.0190294597719863,0.0380952380952381
"ZEB2",-0.153980031491438,-0.101893136439849,-0.0970244907464956,-0.0708270587610451,-0.07,-0.0685910429794789,-0.0667163947163947,-0.0662987012987013,-0.0590909090909091,-0.0590909090909091,-0.0573698526118543,-0.05,-0.0487179487179487,-0.0411111111111111,-0.0388888888888889,-0.0318991814705923,-0.0254222618271299,-0.0166666666666667,-0.0114035087719298,-0.0109618411170694,-0.0108548609553029,-0.000709543179720934,0,0.0041025641025641,0.00739130434782609,0.0111111111111111,0.0196671264025049,0.0233541017653167,0.025,0.0315346848273678,0.0318475073313783,0.0358332043543311,0.0360801393728223,0.0370527165494531,0.0385758722152165,0.040435766836446,0.0479252428850893,0.0500512820512821,0.0507142857142857,0.0535714285714286,0.0590909090909091,0.0602597402597403,0.0609257714762302,0.0647997719625129,0.0649982969702419,0.0662987012987013,0.0662987012987013,0.0673684210526316,0.0678118222002581,0.0692202729044834,0.0692358043470766,0.07,0.0745454545454546,0.0787782587782588,0.0948051948051948
"CDC42",0.00388257575757576,0.291961323348185,-0.0953111187978016,0.210759620798832,0.1,0.137275493315097,-0.0515023570403771,0.0419934640522876,0.12,0.1,0.0928028404344194,0.1,0.1,0.0958333333333333,0.108333333333333,0.220044215180545,-0.251854681266446,0.18,0.2,-0.172990300838402,-0.0810793650793651,-0.365509819747108,0,0.0291666666666667,-0.219277389277389,0.0333333333333333,-0.0899220779220779,-0.0958333333333333,-0.0333333333333333,-0.146714456391876,-0.134232883558221,-0.138095238095238,-0.143010752688172,-0.147772657450077,-0.104615384615385,-0.221739130434783,-0.131006944444444,-0.1,-0.133333333333333,-0.133333333333333,-0.131111111111111,0.0380952380952381,-0.13374269005848,-0.0480910250278973,-0.101724137931034,-0.0419934640522876,-0.0419934640522876,-0.131111111111111,-0.135794011833616,-0.133813813813814,-0.125704835309819,-0.12,0.0243697478991597,0.0228545963840081,0.114285714285714
"NOTCHic",-0.0105094835502359,0.205816708952392,-0.0940096618357488,0.107828609586506,0.02,0.0429837991888155,-0.0366754443712969,0.00300395256916996,0.0276923076923077,0.02,0.0175536270583,0,-0.0228571428571429,0.1,0.111111111111111,0.229047619047619,-0.254364787428371,0.18,0.213333333333333,-0.174916564916565,-0.0834541062801932,-0.369500805152979,0,0.00942583732057416,-0.220064507291316,0.0333333333333333,-0.114248800767509,-0.0976744186046512,-0.0333333333333333,-0.12513380041843,-0.236142697881828,-0.138095238095238,-0.121907993966817,-0.148886605001713,-0.0765486296386127,-0.234761904761905,-0.0977924307725632,-0.0739170506912442,-0.116025641025641,-0.108333333333333,-0.0367832167832168,0.0391111111111111,-0.0400090232348297,-0.00743745010611578,-0.0199460916442048,-0.00300395256916996,-0.00300395256916996,-0.0367832167832168,-0.0413044098758385,-0.0400799200799201,-0.0395856554435617,-0.0276923076923077,0.0197562724014337,0.0216671004269114,0.0111111111111111
"NOTCH",-0.00968303726924416,0.202810696928344,-0.0843800322061192,0.105225240520656,0,0.0413044098758385,-0.0318367346938776,-0.00424242424242424,0.02,0,0.0192202937249666,0,-0.08,0.111111111111111,0.0333333333333333,0.234761904761905,-0.2595670995671,0.2,0.18,-0.181794871794872,-0.0584541062801932,-0.361352657004831,0,-0.00421052631578948,-0.218656056587091,0,-0.116135593220339,-0.1,0,-0.121907993966817,-0.23768115942029,-0.138095238095238,-0.116025641025641,-0.138095238095238,-0.0739170506912442,-0.213333333333333,-0.0958056758056758,0.0228571428571429,-0.108333333333333,-0.0333333333333333,-0.0276923076923077,0.0111111111111111,-0.0367832167832168,-0.00300395256916996,-0.0199460916442048,0.00424242424242424,0.00424242424242424,-0.0276923076923077,-0.0400799200799201,-0.0367832167832168,-0.0381657771474157,-0.02,0.0391111111111111,0.0197562724014337,0
"TCFLEF",0.102450095895795,0.377748142995383,-0.0812017543859649,0.259976784398652,0.025,0.129317960023076,0.159534065336195,-0.0194291522053255,0.0244117647058824,0.0294117647058824,0.0487971240492371,0,0.0291885860035071,0.0955793883535819,0.0988051948051948,0.0743554006968641,-0.167654861871729,0.0857142857142857,0.0686411149825784,-0.0164310770586921,-0.0758435192258722,-0.238468633705476,0.0857142857142857,-0.0917690772301551,-0.107222298755568,0.0948051948051948,-0.101551580479135,-0.0923185187883645,0.0333333333333333,-0.0102065722390282,-0.0888340787261712,-0.100142933090302,-0.00468509984639016,-0.0968924550788292,-0.0269281469441624,-0.0791173054587689,0.0112302042553253,-0.0252670173760561,-0.00952380952380952,5.55111512312578e-18,-0.0338134741075918,-0.0809183064997018,-0.032571238082747,0.0187721219819352,-0.0369431013431013,0.0194291522053255,0.0194291522053255,-0.0294017094017094,-0.128716585452629,-0.0281438477664893,-0.132682876543966,-0.02,-0.0893295214529729,-0.0886672697973437,-0.0948717948717949
"AKT",-0.0635585889618148,0.0790169593637864,-0.0782522091283739,0.115588826845566,0.111111111111111,0.120126777715637,-0.0335452044746011,-0.00847725790191544,0.115458937198068,0.111111111111111,0.0416587670068537,0.1,0.148076923076923,0.0217194570135747,0.0294117647058824,0.0747807319649171,-0.167675174955792,0.080952380952381,0.0633053221288515,-0.0155768043296647,-0.0661605937921727,-0.234361240815724,-0.0333333333333333,0.0764102564102564,-0.0320740001686293,0,0.0912316603803392,-0.118689153983272,-0.05,-0.0976023391812866,-0.0657272026802957,-0.0812468987595038,-0.0944444444444444,-0.0795633970760021,-0.143631604430188,-0.0747807319649171,-0.0899779249448124,-0.14485111662531,-0.1,-0.1,-0.116997398736529,0.0233529411764706,-0.119790694825915,0.00630858320312025,-0.0835592229671652,0.00847725790191544,0.00847725790191544,-0.116997398736529,-0.11920370079256,-0.119822257493591,0.0013375842572041,-0.115458937198068,0.0176618842659015,0.0131301622115208,0.00735294117647059
"DSH",-0.0694597264750877,0.199393124064255,-0.070532313232001,0.179310642085368,0.125,0.137827267803294,0.0484817671108981,0.0355869989935469,0.130263157894737,0.125,0.0352172638414992,0.1,0.147619047619048,0.111666666666667,0.124166666666667,0.0600750241617115,-0.168876647573294,0.0666666666666667,0.0490196078431373,-0.0316735679779158,-0.0574773598759892,-0.2386275930319,0.0666666666666667,0.0413155949741316,-0.0493023643023643,0.0866666666666667,-0.00930329578639967,-0.105919540229885,-0.05,-0.115014140157619,-0.0767571137335975,-0.0945946347598162,-0.111946655495043,-0.0934625592881181,-0.139638792579969,-0.0638344226579521,-0.106344981967417,-0.141736694677871,-0.118398268398268,-0.113636363636364,-0.133834586466165,-0.0649275362318841,-0.137102560322375,-0.0381080073969082,-0.092345830991695,-0.0355869989935469,-0.0355869989935469,-0.133834586466165,-0.136669654268121,-0.137145844744311,-0.0251076897189971,-0.130263157894737,-0.0773084886128364,-0.0804443771145786,-0.0866666666666667
