"","AXIN2","GSK3","cateninnuc","TCFLEF","Destcompl","Frizzled","TGFR","TGF","CDC42","PAK1","DSH","SHH","Patched","SMO","LIV1","SNAI2","FUS","HEY1","SUFU","SMAD","miR200","TrCP","AKT","SOSGRB2","EGR1","cfos","SNAI1","DELTA","ZEB2","ZEB1","Jagged","RKIP","MEK","NOTCH","NOTCHic","ERK","RAF","PI3K","RAS","Csl","KLF4","IKK","NFB","Csn","ILK","FOXC2","TWIST1","STAT","Ecadherin","SRC","Wnt","cMet","GLI","CD44","cateninmemb"
"SNAI2",-0.558031867443582,-0.439373718940506,-0.534552755810722,-0.53004965022066,-0.462661345365676,-0.446103896103896,-0.151835093011564,-0.148108384937029,-0.150980392156863,-0.150980392156863,-0.381818181818182,-0.43291513788614,-0.407563025210084,-0.364705882352941,-0.3,-0.0968712030011868,-0.3,-0.0130198915009042,-0.2,-0.0580105834368251,-0.241808598495029,0.1,0.162986428472511,0.141075050709939,0.133333333333333,0.174509803921569,-0.3979752303067,-0.179033243774537,-0.353825256975037,-0.353825256975037,-0.476821515582748,-0.342794871794872,0.213513513513513,-0.387007290954659,-0.366228070175439,-0.2,0.179033243774537,0.179033243774537,0.177663380760838,-0.332894736842105,-0.274038461538462,-0.161781609195402,-0.158333333333333,-0.133333333333333,0.0546613011401744,0.0180684775697259,0.285643592838414,0.381818181818182,0.332027789524196,0.446103896103896,0.489765867934882,0.489765867934882,0.515969076491032,0.51664758836499,0.500739686838872
"Ecadherin",-0.53004965022066,-0.405827944057703,-0.466398821815871,-0.470507131806534,-0.416265494224964,-0.44984040127679,-0.0920827790096083,-0.0861153287383605,-0.0984242424242424,-0.0970909090909091,-0.419607843137255,-0.405253048006096,-0.397379032258064,-0.38125,-0.366666666666667,-0.429905668638845,-0.35,-0.00457175670756405,-0.3,-0.0471441906165561,-0.219682221358199,0.1,0.112640692640693,0.11791249134844,0.165454545454545,0.183101604278075,-0.371038107288543,-0.124366515837104,-0.339626893411393,-0.339626893411393,-0.431068963126092,-0.323456996009163,0.196200452064612,-0.345485447067602,-0.339909238889163,-0.190318099123436,0.124366515837104,0.124366515837104,0.120735230920903,-0.326507177033493,-0.26966713548992,-0.115238095238095,-0.115238095238095,-0.12,0.0454492753623188,-0.0366884053100155,0.228884921069607,0.419607843137255,0.0269716747628055,0.44984040127679,0.4653576426561,0.466362140407225,0.470024309322767,0.471378862815251,0.422138608906902
"cateninmemb",-0.53004965022066,-0.405827944057703,-0.466398821815871,-0.470507131806534,-0.416265494224964,-0.44984040127679,-0.0920827790096083,-0.0861153287383605,-0.0984242424242424,-0.0970909090909091,-0.419607843137255,-0.405253048006096,-0.397379032258064,-0.38125,-0.366666666666667,-0.429905668638845,-0.35,-0.00457175670756405,-0.3,-0.0471441906165561,-0.219682221358199,0.1,0.112640692640693,0.11791249134844,0.165454545454545,0.183101604278075,-0.371038107288543,-0.124366515837104,-0.339626893411393,-0.339626893411393,-0.431068963126092,-0.323456996009163,0.196200452064612,-0.345485447067602,-0.339909238889163,-0.190318099123436,0.124366515837104,0.124366515837104,0.120735230920903,-0.326507177033493,-0.26966713548992,-0.115238095238095,-0.115238095238095,-0.12,0.0454492753623188,-0.0366884053100155,0.228884921069607,0.419607843137255,0.0445368292814557,0.44984040127679,0.4653576426561,0.466362140407225,0.470024309322767,0.471378862815251,0.324805458415635
"FUS",-0.348273914990557,-0.298920117451143,-0.148545688831619,-0.161589167092489,-0.276182375876825,-0.3,0.0881081081081081,0.0987464059804486,0.08,0.0466666666666667,-0.3,-0.260782828282828,-0.265833333333333,-0.265833333333333,-0.2,-0.301690041360443,-0.253333333333333,-0.00437967829272177,-0.133333333333333,-0.0137378392217102,-0.181266001826222,0.1,0.0445934065934066,-0.00654520917678812,0.18,0.187692307692308,-0.265417499927543,0.0318202146690519,-0.324492218640602,-0.324492218640602,-0.111433989927966,-0.230073637702504,0.193334940921148,-0.192727272727273,-0.204090909090909,-0.196783216783217,-0.0318202146690519,-0.0318202146690519,-0.0357503456734187,-0.209090909090909,-0.30264116575592,-0.0522857142857143,-0.0642857142857143,-0.05,0.0182539682539683,-0.259555353901996,-0.0446970993167482,0.2,-0.20437344800034,0.206666666666667,0.283333333333333,0.19,0.269871794871795,0.177378640776699,0.0157558851483586
"KLF4",-0.51664758836499,-0.397880924190153,-0.470507131806534,-0.471378862815251,-0.414028774746866,-0.419607843137255,-0.0984242424242424,-0.0920827790096083,-0.0970909090909091,-0.109090909090909,-0.366666666666667,-0.397379032258064,-0.38125,-0.35,-0.3,-0.425510725833307,-0.3,-0.006585179526356,-0.2,-0.0454492753623188,-0.212047212047212,0.1,0.115238095238095,0.113965122927387,0.12,0.165454545454545,-0.359962157921455,-0.127307692307692,-0.323039215686275,-0.323039215686275,-0.428094134750806,-0.310348381776953,0.190318099123436,-0.339909238889163,-0.326507177033493,-0.183101604278075,0.127307692307692,0.127307692307692,0.124366515837104,-0.305454545454545,-0.248148148148148,-0.115238095238095,-0.12,-0.1,0.044,-0.0250179247608165,0.233912854030501,0.366666666666667,0.138169337859203,0.419607843137255,0.44984040127679,0.44984040127679,0.4653576426561,0.466362140407225,0.429830916599209
"FOXC2",-0.51664758836499,-0.397880924190153,-0.470507131806534,-0.471378862815251,-0.414028774746866,-0.419607843137255,-0.0984242424242424,-0.0920827790096083,-0.0970909090909091,-0.109090909090909,-0.366666666666667,-0.397379032258064,-0.38125,-0.35,-0.3,-0.425510725833307,-0.3,-0.006585179526356,-0.2,-0.0454492753623188,-0.212047212047212,0.1,0.115238095238095,0.113965122927387,0.12,0.165454545454545,-0.359962157921455,-0.127307692307692,-0.323039215686275,-0.323039215686275,-0.428094134750806,-0.310348381776953,0.190318099123436,-0.339909238889163,-0.326507177033493,-0.183101604278075,0.127307692307692,0.127307692307692,0.124366515837104,-0.305454545454545,-0.248148148148148,-0.115238095238095,-0.12,-0.1,0.044,-0.0250179247608165,0.233912854030501,0.366666666666667,0.138169337859203,0.419607843137255,0.44984040127679,0.44984040127679,0.4653576426561,0.466362140407225,0.429830916599209
"SUFU",-0.334924968854725,-0.292493382232634,-0.137957453537501,-0.148545688831619,-0.267942078162843,-0.283333333333333,0.0987464059804486,0.10209946317966,0.0881081081081081,0.08,-0.3,-0.25267472017472,-0.260782828282828,-0.265833333333333,-0.2,-0.294109289877253,-0.265833333333333,0.000439598815711963,-0.253333333333333,-0.0130449985750589,-0.178292024131055,0.05,0.0372108562578361,-0.00864311127469022,0.187692307692308,0.196783216783217,-0.262180702653267,0.0357503456734187,-0.322559851490843,-0.322559851490843,-0.103120450735567,-0.222318535661687,0.188654089857318,-0.183203463203463,-0.192727272727273,-0.193334940921148,-0.0357503456734187,-0.0357503456734187,-0.0385984469392415,-0.204090909090909,-0.306832782522387,-0.0445934065934066,-0.0522857142857143,-0.0642857142857143,0.0137378392217102,-0.260299770775445,-0.0502641096260266,0.206666666666667,-0.207874992799516,0.19,0.269871794871795,0.177378640776699,0.253886664760271,0.161589167092489,0.00470540765859049
"SMO",-0.357590685176892,-0.30393683985917,-0.161589167092489,-0.177378640776699,-0.284795514562956,-0.3,0.08,0.0881081081081081,0.0466666666666667,0.0666666666666667,-0.3,-0.265833333333333,-0.265833333333333,-0.253333333333333,-0.1,-0.309050903119869,-0.133333333333333,-0.00293040293040293,-0.1,-0.0182539682539683,-0.177305605786618,0,0.0522857142857143,-0.0219298245614035,0.2,0.18,-0.272964669738863,0.0201923076923077,-0.320197740112994,-0.320197740112994,-0.119867724867725,-0.222857142857143,0.196783216783217,-0.204090909090909,-0.209090909090909,-0.187692307692308,-0.0201923076923077,-0.0201923076923077,-0.0318202146690519,-0.2,-0.294444444444444,-0.0642857142857143,-0.05,-0.1,0.0166666666666667,-0.250344827586207,-0.0347494553376906,0.2,-0.195332352109929,0.2,0.3,0.206666666666667,0.283333333333333,0.19,0.0308396840310401
"Patched",-0.361038961038961,-0.308791208791209,-0.177378640776699,-0.19,-0.292547452547453,-0.3,0.0466666666666667,0.08,0.0666666666666667,-0.0333333333333333,-0.2,-0.265833333333333,-0.253333333333333,-0.133333333333333,-0.1,-0.311908045977011,-0.1,-0.00769230769230769,0,-0.0166666666666667,-0.178571428571429,0,0.0642857142857143,-0.0166666666666667,0.1,0.2,-0.263440860215054,0.00769230769230769,-0.308333333333333,-0.308333333333333,-0.130582010582011,-0.222857142857143,0.187692307692308,-0.209090909090909,-0.2,-0.18,-0.00769230769230769,-0.00769230769230769,-0.0201923076923077,-0.2,-0.261111111111111,-0.05,-0.1,0,0.0166666666666667,-0.24,-0.0259259259259259,0.1,-0.18094120819849,0.2,0.3,0.2,0.3,0.206666666666667,0.0483154121863799
"SHH",-0.342857142857143,-0.28974358974359,-0.19,-0.206666666666667,-0.295844155844156,-0.2,0.0666666666666667,0.0466666666666667,-0.0333333333333333,0,-0.2,-0.253333333333333,-0.133333333333333,-0.1,0,-0.310574712643678,0,0,0,-0.0166666666666667,-0.15,0,0.05,-0.05,0,0.1,-0.266666666666667,0,-0.275,-0.275,-0.134285714285714,-0.18,0.18,-0.2,-0.2,-0.2,0,0,-0.00769230769230769,-0.1,-0.25,-0.1,0,0,0,-0.2,0,0.1,-0.158611111111111,0.1,0.3,0.2,0.3,0.2,0.0705376344086022
