"","Csn","ZEB2","ZEB1","GSK3","SUFU","cateninmemb","TrCP","SNAI2","FUS","miR200","SMO","IKK","Patched","Destcompl","AKT","SHH","Ecadherin","Jagged","CD44","GLI","SOSGRB2","TCFLEF","cateninnuc","RAS","SMAD","DELTA","ILK","HEY1","EGR1","KLF4","TGFR","MEK","cfos","TWIST1","ERK","CDC42","Frizzled","DSH","PAK1","STAT","SRC","TGF","SNAI1","RAF","PI3K","RKIP","Wnt","cMet","FOXC2","Csl","NOTCHic","NOTCH","AXIN2","LIV1","NFB"
"SHH",0,-0.175,-0.175,-0.0102564102564103,0,-0.0450179211469534,0,-0.179233716475096,0,-0.0833333333333333,0.1,-0.1,0.0666666666666667,-0.0194805194805195,-0.15,-0.133333333333333,0.0338888888888889,-0.122857142857143,0,0.1,0.05,-0.00666666666666667,-0.0233333333333333,-0.157692307692308,-0.133333333333333,-0.15,-0.133333333333333,-0.133333333333333,0,-0.2,-0.0333333333333333,0.02,-0.1,0.025,0,0.0333333333333333,0,0,0,0.1,0.1,0.0133333333333333,-0.0666666666666667,0.15,0.15,-0.04,-0.1,0,-0.05,0.1,0,-0.0333333333333333,0.152380952380952,0,0
"Patched",0,-0.175,-0.175,-0.015018315018315,0,-0.050573476702509,0,-0.185900383141762,0.1,-0.0904761904761905,0.0666666666666667,-0.15,-0.133333333333333,-0.0183816183816184,-0.164285714285714,-0.133333333333333,0.0329180151024811,-0.126560846560847,-0.00666666666666667,0.0875,0.05,-0.0233333333333333,-0.0126537216828479,-0.145192307692308,-0.123333333333333,-0.157692307692308,-0.133333333333333,-0.125641025641026,-0.1,-0.166666666666667,-0.0133333333333333,0.0123076923076923,0,0.0287037037037037,-0.02,0.0333333333333333,-0.1,0,0.0333333333333333,0.1,0,0.0133333333333333,-0.0505376344086022,0.157692307692308,0.157692307692308,-0.0685714285714286,-0.1,0,-0.07,0,-0.0333333333333333,0.0121212121212121,0.152380952380952,0.1,0.1
"TGFR",-0.2,-0.172639969925061,-0.172639969925061,0.0242022878973295,-0.1,-0.00406107719457794,-0.1,-0.0230238848307966,-0.133333333333333,-0.101320253100008,-0.129885057471264,-0.209022556390977,-0.114260057471264,-0.0254498760252798,-0.181115579646791,-0.102395650691603,-0.0062171475301645,-0.0738911656101257,0.000566037735849057,0.0129162681505956,0.0272254710851202,-0.000869368962715537,0.00169927585570785,-0.122013366750209,-0.0818363406768871,-0.121428571428571,-0.090733137829912,-0.0910159069257196,-0.019047619047619,-0.173934383059097,-0.223452380952381,-0.0057479314725169,-0.0137844611528822,0.150367075260314,0.00711779448621553,0.132380952380952,-0.0242857142857143,-0.0142857142857143,0.146666666666667,0,-0.01,0.223452380952381,-0.109632571772556,0.121428571428571,0.121428571428571,-0.121168831168831,-0.0148517520215633,-0.000566037735849057,0.0317882909761588,-0.05,-0.0568965517241379,-0.0532994294219797,-0.00215159979108477,0,0.214285714285714
"SMO",-0.1,-0.169915254237288,-0.169915254237288,-0.0140474412319072,0.1,-0.0457191077704701,0,-0.18304324028462,0.0666666666666667,-0.0841470765521398,-0.133333333333333,-0.164285714285714,-0.133333333333333,-0.0152808431878199,-0.168285714285714,-0.122222222222222,0.0391910778331084,-0.133703703703704,-0.0233333333333333,0.0708333333333333,0.0657894736842105,-0.0126537216828479,-0.0119018419835998,-0.156820214669052,-0.121746031746032,-0.145192307692308,-0.123333333333333,-0.120879120879121,0,-0.166666666666667,-0.0133333333333333,0.00321678321678322,0.02,0.0139978213507625,-0.0123076923076923,0.0133333333333333,-0.1,-0.1,0.0333333333333333,0,0,0.0106306306306306,-0.0505376344086022,0.145192307692308,0.145192307692308,-0.0574603174603175,-0.0875,0.00666666666666667,-0.0596551724137931,-0.0333333333333333,0.0121212121212121,0.0121212121212121,0.162725779967159,0.1,0.15
"FUS",-0.15,-0.166847769574711,-0.166847769574711,-0.0117063041081614,0.0666666666666667,-0.0421809327239152,-0.1,-0.179991175652663,-0.133333333333333,-0.0841470765521398,-0.133333333333333,-0.168285714285714,-0.122222222222222,-0.0168866826038783,-0.156747252747253,-0.115151515151515,0.0353554613947523,-0.126474788041053,-0.0126537216828479,0.0823717948717949,0.0657894736842105,-0.0119018419835998,-0.0121735811140346,-0.152890083664685,-0.117229902713774,-0.156820214669052,-0.121746031746032,-0.12232839624144,0.02,-0.165027322404372,-0.0106306306306306,0.00666505907885218,0.0123076923076923,0.0208041040732756,-0.00321678321678322,0.0133333333333333,-0.0875,-0.1,0.0133333333333333,0,0.00666666666666667,0.00850297105616254,-0.0495942381821871,0.156820214669052,0.156820214669052,-0.0564293896252659,-0.0708333333333333,0.0233333333333333,-0.0662341197822141,0.0121212121212121,0.0121212121212121,0.0212121212121212,0.159620189905048,0,0.164285714285714
"SUFU",-0.164285714285714,-0.166364677787272,-0.166364677787272,-0.0137628593780843,-0.133333333333333,-0.0442273174442426,-0.15,-0.180057095230777,-0.133333333333333,-0.0837753293402439,-0.122222222222222,-0.156747252747253,-0.115151515151515,-0.0157702551716614,-0.162787521203629,-0.117082017082017,0.0349435149477904,-0.12433702082015,-0.0119018419835998,0.0827435420836908,0.069285977180714,-0.0121735811140346,-0.0139638624439578,-0.151307805183672,-0.113765699480517,-0.152890083664685,-0.117229902713774,-0.115099480578789,0.0123076923076923,-0.162033310428324,-0.00850297105616254,0.011345910142682,0.00321678321678322,0.0210102896402859,-0.00666505907885218,0.0106306306306306,-0.0708333333333333,-0.0875,0.0133333333333333,0.00666666666666667,0.0233333333333333,0.00830573239738542,-0.0518088889487969,0.152890083664685,0.152890083664685,-0.0543885732987353,-0.0823717948717949,0.0126537216828479,-0.0625120354149685,0.0121212121212121,0.0212121212121212,0.0124819624819625,0.157980845642752,0,0.168285714285714
"GLI",-0.144444444444444,-0.147328810377197,-0.147328810377197,-0.0660441715885119,-0.219047619047619,-0.0591660289754058,-0.133333333333333,-0.197957620255626,-0.219047619047619,-0.0727064267002347,-0.208521303258145,-0.0997613080319847,-0.200358037952023,-0.0687871497631685,-0.0919488080319847,-0.192539107910871,-0.0400631745250325,-0.0905351835439425,-0.0454209284028324,-0.077443578666882,0.0337321380684213,-0.0408754738573779,-0.0404570638155369,-0.0728150718305674,-0.0873028004805825,-0.069448735196904,-0.0873028004805825,-0.0848489135840579,-0.0657142857142857,-0.146099528099528,-0.0333235740620256,-0.0708803903279041,-0.0657142857142857,0.0568026154189142,0.067012987012987,0.0314367816091954,-0.0367741935483871,-0.04,0.0383333333333333,0.03,0.0332258064516129,0.0354412211208491,-0.0288102220360285,0.069448735196904,0.069448735196904,-0.0277648667122351,-0.0238330170777989,0.0454209284028324,0.0369026272789818,0.0737046861184792,0.0712046861184792,0.0740618289756221,0.0641243961352657,0.05,0.11812865497076
"ZEB2",-0.155555555555556,-0.142960877508711,-0.142960877508711,-0.140421056738434,-0.125,-0.100509120938262,-0.1,-0.0997302461682143,-0.0964285714285714,-0.0959313475657755,-0.0935714285714286,-0.0883333333333333,-0.083815331010453,-0.0817478582120666,-0.076183800623053,-0.0719971491922712,-0.0716712430367933,-0.0713877308936667,-0.0683138401559454,-0.0675092491606253,-0.0637362637362637,-0.060567361282706,-0.0568011275164722,-0.0562144850153415,-0.052352866416762,-0.0504329004329004,-0.0499138420265181,-0.0470223325062035,-0.0416666666666667,-0.0388018102160328,-0.0369078540507112,-0.0343516639750438,-0.0153508771929825,-0.0107810894141829,0.0282541029994341,0.0335064935064935,0.0363636363636364,0.0363636363636364,0.038961038961039,0.04,0.04,0.0400824572253144,0.0450859968378039,0.0504329004329004,0.0504329004329004,0.0534943639291465,0.062004662004662,0.0636842105263158,0.0689028749028749,0.0692307692307692,0.0732307692307692,0.0814274905422446,0.0931242830244719,0.1,0.130555555555556
"AXIN2",-0.1,-0.140481908833567,-0.140481908833567,-0.116841567407929,-0.15,0.0671201513361063,-0.0666666666666667,0.111555701454992,-0.173076923076923,-0.104698914129137,-0.177838827838828,-0.123188405797101,-0.183195970695971,-0.124788187929315,-0.12207729468599,-0.18024515102384,-0.0868183585359314,0.0513251789338746,0.0941298105990655,0.093818321203593,-0.12354852876592,0.092371311185232,0.0917228027546224,-0.0776541644536086,-0.152375201288245,-0.0771292300704065,-0.155946629859673,-0.160132328793586,-0.04,-0.146634422476158,-0.127838959903857,-0.0333779269471715,-0.0375609756097561,0.101500031784007,0.0347572372919991,0.130493827160494,-0.0916279069767442,-0.08,0.136666666666667,-0.08,-0.0916279069767442,0.125858761884055,-0.106958084710144,0.0771292300704065,0.0771292300704065,-0.10339113395565,-0.0950761828388132,-0.0950761828388132,-0.0525960612377474,-0.0575438596491228,-0.0593295739348371,-0.0593295739348371,0.305199151568985,-0.1,0.11304347826087
"AKT",-0.1,-0.138947223913699,-0.138947223913699,-0.0757837592515012,-0.2,-0.0287471514261399,-0.1,0.0186840040497868,-0.2,-0.0793990295195695,-0.176923076923077,-0.0945701357466063,-0.149145299145299,-0.0125344850035058,-0.171337812514283,-0.143882141250562,-0.0969559444245934,-0.0970483327524108,0.0132648061019469,0.012229550602152,-0.132649572649573,0.00934728032875098,0.011347280328751,-0.0961418261553597,-0.122491116850781,-0.0944550791674079,-0.124848019207683,-0.129946448201019,-0.019047619047619,-0.131427125506073,-0.0960105212816834,0.000323009469403036,-0.0131652661064426,0.00221194862036571,-0.00158883225421316,0.0968235294117647,-0.00676328502415459,-0.0111111111111111,0.108823529411765,-0.0111111111111111,-0.00676328502415459,0.104167620979569,-0.076812804959258,0.0944550791674079,0.0944550791674079,-0.10236151316714,-0.0206094388703084,-0.0206094388703084,-0.13264197078061,0,-0.00645161290322581,-0.0210857592446892,-0.0700044696578993,0,0.117647058823529
