"","CD44","cMet","GLI","Frizzled","TGF","SOSGRB2","SUFU","FUS","SMO","cateninmemb","EGR1","SNAI1","ZEB1","ZEB2","MEK","ERK","TWIST1","cfos","miR200","SNAI2","RKIP","SHH","Patched","TrCP","KLF4","RAS","FOXC2","RAF","PI3K","DELTA","GSK3","SMAD","ILK","Csn","HEY1","LIV1","AKT","Csl","NFB","NOTCHic","IKK","NOTCH","DSH","TGFR","STAT","CDC42","Wnt","Ecadherin","SRC","PAK1","Jagged","TCFLEF","cateninnuc","AXIN2","Destcompl"
"ZEB1",0.310469319059706,0.297969319059706,0.315801527280029,0.283855981416957,-0.291805522155985,-0.0474853801169591,-0.158333333333333,-0.183333333333333,-0.192424242424242,-0.00959771811971973,-0.133333333333333,-0.274170938978323,0.561241255584231,-0.561241255584231,0.159585730327373,0.15121568627451,-0.351505242587481,0.145333333333333,-0.582591596386659,-0.18990684695527,0.261591432423154,0.214509233004104,0.204188948306595,0.0666666666666667,-0.536302018037504,-0.0280993897549749,0.383627794217549,-0.0339261614085182,-0.0339261614085182,-0.0339261614085182,-0.360485386574317,0.147653877450696,0.144288492835311,0.0866666666666667,0.150212024590263,-0.233333333333333,0.111659887423477,0.0479166666666667,0.102456140350877,0.0361519607843137,0.107374173137762,0.0278874979743964,-0.261904761904762,0.279207096959135,-0.256410256410256,0.266516741629185,-0.303086750647726,-0.206210096466342,-0.278361475922452,0.250574712643678,-0.007618756249623,-0.321107616932047,-0.32942464237236,-0.347020207998255,-0.420295504943016
"Frizzled",0.286842105263158,0.261842105263158,0.286842105263158,0.225,-0.434244306418219,-0.157575757575758,0,-0.05,-0.0772727272727273,-0.0771314231907452,0.0333333333333333,-0.41771911663216,0.549729865382521,-0.549729865382521,-0.0119825708061002,-0.0156862745098039,-0.368795518207283,-0.0333333333333333,-0.559851641414141,-0.1642031980855,0.356904761904762,0.104461667364893,0.0915584415584415,0.1,-0.500280112044818,0.302315380433905,0.508545334714245,0.287354750512645,0.287354750512645,0.287354750512645,-0.630966562173459,0.0610043896068673,0.054462333532101,0.133333333333333,0.0388979814511729,-0.1,0.197083333333333,-0.164285714285714,0.153333333333333,-0.180952380952381,0.178333333333333,-0.202521008403361,-0.3,0.410434782608696,-0.2,0.38,-0.261842105263158,-0.143829957087235,-0.225,0.333333333333333,-0.0910969994058229,-0.308696409898919,-0.324886886089396,-0.31568710359408,-0.60887178487927
"AKT",0.305489106815562,0.286845039018952,0.305280793208896,0.263768115942029,-0.327117988039664,-0.11491452991453,-0.05,-0.0666666666666667,-0.0820512820512821,-0.0534407560387713,0.019047619047619,-0.406961516109113,0.541011373617982,-0.541011373617982,0.00984658648684624,0.00351747256279561,-0.265678416333304,-0.00140056022408963,-0.554041753246189,-0.11570069277563,0.367240240577836,0.105793972109762,0.0931623931623932,0.233333333333333,-0.509553531264058,0.25448928537491,0.397758298184486,0.245573622724308,0.245573622724308,0.245573622724308,-0.518527246349827,0.0535070076515455,0.0484565026010404,0.233333333333333,0.0350049020240036,-0.2,0.16776360894008,-0.173076923076923,0.250980392156863,-0.185980148883375,0.25867269984917,-0.199394783029716,-0.233333333333333,0.310501673840268,-0.233333333333333,0.290176470588235,-0.286845039018952,-0.174324962770482,-0.263768115942029,0.266176470588235,-0.104350528639479,-0.319303539805253,-0.330688155189868,-0.337164517792677,-0.57952073156575
"PI3K",0.286845039018952,0.263768115942029,0.286845039018952,0.233333333333333,-0.310501673840268,-0.112692307692308,0,-0.05,-0.0666666666666667,-0.0502807152640516,0.0333333333333333,-0.385157004830918,0.507449729782365,-0.507449729782365,0.00351747256279561,-0.00140056022408963,-0.243965878107004,-0.019047619047619,-0.516608598165975,-0.108766019408796,0.34177440206852,0.0931623931623932,0.0820512820512821,0.2,-0.464254385964912,0.245573622724308,0.371442508710801,0.234614718614719,0.234614718614719,0.234614718614719,-0.490704665704666,0.0484565026010404,0.0412565026010404,0.233333333333333,0.0282379847307705,-0.1,0.25867269984917,-0.15,0.233333333333333,-0.173076923076923,0.250980392156863,-0.185980148883375,-0.2,0.290176470588235,-0.2,0.266176470588235,-0.263768115942029,-0.170537083982603,-0.233333333333333,0.225,-0.0964035087719298,-0.305489106815562,-0.319303539805253,-0.315142857142857,-0.554954974741928
"ILK",0.286845039018952,0.263768115942029,0.286845039018952,0.233333333333333,-0.310501673840268,-0.112692307692308,0,-0.05,-0.0666666666666667,-0.0502807152640516,0.0333333333333333,-0.385157004830918,0.507449729782365,-0.507449729782365,0.00351747256279561,-0.00140056022408963,-0.243965878107004,-0.019047619047619,-0.516608598165975,-0.108766019408796,0.34177440206852,0.0931623931623932,0.0820512820512821,0.2,-0.464254385964912,0.245573622724308,0.371442508710801,0.234614718614719,0.234614718614719,0.234614718614719,-0.490704665704666,0.0484565026010404,0.0412565026010404,0.233333333333333,0.0282379847307705,-0.1,0.25867269984917,-0.15,0.233333333333333,-0.173076923076923,0.250980392156863,-0.185980148883375,-0.2,0.290176470588235,-0.2,0.266176470588235,-0.263768115942029,-0.170537083982603,-0.233333333333333,0.225,-0.0964035087719298,-0.305489106815562,-0.319303539805253,-0.315142857142857,-0.554954974741928
"TrCP",0.158240220418438,0.149329329329329,0.158313126990919,0.138518518518519,-0.242181492567221,-0.0950495049504951,-0.0761904761904762,-0.0761904761904762,-0.0794162826420891,0.0749605374395074,-0.04,-0.182310151103843,0.494042648032745,-0.494042648032745,0.0500427413411938,0.0460427413411938,-0.19600771692076,0.0443478260869565,-0.509795950375228,-0.122600794444091,0.20069311903566,0.0940582579507311,0.0880582579507311,0.0333333333333333,-0.47928233151184,0.00298764788004386,0.280497793734819,0.000260375152771136,0.000260375152771136,0.000260375152771136,-0.0845573593073593,0.0694794333504011,0.0688342720600785,0.0583333333333333,0.0701788811476615,-0.1,0.0567738791423002,0.00897435897435897,0.0583333333333333,0.00128205128205128,0.0530701754385965,-0.00311355311355312,-0.12,0.235077667430609,-0.12,0.230532212885154,-0.149044834307992,-0.167641976211423,-0.138518518518519,0.228571428571429,-0.0125930896387185,-0.164536516714735,-0.170053758094045,-0.183532546395266,-0.202707148230188
"LIV1",0.158240220418438,0.149329329329329,0.158313126990919,0.138518518518519,-0.242181492567221,-0.0950495049504951,-0.0761904761904762,-0.0761904761904762,-0.0794162826420891,0.0749605374395074,-0.04,-0.182310151103843,0.494042648032745,-0.494042648032745,0.0500427413411938,0.0460427413411938,-0.19600771692076,0.0443478260869565,-0.509795950375228,-0.122600794444091,0.20069311903566,0.0940582579507311,0.0880582579507311,0.0333333333333333,-0.47928233151184,0.00298764788004386,0.280497793734819,0.000260375152771136,0.000260375152771136,0.000260375152771136,-0.0845573593073593,0.0694794333504011,0.0688342720600785,0.0583333333333333,0.0701788811476615,-0.1,0.0567738791423002,0.00897435897435897,0.0583333333333333,0.00128205128205128,0.0530701754385965,-0.00311355311355312,-0.12,0.235077667430609,-0.12,0.230532212885154,-0.149044834307992,-0.167641976211423,-0.138518518518519,0.228571428571429,-0.0125930896387185,-0.164536516714735,-0.170053758094045,-0.183532546395266,-0.202707148230188
"EGR1",0.158240220418438,0.149329329329329,0.158313126990919,0.138518518518519,-0.242181492567221,-0.0950495049504951,-0.0761904761904762,-0.0761904761904762,-0.0794162826420891,0.0749605374395074,-0.04,-0.182310151103843,0.494042648032745,-0.494042648032745,0.0500427413411938,0.0460427413411938,-0.19600771692076,0.0443478260869565,-0.509795950375228,-0.122600794444091,0.20069311903566,0.0940582579507311,0.0880582579507311,0.0333333333333333,-0.47928233151184,0.00298764788004386,0.280497793734819,0.000260375152771136,0.000260375152771136,0.000260375152771136,-0.0845573593073593,0.0694794333504011,0.0688342720600785,0.0583333333333333,0.0701788811476615,-0.1,0.0567738791423002,0.00897435897435897,0.0583333333333333,0.00128205128205128,0.0530701754385965,-0.00311355311355312,-0.12,0.235077667430609,-0.12,0.230532212885154,-0.149044834307992,-0.167641976211423,-0.138518518518519,0.228571428571429,-0.0125930896387185,-0.164536516714735,-0.170053758094045,-0.183532546395266,-0.202707148230188
"SMAD",0.0167337237925473,0.0112791783380019,0.0369214518495094,0.0253968253968254,-0.237905429714509,-0.129843241644484,-0.158333333333333,-0.158333333333333,-0.163333333333333,0.00854386882259815,0,-0.152233654338493,0.46570711644842,-0.46570711644842,-0.00542876103641295,-0.00735183795948987,-0.11360934290016,-0.00967741935483871,-0.481354000455892,-0.0746312416318582,0.157840176919642,0.169779225356116,0.167920489296636,0.15,-0.455788916957464,0.134541559834481,0.246909063782907,0.133883665097639,0.133883665097639,0.133883665097639,-0.124112879601601,0.0664780881219237,0.167430469074305,0.183333333333333,0.185157815336021,0.02,0.184879551820728,0.105714285714286,0.188095238095238,0.104564860426929,0.182212885154062,0.101390257252326,-0.0142857142857143,0.234718178718493,0.00571428571428572,0.231924882629108,-0.0311660561660562,-0.0395720089665847,-0.00539682539682539,0.233333333333333,0.125994274542662,-0.0206685948915975,-0.0240120599371902,-0.0121571427046008,-0.0638169161864802
"GLI",0.157659730323666,0.150763178599528,0.176304251281844,0.256129032258065,-0.118007654330437,0.124208328544612,-0.142857142857143,-0.155357142857143,-0.155357142857143,0.0760729916145697,-0.154285714285714,-0.176330671159086,0.449284348864994,-0.449284348864994,0.17259249958145,0.166515151515151,-0.183011366109838,0.162619047619048,-0.466235611653568,-0.115980611882255,0.203093368068542,0.171339338204418,0.163520408163265,-0.0333333333333333,-0.435323037323037,-0.0752789098731489,0.25578882868937,-0.0782492069028518,-0.0782492069028518,-0.0782492069028518,-0.165252480747554,0.0459033694420054,0.0448222883609243,0,0.0435655365196961,-0.1,-0.00181592373791622,-0.0090893015030946,0.00526315789473684,-0.0140893015030946,-0.00494092373791622,-0.0188512062649994,-0.24,0.111184124918673,-0.12,0.106781609195402,-0.269070208728653,-0.166238949039941,-0.136129032258065,0.103333333333333,-0.038051195382557,-0.163503886167822,-0.168465033806794,-0.183016304347826,-0.216781878850286
