"","GSK3","ZEB2","NFB","IKK","AKT","SMO","TrCP","cMet","TCFLEF","RAS","PI3K","DELTA","Wnt","cateninmemb","TWIST1","GLI","Frizzled","DSH","SNAI1","KLF4","Destcompl","MEK","TGF","FOXC2","SNAI2","CDC42","TGFR","PAK1","cfos","ERK","EGR1","Csl","NOTCHic","NOTCH","miR200","STAT","SRC","RAF","Jagged","Ecadherin","CD44","cateninnuc","RKIP","SUFU","LIV1","FUS","SHH","Patched","SMAD","ILK","AXIN2","SOSGRB2","HEY1","Csn","ZEB1"
"ZEB1",-0.00644825863159354,-0.165862910496917,-0.148070175438596,-0.146430831176301,-0.142145116890587,-0.0928030303030303,-0.133333333333333,-0.0146562189603796,-0.0142277319627437,-0.112495566206733,-0.11170816463193,-0.11170816463193,-0.00912400607522559,-0.00962835559206912,-0.0324290834627785,-0.00878036346354174,-0.00720092915214866,-0.00476190476190476,-0.0898665651327642,-0.163321490797669,-0.00253884846267071,-0.0421843310011229,-0.0236304656337246,0.0146469078345962,0.0835672525709162,0.0208645677161419,0.0244178672085277,0.0339080459770115,0.0373333333333333,0.0408627450980392,0.0333333333333333,0.0666666666666667,0.0705882352941176,0.0681088964511424,0.0716438183266327,0.0102564102564103,0.0126954346466542,0.11170816463193,0.103540411562384,0.0982997393488274,0.0139617745159352,0.0139341898883797,0.101820693812957,0.0916666666666667,0.0333333333333333,0.0791666666666667,0.0872765492479748,0.0869206773618538,0.112527497972066,0.114450574895143,0.121457607433217,0.132358674463938,0.120856130053021,0.153333333333333,0.165862910496917
"ZEB2",-0.178565020603533,-0.162903459876443,-0.133333333333333,-0.126666666666667,-0.121993769470405,-0.108571428571429,-0.1,-0.0852631578947368,-0.0841155313949977,-0.0824559451968445,-0.0813852813852814,-0.0813852813852814,-0.0778554778554779,-0.0774221577624985,-0.0769835116362868,-0.0760206154701568,-0.0727272727272727,-0.0727272727272727,-0.0694976317697524,-0.0628733527086279,-0.0604618862756911,-0.0457268761991525,-0.00776472205043633,-0.00264801864801865,-0.000593206607352063,0.00519480519480519,0.00723562152133581,0.0142857142857143,0.0364035087719298,0.0396293152235427,0.0416666666666667,0.0666666666666667,0.0706666666666667,0.0712131147540984,0.0747463632775981,0.08,0.08,0.0813852813852814,0.0831912349754529,0.0833126646709571,0.083411306042885,0.0835960508755171,0.0955233494363929,0.1,0.1,0.1,0.105844155844156,0.108571428571429,0.111047995288806,0.112877263581489,0.113293714049042,0.117564102564103,0.12124633431085,0.133333333333333,0.162903459876443
"miR200",0.0548618290784001,-0.10130376344086,-0.0147368421052632,-0.0118796992481203,-0.0137664917009505,0.0141666666666667,0,-0.0170606246172688,-0.0163338545084763,-0.0745727720499746,-0.076318407960199,-0.076318407960199,-0.0174084507042254,-0.0148457170224412,0.072432679794643,-0.0163095496053243,-0.016,-0.02,-0.00364302364302364,-0.1,-0.0162643091918848,0.0090599876314162,-0.0160742391480223,0.0110999569536155,0.0911021202887008,0.0181372549019608,0.0149114484503479,0.00833333333333333,-0.0142857142857143,-0.00974025974025974,-0.0142857142857143,-0.00916256157635468,-0.00571428571428572,-0.00514931396287329,-0.00101537466560837,0.02,0.0156521739130435,0.076318407960199,0.00709465356029729,0.00831964805224934,0.0159370291116509,0.0161823393569611,0.0021495952428072,-0.02,0,-0.0075,-0.0136300678774537,-0.0103691983122363,0.000846323061764014,-0.000721075057358243,0.0749426766052442,0.0151644100580271,-0.00163841807909605,0.02,0.10130376344086
"CD44",0.0982142857142857,-0.073015873015873,0.2,0.2,0.18,0.05,0.1,-0.15,-0.0496899224806202,0.18952380952381,0.180952380952381,0.180952380952381,-0.05,0.000347985347985347,-0.0618315018315018,-0.0566666666666667,-0.1,0,-0.115789473684211,0.0412698412698413,-0.0999290625341045,-0.1,-0.0922222222222222,0.0925,-0.178110778110778,0.0866666666666667,0.0866666666666667,0.0666666666666667,0.1,0.12,0.1,0,0.0428571428571429,0.0481203007518797,-0.103522178304787,0.1,0.2,-0.180952380952381,-0.0599533799533799,-0.0239539680816415,0.0566666666666667,0.0619976147883125,0.0611111111111111,-0.1,0.1,-0.1,-0.0409090909090909,-0.05,-0.0368480725623583,-0.0388888888888889,0.08,0.147619047619048,-0.0274853801169591,-0.2,0.073015873015873
"AXIN2",0.127340599268517,-0.0649949912265609,0.148792270531401,0.156038647342995,0.157149758454106,-0.127838827838828,0.133333333333333,0.165482491312483,0.168349344615541,0.171737071892713,0.171999539084314,0.171999539084314,0.165482491312483,-0.0854004942034925,-0.130430776495685,0.167369283765313,0.16031007751938,0.153333333333333,-0.0942926787473074,-0.0692021623180792,0.126419500217801,-0.14678315503748,-0.0146972939673515,0.0339511932251979,-0.231871475190273,0.0213271604938272,0.0160174259805528,0.0275,0.138861788617886,0.145403844692653,0.126666666666667,0.155789473684211,0.161146616541353,0.164524994919732,-0.0982037496190878,-0.153333333333333,-0.16031007751938,-0.171999539084314,0.150218001739741,-0.151606718771864,-0.167059778378729,-0.168392578510915,0.113633561778723,0.1,-0.133333333333333,0.123076923076923,0.132393862967634,0.131410256410256,0.0104439843570278,0.0104439843570278,0.236834183295812,-0.0269545383710882,0.020436692850486,-0.144444444444444,0.0649949912265609
"TWIST1",-0.0612340208810797,-0.0628716435733979,-0.0923076923076923,-0.101831501831502,-0.100136586577265,-0.012,-0.1,-0.105555555555556,-0.106722858765332,-0.00207551102922508,-0.00310290828949905,-0.00310290828949905,-0.104502923976608,-0.100259625780057,0.0813412607605971,-0.105302923976608,-0.105555555555556,-0.1,-0.0812168557694279,-0.0561079841567646,-0.0646744532932987,0.0935020549426779,-0.186435499246649,0.179660418351341,0.369578343409256,0.183824451410658,0.187574451410658,0.187272727272727,-0.0910144927536232,-0.0910144927536232,-0.0866666666666667,-0.0037037037037037,-0.0037037037037037,-0.00559049615653389,-0.0854749676833316,0.1,0.105555555555556,0.00310290828949905,-0.00520443356813247,0.176716862556432,0.105957161981258,0.106665354452508,0.0628364389233954,0.0333333333333333,0.1,0,0.00761373911869897,0.00515068493150685,0.0885448905250885,0.0895349895349895,0.138838097386484,0.135911126757809,0.0866766002359223,0.1,0.0628716435733979
"RAS",-0.0904780361757106,-0.0611929307805596,0.0666666666666667,0.06,0.06,-0.1,0.1,-0.0911764705882353,-0.0839751612592664,-0.00423076923076923,0.0938461538461538,0.0938461538461538,-0.0911764705882353,-0.00273682424377638,0.0603600654664484,-0.0745098039215686,-0.05,-0.1,-0.0626548672566372,-0.0642857142857143,-0.0330977633303215,-0.158302373581011,-0.119126383226558,0.109206349206349,0.295991223014325,0.12,0.108235294117647,0.1,0.155,0.160263157894737,0.18,0.15,0.165789473684211,0.15635551142006,-0.0776,0.1,0.05,-0.0938461538461538,0.078742361521782,0.057044042034908,0.0762828535669587,0.0831253029023259,0.178232704402516,0.1,0,0.1,0.100135593220339,0.112,0.113852813852814,0.113852813852814,0.105823451910408,0.147619047619048,0.122134387351779,-0.1,0.0611929307805596
"cateninnuc",-0.016146741021873,-0.041758663463795,-0.248863636363636,-0.248863636363636,-0.247301136363636,0.207249544626594,-0.233333333333333,-0.274940880375663,-0.275062387778724,-0.232140527140527,-0.233318978318978,-0.233318978318978,-0.276234639888601,0.0701408780777063,0.153140106158744,-0.277420410639589,-0.275147683366861,-0.268298368298368,-0.145219914157422,-0.00106761565836299,-0.0127158081128555,0.193434413379327,-0.208595856685602,0.186560778019794,0.452371276625687,0.204791208791209,0.208814197296956,0.201714285714286,-0.195617667356798,-0.194351844571988,-0.18768115942029,-0.345511613308224,-0.344348822610549,-0.343894277156004,-0.0409908253921304,0.268298368298368,0.273853923853924,0.233318978318978,-0.249071879288589,0.265767575028465,0.275734531169314,0.174924304376349,0.112551250238595,-0.188888888888889,0.260606060606061,-0.208888888888889,-0.209265810069969,-0.210355134688706,0.0332026796910835,0.0333391053391053,0.447460567070816,0.268471832488875,-0.00585519032186638,0.245833333333333,0.041758663463795
"cateninmemb",-0.0897373674941714,-0.0305807276764535,-0.224761904761905,-0.228465608465608,-0.228465608465608,0.239583333333333,-0.2,-0.293899165328417,-0.295276108813758,-0.211559611382155,-0.212956259426848,-0.212956259426848,-0.294738745538312,0.0723702707279101,0.229844719514125,-0.296072078871645,-0.291290469676243,-0.284313725490196,-0.0750611876488848,0,-0.0876056748038651,0.191541981366117,-0.212009844842818,0.185090325207766,0.377274187137578,0.206606060606061,0.210020694752402,0.197272727272727,-0.187272727272727,-0.190365510777882,-0.187272727272727,-0.287272727272727,-0.290365510777882,-0.29148075241357,-0.0335950186788176,0.284313725490196,0.291290469676243,0.212956259426848,-0.276509783385819,0.280303997057323,0.294902509810022,0.294902626087334,0.0485849089380389,-0.233333333333333,0.266666666666667,-0.233333333333333,-0.243596541359749,-0.242809139784946,0.0431441906165561,0.0414492753623188,0.360550968132058,0.250103818723481,0.00227767495039504,0.22,0.0305807276764535
"ILK",0.00532708032708033,-0.0247964035899184,-0.133333333333333,-0.13921568627451,-0.141779788838612,0.0333333333333333,-0.2,0.0202898550724638,0.0282342270846324,-0.00141422048271363,-0.00552380952380952,-0.00552380952380952,0.0202898550724638,-0.0620484913860293,-0.0990349477876206,0.0310590858416945,0.0333333333333333,0,-0.000273752012882449,-0.0258771929824561,0.00606648677481096,0.013486706157873,0.0214265901482544,-0.0193914053426249,-0.0565339408080889,-0.0191176470588235,-0.0271176470588235,-0.025,0.0142857142857143,-0.0151260504201681,0,-0.075,-0.0826923076923077,-0.0859181141439206,0.0629183952954445,0,-0.0333333333333333,0.00552380952380952,-0.0193859649122807,0.0655895643882131,-0.0310590858416945,-0.0309146394557664,-0.0180187459599224,0,-0.1,0,-0.0207264957264957,-0.0179487179487179,-0.0430101640656262,-0.0454101640656262,-0.0864761904761905,-0.126923076923077,-0.0490633303063936,0.166666666666667,0.0247964035899184
