"","ZEB2","miR200","NOTCH","NOTCHic","NFB","TrCP","Csl","Csn","IKK","cfos","ERK","EGR1","SNAI1","Destcompl","MEK","SOSGRB2","CDC42","PI3K","RAS","FOXC2","TGFR","RAF","DELTA","TGF","GSK3","PAK1","Frizzled","DSH","STAT","SRC","RKIP","TWIST1","cateninnuc","Wnt","cMet","TCFLEF","Ecadherin","GLI","CD44","AKT","SMO","Patched","ILK","SHH","SMAD","AXIN2","HEY1","cateninmemb","SUFU","LIV1","FUS","SNAI2","Jagged","KLF4","ZEB1"
"ZEB1",-0.221872990460167,-0.12890111108337,-0.0835753929671042,-0.0802696078431372,-0.108070175438596,-0.133333333333333,-0.0645833333333333,-0.113333333333333,-0.0933160770779408,-0.088,-0.0774117647058824,-0.1,-0.0917016198343724,-0.0597445376763786,-0.0778522933402436,-0.0582846003898636,-0.00570548059303682,0.0466001616573717,-0.0461277207124898,-0.019532625503353,-0.0133196937910064,-0.0466001616573717,-0.0466001616573717,0.0231622134760457,0.0270327576119342,0.0216475095785441,-0.035075493612079,-0.0619047619047619,-0.0564102564102564,-0.0295809881175735,0.070468989424502,0.0289737957156575,-0.0282500085772098,-0.0235370320736174,-0.0178162822352205,-0.0293263295165444,0.0532767069792389,-0.0286916712488752,-0.0226773933463317,0.097601791363655,0.0821969696969697,0.0939616755793226,0.0835118220669763,0.10001149764338,0.0868772066823609,0.0727284610536248,0.0969856395763132,0.143597857842527,0.108333333333333,-0.0333333333333333,0.0958333333333333,0.108753183620976,0.0825956312519671,0.220797228285903,0.221872990460167
"ZEB2",-0.21695031554643,-0.121773154098264,-0.117866330390921,-0.104205128205128,-0.101388888888889,-0.1,-0.0948717948717949,-0.0888888888888889,-0.0858333333333333,-0.0824561403508772,-0.0695529145444256,-0.0666666666666667,-0.0665001604788351,-0.0662539017050084,-0.058577304788328,-0.0253113553113553,-0.0051948051948052,-0.00439393939393939,-0.00181591071312699,-0.0015959595959596,0.00364873222016079,0.00439393939393939,0.00439393939393939,0.00799147942005085,0.0204574151136675,0.0324675324675325,0.0363636363636364,0.0363636363636364,0.04,0.04,0.0504186795491143,0.0536650265280004,0.0593734977648988,0.0594405594405594,0.0636842105263158,0.0639189523103534,0.0671129374498707,0.0676974401745044,0.0720175438596491,0.079291277258567,0.08,0.08,0.082897384305835,0.0863636363636364,0.0865559208912009,0.0954981702648279,0.0985923753665689,0.0996396285845362,0.1,0.1,0.1,0.106411625455257,0.112215538767564,0.120835050847104,0.21695031554643
"TGFR",-0.216272957981002,-0.124319811013359,-0.158599189613826,-0.153563218390805,0.044047619047619,0.0333333333333333,-0.146666666666667,0.0583333333333333,0.0493107769423559,-0.0348370927318296,-0.0326148705096073,-0.019047619047619,-0.183530915316917,-0.00221320588923159,-0.0312450074959087,0.153378817413905,0.123174603174603,-0.0886904761904762,0.0863512949039265,0.0112679351216469,0.0213888888888889,0.0886904761904762,0.0886904761904762,-0.0157151300236407,-0.113018654224593,-0.108888888888889,-0.0328571428571428,-0.0428571428571429,-0.0333333333333333,-0.0233333333333333,0.0828138528138528,0.186935547647291,-0.0204911383527589,-0.0234231805929919,-0.0138993710691824,-0.0191625289639192,-0.044867015185201,-0.0227780193026693,-0.0138993710691824,-0.046985195547007,0.0363218390804598,0.0425718390804598,0.0512121212121212,0.0453966978375219,0.0522797368704842,-0.016681237747046,0.0778852353320439,-0.0367034273891243,0.0466666666666667,0,0.0466666666666667,0.0133735076167179,0.051859351988218,0.215173350041771,0.216272957981002
"RAS",-0.188140648011782,-0.129907692307692,-0.03987090367428,-0.0342105263157895,-0.0333333333333333,0,-0.05,0,-0.0266666666666667,-0.045,-0.0502631578947368,-0.02,-0.204011799410029,-0.0988887291212872,-0.0365376676986584,-0.045021645021645,-0.06,0.0774358974358974,-0.181282051282051,-0.0514285714285714,-0.0364705882352941,-0.0774358974358974,-0.0774358974358974,0.0414210832847991,-0.119754521963824,0.1,-0.15,-0.1,-0.1,-0.15,0.228899371069182,0.226873977086743,-0.137162068733225,-0.144117647058824,-0.144117647058824,-0.133479349186483,-0.12195904448736,-0.13578431372549,-0.133479349186483,0.0155555555555556,0.0833333333333333,0.0713333333333333,0.0813852813852814,0.0696384180790961,0.083426097711812,-0.164743083003953,0.0820158102766798,-0.121417841788146,0.1,0,0.1,0.2755420867792,0.0500374531835206,0.195357142857143,0.188140648011782
"Jagged",-0.184541062801932,-0.0909090909090909,-0.0657142857142857,-0.08,0,0,-0.1,0,0.0333333333333333,0,-0.02,-0.1,-0.0583333333333333,0.00758301158301158,-0.02,-0.02,0,0.0133333333333333,-0.0133333333333333,0.0142857142857143,0.0111111111111111,-0.0133333333333333,-0.0133333333333333,-0.0151111111111111,-0.0256704980842912,0,0,0,0,0,0.041025641025641,0.096,-0.00817848817848818,-0.02,-0.02,-0.00927738927738928,-0.0347368421052632,-0.0123076923076923,-0.0123076923076923,-0.0222222222222222,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.041025641025641,-0.0285714285714286,-0.0142857142857143,0.0666666666666667,-0.024865556978233,0,0,0,0.12516339869281,-0.0243290043290043,0.188888888888889,0.184541062801932
"DELTA",-0.184541062801932,-0.0909090909090909,-0.0657142857142857,-0.08,0,0,-0.1,0,0.0333333333333333,0,-0.02,-0.1,-0.0583333333333333,0.00758301158301158,-0.02,-0.02,0,0.0133333333333333,-0.0133333333333333,0.0142857142857143,0.0111111111111111,-0.0133333333333333,-0.0133333333333333,-0.0151111111111111,-0.0256704980842912,0,0,0,0,0,0.041025641025641,0.096,-0.00817848817848818,-0.02,-0.02,-0.00927738927738928,-0.0347368421052632,-0.0123076923076923,-0.0123076923076923,-0.0222222222222222,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.041025641025641,-0.0285714285714286,-0.0142857142857143,0.0666666666666667,-0.024865556978233,0,0,0,0.12516339869281,-0.0243290043290043,0.188888888888889,0.184541062801932
"EGR1",-0.180726624582654,-0.0900917419729005,0.0361538461538462,0.0284615384615385,0.0458333333333333,0.0333333333333333,0.0269230769230769,0.0333333333333333,0.0353070175438596,0.0130434782608696,0.00456890198968312,0,-0.0616610450162307,0.0929741712510876,-0.00343109801031688,0.00101760176017602,0.0299719887955182,-0.00111987884584728,0.00384715157312001,0.0206823048815826,0.0208810797046091,0.00111987884584728,0.00111987884584728,-0.0268920086663577,-0.00815313852813853,-0.0476190476190476,-0.0562962962962963,-0.06,-0.06,-0.0562962962962963,0.0392941312830816,0.10509043854696,-0.0685738425349214,-0.0694541910331384,-0.0698098098098098,-0.071056601155611,-0.110973584781831,-0.0738444349355774,-0.0747603048593148,-0.0278996101364522,-0.0314900153609831,-0.0277863116572794,-0.0232548216419184,-0.0317863116572794,-0.0251903055128862,-0.100680050810174,-0.0275149190110827,-0.125466194177002,-0.0476190476190476,-0.1,-0.0476190476190476,0.10322519822104,-0.0323150988411725,0.177160551652355,0.180726624582654
"cfos",-0.175260386640532,-0.0880612851201086,0.0284615384615385,0.0269230769230769,0.0333333333333333,0,0.05,0.0333333333333333,0.0458333333333333,0,0.0130434782608696,0.08,-0.0633316894076388,0.0938764268901854,0.00456890198968312,0.0138888888888889,0.0476190476190476,0.00375816993464052,0.00111987884584728,0.0165443738470998,0.0299719887955182,-0.00375816993464052,-0.00375816993464052,-0.0208810797046091,-0.0114258658008658,-0.0428571428571429,-0.06,-0.1,-0.1,-0.06,0.0332167832167832,0.100199134199134,-0.071056601155611,-0.0562962962962963,-0.0562962962962963,-0.0747603048593148,-0.111181197238578,-0.0694541910331384,-0.0698098098098098,-0.0353070175438596,-0.0476190476190476,-0.0314900153609831,-0.0248677248677249,-0.0277863116572794,-0.0232548216419184,-0.0956486042692939,-0.0289855072463768,-0.128762897473705,-0.0333333333333333,-0.1,-0.0476190476190476,0.101416879957026,-0.0298611111111111,0.170603174603175,0.175260386640532
"CDC42",-0.175260386640532,-0.0880612851201086,0.0284615384615385,0.0269230769230769,0.0333333333333333,0,0.05,0.0333333333333333,0.0458333333333333,0,0.0130434782608696,-0.02,-0.0633316894076388,0.0938764268901854,0.00456890198968312,0.0138888888888889,0.0476190476190476,0.00375816993464052,0.00111987884584728,0.0165443738470998,0.0299719887955182,-0.00375816993464052,-0.00375816993464052,-0.0208810797046091,-0.0114258658008658,-0.142857142857143,-0.06,-0.1,-0.1,-0.06,0.0332167832167832,0.100199134199134,-0.071056601155611,-0.0562962962962963,-0.0562962962962963,-0.0747603048593148,-0.111181197238578,-0.0694541910331384,-0.0698098098098098,-0.0353070175438596,-0.0476190476190476,-0.0314900153609831,-0.0248677248677249,-0.0277863116572794,-0.0232548216419184,-0.0956486042692939,-0.0289855072463768,-0.128762897473705,-0.0333333333333333,-0.1,-0.0476190476190476,0.101416879957026,-0.0298611111111111,0.170603174603175,0.175260386640532
"SMAD",-0.162511678577135,-0.0814688419247343,-0.106458675424193,-0.108045977011494,-0.0468253968253968,-0.05,-0.1,-0.0611111111111111,-0.0487861811391223,0.00967741935483871,0.0166541635408852,0,-0.0563479508842412,0.0573999575983096,0.0108849327716545,-0.00800798580301686,0.0295439302481556,-0.0892624813323503,0.0909072181744556,0.0150877192982456,0.020046723544245,0.0892624813323503,0.0892624813323503,-0.019648317169743,0.123121566542619,-0.030952380952381,-0.00793650793650794,-0.019047619047619,-0.00571428571428572,0.00539682539682539,0.0499957471239926,0.0610576052963945,0.00309898022740568,-0.00601343101343101,0.00735760971055088,0.00168054051109363,-0.0277691637789986,-0.0103299777760209,0.00263033698327816,0.051452847805789,0.0641666666666667,0.0669189602446483,0.0748072931634575,0.0687776963041279,-0.024716516360352,0.00226814754475965,0.106435693575924,-0.0165483012853702,0.0666666666666667,-0.02,0.0541666666666667,0.123720375593956,0.0872185448959643,0.160962212833345,0.162511678577135
