"","Jagged","NOTCHic","SUFU","FUS","NOTCH","Csl","KLF4","cfos","EGR1","RAF","PI3K","GSK3","RAS","PAK1","FOXC2","CDC42","cMet","STAT","TCFLEF","cateninnuc","Wnt","SRC","GLI","Frizzled","cateninmemb","DSH","CD44","Ecadherin","Destcompl","AXIN2","LIV1","SNAI2","TGF","TGFR","DELTA","ZEB2","TWIST1","SOSGRB2","TrCP","ERK","SNAI1","MEK","NFB","Csn","RKIP","AKT","IKK","Patched","HEY1","SMO","SHH","SMAD","miR200","ILK","ZEB1"
"CD44",-0.111794871794872,0.114285714285714,-0.1,-0.1,0.0669172932330827,0.1,-0.0206349206349206,-0.1,0,0.0333333333333333,0.0333333333333333,-0.0976190476190476,0.0361904761904762,-0.133333333333333,-0.08625,-0.0733333333333333,-0.2,-0.1,-0.0463565891472868,-0.0540488968395945,-0.1,-0.2,-0.0533333333333333,-0.1,-0.0571428571428571,0,0.0533333333333333,-0.0195537943762892,0.0376023136527338,0.09,0.1,0.224087024087024,0.0788888888888889,0.0733333333333333,-0.0333333333333333,-0.0746031746031746,0.138974358974359,-0.0547619047619048,0.1,0.04,0.156273258904838,0.03,0.3,0.2,0.0733333333333333,0.24,0.233333333333333,0.09,0.171345029239766,0.05,0.108181818181818,0.109410430839002,0.179609134826526,0.127777777777778,0.223809523809524
"AXIN2",0.115776931646497,0.108352130325815,0.1,0.0923076923076923,0.0982169951906794,0.092280701754386,0.0590579648558927,-0.101138211382114,-0.113333333333333,0.108040306742729,0.108040306742729,0.16787343777504,0.100166290994697,-0.0316666666666667,-0.0620559378170619,-0.047716049382716,-0.12847099705961,-0.126666666666667,-0.131606340493991,-0.133033059041332,-0.12847099705961,-0.133643410852713,-0.1341313744181,-0.133643410852713,-0.118248936212088,0.126666666666667,0.133833773084846,-0.00278237277753881,0.170809629557633,0.514216742984619,0.133333333333333,-0.143708585828946,0.0448976259474522,0.0353266688517426,-0.108040306742729,-0.0727938553119121,0.135870627256699,-0.0156544406193775,0.0666666666666667,0.117026061849404,0.134569478400068,0.108750199780438,0.0956521739130435,0.1,0.153720902753161,0.101787439613527,0.102898550724638,-0.0946886446886447,0.040143475843273,-0.101831501831502,-0.0982952020656939,0.0416034046468829,0.14946691348629,0.0312859443294226,0.175379453191678
"TrCP",0.0930561946148603,0.0817948717948718,0.0571428571428571,0.123809523809524,0.0883882783882784,0.0833333333333333,0.0668836846213895,0.244347826086957,0.24,0.0953105903608056,0.0953105903608056,0.0768257575757576,0.0889469539971692,0.019047619047619,0.0254031234024308,0.0327731092436975,0.0239239239239239,0,0.014015599758174,0.014567323896105,0.0237816764132554,0.0185185185185185,0.00963533494984073,0.0185185185185185,-0.01304505389418,0,-0.0110526367952111,-0.0465865772477421,-0.0210858058008091,-0.0236450103789076,0,-0.155262374140689,-0.0220428558904933,-0.0236822001527884,-0.0953105903608056,-0.0660704229372822,-0.110584509693205,-0.146025852585259,-0.1,-0.252822402358143,-0.173001270805567,-0.254155735691476,-0.1,-0.05,-0.2253310409664,-0.0953216374269006,-0.0842105263157895,-0.131694828469022,-0.124184966340359,-0.120583717357911,-0.125694828469022,-0.144282300733914,-0.280389054560449,-0.131379074927462,-0.308581664722132
"STAT",0.0577778166101655,0.0536830948595654,0.05,0.025,0.0410617356362645,0.0509803921568627,0.153228362051891,0.22,0.2,0.0887510339123242,0.0887510339123242,-0.0297952825990209,0.0909898398824735,-0.0227272727272727,-0.00488343558282209,-0.0164772727272727,0.0512987012987013,0.0285714285714286,0.0431884799392686,0.0440228065185296,0.0512987012987013,0.0285714285714286,0.0504583651642475,0.0285714285714286,0.0913838769556862,-0.0285714285714286,-0.0504440004440005,0.0735437947266698,-0.0521471573150707,-0.0891939433115904,-0.2,-0.0437902548400719,0.0156636444536902,0.000687799043062204,-0.0887510339123242,-0.0654922001075847,-0.184788233588833,-0.025944170771757,0,-0.214117647058824,-0.143957739827422,-0.230246679316888,-0.03,-0.05,-0.18159749034749,-0.0582485875706215,-0.0633333333333333,-0.0780232558139535,-0.127333333333333,-0.085,-0.0842179460794402,-0.124446110278194,-0.258439626031093,-0.130193236714976,-0.298054509592971
"DELTA",0.0833766233766234,-0.04,0,0,-0.0257142857142857,-0.1,0.0166666666666667,0.2,0.1,0.0133333333333333,0.0133333333333333,0.0701149425287356,0.0315151515151515,0,0.0228571428571429,0,-0.06,0,-0.0371561771561772,-0.0382550782550782,-0.06,0,-0.0523076923076923,0,-0.0841265776477044,0,0.0523076923076923,-0.125333333333333,0.0362625482625483,0.0528571428571429,0,-0.168476621417798,-0.0293333333333333,-0.0333333333333333,-0.0133333333333333,-0.0644927536231884,-0.088,-0.12,0,-0.22,-0.183333333333333,-0.253333333333333,0,0,-0.21025641025641,-0.0666666666666667,-0.1,-0.075,-0.216666666666667,-0.1,-0.128846153846154,-0.111904761904762,-0.25030303030303,-0.116666666666667,-0.296376811594203
"SRC",0.0186744295459892,-0.0211904761904762,-0.0333333333333333,0.0166666666666667,-0.0283333333333333,-0.045,0.172803617571059,0.239393939393939,0.266666666666667,0.108735919899875,0.108735919899875,0.25012987012987,0.114796525960481,-0.111111111111111,-0.0827077497665733,-0.0986111111111111,0.025,0.2,0.0463114754098361,0.0407186342465251,0.025,0.025,0.0463114754098361,0.025,0.109209699146834,-0.1,-0.0463114754098361,0.101660583425289,0.0402492435101131,-0.0804454077946364,-0.2,0.0554809647752906,0.0818145743145743,0.0890873015873016,-0.108735919899875,-0.0615977837675951,-0.014892004547177,-0.2,-0.1,-0.25050505050505,0.0398322478850922,-0.237297503335239,-0.05,-0.05,-0.0937438905180841,-0.0324786324786325,-0.0269230769230769,-0.0151851851851852,-0.067850049652433,0.00333333333333333,-0.0122440087145969,-0.0421467520151731,-0.126107451324843,-0.0322368421052632,-0.149595687331536
"Csn",0.061975695056376,-0.0446608946608947,0.0714285714285714,0.0380952380952381,-0.0571608946608946,-0.0641414141414141,0.0394828700711054,0.233939393939394,0.206666666666667,-0.0751860909002472,-0.0751860909002472,-0.0666596439494129,-0.0757619066392108,0.0772727272727273,0.0798770952075967,0.0668249660786974,0.0886511563495361,0.0833333333333333,0.0840266475964099,0.0838462507232891,0.0886511563495361,0.0729885057471264,0.0882144751268286,0.0729885057471264,0.00279686103074624,-0.0833333333333333,-0.0882067119050916,-0.0342640191778779,-0.04984581942335,-0.115548375039345,-0.133333333333333,-0.0595670670449524,-0.0735840383508962,-0.0886198378735692,0.0751860909002472,-0.0569727047146402,-0.183989403147888,-0.141558860832469,-0.02,-0.21965367965368,-0.21953285058581,-0.236320346320346,-0.145,-0.17,-0.274059888807576,-0.160233333333333,-0.165833333333333,-0.0820835078899595,-0.134557032115172,-0.0896103896103896,-0.0927392455948775,-0.116592236956256,-0.244735493097195,-0.127646221532091,-0.296517783291977
"Wnt",0.0520343137254902,-0.0785714285714286,0,0,-0.0869047619047619,-0.15,0.00392156862745098,0.2,0.1,-0.0879699248120301,-0.0879699248120301,-0.0621473354231975,-0.106151742993848,0.1,0.0521457489878543,0.0333333333333333,0.075,0.1,0.0734962406015038,0.0701849823233581,0.075,0.1,0.0592105263157895,0.2,0.0151694915254237,-0.2,-0.0592105263157895,-0.0306273650294107,-0.0505098149099457,-0.110909090909091,0,-0.0173275862068966,-0.0492753623188406,-0.0666666666666667,0.0879699248120301,-0.0502630320420851,-0.155882352941176,-0.124242424242424,-0.1,-0.2,-0.199896480331263,-0.229411764705882,-0.133333333333333,-0.1,-0.245,-0.140833333333333,-0.153333333333333,-0.0227272727272727,-0.133846153846154,-0.05,-0.0655844155844156,-0.099582587954681,-0.218888888888889,-0.120512820512821,-0.28675274988044
"IKK",0.0304045610746642,-0.102597402597403,-0.1,-0.08,-0.101010101010101,-0.145454545454545,0.00549450549450549,0.121428571428571,0.05,-0.131699939503932,-0.131699939503932,-0.105897435897436,-0.140150643729284,-0.05,-0.0761038961038961,-0.0722222222222222,-0.061965811965812,-0.05,-0.0597406924525569,-0.0622723380221771,-0.061965811965812,-0.0388888888888889,-0.0727350427350427,-0.0388888888888889,-0.130104178875129,0.05,0.0727350427350427,-0.133887746373915,-0.0423851305223676,0.0861904761904762,0.1,-0.342843584922554,0.0657858585858586,0.0585858585858586,0.131699939503932,-0.0375187969924812,-0.124771241830065,-0.0142857142857143,0,-0.117428571428571,-0.133022335312412,-0.137428571428571,0.0571428571428571,0.1,-0.146357012750455,-0.0514157014157014,-0.0595238095238095,0.0585185185185185,-0.0136222910216718,0.04,0.0309323116219668,-0.000116886688668869,-0.190680044593088,-0.00902777777777778,-0.251624060150376
"SUFU",-0.0374051777747797,0.0372727272727273,0.0933333333333333,0.0683333333333333,0.0301298701298701,0.0304545454545455,0.0298795850921109,0.118135198135198,0.0969230769230769,0.0299900008593012,0.0299900008593012,-0.0113445919317823,0.0246102540238581,0.116666666666667,0.00822420773418958,0.105855855855856,0.0984573894282632,0.0933333333333333,0.0949063923704012,0.0946506378946978,-0.00651709401709402,0.0877777777777778,-0.00986281892415721,-0.0180555555555556,0.0793499899146811,0.0125,-0.0954498706312707,-0.0367044181355224,-0.0440557533121569,-0.249995025906251,-0.1,0.163847561853176,-0.109076721188014,-0.11755798351543,-0.0299900008593012,-0.0312793643904539,-0.106423643853468,-0.0598086124401914,0.05,-0.112388071698417,-0.126283942620401,-0.119622114251608,0.0397142857142857,0.0357142857142857,-0.139958622624307,0.0286662733239914,0.032021978021978,-0.086010101010101,-0.133936222673782,-0.085,-0.0902572052572053,-0.126553948505822,-0.179111088673621,-0.133251408090118,-0.250776892670437
