"","TGF","NOTCHic","TrCP","Csl","FUS","IKK","Csn","EGR1","NFB","Destcompl","LIV1","AXIN2","DELTA","ZEB1","SOSGRB2","FOXC2","GSK3","RAF","PI3K","RAS","STAT","SRC","DSH","cMet","Frizzled","CD44","Wnt","TCFLEF","cateninnuc","GLI","Ecadherin","ERK","cfos","MEK","cateninmemb","TWIST1","SNAI1","RKIP","AKT","ILK","SMAD","SNAI2","HEY1","Jagged","SHH","Patched","SUFU","SMO","NOTCH","TGFR","CDC42","PAK1","miR200","ZEB2","KLF4"
"TGFR",0.405382472137791,0.116551724137931,0.3,0.12,0.186666666666667,0.268984962406015,0.275,0.161904761904762,0.232142857142857,0.0300739549286416,0,-0.0362757453959171,0.00476190476190476,0.0185930633130668,0.154353476283301,0.0814073476362256,0.144101259085541,-0.00476190476190476,-0.00476190476190476,-0.00417710944026734,0.0333333333333333,0.0533333333333333,0.0142857142857143,0.0627672955974843,0.0342857142857143,0.0653988745448527,0.0437196765498652,0.0639634678462881,0.0628120063759604,0.0443648378401878,0.0652594146030687,-0.173834586466165,-0.167167919799499,-0.183423627562056,0.0678319499675379,-0.203863187030447,-0.269313742036992,-0.197316017316017,-0.271310543801364,-0.190850439882698,-0.194765030630029,-0.0232603302533879,-0.209952173369131,-0.168223463746772,-0.183915473407364,-0.201429597701149,-0.22,-0.210804597701149,-0.108638055073183,-0.408928571428571,-0.314285714285714,-0.333333333333333,-0.323523342002207,-0.412818108113648,-0.421529820929134
"NOTCH",0.294336917562724,-0.102857142857143,0,-0.06,0.0666666666666667,0.0555555555555556,0.1,0.2,0.0666666666666667,-0.182595027604373,0,-0.119946091644205,-0.0260606060606061,0.0915458937198068,0.165263157894737,0.108163265306122,0.107741205154998,0.0260606060606061,0.0260606060606061,0.0275098814229249,0.1,0.16,0.1,0.167692307692308,0.16,0.176783216783217,0.167692307692308,0.184475524475524,0.189781646924504,0.176783216783217,0.189257498585173,-0.26,-0.26,-0.267142857142857,0.224319615934541,-0.0316949152542373,-0.147564102564103,-0.174624226348364,-0.0888888888888889,-0.0595238095238095,-0.0395238095238095,0.00681007445713327,0.0297101449275362,0.00598364598364598,-0.00671191553544495,-0.0243589743589744,-0.1,-0.0166666666666667,-0.000368663594470051,-0.291111111111111,-0.311111111111111,-0.3,-0.237748917748918,-0.356763285024155,-0.356763285024155
"Jagged",0.291111111111111,-0.06,0,0,0.1,0.0666666666666667,0,0.1,0.1,-0.180725868725869,0,-0.114285714285714,-0.0533333333333333,0.113768115942029,0.16,0.0857142857142857,0.11455938697318,0.0533333333333333,0.0533333333333333,0.0260606060606061,0,0.1,0,0.16,0.1,0.167692307692308,0.16,0.176783216783217,0.184475524475524,0.167692307692308,0.18119298245614,-0.26,-0.2,-0.26,0.218560453630876,-0.03,-0.158333333333333,-0.143589743589744,-0.0555555555555556,-0.0833333333333333,-0.0595238095238095,-0.00324283559577678,0.0166666666666667,-0.00883116883116883,-0.0243589743589744,-0.0166666666666667,0,-0.0666666666666667,0.102857142857143,-0.311111111111111,-0.3,-0.2,-0.240606060606061,-0.356763285024155,-0.361111111111111
"cfos",0.289406671759613,0.0243589743589744,0.1,0.0166666666666667,0.0238095238095238,0.0791666666666667,0.0666666666666667,0.16,0.0416666666666667,-0.167507704253719,-0.1,-0.118095238095238,0.00441176470588235,0.0976075175833045,0.138888888888889,0.0741641046662568,0.063125,-0.00441176470588235,-0.00441176470588235,0.00290530846484935,0.15,0.15,0.15,0.153703703703704,0.15,0.156406406406406,0.153703703703704,0.157396505416307,0.158137246157048,0.153703703703704,0.139591002061457,-0.244347826086957,-0.24,-0.249432571849668,0.179038168643152,-0.0684155844155844,-0.123824867116006,-0.156829836829837,-0.0528508771929825,-0.0373015873015873,-0.0502048131080389,-0.0746604733466047,-0.046151924037981,-0.00878472222222222,-0.00829777550207659,-0.024347158218126,-0.0666666666666667,-0.0404761904761905,-0.0228205128205128,-0.292436974789916,-0.29047619047619,-0.314285714285714,-0.23637636872931,-0.345833813751489,-0.352349206349206
"CDC42",0.289406671759613,0.0243589743589744,0.1,0.0166666666666667,0.0238095238095238,0.0791666666666667,0.0666666666666667,0.26,0.0416666666666667,-0.167507704253719,-0.1,-0.118095238095238,0.00441176470588235,0.0976075175833045,0.138888888888889,0.0741641046662568,0.063125,-0.00441176470588235,-0.00441176470588235,0.00290530846484935,0.15,0.15,0.15,0.153703703703704,0.15,0.156406406406406,0.153703703703704,0.157396505416307,0.158137246157048,0.153703703703704,0.139591002061457,-0.244347826086957,-0.24,-0.249432571849668,0.179038168643152,-0.0684155844155844,-0.123824867116006,-0.156829836829837,-0.0528508771929825,-0.0373015873015873,-0.0502048131080389,-0.0746604733466047,-0.046151924037981,-0.00878472222222222,-0.00829777550207659,-0.024347158218126,-0.0666666666666667,-0.0404761904761905,-0.0228205128205128,-0.292436974789916,-0.29047619047619,-0.214285714285714,-0.23637636872931,-0.345833813751489,-0.352349206349206
"PAK1",0.281209950448138,0.0228205128205128,0.0666666666666667,0.0243589743589744,0.0404761904761905,0.0528508771929825,0.0416666666666667,0.24,0.0791666666666667,-0.167958832073268,-0.15,-0.118724168912848,-0.00290530846484935,0.105646102792308,0.13987898789879,0.0693365184593602,0.063125,0.00290530846484935,0.00290530846484935,0.00290530846484935,0.15,0.153703703703704,0.15,0.156406406406406,0.153703703703704,0.157396505416307,0.153703703703704,0.158137246157048,0.158413108226014,0.15516711833785,0.13938338960471,-0.249432571849668,-0.244347826086957,-0.241432571849668,0.179587619192602,-0.0624373235460192,-0.128359473321257,-0.145227626885085,-0.0417397660818714,-0.0502048131080389,-0.0450435227854583,-0.0730329869089917,-0.0549754534497457,-0.0130792007498296,-0.0162977755020766,-0.00829777550207659,-0.0238095238095238,-0.024347158218126,-0.0151282051282051,-0.289406671759613,-0.292436974789916,-0.29047619047619,-0.227239312891746,-0.339724488992647,-0.342513140775436
"LIV1",0.281209950448138,0.0228205128205128,0.0666666666666667,0.0243589743589744,0.0404761904761905,0.0528508771929825,0.0416666666666667,0.24,0.0791666666666667,-0.167958832073268,-0.15,-0.118724168912848,-0.00290530846484935,0.105646102792308,0.13987898789879,0.0693365184593602,0.063125,0.00290530846484935,0.00290530846484935,0.00290530846484935,0.15,0.153703703703704,0.15,0.156406406406406,0.153703703703704,0.157396505416307,0.153703703703704,0.158137246157048,0.158413108226014,0.15516711833785,0.13938338960471,-0.249432571849668,-0.244347826086957,-0.241432571849668,0.179587619192602,-0.0624373235460192,-0.128359473321257,-0.145227626885085,-0.0417397660818714,-0.0502048131080389,-0.0450435227854583,-0.0730329869089917,-0.0549754534497457,-0.0130792007498296,-0.0162977755020766,-0.00829777550207659,-0.0238095238095238,-0.024347158218126,-0.0151282051282051,-0.289406671759613,-0.292436974789916,-0.29047619047619,-0.227239312891746,-0.339724488992647,-0.342513140775436
"RKIP",0.211588785046729,0.183838383838384,0,0.211111111111111,0.166666666666667,0.0839285714285714,0,-0.08,0.0714285714285714,0.0730421088295946,0,-0.144784341303329,-0.0347402597402597,0.0398813964610234,0.273968253968254,0.0161066902446213,0.0670606776989756,0.0347402597402597,0.0347402597402597,0.0287573537573538,0.1,0.166666666666667,0.1,0.203508771929825,0.166666666666667,0.215047233468286,0.196666666666667,0.221340939761992,0.228211168769626,0.208205128205128,0.254285960192653,-0.00103448275862069,0.03,-0.00316214233308877,0.274941832588891,-0.0609863339275104,-0.118259998725407,0.0562324929971989,-0.0748376623376623,-0.15742404792469,-0.146532958815779,0.40702890948301,-0.180565234223771,-0.0659248928773547,-0.112306010928962,-0.110666666666667,-0.1,-0.146666666666667,-0.156915306915307,-0.22,-0.22,-0.2,-0.222733066260929,-0.291639406982305,-0.293639406982305
"MEK",0.213048639061328,0.156915306915307,0,0.183838383838384,0.146666666666667,0.0748376623376623,0.0714285714285714,-0.03,0.0839285714285714,0.071577673683151,-0.1,-0.148387944906932,-0.0287573537573538,0.0303575869372139,0.271746031746032,0.0269175010554321,0.0643579749962729,0.0287573537573538,0.0287573537573538,0.0278049728049728,0.166666666666667,0.203508771929825,0.166666666666667,0.215047233468286,0.196666666666667,0.221340939761992,0.208205128205128,0.228211168769626,0.233043882524273,0.214498834498834,0.260479038516879,-0.00316214233308877,-0.00103448275862069,-0.101495475666422,0.281039393564501,-0.0598874328286093,-0.11633692180233,0.0430745982603568,-0.0807200152788388,-0.146532958815779,-0.13804587394493,0.415058106563302,-0.171474325132862,-0.0577281715658793,-0.101194899817851,-0.112306010928962,-0.166666666666667,-0.110666666666667,-0.159105087937205,-0.211588785046729,-0.22,-0.22,-0.22180427369127,-0.290845756188654,-0.289717838354854
"ERK",0.213048639061328,0.159105087937205,0.0714285714285714,0.156915306915307,0.110666666666667,0.0807200152788388,0.0839285714285714,0.00103448275862069,0.0748376623376623,0.0689846635365896,-0.166666666666667,-0.151477375801241,-0.0278049728049728,0.0308300278820958,0.269804284173216,0.0264046805426116,0.0659020258591248,0.0278049728049728,0.0278049728049728,0.032975489856678,0.203508771929825,0.215047233468286,0.196666666666667,0.221340939761992,0.208205128205128,0.228211168769626,0.214498834498834,0.233043882524273,0.236516104746495,0.220263245526403,0.264632831857078,-0.101495475666422,-0.00316214233308877,-0.10455954251879,0.286559172773333,-0.0550330638965705,-0.111244329209738,0.0444673559205239,-0.0724631345448939,-0.13804587394493,-0.142605144461647,0.420468386094411,-0.16157671421136,-0.0501980510839516,-0.0934654312188168,-0.101194899817851,-0.146666666666667,-0.112306010928962,-0.155503979903964,-0.213048639061328,-0.211588785046729,-0.22,-0.223765058004995,-0.289428433354009,-0.287392256959505
