"","CDC42","ZEB2","ZEB1","TGFR","FOXC2","TGF","SOSGRB2","GSK3","SNAI1","MEK","ERK","cfos","miR200","TWIST1","SMAD","RKIP","NFB","IKK","AKT","STAT","SHH","Patched","Csn","SMO","CD44","TrCP","FUS","TCFLEF","GLI","AXIN2","Csl","RAS","RAF","PI3K","DELTA","Ecadherin","cateninmemb","NOTCHic","Destcompl","SNAI2","NOTCH","Wnt","cateninnuc","SUFU","Jagged","cMet","Frizzled","SRC","DSH","ILK","LIV1","HEY1","EGR1","KLF4","PAK1"
"ZEB2",-0.288311688311688,-0.286231509779296,-0.286231509779296,-0.283549783549784,-0.279993783993784,-0.278787878787879,-0.222490842490842,-0.205311752531612,-0.195601821827718,-0.186255814595497,-0.176499717034522,-0.16359649122807,-0.162232297555962,-0.160706688535182,-0.150849543791832,-0.150837359098229,-0.136111111111111,-0.133888888888889,-0.131085150571132,-0.13,-0.128039277795375,-0.120766550522648,-0.111111111111111,-0.108571428571429,-0.100253411306043,-0.1,-0.1,-0.0991970732778739,-0.0932001026496439,-0.0905572585853136,-0.0666666666666667,-0.0149621327993919,-0.0134632034632035,-0.0134632034632035,-0.0134632034632035,0.0398013994885579,0.049810325754146,0.076,0.0791556858453612,0.0830085675059732,0.0852896174863388,0.095034965034965,0.0975087615895622,0.1,0.100409983212008,0.102105263157895,0.102727272727273,0.11,0.122727272727273,0.149020275499149,0.15,0.156260997067449,0.158333333333333,0.184313316253855,0.279220779220779
"NOTCH",-0.255555555555556,-0.261352657004831,-0.261352657004831,-0.283555555555556,-0.288979591836735,-0.283555555555556,-0.216842105263158,-0.0701149425287356,-0.190128205128205,-0.215238095238095,-0.186666666666667,-0.22,-0.132900432900433,-0.154745762711864,-0.0814285714285714,-0.143501326259947,-0.0333333333333333,-0.0888888888888889,-0.0777777777777778,-0.1,-0.052790346907994,-0.041025641025641,0,-0.0333333333333333,-0.0357109557109557,0,-0.0333333333333333,-0.0302164502164502,-0.0357109557109557,-0.0439353099730458,-0.08,-0.0640579710144928,-0.08,-0.08,-0.08,-0.0446932654216186,0.0147494677728436,0.08,0.045034749034749,0.0977483301012713,-0.00387096774193549,0.0569230769230769,0.0322572665429808,0,0.0363732563732564,0.0569230769230769,0.08,0.08,0.1,0.0714285714285714,0,0.171014492753623,0.2,0.25024154589372,0.2
"NOTCHic",-0.283555555555556,-0.259130434782609,-0.259130434782609,-0.283555555555556,-0.280915075707702,-0.272727530077849,-0.235023923444976,-0.0692884962477439,-0.189599104599105,-0.220952380952381,-0.215238095238095,-0.186666666666667,-0.132322398218352,-0.150343246988594,-0.0850256937307297,-0.144909776964172,-0.0888888888888889,-0.0777777777777778,-0.0801033591731266,-0.08,-0.0667688415316499,-0.052790346907994,-0.0333333333333333,-0.041025641025641,-0.0302164502164502,0,-0.0333333333333333,-0.0322572665429808,-0.0303346116249342,-0.0453241988619347,-0.08,-0.065535803526808,-0.0640579710144928,-0.0640579710144928,-0.0640579710144928,-0.0430087324966568,0.00765007629211341,-0.00387096774193549,0.0447014157014157,0.095543921283636,0.0066553480475382,0.0357109557109557,0.0293565031842022,0.0333333333333333,0.0436580245851769,0.0357109557109557,0.0569230769230769,0.0569230769230769,0.08,0.0814285714285714,0.1,0.178706800445931,0.22,0.257384403036577,0.255555555555556
"Jagged",-0.2,-0.25024154589372,-0.25024154589372,-0.255555555555556,-0.282857142857143,-0.283555555555556,-0.18,-0.0701149425287356,-0.191666666666667,-0.186666666666667,-0.22,-0.2,-0.135757575757576,-0.17,-0.0714285714285714,-0.153846153846154,0,-0.0333333333333333,-0.0888888888888889,0,-0.041025641025641,-0.0333333333333333,0,-0.0333333333333333,-0.0569230769230769,0,0,-0.0357109557109557,-0.0569230769230769,-0.0571428571428571,-0.1,-0.08,-0.08,-0.08,-0.08,-0.0325964912280702,0.00899030546917871,0.08,0.045034749034749,0.0929864253393665,0.08,0.08,0.0302164502164502,0,0.0215584415584416,0.08,0.1,0.1,0,0.0666666666666667,0,0.166666666666667,0.1,0.211111111111111,0.2
"DELTA",-0.2,-0.25024154589372,-0.25024154589372,-0.255555555555556,-0.282857142857143,-0.283555555555556,-0.18,-0.0701149425287356,-0.191666666666667,-0.186666666666667,-0.22,-0.2,-0.135757575757576,-0.17,-0.0714285714285714,-0.153846153846154,0,-0.0333333333333333,-0.0888888888888889,0,-0.041025641025641,-0.0333333333333333,0,-0.0333333333333333,-0.0569230769230769,0,0,-0.0357109557109557,-0.0569230769230769,-0.0571428571428571,-0.1,-0.08,-0.08,-0.08,-0.08,-0.0325964912280702,0.00899030546917871,0.08,0.045034749034749,0.0929864253393665,0.08,0.08,0.0302164502164502,0,0.0215584415584416,0.08,0.1,0.1,0,0.0666666666666667,0,0.166666666666667,0.1,0.211111111111111,0.2
"PAK1",-0.24733893557423,-0.243874430619524,-0.243874430619524,-0.232187420422715,-0.24447684540595,-0.228362283810693,-0.263077557755776,-0.0571920995670996,-0.17256591429275,-0.243519528371408,-0.235519528371407,-0.230434782608696,-0.123289177230652,-0.102987012987013,-0.0810940433521079,-0.121764221045989,-0.0708333333333333,-0.0708333333333333,-0.0671296296296296,-0.01,-0.096994993457359,-0.093994993457359,-0.0833333333333333,-0.0804147465437788,0.0183610343016284,-0.0333333333333333,-0.0642857142857143,0.0205832565238506,0.0187500594304189,-0.0220296186138737,-0.0397435897435897,-0.0608327657251617,-0.0567418566342526,-0.0567418566342526,-0.0567418566342526,-0.0636487006719204,0.0182670844972537,0.0535897435897436,0.019515455304929,0.0408580572158138,0.0623809523809524,-0.0211890838206628,-0.0214108427307471,0.0476190476190476,0.0839118950238582,-0.0213313313313313,-0.0159259259259259,-0.0159259259259259,0.01,0.0804488820617853,0.05,0.0808522209483493,0.2,0.245165755919854,0.257142857142857
"EGR1",-0.24733893557423,-0.243874430619524,-0.243874430619524,-0.232187420422715,-0.24447684540595,-0.228362283810693,-0.263077557755776,-0.0571920995670996,-0.17256591429275,-0.243519528371408,-0.235519528371407,-0.230434782608696,-0.123289177230652,-0.102987012987013,-0.0810940433521079,-0.121764221045989,-0.0708333333333333,-0.0708333333333333,-0.0671296296296296,-0.01,-0.096994993457359,-0.093994993457359,-0.0833333333333333,-0.0804147465437788,0.0183610343016284,-0.0333333333333333,-0.0642857142857143,0.0205832565238506,0.0187500594304189,-0.0220296186138737,-0.0397435897435897,-0.0608327657251617,-0.0567418566342526,-0.0567418566342526,-0.0567418566342526,-0.0636487006719204,0.0182670844972537,0.0535897435897436,0.019515455304929,0.0408580572158138,0.0623809523809524,-0.0211890838206628,-0.0214108427307471,0.0476190476190476,0.0839118950238582,-0.0213313313313313,-0.0159259259259259,-0.0159259259259259,0.01,0.0804488820617853,0.05,0.0808522209483493,0.2,0.245165755919854,0.257142857142857
"CD44",-0.3,-0.225396825396825,-0.225396825396825,-0.25,-0.215833333333333,-0.211111111111111,-0.29047619047619,-0.110714285714286,-0.233705475810739,-0.165,-0.185,-0.125,-0.147444005270092,-0.116483516483516,-0.0976190476190476,-0.0614814814814815,-0.2,-0.133333333333333,-0.14,0.1,-0.0972727272727273,-0.07,-0.2,-0.05,0.156666666666667,-0.1,-0.1,0.154341085271318,0.156666666666667,0.12,0,0.00857142857142857,0,0,0,-0.151744653132125,-0.0816483516483517,0.0142857142857143,-0.136532794936156,0.000359640359640361,0.0300751879699248,-0.15,-0.177418008348241,0.1,0.118228438228438,-0.25,-0.1,-0.2,0,0.0833333333333333,-0.1,0.0707602339181287,0.1,0.349206349206349,0.2
"RAF",-0.18,-0.22432137733142,-0.22432137733142,-0.199047619047619,-0.218361332154436,-0.20745883400089,-0.276761904761905,-0.0390464933018125,-0.150094046741139,-0.186140865737344,-0.201034482758621,-0.17,-0.126096696926008,-0.126482471776589,-0.150784516834225,0.0416666666666667,-0.114285714285714,-0.101785714285714,-0.141179653679654,0.1,-0.152196721311475,-0.144,-0.1,-0.14,0.0683535762483131,-0.1,-0.1,0.0760458839406208,0.0725641025641026,0.0595991561181434,-0.111111111111111,-0.0971972471972472,-0.098051948051948,-0.098051948051948,-0.098051948051948,-0.101238333135971,-0.0701360183713125,0.12020202020202,-0.0448128380271969,-0.0888564434341668,0.12020202020202,-0.0533333333333333,-0.0793537719813333,0.1,0.14359487428248,-0.0491228070175439,-0.0333333333333333,-0.0333333333333333,-0.1,0.153754813863928,0,0.159581881533101,0.17,0.20832137733142,0.2
"ILK",-0.0294117647058824,-0.219649528539202,-0.219649528539202,-0.0414117647058824,-0.0553588850174216,-0.0405987565758011,-0.156923076923077,-0.0791486291486291,-0.0630193236714976,-0.08310143729623,-0.0683473389355742,-0.10952380952381,-0.100360158966716,0.0293475432463316,-0.0542101640656262,-0.018923723335488,0,-0.0411764705882353,-0.0334841628959276,0,-0.0555555555555556,-0.05,-0.0333333333333333,-0.05,0.0282348569305091,0,-0.05,0.0344495461960458,0.0282348569305091,0.0321904761904762,-0.125,0.0415527486212418,0.0456623376623377,0.0456623376623377,0.0456623376623377,0.031122345745052,0.0444924990179512,0.117307692307692,-0.0306507483292021,-0.00747551550423981,0.126985111662531,-0.0328502415458937,-0.032593876092953,0,0.0356140350877193,-0.0328502415458937,-0.0111111111111111,-0.0111111111111111,0,0.0454101640656262,-0.1,0.0528369152120539,0.0666666666666667,0.21359649122807,0
"STAT",-0.134659090909091,-0.200968262506724,-0.200968262506724,-0.124132775119617,-0.143686434901159,-0.113987847583385,-0.302380952380952,0.0795060080106809,-0.0964568536168579,-0.225604048070841,-0.230980392156863,-0.213333333333333,-0.0987344478225433,0.0475524142690559,-0.0621133877505691,-0.054235842985843,-0.04,-0.0257142857142857,-0.027409200968523,0.142857142857143,-0.108171434451533,-0.101976744186046,0,-0.095,0.184057609057609,0,-0.075,0.179956662685369,0.184014514896868,0.113633817163229,-0.0843137254901961,0.0728612674839204,0.0743538047973532,0.0743538047973532,0.0743538047973532,-0.131219935595072,-0.0458486134523331,0.103232644409115,-0.106381694065921,-0.0460779786870415,0.106145265768338,-0.181493506493507,-0.179837473174046,0.05,0.117654329617074,-0.181493506493507,-0.167857142857143,-0.167857142857143,-0.142857142857143,0.0644122383252818,-0.2,0.0706666666666667,0.233333333333333,0.309427609427609,0.140909090909091
