"","FOXC2","TrCP","NOTCH","RKIP","Destcompl","MEK","ERK","cfos","LIV1","Frizzled","Wnt","GLI","miR200","TGF","GSK3","RAS","RAF","PI3K","DELTA","PAK1","CDC42","TGFR","DSH","STAT","SNAI2","TCFLEF","cateninnuc","cMet","CD44","SRC","AXIN2","EGR1","Ecadherin","cateninmemb","ZEB2","SOSGRB2","TWIST1","SNAI1","ZEB1","SUFU","Csl","Jagged","NOTCHic","KLF4","NFB","Csn","FUS","Patched","IKK","AKT","SMO","ILK","SHH","SMAD","HEY1"
"TGFR",0.350848002386829,0.0333333333333333,0.233601256925494,0.143636363636364,-0.0243670470544713,0.014202400979618,0.0155722639933166,0.0177944862155389,0,-0.0328571428571428,-0.0309703504043127,-0.0316155116946352,-0.0937457919660367,0.0166818642350557,-0.0731000383764273,0.0410923141186299,0.0422619047619048,0.0422619047619048,0.0422619047619048,0.08,0.0847619047619048,-0.0188095238095238,0.0428571428571429,0.0333333333333333,-0.0101786362802536,0.0214465408805031,0.0224208544323189,0.0214465408805031,0.0214465408805031,0.0233333333333333,0.0131304357699207,0.019047619047619,0.0481369736782439,0.0258370092021561,-0.24258717741728,-0.058641975308642,-0.22924476077501,-0.251570876160578,-0.107205686675485,-0.153333333333333,-0.213333333333333,-0.15383476339886,-0.227126436781609,-0.245886001234972,-0.0726190476190476,-0.0583333333333333,-0.153333333333333,-0.180596264367816,-0.0778822055137844,-0.0778822055137844,-0.177471264367816,-0.178993157380254,-0.178901349113579,-0.180060773038617,-0.203085154498302
"DELTA",0.304285714285714,0,0.165714285714286,0.107692307692308,-0.0102857142857143,0.02,0.02,0,0,0,-0.02,0.00307692307692308,-0.0472727272727273,0.0706666666666667,-0.00344827586206897,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0,-0.1,-0.0666666666666667,0,0,-0.0639265962795375,0.00601398601398601,0.00491508491508492,0.02,-0.00307692307692308,0,-0.00571428571428572,-0.1,0.00992982456140351,0.00560453630876166,-0.224154589371981,-0.12,-0.137,-0.175,-0.0536231884057971,0,-0.2,-0.104242424242424,-0.18,-0.211111111111111,-0.1,0,-0.1,-0.0666666666666667,-0.0666666666666667,-0.0777777777777778,-0.0666666666666667,-0.116666666666667,-0.105128205128205,-0.102380952380952,-0.216666666666667
"NOTCH",0.314489795918367,0,0.088294930875576,0.111140583554377,-0.00841655540720961,0.02,0.02,0.02,0,-0.02,0.00307692307692308,-0.00601398601398601,-0.0415584415584416,0.0738924731182796,-0.00344827586206897,-0.0318840579710145,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.1,-0.0666666666666667,-0.0706666666666667,0,0,-0.0708049031578443,0.00491508491508492,0.00450692164977879,-0.00307692307692308,0.00601398601398601,0.02,0.0074932614555256,0,0.00912337294850028,0.00508097609933758,-0.220450885668277,-0.104210526315789,-0.138694915254237,-0.170384615384615,-0.0647342995169082,-0.1,-0.18,-0.0931313131313131,-0.165714285714286,-0.224154589371981,-0.0666666666666667,-0.1,-0.0666666666666667,-0.105128205128205,-0.0777777777777778,-0.1,-0.0666666666666667,-0.102380952380952,-0.0874811463046757,-0.105714285714286,-0.21231884057971
"TrCP",0.300482339277174,0.0666666666666667,0.0695604395604396,0.107415034321112,-0.112921203423497,0.00337607467452714,0.00604274134119381,0.00434782608695652,-0.1,-0.0837037037037037,-0.0863352826510721,-0.0858474777730233,-0.0452051117324333,0.0609594359353279,0.0367792207792208,0.00466284074605452,0.00466284074605452,0.00466284074605452,0.00466284074605452,-0.0619047619047619,-0.0638655462184874,-0.0593200916730329,0.08,0.08,-0.020642766946934,0.0840740740740741,0.0839361430395913,0.0837037037037037,0.0837037037037037,0.0837037037037037,0.0770000309818137,0,0.126468610970952,0.102876665363005,-0.215388606075526,-0.0940456545654565,-0.131104272539055,-0.170176315935054,-0.0639584058594826,-0.080952380952381,-0.0730769230769231,-0.0771759969325153,-0.0684615384615385,-0.210839448347645,-0.0916666666666667,-0.0666666666666667,-0.114285714285714,-0.101860385731353,-0.081140350877193,-0.0829922027290448,-0.0981566820276498,-0.107697559310463,-0.103860385731353,-0.105116914149172,-0.113789428815004
"PAK1",0.300482339277174,0.0666666666666667,0.0695604395604396,0.107415034321112,-0.112921203423497,0.00337607467452714,0.00604274134119381,0.00434782608695652,-0.1,-0.0837037037037037,-0.0863352826510721,-0.0858474777730233,-0.0452051117324333,0.0609594359353279,0.0367792207792208,0.00466284074605452,0.00466284074605452,0.00466284074605452,0.00466284074605452,-0.0619047619047619,-0.0638655462184874,-0.0593200916730329,0.08,0.08,-0.020642766946934,0.0840740740740741,0.0839361430395913,0.0837037037037037,0.0837037037037037,0.0837037037037037,0.0770000309818137,0,0.126468610970952,0.102876665363005,-0.215388606075526,-0.0940456545654565,-0.131104272539055,-0.170176315935054,-0.0639584058594826,-0.080952380952381,-0.0730769230769231,-0.0771759969325153,-0.0684615384615385,-0.210839448347645,-0.0916666666666667,-0.0666666666666667,-0.114285714285714,-0.101860385731353,-0.081140350877193,-0.0829922027290448,-0.0981566820276498,-0.107697559310463,-0.103860385731353,-0.105116914149172,-0.113789428815004
"LIV1",0.300482339277174,0.0666666666666667,0.0695604395604396,0.107415034321112,-0.112921203423497,0.00337607467452714,0.00604274134119381,0.00434782608695652,-0.1,-0.0837037037037037,-0.0863352826510721,-0.0858474777730233,-0.0452051117324333,0.0609594359353279,0.0367792207792208,0.00466284074605452,0.00466284074605452,0.00466284074605452,0.00466284074605452,-0.0619047619047619,-0.0638655462184874,-0.0593200916730329,0.08,0.08,-0.020642766946934,0.0840740740740741,0.0839361430395913,0.0837037037037037,0.0837037037037037,0.0837037037037037,0.0770000309818137,0,0.126468610970952,0.102876665363005,-0.215388606075526,-0.0940456545654565,-0.131104272539055,-0.170176315935054,-0.0639584058594826,-0.080952380952381,-0.0730769230769231,-0.0771759969325153,-0.0684615384615385,-0.210839448347645,-0.0916666666666667,-0.0666666666666667,-0.114285714285714,-0.101860385731353,-0.081140350877193,-0.0829922027290448,-0.0981566820276498,-0.107697559310463,-0.103860385731353,-0.105116914149172,-0.113789428815004
"EGR1",0.300482339277174,0.0666666666666667,0.0695604395604396,0.107415034321112,-0.112921203423497,0.00337607467452714,0.00604274134119381,0.00434782608695652,-0.1,-0.0837037037037037,-0.0863352826510721,-0.0858474777730233,-0.0452051117324333,0.0609594359353279,0.0367792207792208,0.00466284074605452,0.00466284074605452,0.00466284074605452,0.00466284074605452,-0.0619047619047619,-0.0638655462184874,-0.0593200916730329,0.08,0.08,-0.020642766946934,0.0840740740740741,0.0839361430395913,0.0837037037037037,0.0837037037037037,0.0837037037037037,0.0770000309818137,0,0.126468610970952,0.102876665363005,-0.215388606075526,-0.0940456545654565,-0.131104272539055,-0.170176315935054,-0.0639584058594826,-0.080952380952381,-0.0730769230769231,-0.0771759969325153,-0.0684615384615385,-0.210839448347645,-0.0916666666666667,-0.0666666666666667,-0.114285714285714,-0.101860385731353,-0.081140350877193,-0.0829922027290448,-0.0981566820276498,-0.107697559310463,-0.103860385731353,-0.105116914149172,-0.113789428815004
"CDC42",0.300482339277174,0.1,0.0684615384615385,0.105757575757576,-0.112770827483647,0.00604274134119381,0.00434782608695652,0,-0.1,-0.08,-0.0837037037037037,-0.0863352826510721,-0.0416518122400475,0.0593200916730329,0.0371428571428571,0.00466284074605452,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.0428571428571429,-0.0619047619047619,-0.0638655462184874,0.1,0.1,-0.0211852624261383,0.0837037037037037,0.0840740740740741,0.0837037037037037,0.0837037037037037,0.08,0.0763711001642036,-0.02,0.12584577360071,0.103426115912455,-0.212494715400284,-0.0930555555555556,-0.130017316017316,-0.168505671543646,-0.0642799492678427,-0.0666666666666667,-0.05,-0.0765625,-0.0730769230769231,-0.217396825396825,-0.0666666666666667,-0.0666666666666667,-0.080952380952381,-0.0981566820276498,-0.0916666666666667,-0.081140350877193,-0.114285714285714,-0.106084656084656,-0.101860385731353,-0.107697559310463,-0.11231884057971
"Destcompl",0.126058504020269,0.1,-0.0747575801819071,0.169087212109015,-0.00238773406919866,0.0896319879884935,0.084990637777523,0.0811655011655012,-0.188888888888889,-0.180376168732333,-0.181366267742234,-0.183407084068765,-0.101737075415478,0.0802503796436905,-0.0957257916825541,-0.0226780592918057,-0.0242479180045215,-0.0242479180045215,-0.0242479180045215,-0.0795918367346939,-0.0789021815622801,-0.0799548131412275,0.181746031746032,0.181746031746032,0.0953042413290169,0.182229232182207,0.182280226572824,0.180873681170144,0.182366218483577,0.180376168732333,0.0921438424110227,-0.0902564102564102,0.0572824252327114,-0.165129903334161,-0.19010186775913,-0.00281281916041932,-0.00394822033970312,-0.184839669366819,-0.0933679500168862,-0.211111111111111,0.068891500195848,0.15365656362812,0.0721523697610654,-0.182888618386385,-0.0770186335403727,-0.0857142857142857,-0.200766283524904,-0.195318467092632,-0.083324939846679,-0.0846672217258736,-0.197909140667761,-0.107619047619048,-0.196285585081026,-0.108671679197995,-0.101962823501285
"TCFLEF",0.00339561412125746,-0.0857142857142857,0.0259434914067726,0.0921931395509023,-0.0968992229949126,-0.0186095901775344,-0.020650406504065,-0.021602787456446,-0.1,-0.100882352941176,-0.103446455505279,-0.105930927554968,-0.0181362680157861,-0.0840707290481382,0.0828081302947689,0.124457551993226,0.123800521769836,0.123800521769836,0.123800521769836,0.0846153846153846,0.0846153846153846,0.0827462257368799,0.105882352941176,0.1,-0.00130126536286665,-0.00158003281811879,-0.00106456890059302,0.0975641025641026,0.0994508950169327,0.095,0.0249035409035409,0.0142857142857143,0.148869858881579,0.128254216770843,-0.158811270600744,0.0835731613695686,0.0322849623579648,-0.0132442476166326,0.00281011873117136,-0.15,-0.025011956001913,0.07332381444115,-0.0289335246293639,-0.0604914693149987,0.0966233766233766,0.0766233766233766,-0.13,-0.137834101382488,0.083720150816925,0.0869810203821424,-0.144285714285714,-0.0300022784233311,-0.139061095247519,-0.0317231197235223,-0.0234408602150538
