"","NFB","AKT","IKK","TrCP","Csn","ILK","SMAD","Jagged","HEY1","NOTCH","cfos","MEK","EGR1","TWIST1","SNAI1","ZEB1","TCFLEF","AXIN2","DSH","cateninmemb","GLI","SNAI2","TGFR","PAK1","TGF","CDC42","FOXC2","LIV1","Frizzled","SOSGRB2","Ecadherin","SRC","Wnt","CD44","cateninnuc","cMet","STAT","RAF","PI3K","DELTA","RAS","Destcompl","RKIP","ERK","Csl","NOTCHic","FUS","Patched","miR200","SHH","SMO","SUFU","GSK3","ZEB2","KLF4"
"ZEB1",-0.148070175438596,-0.140131065368339,-0.152988208225482,-0.133333333333333,-0.153333333333333,-0.182378173831355,-0.185262789215971,-0.16432896411173,-0.167747321762866,-0.165139361529736,-0.112666666666667,-0.103410382655265,-0.116666666666667,-0.032041739574578,-0.0950280532665637,0.365359766787582,-0.00173934552597668,-0.109910188148005,0.0142857142857143,0.00432702339575841,-0.00424326323245106,0.0250445032708492,0.000986985356729418,0.000766283524904214,-0.0033437233046879,-0.00358154256205231,-0.0126333201882061,0,0.0125435540069686,-0.00822612085769981,0.0751583241631294,0.0191369606003752,-0.0105333690699544,0.0115797710578916,0.0103499130406538,-0.00439245116433065,-0.00769230769230769,-0.00584260351319517,-0.00584260351319517,-0.00584260351319517,-0.0214331546942975,0.0126742427611121,0.108901672151189,0.109137254901961,0.158333333333333,0.170098039215686,0.175,0.182843137254902,-0.316284013162176,0.171099365012909,0.175,0.175,0.0285330222498791,-0.175861514943886,-0.162907602854492
"TWIST1",0.103846153846154,0.10957658161048,0.0943223443223443,0.1,0.05,0.212093912093912,0.206483351037806,0.0252732309425313,0.208337989693922,0.0224754071923883,-0.0536231884057971,-0.0455189726425083,-0.0666666666666667,0.133113626457448,0.133142001311932,-0.170344028238765,-0.0844253567190278,-0.126744599486535,-0.0714285714285714,-0.0826705313230883,-0.09705664160401,0.0708107917134224,0.0716627481713689,0.0757575757575758,0.0687014725449452,0.0654127481713689,-0.0958452275406514,-0.1,0.104761904761905,0.0050401924543801,0.107151101403092,0.104761904761905,0.08265664160401,0.0962170871937598,0.0948336373400744,0.0813576494427558,0.0714285714285714,0.0205650972823648,0.0205650972823648,0.0205650972823648,0.0054966041316799,0.0605328991258458,-0.108699813047639,0.0509916094584287,-0.0311111111111111,-0.0234188034188034,-0.0444444444444444,-0.043896499238965,0.145550431471195,-0.060152656874433,-0.0644444444444444,-0.0333333333333333,0.0691293510946356,-0.0870361589659835,-0.0780070877631853
"RAS",-0.0666666666666667,-0.0411111111111111,-0.0466666666666667,-0.1,-0.1,0.228138528138528,0.230179344465059,0.147865168539326,0.11798418972332,0.246623634558093,-0.055,-0.0228018575851393,-0.08,0.157643207855974,0.272654867256637,-0.252573637702504,-0.119316453258881,-0.136732542819499,-0.1,0.0441021608409105,-0.109313725490196,0.0619163912316143,-0.14,-0.14,-0.135049504950495,-0.14,0.119365079365079,0,0.1,0.147619047619048,-0.00346856353432897,0.1,0.117647058823529,0.107008760951189,0.111101155808456,0.117647058823529,0.1,0.238717948717949,0.238717948717949,0.238717948717949,0.146410256410256,0.137225031411078,-0.118446540880503,0.0286842105263158,-0.25,-0.244736842105263,-0.2,-0.212,0.203230769230769,-0.210305084745763,-0.2,-0.1,0.266498708010336,-0.0833836524300442,-0.0967857142857143
"TrCP",-0.0916666666666667,-0.0953703703703704,-0.0916666666666667,-0.0666666666666667,-0.0916666666666667,-0.0907663423792456,-0.0875405359276327,-0.0781948704839809,-0.0877024722932651,-0.0565934065934066,-0.22695652173913,-0.228651436993368,-0.24,-0.148617165443252,-0.135936043051236,0.319510315798163,0.0591636190646091,0.077359420020448,0.05,0.0586176618053261,0.0578895069652451,-0.0766020135889858,0.0522026992615228,0.0523809523809524,0.0511098030866594,0.0582633053221288,-0.0341518070642891,0.05,-0.0685185185185185,-0.0178355335533553,-0.0458331851274254,-0.0685185185185185,-0.0632553606237817,-0.0554599153609054,-0.056956722512885,-0.0604104104104104,-0.05,0.0844253148413837,0.0844253148413837,0.0844253148413837,0.081698042114111,-0.0477038897381767,0.150314105783719,0.228651436993368,0.0807692307692308,0.0576923076923077,0.102380952380952,0.0776099448142459,-0.278714048301985,0.0806099448142459,0.0862519201228879,0.0523809523809524,0.070961038961039,-0.0728901424867729,-0.0693395784543326
"EGR1",-0.0916666666666667,-0.0953703703703704,-0.0916666666666667,-0.0666666666666667,-0.0916666666666667,-0.0907663423792456,-0.0875405359276327,-0.0781948704839809,-0.0877024722932651,-0.0565934065934066,-0.22695652173913,-0.228651436993368,-0.24,-0.148617165443252,-0.135936043051236,0.319510315798163,0.0591636190646091,0.077359420020448,0.05,0.0586176618053261,0.0578895069652451,-0.0766020135889858,0.0522026992615228,0.0523809523809524,0.0511098030866594,0.0582633053221288,-0.0341518070642891,0.05,-0.0685185185185185,-0.0178355335533553,-0.0458331851274254,-0.0685185185185185,-0.0632553606237817,-0.0554599153609054,-0.056956722512885,-0.0604104104104104,-0.05,0.0844253148413837,0.0844253148413837,0.0844253148413837,0.081698042114111,-0.0477038897381767,0.150314105783719,0.228651436993368,0.0807692307692308,0.0576923076923077,0.102380952380952,0.0776099448142459,-0.278714048301985,0.0806099448142459,0.0862519201228879,0.0523809523809524,0.070961038961039,-0.0728901424867729,-0.0693395784543326
"AXIN2",-0.0560386473429952,-0.0481642512077295,-0.0603864734299517,-0.0666666666666667,-0.0777777777777778,0.105705083965954,0.100546353807223,-0.138492453492453,0.105154923106242,-0.0331768610715979,0.0388617886178862,0.0464931131425397,0.0266666666666667,0.169401046202939,0.138826237052932,-0.180132389251108,-0.182814431115163,0.213093342726312,-0.16,0.135296253238645,-0.194049517584341,0.11995633094665,-0.0912797716595652,-0.0904166666666667,-0.0952401676991691,-0.0965895061728395,0.0505160491343161,-0.166666666666667,0.190232558139535,0.112055194299234,0.0456083902394065,0.190232558139535,0.176439454691259,0.194420527246464,0.192714993155803,0.176439454691259,0.16,0.0820437157374874,0.0820437157374874,0.0820437157374874,0.0660332170498233,0.163216708510178,-0.14873291582969,-0.0416655269356432,0.0291228070175439,0.0291228070175439,0.0884615384615385,0.0884615384615385,0.151266609116032,0.079609079445145,0.0741758241758242,0.05,0.176316542471005,-0.0722028347522508,-0.0623071078866921
"cfos",-0.0916666666666667,-0.0916666666666667,-0.0916666666666667,-0.1,-0.0666666666666667,-0.0891534391534392,-0.0907663423792456,-0.0745138888888889,-0.086231884057971,-0.0576923076923077,-0.24,-0.228651436993368,-0.12,-0.154051948051948,-0.134742725628802,0.323690380106845,0.0554599153609054,0.0811330049261084,0.05,0.0597165629042271,0.0632553606237817,-0.0756978544569785,0.0582633053221288,0.0571428571428571,0.0522026992615228,0.0523809523809524,-0.0341518070642891,0.1,-0.05,-0.00694444444444444,-0.0483937387606434,-0.05,-0.0685185185185185,-0.0604104104104104,-0.0591636190646091,-0.0685185185185185,-0.05,0.0905228758169935,0.0905228758169935,0.0905228758169935,0.0844253148413837,-0.0448467468810338,0.158601398601399,0.22695652173913,0.05,0.0807692307692308,0.0523809523809524,0.0862519201228879,-0.278206434088787,0.0776099448142459,0.102380952380952,0.0666666666666667,0.0680519480519481,-0.0693531649948115,-0.0611428571428571
"NOTCH",-0.0666666666666667,-0.0888888888888889,-0.1,0,-0.1,-0.0928571428571429,-0.0895238095238095,-0.0667436267436267,-0.186231884057971,-0.0690322580645161,-0.22,-0.239047619047619,-0.2,-0.154474576271186,-0.145384615384615,0.319162640901771,0.0578821178821179,0.0913746630727763,0.1,0.0409815676543794,0.0567832167832168,-0.104412363235893,0.0626666666666667,0.1,0.0658924731182796,0.0666666666666667,-0.0406122448979592,0,-0.04,-0.0231578947368421,-0.0403814374646293,-0.04,-0.0476923076923077,-0.0567832167832168,-0.0476780362494648,-0.0476923076923077,-0.1,0.0763636363636364,0.0763636363636364,0.0763636363636364,0.0807114624505929,-0.0443026738353841,0.162422634836428,0.253333333333333,-0.06,-0.06,0.0666666666666667,0.0955128205128205,-0.275844155844156,0.0778657616892911,0.0416666666666667,0.1,0.0408394287704633,-0.0587761674718196,-0.0550724637681159
"Jagged",-0.1,-0.1,-0.0666666666666667,0,0,-0.116666666666667,-0.0928571428571429,-0.0815584415584416,-0.216666666666667,0.06,-0.2,-0.253333333333333,-0.1,-0.146,-0.15,0.315458937198068,0.0567832167832168,0.0857142857142857,0,0.050929211633437,0.0476923076923077,-0.0985922574157868,0.0666666666666667,0,0.0626666666666667,0.1,-0.0385714285714286,0,-0.1,-0.06,-0.0339298245614035,-0.1,-0.04,-0.0476923076923077,-0.0578821178821179,-0.04,0,0.04,0.04,0.04,0.0763636363636364,-0.0377606177606178,0.158974358974359,0.22,0,-0.06,0.1,0.0416666666666667,-0.267272727272727,0.0955128205128205,0.0666666666666667,0,0.0272030651340996,-0.0550724637681159,-0.0333333333333333
"DELTA",-0.1,-0.1,-0.0666666666666667,0,0,-0.116666666666667,-0.0928571428571429,-0.0815584415584416,-0.216666666666667,0.06,-0.2,-0.253333333333333,-0.1,-0.146,-0.15,0.315458937198068,0.0567832167832168,0.0857142857142857,0,0.050929211633437,0.0476923076923077,-0.0985922574157868,0.0666666666666667,0,0.0626666666666667,0.1,-0.0385714285714286,0,-0.1,-0.06,-0.0339298245614035,-0.1,-0.04,-0.0476923076923077,-0.0578821178821179,-0.04,0,0.04,0.04,0.04,0.0763636363636364,-0.0377606177606178,0.158974358974359,0.22,0,-0.06,0.1,0.0416666666666667,-0.267272727272727,0.0955128205128205,0.0666666666666667,0,0.0272030651340996,-0.0550724637681159,-0.0333333333333333
