"","GSK3","PAK1","Destcompl","CDC42","RAF","PI3K","DELTA","cfos","MEK","ERK","NOTCH","cateninmemb","cateninnuc","Ecadherin","Jagged","AKT","IKK","ILK","SMAD","RKIP","SNAI1","HEY1","SMO","TrCP","SUFU","FUS","SNAI2","Csn","Patched","SHH","NFB","FOXC2","TWIST1","GLI","Wnt","TCFLEF","AXIN2","CD44","cMet","Frizzled","Csl","SRC","NOTCHic","DSH","SOSGRB2","STAT","LIV1","EGR1","ZEB2","RAS","TGF","TGFR","KLF4","miR200","ZEB1"
"Patched",0.263736263736264,0.0333333333333333,0.228051948051948,-0.0666666666666667,0.242307692307692,0.242307692307692,0.242307692307692,0,0.0184615384615385,-0.02,0.224242424242424,-0.0353584229390681,-0.05680690399137,-0.096537216828479,0.0586243386243386,0.192857142857143,0.15,0.0833333333333333,0.103333333333333,0.222857142857143,0.204301075268817,0.0743589743589744,0.133333333333333,0,0,0.1,0.146298850574713,0,-0.253333333333333,-0.240833333333333,-0.1,-0.175,0.140740740740741,-0.05,-0.1,0.0577777777777778,0.0471861471861472,0.0466666666666667,0,-0.2,-0.2,-0.1,-0.233333333333333,-0.2,-0.0833333333333333,-0.1,-0.1,0.1,-0.316666666666667,-0.223557692307692,0.136666666666667,0.0866666666666667,-0.305555555555556,-0.242857142857143,0.0166666666666667
"SUFU",0.249070786604439,-0.136666666666667,0.224291909333319,-0.15018018018018,0.211777454671864,0.211777454671864,0.211777454671864,-0.0148717948717949,-0.0266595180314916,-0.0160212201591512,0.204011544011544,-0.0231468660284397,-0.0425675572229143,-0.0932340697527381,0.0696365585253202,0.195024411829781,0.193010989010989,0.116973886328725,0.112124001802166,0.173190032026556,0.17739358121144,0.0987896161809205,0.229722222222222,-0.15,-0.253333333333333,0.240833333333333,0.155490033638121,-0.192857142857143,-0.234772727272727,-0.234386626886627,-0.196857142857143,-0.131358954844114,0.120043253131242,-0.046695580338703,-0.0388888888888889,0.0444601403431189,0.0443214202990053,0.0485362272996407,0.05680690399137,-0.0388888888888889,-0.209242424242424,0.0577777777777778,-0.202424242424242,-0.05,-0.00876579560790087,0.0466666666666667,0,-0.0184615384615385,-0.30623023641207,-0.211777454671864,0.137168723551702,0.14486103124401,-0.313367799919287,-0.229473497777657,-0.0301680699285032
"SHH",0.258974358974359,0,0.242337662337662,0.0333333333333333,0.25,0.25,0.25,-0.1,-0.02,0,0.233333333333333,-0.0381362007168459,-0.0577777777777778,-0.103333333333333,0.0771428571428571,0.15,0.1,0.0666666666666667,0.0833333333333333,0.18,0.233333333333333,0.0666666666666667,0.1,0,0,0,0.155632183908046,0,-0.133333333333333,-0.253333333333333,0,-0.175,0.1,-0.1,-0.2,0.0466666666666667,0.0380952380952381,0,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.15,-0.1,0,0,-0.3,-0.242307692307692,0.0866666666666667,0.0666666666666667,-0.25,-0.2,0
"GSK3",0.242086714932959,-0.35768115942029,0.209099552340729,-0.349109730848861,0.155466200344433,0.155466200344433,0.155466200344433,-0.0509803921568627,-0.0513306997440124,-0.0547397906531033,0.115493624023036,-0.153645146463725,-0.236452803678625,-0.0869086624582169,0.0075653540558006,0.207472369584439,0.212600574712644,0.147623340122838,0.143275514035881,0.133691045796309,0.121908934790634,0.132319290913276,0.0852813852813853,-0.22,-0.109090909090909,0.0852813852813853,-0.0762418893153897,-0.2325,-0.0809869067537779,-0.0809869067537779,-0.21375,-0.00615298206485477,0.222173538443083,0.237992664791835,0.242237947810703,0.235926487889151,0.146446481175916,0.236549818254245,0.240835532539959,0.24812030075188,-0.113655462184874,0.24812030075188,-0.115753364282776,0.255263157894737,0.275771670190275,0.255263157894737,0.25,0.0509803921568627,-0.24245777448017,-0.157146872613341,0.340438239738346,0.342489521789628,-0.239169225831591,-0.20363843269281,-0.0552022917747865
"PI3K",0.352405002405002,-0.325,0.218390333950404,-0.342647058823529,0.183774891774892,0.183774891774892,0.183774891774892,-0.0333333333333333,-0.0526197364191578,-0.0509803921568627,0.126178660049628,-0.171481927184981,-0.253026691894267,-0.106940158615717,0.00157894736842105,0.333031674208145,0.350980392156863,0.169491796718687,0.160691796718687,0.14612152553329,0.13012077294686,0.152836915212054,0.116666666666667,-0.2,-0.1,0.1,-0.0174704755646744,-0.3,-0.0935897435897436,-0.0908119658119658,-0.333333333333333,-0.0167688734030197,0.234005362658249,0.263983649201041,0.268599033816425,0.257768959935504,0.161809523809524,0.263983649201041,0.268599033816425,0.255555555555556,-0.15,0.255555555555556,-0.142307692307692,0.2,0.293076923076923,0.2,0.1,0.0333333333333333,-0.237899037603259,-0.182405028761193,0.34495600191296,0.350647058823529,-0.24890350877193,-0.205209046602489,-0.036454387587841
"ILK",0.352405002405002,-0.325,0.218390333950404,-0.342647058823529,0.183774891774892,0.183774891774892,0.183774891774892,-0.0333333333333333,-0.0526197364191578,-0.0509803921568627,0.126178660049628,-0.171481927184981,-0.253026691894267,-0.106940158615717,0.00157894736842105,0.333031674208145,0.350980392156863,0.169491796718687,0.160691796718687,0.14612152553329,0.13012077294686,0.152836915212054,0.116666666666667,-0.2,-0.1,0.1,-0.0174704755646744,-0.3,-0.0935897435897436,-0.0908119658119658,-0.333333333333333,-0.0167688734030197,0.234005362658249,0.263983649201041,0.268599033816425,0.257768959935504,0.161809523809524,0.263983649201041,0.268599033816425,0.255555555555556,-0.15,0.255555555555556,-0.142307692307692,0.2,0.293076923076923,0.2,0.1,0.0333333333333333,-0.237899037603259,-0.182405028761193,0.34495600191296,0.350647058823529,-0.24890350877193,-0.205209046602489,-0.036454387587841
"AKT",0.350792099179196,-0.342647058823529,0.220127306655119,-0.350647058823529,0.182405028761193,0.182405028761193,0.182405028761193,-0.0509803921568627,-0.0564172047735882,-0.0526197364191578,0.126178660049628,-0.169137380803737,-0.251795922663497,-0.107394704070263,0.00157894736842105,0.230001371177842,0.333031674208145,0.160691796718687,0.156988093014984,0.136804755346955,0.132376412044604,0.144566238520325,0.0935897435897436,-0.3,-0.1,0.116666666666667,-0.0151589177757297,-0.333333333333333,-0.0908119658119658,-0.0866014394961763,-0.350980392156863,-0.0145132343052754,0.227583344309626,0.258955716240147,0.263983649201041,0.253026691894267,0.1585604263366,0.257768959935504,0.263983649201041,0.268599033816425,-0.142307692307692,0.268599033816425,-0.126178660049628,0.255555555555556,0.297521367521368,0.255555555555556,0.2,0.0333333333333333,-0.235844243082711,-0.183127920327458,0.338611591036827,0.34495600191296,-0.234373594242015,-0.197187656228158,-0.0426187711494849
"FOXC2",0.245371868560663,0.0363636363636364,0.226895375884044,-0.0156363636363636,0.199871794871795,0.199871794871795,0.199871794871795,0.129090909090909,0.100103644081813,0.11144385026738,0.175906871208011,0.0831515650113211,0.0581094614250954,-0.09119076021994,0.0895879333060742,0.232169312169312,0.224761904761905,0.104,0.106898550724638,0.201875901875902,0.175041605598973,0.0636974789915966,0.15,-0.1,-0.2,0.166666666666667,0.135004621322398,-0.2,-0.15,-0.15752688172043,-0.22,-0.139669736281957,-0.0344183006535948,-0.0471956224350205,-0.0471956224350205,-0.0537508063815088,-0.0381083765545374,-0.0480651876524118,-0.0471956224350205,-0.0588235294117647,-0.192727272727273,-0.0588235294117647,-0.176937799043062,-0.1,-0.0808319039451115,-0.1,-0.166666666666667,-0.12,-0.222162022703818,-0.194724736048265,0.0259127864005913,0.0303030303030303,-0.233333333333333,-0.172808302808303,0.0820227038183694
"cateninnuc",0.263404519955687,-0.130285714285714,0.242153614955771,-0.127208791208791,0.209714384714385,0.209714384714385,0.209714384714385,0.0981366459627329,0.0912210728585638,0.0880100636842519,0.189265855241417,-0.0261300854247211,-0.149410853073523,-0.0802348304701036,-0.00146691901719598,0.255017992424242,0.258924242424242,0.111421356421356,0.103917945780156,0.198949082348586,0.186595655431491,0.075620155079823,0.0970856102003643,-0.233333333333333,-0.0888888888888889,0.0888888888888889,0.128774099058361,-0.245833333333333,-0.0964644921879419,-0.0962466272641947,-0.254924242424242,-0.126526271542665,0.0760841325674183,0.0529922281411263,0.0573400542280828,0.0493280030320976,0.0398542421450005,0.0516431635996853,0.0560082429647647,0.0649487498802567,-0.187193973634652,0.0636169386169386,-0.188356764332326,0.0608391608391608,-0.0391404348677629,0.0608391608391608,0.0454545454545455,-0.102898550724638,-0.21616930934766,-0.210556135556135,0.11296896788901,0.119737526840975,-0.217242297046568,-0.163504003474365,0.0345211168884429
"Ecadherin",0.244488866353157,-0.0156363636363636,0.227920538978173,-0.0303030303030303,0.194724736048265,0.194724736048265,0.194724736048265,0.11144385026738,0.0950056048661264,0.100103644081813,0.178509101691282,0.0855874624472185,0.0597901336940029,-0.192359212021303,0.0943934252969209,0.236065416065416,0.232169312169312,0.106898550724638,0.100845281959505,0.189516351314104,0.171877048636947,0.0683954655687778,0.15,-0.2,-0.166666666666667,0.15,0.137352604465083,-0.22,-0.15752688172043,-0.159101684870036,-0.224761904761905,-0.13669490790667,-0.0424257494431665,-0.0525289557683539,-0.0471956224350205,-0.0581094614250954,-0.041201160059692,-0.0537508063815088,-0.0480651876524118,-0.0471956224350205,-0.176937799043062,-0.0471956224350205,-0.175906871208011,-0.0588235294117647,-0.0742529565766904,-0.0588235294117647,-0.1,-0.129090909090909,-0.215053017964482,-0.193607417612511,0.018498681518132,0.0259127864005913,-0.221940928270042,-0.168152809325994,0.0763355000269002
