"","TGFR","TGF","CDC42","PAK1","SOSGRB2","HEY1","SUFU","NOTCH","NOTCHic","IKK","FUS","NFB","cfos","MEK","ERK","ZEB1","EGR1","RAF","PI3K","DELTA","RAS","AXIN2","Ecadherin","cMet","CD44","cateninnuc","Frizzled","SRC","GLI","Wnt","TCFLEF","DSH","cateninmemb","STAT","SNAI2","LIV1","Destcompl","TrCP","GSK3","AKT","Csl","TWIST1","Csn","Jagged","Patched","RKIP","SMO","SHH","SNAI1","SMAD","ILK","miR200","FOXC2","ZEB2","KLF4"
"ZEB1",0.353925321603158,0.355893825540166,0.347326336831584,0.357471264367816,0.330175438596491,0.268626278729906,0.216666666666667,0.158122670555826,0.162254901960784,0.232551049755536,0.191666666666667,0.20140350877193,0.104666666666667,0.0856876565604215,0.0799607843137255,0.136998649996269,0.116666666666667,0.092883278587525,0.092883278587525,0.092883278587525,0.0974502077213833,-0.262854967850686,0.178872702150007,-0.210734650332929,-0.218373539221818,-0.220541274575942,0.221486643437863,-0.212695434646654,0.228703138283224,-0.221486643437863,0.219171411562243,0.219047619047619,0.046154173812251,0.21025641025641,0.0676392702491778,0.233333333333333,0.222422922389511,-0.166666666666667,0.0875063496196992,-0.231122478326965,-0.158333333333333,-0.324700685837179,-0.206666666666667,-0.142645921172513,-0.215641711229947,-0.193914776390598,-0.223484848484849,-0.228097227244181,-0.214670032880601,-0.298765634430402,-0.299727172891941,-0.355868563820187,-0.347815776560934,-0.448839686491596,-0.429680745532347
"DSH",0.388447204968944,0.386705044690198,0.391304347826087,0.4,0.365410199556541,0.0324294369311167,0,0.113658400423106,0.115756302521008,-0.159583333333333,-0.0454545454545455,-0.178333333333333,0.107450980392157,0.0829731190721903,0.0852287581699346,0.0295876848724875,0.113333333333333,0.294419836276446,0.294419836276446,0.294419836276446,0.298061292859079,-0.233723517185395,0.0650190118508671,-0.187593984962406,-0.19222974655181,-0.197611165370451,0.194736842105263,-0.194736842105263,0.192169148361099,-0.187593984962406,0.195563079885143,0.2,-0.0581266071939546,0.2,0.0361540177669728,0.2,-0.267769271669491,0.133333333333333,-0.345671762831936,0.158433908045977,-0.105952380952381,-0.244097383634305,0.153333333333333,0.0504450973483121,0.0248708280966345,-0.172574092574093,0.0216450216450216,0.0168953679739352,-0.230489993098689,-0.0410280847004611,-0.039896009228763,-0.250230429292929,-0.3697921254592,-0.320488737720234,-0.309673383916673
"Frizzled",0.391304347826087,0.388447204968944,0.4,0.366666666666667,0.372727272727273,0.0254118930714675,0,0.115756302521008,0.105952380952381,-0.178333333333333,0,-0.153333333333333,0.113333333333333,0.0852287581699346,0.107450980392157,0.0248632754236686,0.133333333333333,0.299931647300068,0.299931647300068,0.299931647300068,0.294419836276446,-0.231613812544045,0.0677406975400681,-0.194736842105263,-0.187593984962406,-0.195563079885143,0.2,-0.2,0.187593984962406,-0.194736842105263,0.19222974655181,0.3,-0.059422249125639,0.2,0.0353391167192429,0.1,-0.267005912890865,0.1,-0.340799373040752,0.159583333333333,-0.114285714285714,-0.241260504201681,0.133333333333333,0.0512202911467617,0.0216450216450216,-0.17047619047619,0.0454545454545455,0.0248708280966345,-0.224982746721877,-0.039896009228763,-0.031484794275492,-0.250230429292929,-0.370225025892101,-0.314189525121809,-0.310644257703081
"NOTCHic",0.205562724014337,0.210021322740452,0.199111111111111,0.211111111111111,0.159665071770335,-0.0287290969899666,0.0333333333333333,0.011571671113267,0.00894009216589862,0.0555555555555556,0.00833333333333333,0.0222222222222222,-0.06,-0.05,-0.0671428571428571,0.0678421900161031,-0.06,-0.0398945981554677,-0.0398945981554677,-0.0398945981554677,-0.0374315439682756,0.00823225516621743,-0.00682372074037289,0.00927738927738928,0.00378288378288378,0.0056710283536892,-0.0123076923076923,0.0123076923076923,-0.00390104519136777,0.00927738927738928,-0.0058237001094144,-0.02,-0.000577682215627089,-0.02,-0.0733871559346038,0,-0.0160832220738763,0,-0.0441737120420506,-0.0532299741602067,-0.105714285714286,-0.108877091994457,-0.0333333333333333,-0.0298305667842092,-0.0467948717948718,-0.1178540740464,-0.0467948717948718,-0.0586228287841191,-0.1396336996337,-0.0740424803014731,-0.0747619047619048,-0.257053774741636,-0.215246872942725,-0.288969404186796,-0.277726017943409
"NOTCH",0.199111111111111,0.205562724014337,0.211111111111111,0.2,0.164210526315789,-0.0456521739130435,0,0.00894009216589862,0.105714285714286,0.0222222222222222,0.0333333333333333,0.0333333333333333,-0.06,-0.0671428571428571,-0.06,0.0582125603864734,0,-0.0442424242424242,-0.0442424242424242,-0.0442424242424242,-0.0398945981554677,0.0123989218328841,-0.00207640067911715,0.0123076923076923,0.00927738927738928,0.0058237001094144,-0.02,0.02,-0.00927738927738928,0.0123076923076923,-0.00378288378288378,0,-0.00605435564361897,0,-0.0703811439105557,0,-0.0164165554072096,0,-0.0433472657610589,-0.0555555555555556,-0.12,-0.104474576271186,0,-0.0251948051948052,-0.0467948717948718,-0.116445623342175,-0.00833333333333333,-0.0467948717948718,-0.134871794871795,-0.0747619047619048,-0.0547619047619048,-0.258787878787879,-0.210408163265306,-0.277858293075684,-0.274154589371981
"DELTA",0.211111111111111,0.199111111111111,0.2,0.2,0.18,-0.05,0,0.105714285714286,0.12,0.0333333333333333,0,0,0,-0.06,-0.06,0.0693236714975845,0.1,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0442424242424242,0.0142857142857143,-0.0109473684210526,0.02,0.0123076923076923,0.00378288378288378,0,0,-0.0123076923076923,0.02,-0.00927738927738928,0,0.00284616791659045,0,-0.0730266465560583,0,-0.0182857142857143,0,-0.0478927203065134,-0.0222222222222222,-0.1,-0.096,0,-0.0251948051948052,-0.00833333333333333,-0.0923076923076923,-0.0333333333333333,-0.0467948717948718,-0.133333333333333,-0.0547619047619048,-0.05,-0.238787878787879,-0.204285714285714,-0.274154589371981,-0.261111111111111
"LIV1",0.219658772599949,0.224576805386834,0.222689075630252,0.228571428571429,0.183553355335534,0.0686480289267131,-0.00952380952380952,-0.00216117216117216,-0.00435897435897436,0.0510964912280702,0.0238095238095238,0.0458333333333333,-0.0617391304347826,-0.0579877180054041,-0.0566543846720707,0.0739072016257227,-0.04,-0.0382897603485839,-0.0382897603485839,-0.0382897603485839,-0.0355624876213112,-0.121904761904762,0.107293013727652,-0.0915915915915916,-0.0915915915915916,-0.0944166235200718,0.0888888888888889,-0.0888888888888889,0.0920082727143061,-0.0915204678362573,0.0945545545545546,0.1,0.0718193950393169,0.1,-0.018313372235575,0.1,0.114562807433522,-0.0333333333333333,0.0126617965367965,-0.0640594541910331,0.00897435897435897,-0.129366741953698,-0.00833333333333333,-0.0149650647580095,-0.0430847129771861,-0.0975041533052583,-0.0270353302611367,-0.0390847129771861,-0.107747020106768,-0.0781191329578426,-0.0684417136030039,-0.252683426854821,-0.212934061766002,-0.271527775460648,-0.267709081446786
"IKK",0.310606060606061,0.303406060606061,0.283333333333333,0.25,0.266386554621849,-0.0635706914344685,-0.1,0.0727272727272727,0.0774891774891775,-0.202380952380952,-0.08,-0.0857142857142857,0.00714285714285715,0.0178095238095238,0.0111428571428571,0.0395488721804511,0.05,0.145674531155475,0.145674531155475,0.145674531155475,0.137223826930123,0.0161904761904762,0.00453801511924746,-0.0132478632478633,-0.00247863247863248,0.00628200543883873,0.00555555555555556,-0.00555555555555556,0.00247863247863248,-0.0132478632478633,-0.00712588729537882,-0.05,-0.0397381854644424,-0.05,-0.0677707643179037,-0.1,-0.202493790359356,0,-0.287051282051282,0.221299871299871,-0.0727272727272727,-0.160065359477124,0.1,0.0411105904404874,0.113333333333333,-0.0852459016393443,0.08,0.0995402298850575,-0.103541136556404,0.0566487898789879,0.0576388888888889,-0.187904124860647,-0.304126984126984,-0.24412030075188,-0.250549450549451
"NFB",0.303406060606061,0.295178212504795,0.310606060606061,0.283333333333333,0.282176028306059,-0.0599992628630399,-0.08,0.0824046920821114,0.0727272727272727,-0.221299871299871,-0.08,-0.202380952380952,0.0111428571428571,0.00539122315592904,0.0178095238095238,0.0361005963183822,0.00714285714285715,0.137223826930123,0.137223826930123,0.137223826930123,0.129761140362959,0.0218642350557244,0.0095139380726985,-0.00247863247863248,0.00712588729537882,0.00306631916432893,0.0132478632478633,-0.0132478632478633,-0.00763372707192932,-0.00247863247863248,-0.00628200543883873,0.00555555555555556,-0.0406885550526156,0.00555555555555556,-0.0643154797650582,-0.05,-0.204653258797894,0.1,-0.291757164404223,0.207966537966538,-0.0774891774891775,-0.155303454715219,0.0857142857142857,0.0346357702966025,0.0995402298850575,-0.0852459016393443,0.113333333333333,0.0947209527766237,-0.104910999570102,0.0555335482433002,0.0566487898789879,-0.193040076522278,-0.296557263011446,-0.241438308414715,-0.24478021978022
"STAT",0.227601674641148,0.224220032129071,0.246022727272727,0.277272727272727,0.315270935960591,0.0566666666666667,0,-0.034020199525625,-0.0311075781664017,0.0228571428571429,-0.05,-0.02,-0.0533333333333333,-0.0998861480075901,-0.0945098039215686,0.0872063833602295,-0.0333333333333333,0.0268610421836228,0.0268610421836228,0.0268610421836228,0.0320849227806378,-0.200344361520832,0.194558593972087,-0.147077922077922,-0.153060828060828,-0.160295668997349,0.160714285714286,-0.160714285714286,0.152960275019099,-0.147077922077922,0.157792689259566,0.185714285714286,0.0853768784308437,0.185714285714286,0.0230479621388712,0.3,0.200549624390146,0,0.150858923008456,-0.0347215496368039,0.0392156862745098,-0.194222802018904,0,0.0217253229883852,0.00968992248062016,-0.0181676319176319,0.0166666666666667,-4.45907937161261e-05,-0.0409695909063608,-0.0523932478205342,-0.0535426731078905,-0.206923502053379,-0.191164280845262,-0.222942442173211,-0.110625866508219
